instrument,start_date,end_date,selection_date,effective_date,selection_reason
SH601888,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601899,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601901,2024-06-03,2024-06-28,2024-05-31,2024-06-03,top_median_amount
SH601919,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601939,2024-03-01,2024-06-28,2024-02-29,2024-03-01,top_median_amount
SH601985,2024-05-06,2024-06-28,2024-04-30,2024-05-06,top_median_amount
SH601988,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH601995,2024-03-01,2024-06-28,2024-02-29,2024-03-01,top_median_amount
SH603000,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH603005,2024-02-01,2024-04-30,2024-01-31,2024-02-01,top_median_amount
SH603019,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH603083,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH603108,2024-03-01,2024-06-28,2024-02-29,2024-03-01,top_median_amount
SH603220,2024-04-01,2024-06-28,2024-03-29,2024-04-01,top_median_amount
SH603259,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH603501,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH603688,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH603799,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH603888,2024-03-01,2024-04-30,2024-02-29,2024-03-01,top_median_amount
SH603918,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH603986,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH603993,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH605117,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH688008,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH688012,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH688036,2024-05-06,2024-06-28,2024-04-30,2024-05-06,top_median_amount
SH688041,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH688111,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH688223,2024-02-01,2024-02-29,2024-01-31,2024-02-01,top_median_amount
SH688256,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SH688327,2024-02-01,2024-02-29,2024-01-31,2024-02-01,top_median_amount
SH688390,2024-02-01,2024-05-31,2024-01-31,2024-02-01,top_median_amount
SH688525,2024-05-06,2024-06-28,2024-04-30,2024-05-06,top_median_amount
SH688599,2024-02-01,2024-03-29,2024-01-31,2024-02-01,top_median_amount
SH688981,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000001,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000002,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000021,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000032,2024-02-01,2024-05-31,2024-01-31,2024-02-01,top_median_amount
SZ000034,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000063,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000066,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000100,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000158,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000333,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000338,2024-04-01,2024-06-28,2024-03-29,2024-04-01,top_median_amount
SZ000568,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000617,2024-03-01,2024-03-29,2024-02-29,2024-03-01,top_median_amount
SZ000625,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000628,2024-06-03,2024-06-28,2024-05-31,2024-06-03,top_median_amount
SZ000651,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000656,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000661,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000681,2024-02-01,2024-04-30,2024-01-31,2024-02-01,top_median_amount
SZ000725,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000766,2024-04-01,2024-06-28,2024-03-29,2024-04-01,top_median_amount
SZ000776,2024-02-01,2024-03-29,2024-01-31,2024-02-01,top_median_amount
SZ000799,2024-02-01,2024-02-29,2024-01-31,2024-02-01,top_median_amount
SZ000858,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000938,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000977,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ000988,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ001979,2024-06-03,2024-06-28,2024-05-31,2024-06-03,top_median_amount
SZ002027,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002049,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002050,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002129,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002142,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002156,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002174,2024-03-01,2024-04-30,2024-02-29,2024-03-01,top_median_amount
SZ002176,2024-05-06,2024-06-28,2024-04-30,2024-05-06,top_median_amount
SZ002192,2024-02-01,2024-02-29,2024-01-31,2024-02-01,top_median_amount
SZ002222,2024-02-01,2024-05-31,2024-01-31,2024-02-01,top_median_amount
SZ002229,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002230,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002236,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002241,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002261,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002271,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002281,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002292,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002304,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002352,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002354,2024-02-01,2024-03-29,2024-01-31,2024-02-01,top_median_amount
SZ002371,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002384,2024-02-01,2024-02-29,2024-01-31,2024-02-01,top_median_amount
SZ002384,2024-04-01,2024-06-28,2024-03-29,2024-04-01,top_median_amount
SZ002400,2024-03-01,2024-05-31,2024-02-29,2024-03-01,top_median_amount
SZ002415,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002456,2024-05-06,2024-06-28,2024-04-30,2024-05-06,top_median_amount
SZ002459,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002460,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002463,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002466,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002475,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002517,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002555,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002558,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002594,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002602,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002603,2024-02-01,2024-02-29,2024-01-31,2024-02-01,top_median_amount
SZ002605,2024-04-01,2024-04-30,2024-03-29,2024-04-01,top_median_amount
SZ002607,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002624,2024-02-01,2024-05-31,2024-01-31,2024-02-01,top_median_amount
SZ002654,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002709,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002714,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002738,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002756,2024-02-01,2024-02-29,2024-01-31,2024-02-01,top_median_amount
SZ002812,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002865,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ002902,2024-06-03,2024-06-28,2024-05-31,2024-06-03,top_median_amount
SZ002920,2024-05-06,2024-06-28,2024-04-30,2024-05-06,top_median_amount
SZ300002,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300014,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300015,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300017,2024-03-01,2024-06-28,2024-02-29,2024-03-01,top_median_amount
SZ300033,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300045,2024-03-01,2024-06-28,2024-02-29,2024-03-01,top_median_amount
SZ300058,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300059,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300122,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300124,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300166,2024-02-01,2024-03-29,2024-01-31,2024-02-01,top_median_amount
SZ300182,2024-02-01,2024-05-31,2024-01-31,2024-02-01,top_median_amount
SZ300199,2024-05-06,2024-06-28,2024-04-30,2024-05-06,top_median_amount
SZ300212,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300223,2024-03-01,2024-06-28,2024-02-29,2024-03-01,top_median_amount
SZ300229,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300274,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300280,2024-06-03,2024-06-28,2024-05-31,2024-06-03,top_median_amount
SZ300308,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300315,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300339,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300347,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300364,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300394,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300418,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300456,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300459,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300474,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300475,2024-05-06,2024-06-28,2024-04-30,2024-05-06,top_median_amount
SZ300476,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300494,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300496,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300502,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300548,2024-04-01,2024-04-30,2024-03-29,2024-04-01,top_median_amount
SZ300570,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300576,2024-02-01,2024-04-30,2024-01-31,2024-02-01,top_median_amount
SZ300620,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300624,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300678,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300724,2024-02-01,2024-02-29,2024-01-31,2024-02-01,top_median_amount
SZ300735,2024-06-03,2024-06-28,2024-05-31,2024-06-03,top_median_amount
SZ300750,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300759,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300760,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300763,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300769,2024-02-01,2024-02-29,2024-01-31,2024-02-01,top_median_amount
SZ300782,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ300803,2024-03-01,2024-04-30,2024-02-29,2024-03-01,top_median_amount
SZ300803,2024-06-03,2024-06-28,2024-05-31,2024-06-03,top_median_amount
SZ300896,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ301205,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ301236,2024-02-01,2024-06-28,2024-01-31,2024-02-01,top_median_amount
SZ301308,2024-05-06,2024-06-28,2024-04-30,2024-05-06,top_median_amount
