period,arm,features,mean_ic,icir,valid_dates,prediction_dates,mature_dates,canonical_count,mature_canonical_count,finite_label_count,common_count,engineering_coverage,finite_label_coverage,common_coverage,mature_common_coverage,common_over_finite_label,worst_year_ic,negative_ic_years
2016,H,358,0.22597660036663564,1.6135616223041616,244,244,244,488000,488000,444687,444687,1.0,0.9112438524590164,0.9112438524590164,0.9112438524590164,1.0,,
2017,B,494,0.1251536188234095,1.3758051686904056,244,244,244,488000,488000,453256,453256,1.0,0.9288032786885246,0.9288032786885246,0.9288032786885246,1.0,,
2017,S,332,0.10408069357351707,1.0523939298309277,244,244,244,488000,488000,453256,453256,1.0,0.9288032786885246,0.9288032786885246,0.9288032786885246,1.0,,
2017,R,218,0.12319020135775349,1.3451133129287423,244,244,244,488000,488000,453256,453256,1.0,0.9288032786885246,0.9288032786885246,0.9288032786885246,1.0,,
2017,C,201,0.06052342848702202,0.4091250518400109,244,244,244,488000,488000,453256,453256,1.0,0.9288032786885246,0.9288032786885246,0.9288032786885246,1.0,,
2017,H,358,0.07808230064962553,0.5897080075528257,244,244,244,488000,488000,453256,453256,1.0,0.9288032786885246,0.9288032786885246,0.9288032786885246,1.0,,
2018,B,494,0.16096879547499793,1.9018017492977317,243,243,243,485999,485999,465090,465090,1.0,0.9569772777310241,0.9569772777310241,0.9569772777310241,1.0,,
2018,S,332,0.1490803089245867,1.6979131873465125,243,243,243,485999,485999,465090,465090,1.0,0.9569772777310241,0.9569772777310241,0.9569772777310241,1.0,,
2018,R,218,0.1617579971079629,1.9142531464901666,243,243,243,485999,485999,465090,465090,1.0,0.9569772777310241,0.9569772777310241,0.9569772777310241,1.0,,
2018,C,201,0.14824136735691223,1.3371589494620577,243,243,243,485999,485999,465090,465090,1.0,0.9569772777310241,0.9569772777310241,0.9569772777310241,1.0,,
2018,H,358,0.15748480442228116,1.4646590760023526,243,243,243,485999,485999,465090,465090,1.0,0.9569772777310241,0.9569772777310241,0.9569772777310241,1.0,,
2019,B,494,0.09309068198599588,0.6676542059912305,244,244,244,487969,487969,485308,485308,1.0,0.9945467847342762,0.9945467847342762,0.9945467847342762,1.0,,
2019,S,332,0.0861086341227798,0.670344177810884,244,244,244,487969,487969,485308,485308,1.0,0.9945467847342762,0.9945467847342762,0.9945467847342762,1.0,,
2019,R,218,0.09259565355950772,0.664463357770158,244,244,244,487969,487969,485308,485308,1.0,0.9945467847342762,0.9945467847342762,0.9945467847342762,1.0,,
2019,C,201,0.10290626582479412,0.862315477262339,244,244,244,487969,487969,485308,485308,1.0,0.9945467847342762,0.9945467847342762,0.9945467847342762,1.0,,
2019,H,358,0.09234480185246512,0.7238803727244681,244,244,244,487969,487969,485308,485308,1.0,0.9945467847342762,0.9945467847342762,0.9945467847342762,1.0,,
2020,B,494,0.12549591717061628,0.9936312591258173,243,243,243,485973,485973,483707,483707,1.0,0.9953371895146438,0.9953371895146438,0.9953371895146438,1.0,,
2020,S,332,0.1008570549089627,0.7495677226678868,243,243,243,485973,485973,483707,483707,1.0,0.9953371895146438,0.9953371895146438,0.9953371895146438,1.0,,
2020,R,218,0.12627741485403224,1.0039713274330964,243,243,243,485973,485973,483707,483707,1.0,0.9953371895146438,0.9953371895146438,0.9953371895146438,1.0,,
2020,C,201,0.10051892455480638,0.6905828650694639,243,243,243,485973,485973,483707,483707,1.0,0.9953371895146438,0.9953371895146438,0.9953371895146438,1.0,,
2020,H,358,0.11562176582522662,0.84158183986617,243,243,243,485973,485973,483707,483707,1.0,0.9953371895146438,0.9953371895146438,0.9953371895146438,1.0,,
2021,B,494,0.10183423923673479,0.7698755962953568,243,243,243,485981,485981,484536,484536,1.0,0.99702663272844,0.99702663272844,0.99702663272844,1.0,,
2021,S,332,0.10681374909631793,0.712731602604079,243,243,243,485981,485981,484536,484536,1.0,0.99702663272844,0.99702663272844,0.99702663272844,1.0,,
2021,R,218,0.1013332222368209,0.7661572040167087,243,243,243,485981,485981,484536,484536,1.0,0.99702663272844,0.99702663272844,0.99702663272844,1.0,,
2021,C,201,0.11133425176446737,0.8870144549894261,243,243,243,485981,485981,484536,484536,1.0,0.99702663272844,0.99702663272844,0.99702663272844,1.0,,
2021,H,358,0.11356177642632838,0.8723128072263032,243,243,243,485981,485981,484536,484536,1.0,0.99702663272844,0.99702663272844,0.99702663272844,1.0,,
2022,B,494,0.125366365039483,1.0974486692759642,242,242,242,483983,483983,482502,482502,1.0,0.9969399751644169,0.9969399751644169,0.9969399751644169,1.0,,
2022,S,332,0.13628180688019326,1.2043239572063242,242,242,242,483983,483983,482502,482502,1.0,0.9969399751644169,0.9969399751644169,0.9969399751644169,1.0,,
2022,R,218,0.12578455074042355,1.065495076374505,242,242,242,483983,483983,482502,482502,1.0,0.9969399751644169,0.9969399751644169,0.9969399751644169,1.0,,
2022,C,201,0.142342616496955,1.450719953527251,242,242,242,483983,483983,482502,482502,1.0,0.9969399751644169,0.9969399751644169,0.9969399751644169,1.0,,
2022,H,358,0.1360401111621225,1.3378622882995632,242,242,242,483983,483983,482502,482502,1.0,0.9969399751644169,0.9969399751644169,0.9969399751644169,1.0,,
2023,B,494,0.11176604241769342,0.6844803917318311,221,242,221,483926,441926,441148,441148,1.0,0.9982395242642433,0.9116021871112525,0.9982395242642433,1.0,,
2023,S,332,0.11418163824328725,0.6669332303606992,221,242,221,483926,441926,441148,441148,1.0,0.9982395242642433,0.9116021871112525,0.9982395242642433,1.0,,
2023,R,218,0.11072865342229835,0.6691590880516074,221,242,221,483926,441926,441148,441148,1.0,0.9982395242642433,0.9116021871112525,0.9982395242642433,1.0,,
2023,C,201,0.11742369444219967,0.7499157939080316,221,242,221,483926,441926,441148,441148,1.0,0.9982395242642433,0.9116021871112525,0.9982395242642433,1.0,,
2023,H,358,0.10907671880640998,0.7092120292408008,221,242,221,483926,441926,441148,441148,1.0,0.9982395242642433,0.9116021871112525,0.9982395242642433,1.0,,
2015-2017,B,494,0.17679455933302596,1.5747023831976195,732,732,732,1463993,1463993,1302648,1302648,1.0,0.8897911397117336,0.8897911397117336,0.8897911397117336,1.0,,
2015-2017,S,332,0.16928485727047968,1.3976393122030102,732,732,732,1463993,1463993,1302648,1302648,1.0,0.8897911397117336,0.8897911397117336,0.8897911397117336,1.0,,
2015-2017,R,218,0.17944296164856055,1.6044390289195785,732,732,732,1463993,1463993,1302648,1302648,1.0,0.8897911397117336,0.8897911397117336,0.8897911397117336,1.0,,
2015-2017,C,201,0.16704078105997247,1.0814600459869566,732,732,732,1463993,1463993,1302648,1302648,1.0,0.8897911397117336,0.8897911397117336,0.8897911397117336,1.0,,
2015-2017,H,358,0.1789212502247533,1.1859657740584744,732,732,732,1463993,1463993,1302648,1302648,1.0,0.8897911397117336,0.8897911397117336,0.8897911397117336,1.0,,
2018-2020,B,494,0.12647267339379076,1.0352820099139035,730,730,730,1459941,1459941,1434105,1434105,1.0,0.9823033944522416,0.9823033944522416,0.9823033944522416,1.0,,
2018-2020,S,332,0.11197984402398738,0.920671761565618,730,730,730,1459941,1459941,1434105,1434105,1.0,0.9823033944522416,0.9823033944522416,0.9823033944522416,1.0,,
2018-2020,R,218,0.12683006106203384,1.0392323639964982,730,730,730,1459941,1459941,1434105,1434105,1.0,0.9823033944522416,0.9823033944522416,0.9823033944522416,1.0,,
2018-2020,C,201,0.11720257506273615,0.9168033174092333,730,730,730,1459941,1459941,1434105,1434105,1.0,0.9823033944522416,0.9823033944522416,0.9823033944522416,1.0,,
2018-2020,H,358,0.12177675098924093,0.9551230068744672,730,730,730,1459941,1459941,1434105,1434105,1.0,0.9823033944522416,0.9823033944522416,0.9823033944522416,1.0,,
2021-2023,B,494,0.11300945587590888,0.8223968338033792,706,727,706,1453890,1411890,1408186,1408186,1.0,0.9973765661630863,0.9685643343031454,0.9973765661630863,1.0,,
2021-2023,S,332,0.11922107697900637,0.8150828744997813,706,727,706,1453890,1411890,1408186,1408186,1.0,0.9973765661630863,0.9685643343031454,0.9973765661630863,1.0,,
2021-2023,R,218,0.11265561853974208,0.8084451194442605,706,727,706,1453890,1411890,1408186,1408186,1.0,0.9973765661630863,0.9685643343031454,0.9973765661630863,1.0,,
2021-2023,C,201,0.1238693666327972,0.9633238338160325,706,727,706,1453890,1411890,1408186,1408186,1.0,0.9973765661630863,0.9685643343031454,0.9973765661630863,1.0,,
2021-2023,H,358,0.11986285188250433,0.9227395709375119,706,727,706,1453890,1411890,1408186,1408186,1.0,0.9973765661630863,0.9685643343031454,0.9973765661630863,1.0,,
