source,target,edge_type
configs/alpha158_expression_adapter_v1.yaml,outputs/factor_catalog_alpha158_v1/alpha158_formula_inventory.csv,yaml_path
configs/alpha158_portfolio_diagnostics_recent_oos_v1.yaml,configs/alpha158_candidate_portfolio_smoke_recent_oos_v1.yaml,yaml_path
configs/alpha158_portfolio_diagnostics_v1.yaml,configs/alpha158_candidate_portfolio_smoke_v1.yaml,yaml_path
configs/alpha360_expression_adapter_batch358_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_catalog_batch_candidate358.yaml,yaml_path
configs/alpha360_expression_adapter_batch358_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_formula_inventory.csv,yaml_path
configs/alpha360_expression_adapter_smoke_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_catalog_smoke.yaml,yaml_path
configs/alpha360_expression_adapter_smoke_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_formula_inventory.csv,yaml_path
configs/alpha360_expression_adapter_strict_oos_recent_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_catalog_promoted358.yaml,yaml_path
configs/alpha360_expression_adapter_strict_oos_recent_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_formula_inventory.csv,yaml_path
configs/alpha360_factor_batch_catalogs_v1.yaml,configs/alpha360_expression_adapter_batch358_v1.yaml,yaml_path
configs/alpha360_factor_batch_catalogs_v1.yaml,configs/alpha360_factor_evaluation_batch_base_v1.yaml,yaml_path
configs/alpha360_factor_batch_catalogs_v1.yaml,configs/factor_evaluation_batch_v1_alpha360_candidate358.yaml,yaml_path
configs/alpha360_factor_batch_catalogs_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_batch_catalog_audit.csv,yaml_path
configs/alpha360_factor_batch_catalogs_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_batch_catalog_report.md,yaml_path
configs/alpha360_factor_batch_catalogs_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_catalog_adapter_holdout2.yaml,yaml_path
configs/alpha360_factor_batch_catalogs_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_catalog_all.yaml,yaml_path
configs/alpha360_factor_batch_catalogs_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_catalog_batch_candidate358.yaml,yaml_path
configs/alpha360_factor_batch_catalogs_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_catalog_combined360.yaml,yaml_path
configs/alpha360_factor_batch_promotion_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_batch_promotion_audit.csv,yaml_path
configs/alpha360_factor_batch_promotion_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_batch_promotion_report.md,yaml_path
configs/alpha360_factor_batch_promotion_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_catalog_adapter_holdout2.yaml,yaml_path
configs/alpha360_factor_batch_promotion_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_catalog_batch_candidate358.yaml,yaml_path
configs/alpha360_factor_batch_promotion_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_catalog_batch_passed358.yaml,yaml_path
configs/alpha360_factor_batch_promotion_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_catalog_holdout2.yaml,yaml_path
configs/alpha360_factor_batch_promotion_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_catalog_promoted358.yaml,yaml_path
configs/alpha360_factor_batch_promotion_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_catalog_v4_holdout0.yaml,yaml_path
configs/alpha360_factor_batch_promotion_v1.yaml,outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/alpha360_candidate358_metric_index.csv,yaml_path
configs/alpha360_factor_evaluation_batch_base_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_catalog_batch_candidate358.yaml,yaml_path
configs/alpha360_factor_evaluation_strict_oos_recent_base_v1.yaml,outputs/factor_catalog_alpha360_v1/alpha360_catalog_promoted358.yaml,yaml_path
configs/alpha360_strict_oos_extension_audit_v1.yaml,outputs/alpha360_expression_frame_v1/strict_oos_recent_2024_2026/expression_frame_summary.csv,yaml_path
