datetime,instrument_count,can_buy_count,can_sell_count,can_buy_rate,can_sell_rate,avg_tradability_score,suspended_count,limit_up_count,limit_down_count,low_liquidity_count,core_missing_count
2021-07-23,1967,1148,1954,0.5836298932384342,0.9933909506863243,89.04168784951703,6,28,6,785,6
2021-07-26,1967,1158,1937,0.5887137773258769,0.9847483477376716,88.83833248601933,5,19,23,785,5
2021-07-27,1967,1170,1922,0.5948144382308084,0.9771225216065074,88.86883579054397,5,7,39,785,5
2021-07-28,1967,1163,1934,0.5912557193695984,0.9832231825114387,89.04168784951703,4,14,28,785,4
2021-07-29,1967,1125,1962,0.5719369598373157,0.9974580579562786,88.80274529740721,4,55,1,785,4
2021-07-30,1967,1137,1956,0.5780376207422471,0.9944077275038129,88.9069649211998,4,42,7,785,4
2021-08-02,1967,1131,1955,0.5749872902897813,0.9938993390950687,88.76207422470767,4,48,8,785,4
2021-08-03,1967,1158,1947,0.5887137773258769,0.9898322318251144,89.16370106761566,5,19,15,785,5
2021-08-04,1967,1127,1961,0.5729537366548043,0.9969496695475343,88.77732587697001,4,53,1,785,4
2021-08-05,1967,1157,1960,0.5882053889171327,0.99644128113879,89.35434672089477,4,22,3,785,4
2021-08-06,1967,1143,1963,0.5810879511947128,0.9979664463650229,89.12811387900356,3,37,0,786,3
2021-08-09,1967,1149,1958,0.5841382816471784,0.9954245043213015,89.06202338586681,5,30,4,785,5
2021-08-10,1967,1147,1957,0.5831215048296898,0.9949161159125572,89.11286222674123,3,30,5,786,3
2021-08-11,1967,1129,1961,0.5739705134722929,0.9969496695475343,88.84341637010677,4,50,2,785,4
2021-08-12,1967,1141,1960,0.5800711743772242,0.99644128113879,89.06456532791053,4,37,2,785,4
2021-08-13,1967,1150,1961,0.5846466700559227,0.9969496695475343,89.30096593797661,3,27,2,786,3
2021-08-16,1967,1156,1951,0.5876970005083884,0.9918657854600915,89.10269445856635,4,26,12,785,4
2021-08-17,1967,1171,1949,0.5953228266395526,0.990849008642603,89.4178952719878,3,9,14,786,3
2021-08-18,1967,1148,1960,0.5836298932384342,0.99644128113879,89.133197763091,4,31,3,785,4
2021-08-19,1967,1160,1958,0.5897305541433655,0.9954245043213015,89.4178952719878,4,18,4,785,4
2021-08-20,1967,1150,1953,0.5846466700559227,0.9928825622775801,89.21199796644636,2,28,10,786,2
2021-08-23,1967,1129,1962,0.5739705134722929,0.9974580579562786,88.85612608032537,4,52,1,785,4
2021-08-24,1967,1152,1962,0.5856634468734113,0.9974580579562786,89.30350788002033,2,29,1,786,2
2021-08-25,1967,1137,1961,0.5780376207422471,0.9969496695475343,89.04422979156075,3,41,3,786,3
2021-08-26,1967,1151,1956,0.585155058464667,0.9944077275038129,89.22979156075242,3,26,7,786,3
2021-08-27,1967,1135,1955,0.5770208439247585,0.9938993390950687,88.92475851550584,2,44,9,786,2
2021-08-30,1967,1142,1955,0.5805795627859685,0.9938993390950687,88.932384341637,4,39,8,785,4
2021-08-31,1967,1126,1952,0.57244534824606,0.9923741738688358,88.64514489069649,5,52,10,785,5
2021-09-01,1967,1151,1917,0.585155058464667,0.974580579562786,88.3960345704118,5,31,45,785,5
2021-09-02,1966,1122,1960,0.5707019328585962,0.9969481180061037,88.72583926754832,6,55,0,784,6
2021-09-03,1966,1152,1942,0.5859613428280773,0.987792472024415,88.86571719226856,6,28,18,784,6
2021-09-06,1966,1148,1951,0.5839267548321465,0.9923702950152594,89.0030518819939,7,28,8,784,7
2021-09-07,1966,1118,1959,0.5686673448626653,0.996439471007121,88.61139369277721,6,62,0,784,6
2021-09-08,1966,1131,1959,0.5752797558494405,0.996439471007121,88.65971515768057,7,49,0,784,7
2021-09-09,1966,1136,1958,0.5778229908443541,0.9959308240081384,88.84282807731434,6,44,1,784,6
2021-09-10,1966,1150,1958,0.5849440488301119,0.9959308240081384,89.07171922685656,6,29,2,784,6
2021-09-13,1966,1123,1958,0.5712105798575788,0.9959308240081384,88.73346897253306,4,53,2,785,4
2021-09-14,1966,1147,1957,0.5834181078331638,0.9954221770091557,89.14547304170905,3,32,5,785,3
2021-09-15,1966,1136,1962,0.5778229908443541,0.9979654120040692,89.10732451678535,3,42,0,785,3
2021-09-16,1966,1160,1938,0.590030518819939,0.9857578840284842,88.98779247202441,6,16,22,784,6
2021-09-17,1966,1160,1948,0.590030518819939,0.9908443540183113,89.11241098677517,7,16,11,784,7
2021-09-22,1966,1124,1954,0.5717192268565615,0.9938962360122076,88.5350966429298,9,52,3,783,9
2021-09-23,1966,1142,1945,0.5808748728382502,0.9893184130213631,88.69023397761953,10,34,10,783,10
2021-09-24,1966,1158,1912,0.5890132248219736,0.9725330620549338,88.47914547304171,10,15,42,783,10
2021-09-27,1966,1153,1842,0.58646998982706,0.9369277721261444,87.11851475076297,12,18,111,782,12
2021-09-28,1966,1139,1940,0.5793489318413021,0.9867751780264497,88.63936927772126,11,31,12,782,11
2021-09-29,1966,1164,1914,0.5920651068158698,0.9735503560528993,88.60630722278738,10,7,40,783,10
2021-09-30,1966,1144,1953,0.5818921668362157,0.9933875890132248,88.96998982706002,11,28,1,782,11
2021-10-08,1966,1145,1946,0.5824008138351984,0.9898270600203459,88.80213631739572,8,35,9,783,8
2021-10-11,1966,1152,1940,0.5859613428280773,0.9867751780264497,88.92166836215667,7,23,17,784,7
2021-10-12,1966,1163,1948,0.5915564598168871,0.9908443540183113,89.25483214649033,5,13,11,785,5
2021-10-13,1966,1157,1938,0.5885045778229908,0.9857578840284842,89.01576805696847,5,19,23,785,5
2021-10-14,1966,1142,1958,0.5808748728382502,0.9959308240081384,89.04374364191251,5,34,3,785,5
2021-10-15,1966,1160,1946,0.590030518819939,0.9898270600203459,89.21159715157681,5,16,15,785,5
2021-10-18,1966,1138,1953,0.5788402848423194,0.9933875890132248,88.91149542217701,4,41,8,785,4
2021-10-19,1966,1148,1959,0.5839267548321465,0.996439471007121,89.1709053916582,5,29,2,785,5
2021-10-20,1966,1158,1952,0.5890132248219736,0.9928789420142421,89.12512716174975,4,20,9,785,4
2021-10-21,1966,1163,1962,0.5915564598168871,0.9979654120040692,89.5116988809766,3,17,0,785,3
2021-10-22,1966,1163,1957,0.5915564598168871,0.9954221770091557,89.3997965412004,4,16,5,785,4
2021-10-25,1966,1148,1957,0.5839267548321465,0.9954221770091557,89.12004069175993,7,28,2,784,7
2021-10-26,1966,1161,1957,0.5905391658189216,0.9954221770091557,89.33367243133266,7,16,2,784,7
2021-10-27,1966,1159,1953,0.5895218718209563,0.9933875890132248,89.25991861648016,7,16,5,784,7
2021-10-28,1966,1165,1936,0.5925737538148524,0.9847405900305188,89.14801627670397,4,11,23,785,4
2021-10-29,1966,1153,1959,0.58646998982706,0.996439471007121,89.2675483214649,4,26,3,785,4
2021-11-01,1966,1149,1958,0.5844354018311292,0.9959308240081384,89.1734486266531,4,29,3,785,4
2021-11-02,1966,1162,1951,0.5910478128179044,0.9923702950152594,89.31332655137335,3,16,11,785,3
2021-11-03,1966,1162,1961,0.5910478128179044,0.9974567650050865,89.529501525941,4,15,1,785,4
2021-11-04,1966,1143,1962,0.5813835198372329,0.9979654120040692,89.10478128179044,4,37,0,785,4
2021-11-05,1966,1156,1947,0.5879959308240081,0.9903357070193286,89.14292980671414,4,21,15,785,4
2021-11-08,1966,1150,1959,0.5849440488301119,0.996439471007121,89.28535096642929,3,29,3,785,3
2021-11-09,1966,1151,1958,0.5854526958290946,0.9959308240081384,89.2090539165819,6,27,2,784,6
2021-11-10,1966,1163,1958,0.5915564598168871,0.9959308240081384,89.48372329603255,6,12,1,784,6
2021-11-11,1966,1143,1960,0.5813835198372329,0.9969481180061037,89.02594099694812,6,37,0,784,6
2021-11-12,1966,1138,1960,0.5788402848423194,0.9969481180061037,89.03357070193286,5,37,0,785,5
2021-11-15,1966,1160,1949,0.590030518819939,0.991353001017294,89.10223804679552,5,20,12,785,5
2021-11-16,1966,1156,1958,0.5879959308240081,0.9959308240081384,89.26246185147508,5,24,3,785,5
2021-11-17,1966,1132,1959,0.5757884028484231,0.996439471007121,88.9292980671414,5,44,0,785,5
2021-11-18,1966,1152,1958,0.5859613428280773,0.9959308240081384,89.33367243133266,3,24,3,785,3
2021-11-19,1966,1145,1962,0.5824008138351984,0.9979654120040692,89.16327568667344,3,35,1,785,3
