datetime,instrument,alpha158_ROC10,alpha158_ROC30,alpha158_ROC60,alpha158_MIN5,alpha158_MIN10,alpha158_MIN30,alpha158_MIN60,alpha158_QTLD10,alpha158_QTLD30,alpha158_QTLD60,alpha158_IMIN20,alpha158_IMIN30,alpha158_IMIN60,alpha158_VSUMN60
2024-03-14,SH600000,1.0155423,0.95309937,0.95309937,0.9985796,0.9985796,0.951659,0.903389,1.0033644,0.97811306,0.9346316,0.05,0.033333335,0.43333334,0.4986815
2024-03-15,SH600000,1.0028143,0.9548797,0.9464367,0.9915374,0.9915374,0.94784945,0.8970738,0.9963504,0.9729459,0.928098,0.05,0.2,0.41666666,0.49928755
2024-03-18,SH600000,0.99718565,0.96895146,0.936541,0.9915374,0.9915374,0.94784945,0.8970738,0.9986019,0.9777212,0.928098,0.95,0.16666667,0.4,0.49475172
2024-03-19,SH600000,1.0213938,0.9842989,0.93719584,1.0,1.0,0.95864123,0.9072875,1.0043154,0.9922688,0.9386649,1.0,0.13333334,0.38333333,0.50864613
2024-03-20,SH600000,1.0128181,0.9715254,0.9360007,0.9928877,0.9928877,0.95592034,0.9047123,1.001172,0.9945614,0.93709946,1.0,0.1,0.36666667,0.50638545
2024-03-21,SH600000,1.0056205,0.96192557,0.9239416,0.98307675,0.98307675,0.9464747,0.8957727,0.9912791,0.98701847,0.9281118,0.95,0.06666667,0.35,0.48204604
2024-03-22,SH600000,1.0113367,0.9658987,0.9275005,0.9886364,0.9886364,0.9545221,0.903389,0.99970746,0.99797046,0.936003,1.0,0.033333335,0.33333334,0.487127
2024-03-25,SH600000,1.0070199,0.9688212,0.9305315,0.98584235,0.98584235,0.9575184,0.9008359,0.99688214,0.99688214,0.9333577,0.95,0.033333335,0.31666666,0.5028615
2024-03-26,SH600000,0.993068,0.96371984,0.92032766,0.973506,0.973506,0.95386183,0.8895632,0.9844076,0.9846957,0.92283034,0.9,0.1,0.3,0.49117878
2024-03-27,SH600000,0.9818671,0.97621185,0.917684,0.97070956,0.97070956,0.9511218,0.8870079,0.98157984,0.9818671,0.9204668,0.85,0.06666667,0.28333333,0.477641
2024-03-28,SH600000,0.9818671,0.9678635,0.91490126,0.97070956,0.97070956,0.9511218,0.8870079,0.98157984,0.9840933,0.921544,0.8,0.033333335,0.26666668,0.48276833
2024-03-29,SH600000,0.9944028,0.9761668,0.92570186,0.98323697,0.9762304,0.9748018,0.8920527,0.98716253,0.99133337,0.92821157,0.75,0.033333335,0.25,0.50021267
2024-04-01,SH600000,0.9805929,0.984777,0.9238849,0.97780776,0.9626729,0.9626729,0.8796642,0.97345316,0.9775661,0.91532093,0.7,0.8,0.23333333,0.4990824
2024-04-02,SH600000,0.96423197,0.97662675,0.91057986,0.9779485,0.9573886,0.9573886,0.8748356,0.9705887,0.9722001,0.91029656,0.65,0.76666665,0.21666667,0.49903068
2024-04-03,SH600000,0.9723137,1.0013353,0.912846,0.9833462,0.9626729,0.9626729,0.8796642,0.98091334,0.9775661,0.9156058,0.6,0.73333335,0.2,0.49760464
2024-04-08,SH600000,0.97533154,0.990451,0.9121132,0.97665155,0.9561189,0.9561189,0.87367535,0.977489,0.9709107,0.90937227,0.55,0.7,0.18333334,0.48911464
2024-04-09,SH600000,0.9697668,1.0027485,0.9118716,0.9835243,0.96562785,0.9587468,0.87607664,0.98428947,0.9735793,0.91846794,0.5,0.6666667,0.16666667,0.5063746
2024-04-10,SH600000,0.97113764,0.97662675,0.9188136,0.98894894,0.9724404,0.9573886,0.8748356,0.9857105,0.9722001,0.9204958,0.45,0.6333333,0.15,0.5167273
2024-04-11,SH600000,0.9875534,0.98621976,0.9102063,0.99308133,0.9820349,0.9613891,0.87849116,0.99039835,0.9762625,0.933446,0.4,0.6,0.13333334,0.5093055
2024-04-12,SH600000,1.0056875,0.99584717,0.9270561,0.99859744,0.9971949,0.9762304,0.8920527,1.00455,0.99133337,0.95292944,0.35,0.56666666,0.11666667,0.49841908
2024-04-15,SH600000,0.98227674,0.9794551,0.90000886,0.9753426,0.9739819,0.9535054,0.8712872,0.987726,0.96825683,0.9348206,0.3,0.53333336,0.1,0.4802758
2024-04-16,SH600000,0.98209065,0.9793422,0.8994592,0.98070395,0.98070395,0.9587468,0.87607664,0.9959217,0.9735793,0.940775,0.25,0.5,0.083333336,0.4967274
2024-04-17,SH600000,0.9850053,0.9631709,0.8855665,0.96995443,0.96995443,0.9482379,0.8664739,0.9860575,0.96508247,0.93158543,0.2,0.46666667,0.06666667,0.4935097
2024-04-18,SH600000,0.9918335,0.97681767,0.8881278,0.9713171,0.9713171,0.9495701,0.8676913,0.9874429,0.96643835,0.93640673,0.15,0.43333334,0.05,0.48615548
2024-04-19,SH600000,0.9850053,0.9700105,0.89775527,0.96995443,0.96995443,0.9482379,0.8664739,0.9884953,0.96508247,0.93814456,0.1,0.4,0.033333335,0.5118817
2024-04-22,SH600000,0.99858725,0.9794278,0.8957266,0.9849383,0.9766342,0.9547682,0.8724411,0.9953028,0.97172874,0.9462299,0.05,0.36666667,0.016666668,0.51216453
2024-04-23,SH600000,0.98903894,0.9700105,0.8937215,0.9782017,0.96995443,0.9482379,0.8814076,0.9884953,0.96508247,0.9443704,0.05,0.33333334,0.016666668,0.52395
