event_id,datetime,instrument,side,requested_shares,executed_shares,unfilled_shares,base_price,fill_price,gross_value,status,reason,commission,stamp_tax,slippage_cost,cash_fee,implementation_cost,split_id
event_000011,2024-08-02,SZ000736,buy,24200.000000000004,5800.0,18400.000000000004,8.0,8.008,46446.399999999994,partial,cash_volume_or_lot,13.933919999999997,0.0,46.39999999999489,13.933919999999997,60.33391999999489,split_001
event_000012,2024-08-02,SZ000895,buy,8500.0,4200.0,4300.0,22.730001298133665,22.752731299431794,95561.47145761354,partial,cash_volume_or_lot,28.66844143728406,0.0,95.46600545214119,28.66844143728406,124.13444688942525,split_001
event_000013,2024-08-02,SH603296,buy,3900.0,600.0,3300.0,49.30999901072522,49.35930900973594,29615.585405841564,partial,cash_volume_or_lot,8.884675621752468,0.0,29.58599940643012,8.884675621752468,38.47067502818258,split_001
event_000014,2024-08-02,SZ301558,buy,23400.0,2100.0,21300.0,8.269999363340476,8.278269362703815,17384.36566167801,partial,cash_volume_or_lot,5.215309698503402,0.0,17.366998663012012,5.215309698503402,22.582308361515416,split_001
event_000015,2024-08-02,SH600298,buy,6600.0,1800.0,4800.0,29.36999842685083,29.39936842527768,52918.863165499824,partial,cash_volume_or_lot,15.875658949649946,0.0,52.86599716832612,15.875658949649946,68.74165611797606,split_001
event_000016,2024-08-02,SZ002308,buy,261900.0,700.0,261200.0,0.739999953048254,0.7407399530013022,518.5179671009116,partial,cash_volume_or_lot,5.0,0.0,0.517999967133731,5.0,5.517999967133731,split_001
event_000017,2024-08-02,SH601022,buy,22200.0,4300.0,17900.0,8.710000204702622,8.718710204907323,37490.45388110149,partial,cash_volume_or_lot,11.247136164330447,0.0,37.45300088021395,11.247136164330447,48.7001370445444,split_001
event_000018,2024-08-02,SH603833,buy,4400.0,1200.0,3200.0,43.99000085195833,44.033990852810284,52840.78902337234,partial,cash_volume_or_lot,15.8522367070117,0.0,52.788001022346975,15.8522367070117,68.64023772935867,split_001
event_000019,2024-08-02,SZ002353,buy,6200.0,2300.0,3900.0,31.0000018864899,31.031001888376387,71371.3043432657,partial,cash_volume_or_lot,21.41139130297971,0.0,71.3000043389183,21.41139130297971,92.71139564189801,split_001
event_000020,2024-08-02,SH601233,buy,14299.999999999998,8400.0,5899.999999999998,13.549999982626819,13.563549982609445,113933.81985391933,partial,cash_volume_or_lot,34.18014595617579,0.0,113.81999985405713,34.18014595617579,148.00014581023294,split_001
event_000021,2024-08-02,SH601021,buy,3600.0,1300.0,2300.0,53.60999793654726,53.66360793448381,69762.69031482894,partial,cash_volume_or_lot,20.92880709444868,0.0,69.69299731751164,20.92880709444868,90.62180441196031,split_001
event_000022,2024-08-02,SH603363,buy,50000.0,7999.999999999999,42000.0,3.8699997932995136,3.8738697930928123,30990.958344742496,partial,cash_volume_or_lot,9.297287503422748,0.0,30.959998346389735,9.297287503422748,40.25728584981248,split_001
event_000023,2024-08-02,SZ300442,buy,8800.0,4000.0000000000005,4800.0,21.91000015987153,21.931910160031396,87727.6406401256,partial,cash_volume_or_lot,26.318292192037678,0.0,87.64000063946754,26.318292192037678,113.95829283150522,split_001
event_000024,2024-08-02,SH600248,buy,54000.0,4000.0,50000.0,3.5899999128212077,3.5935899127340285,14374.359650936114,partial,cash_volume_or_lot,5.0,0.0,14.359999651283317,5.0,19.359999651283317,split_001
event_000025,2024-08-02,SH600777,buy,108899.99999999999,12999.999999999998,95899.99999999999,1.7799998859504227,1.781779885836373,23163.138515872844,partial,cash_volume_or_lot,6.948941554761853,0.0,23.139998517353042,6.948941554761853,30.088940072114895,split_001
event_000026,2024-08-02,SH600256,buy,32300.0,15899.999999999998,16400.0,6.000000188891356,6.006000189080247,95495.40300637591,partial,cash_volume_or_lot,28.64862090191277,0.0,95.40000300336543,28.64862090191277,124.04862390527819,split_001
event_000027,2024-08-02,SZ002548,buy,51000.0,8200.0,42800.0,3.7999999315479673,3.803799931479515,31191.159438132025,partial,cash_volume_or_lot,9.357347831439606,0.0,31.1599994386909,9.357347831439606,40.51734727013051,split_001
event_000028,2024-08-02,SZ002594,buy,800.0,800.0,0.0,241.9900090127617,242.23199902177447,193785.59921741957,filled,,58.135679765225866,0.0,193.59200721021352,58.135679765225866,251.72768697543938,split_001
event_000029,2024-08-02,SZ002311,buy,4600.0,2100.0,2500.0,41.84999920792533,41.891849207133255,87972.88333497984,partial,cash_volume_or_lot,26.391865000493947,0.0,87.88499833664503,26.391865000493947,114.27686333713898,split_001
event_000030,2024-08-02,SH601866,buy,79700.0,18100.0,61600.0,2.429999846969903,2.4324298468168726,44026.98022738539,partial,cash_volume_or_lot,13.208094068215617,0.0,43.982997230147134,13.208094068215617,57.19109129836275,split_001
event_000031,2024-08-02,SZ000001,buy,18900.0,18900.0,0.0,10.220000441905231,10.230220442347134,193351.16636036086,filled,,58.00534990810825,0.0,193.15800835196396,58.00534990810825,251.16335826007221,split_001
event_000032,2024-08-02,SZ300083,buy,34600.0,14600.0,20000.0,5.599999901617386,5.605599901519002,81841.75856217743,partial,cash_volume_or_lot,24.55252756865323,0.0,81.75999856360451,24.55252756865323,106.31252613225774,split_001
event_000033,2024-08-02,SH600606,buy,136500.0,20300.0,116200.0,1.4199999738507743,1.4214199738246247,28854.825468639883,partial,cash_volume_or_lot,8.656447640591963,0.0,28.82599946916413,8.656447640591963,37.482447109756095,split_001
event_000034,2024-08-02,SZ001896,buy,51400.0,4500.0,46900.0,3.769999995774588,3.7737699957703623,16981.96498096663,partial,cash_volume_or_lot,5.0945894942899885,0.0,16.96499998098444,5.0945894942899885,22.05958947527443,split_001
event_000035,2024-08-02,SH601872,buy,25300.0,11800.0,13500.0,7.649999948584785,7.6576499485333684,90360.26939269375,partial,cash_volume_or_lot,27.108080817808123,0.0,90.26999939328277,27.108080817808123,117.37808021109089,split_001
event_000036,2024-08-02,SH600711,buy,45100.0,1000.0,44100.0,4.2899998202961465,4.294289820116442,4294.289820116443,partial,cash_volume_or_lot,5.0,0.0,4.289999820295876,5.0,9.289999820295876,split_001
event_000037,2024-08-02,SZ002966,buy,27100.0,12100.0,15000.0,7.149999876909427,7.157149876786335,86601.51350911465,partial,cash_volume_or_lot,25.980454052734395,0.0,86.51499851058153,25.980454052734395,112.49545256331592,split_001
event_000038,2024-08-02,SH601166,buy,11600.0,11600.0,0.0,16.600001430244326,16.616601431674567,192752.576607425,filled,,57.82577298222749,0.0,192.560016590798,57.82577298222749,250.38578957302548,split_001
event_000039,2024-08-02,SZ002197,buy,53100.0,8000.0,45100.0,3.6499996987438528,3.6536496984425963,29229.19758754077,partial,cash_volume_or_lot,8.76875927626223,0.0,29.199997589948623,8.76875927626223,37.96875686621085,split_001
event_000040,2024-08-02,SH603556,buy,4600.0,999.9999999999999,3600.0,41.47999842842561,41.52147842685403,41521.47842685403,partial,cash_volume_or_lot,12.456443528056209,0.0,41.47999842842153,12.456443528056209,53.936441956477736,split_001
event_000041,2024-08-02,SZ000069,buy,95900.0,20600.0,75300.0,2.020000008112804,2.0220200081209163,41653.61216729088,partial,cash_volume_or_lot,12.496083650187263,0.0,41.61200016711817,12.496083650187263,54.10808381730543,split_001
event_000042,2024-08-02,SH603128,buy,35000.0,7100.0,27900.0,5.5299998968569914,5.5355298967538475,39302.26226695232,partial,cash_volume_or_lot,11.790678680085694,0.0,39.26299926767829,11.790678680085694,51.05367794776399,split_001
event_000043,2024-08-02,SH688223,buy,27300.0,17800.0,9500.0,7.090000215557744,7.0970902157733,126328.20584076476,partial,cash_volume_or_lot,37.89846175222942,0.0,126.20200383690178,37.89846175222942,164.1004655891312,split_001
event_000044,2024-08-02,SZ000413,buy,352500.0,800.0,351700.0,0.5499999882475195,0.550549988235767,440.43999058861357,partial,cash_volume_or_lot,5.0,0.0,0.43999999059796124,5.0,5.439999990597961,split_001
event_000045,2024-08-02,SZ000514,buy,61700.0,6900.000000000001,54800.0,3.139999985290581,3.143139985275871,21687.665898403513,partial,cash_volume_or_lot,6.506299769521053,0.0,21.665999898498846,6.506299769521053,28.1722996680199,split_001
event_000046,2024-08-02,SH601838,buy,13300.0,6100.0,7200.0,14.480000869223737,14.494480870092959,88416.33330756705,partial,cash_volume_or_lot,26.524899992270115,0.0,88.3280053022533,26.524899992270115,114.85290529452342,split_001
event_000047,2024-08-02,SH600233,buy,13800.0,2500.0,11300.0,13.979999772414809,13.993979772187222,34984.949430468056,partial,cash_volume_or_lot,10.495484829140416,0.0,34.94999943103316,10.495484829140416,45.44548426017358,split_001
event_000048,2024-08-02,SH688248,buy,7200.0,1200.0,6000.0,26.849999220373327,26.876849219593698,32252.21906351244,partial,cash_volume_or_lot,9.67566571905373,0.0,32.21999906444495,9.67566571905373,41.89566478349868,split_001
event_000049,2024-08-02,SH688122,buy,5200.0,2200.0,3000.0,37.24999944737825,37.287249446825626,82031.94878301637,partial,cash_volume_or_lot,24.60958463490491,0.0,81.94999878422635,24.60958463490491,106.55958341913126,split_001
event_000050,2024-08-05,SH600036,sell,5900.011758200217,5900.011758200217,0.0,32.19999934968157,32.16779935033189,189790.39440238342,filled,,56.93711832071502,189.7903944023834,189.9803747771447,246.72751272309844,436.70788750024315,split_001
