datetime,nav,return,total_turnover,turnover,total_cost,cost,value,cash,bench,calendar_complete,stock_value,accounting_error,split_id
2025-06-13,8822370.824573739,-0.009843322343210068,773611857.3384029,1.0251071367057445,617402.5320435936,0.0008293866622909323,7050556.780463915,1771814.0441098234,0.0,True,7050556.780463915,0.0,split_002
2025-06-16,8863790.162317812,0.00541422342441703,780905363.7658118,0.8267059470107149,623749.4810768202,0.0007194153543793308,6101264.7917064605,2762525.370611353,0.0,True,6101264.79170646,0.0,split_002
2025-06-17,8865207.953370444,0.0007732091550811568,787684655.9758499,0.7648299526379282,629185.2537264106,0.0006132560169011243,6110801.388307542,2754406.565062903,0.0,True,6110801.388307542,0.0,split_002
2025-06-18,8878859.433148427,0.0021698130038014323,794955502.0958341,0.8201551681841802,634769.6174470552,0.0006299190893228293,6669545.710064976,2209313.723083452,0.0,True,6669545.710064978,-2.7939677238464355e-09,split_002
2025-06-19,8752983.0097852,-0.013329771219078334,803848626.4340407,1.0016066145843965,642292.8758800585,0.00084732261949276,5791711.786885312,2961271.2228998877,0.0,True,5791711.786885315,-2.7939677238464355e-09,split_002
2025-06-20,8684345.945487171,-0.007232602493586439,810602894.280126,0.7716532567850901,647623.0934351945,0.0006089601167027467,5946148.19776969,2738197.747717482,0.0,True,5946148.197769692,-2.7939677238464355e-09,split_002
2025-06-23,8730066.769296154,0.005879760155458574,816803154.3869637,0.7139582123694325,652964.1408927052,0.0006150201167753114,5309655.0854562605,3420411.683839895,0.0,True,5309655.0854562605,-9.313225746154785e-10,split_002
2025-06-24,8870166.21676548,0.01655860740749695,823085235.156474,0.7195913771936421,657422.4416973897,0.0005106834715588279,6635451.950735503,2234714.2660299772,0.0,True,6635451.950735503,0.0,split_002
2025-06-25,8892348.149244158,0.0033460694431358563,832467867.7514309,1.0577741572894974,664920.7013521672,0.0008453347402447804,6714726.152822496,2177621.9964216617,0.0,True,6714726.152822496,0.0,split_002
2025-06-26,8831913.52537708,-0.006014818261276902,841151782.716781,0.9765603887302002,671869.4671855393,0.0007814320488523352,6680145.485923315,2151768.0394537654,0.0,True,6680145.4859233145,0.0,split_002
2025-06-27,8840910.435413942,0.0017477891514475325,848611839.3756624,0.8446704825003274,678308.8797948542,0.000729107298300904,5844717.811299761,2996192.6241141814,0.0,True,5844717.811299762,-1.862645149230957e-09,split_002
2025-06-30,8929330.731905555,0.010673091373230909,856437268.4386687,0.8851383712315468,684248.4282029642,0.0006718254247116968,6616446.959805483,2312883.772100072,0.0,True,6616446.959805487,-3.725290298461914e-09,split_002
2025-07-01,8937352.66473998,0.0016983482772716448,864743110.1875066,0.9301751719375869,691391.6088342607,0.0007999681998308167,5652093.355308864,3285259.309431115,0.0,True,5652093.355308865,-9.313225746154785e-10,split_002
2025-07-02,8882478.081295049,-0.005472580502209996,872815955.543637,0.9032703149311553,697355.8103447608,0.0006673342469778848,6653375.523815257,2229102.5574797923,0.0,True,6653375.523815256,9.313225746154785e-10,split_002
2025-07-03,8932518.394976702,0.006388306764838127,881316751.9446995,0.957029820198902,704059.4914783716,0.0007547084352200725,6977116.080892366,1955402.3140843355,0.0,True,6977116.080892366,0.0,split_002
2025-07-04,8866768.87776587,-0.006533739140753636,889982759.8768573,0.9701640174657998,711446.2636264423,0.0008269529175808663,6062074.933460619,2804693.9443052504,0.0,True,6062074.933460619,0.0,split_002
2025-07-07,8885822.680385832,0.002679043453313488,895625314.2520118,0.6363709771779041,716146.9201205027,0.0005301431173928178,5810735.035366348,3075087.6450194833,0.0,True,5810735.035366348,9.313225746154785e-10,split_002
2025-07-08,8954756.319220651,0.008242990529646676,901354067.7443885,0.6447071586317021,720459.0334882236,0.0004852801505075296,6485389.198246073,2469367.120974579,0.0,True,6485389.198246071,9.313225746154785e-10,split_002
2025-07-09,8996675.18956384,0.005559843858974298,910403733.418789,1.0105987647007437,728327.2100750641,0.0008786589278763665,5325196.461950026,3671478.727613814,0.0,True,5325196.461950025,1.862645149230957e-09,split_002
2025-07-10,8992676.31308028,0.00016221663385049842,917603640.6678743,0.8002853384589468,733785.4969237229,0.0006067004458480878,5952244.397230298,3040431.9158499804,0.0,True,5952244.397230296,2.7939677238464355e-09,split_002
2025-07-11,9060038.830022223,0.00822221828627267,926261235.5372556,0.9627384071178479,740362.7276057185,0.0007313985795784433,6774227.538775135,2285811.2912470885,0.0,True,6774227.538775134,9.313225746154785e-10,split_002
2025-07-14,9099222.066521395,0.005151405487164923,935397390.6571854,1.0084013204949345,747851.4248494506,0.0008265634821472042,6489908.707260721,2609313.3592606727,0.0,True,6489908.707260722,0.0,split_002
2025-07-15,9032710.101066694,-0.006573307880215221,943547171.400559,0.8956568686634054,754551.4021904586,0.0007363241925547822,6132628.397818361,2900081.7032483313,0.0,True,6132628.39781836,2.7939677238464355e-09,split_002
2025-07-16,9070602.376881082,0.004875133855641971,951148262.5159155,0.841507258653074,760694.7971979801,0.0006801275518402842,6113589.361193613,2957013.015687469,0.0,True,6113589.361193612,0.0,split_002
2025-07-17,9132618.128917111,0.007504141846520666,959078357.8769541,0.8742633654905422,766746.1320314538,0.0006671370414050066,6838393.375220005,2294224.7536971057,0.0,True,6838393.375220007,-1.862645149230957e-09,split_002
2025-07-18,9130662.79852605,0.0006578505750738986,968374170.6641784,1.0178694275840188,774709.3605105528,0.0008719546100241053,5835188.740452054,3295474.0580739966,0.0,True,5835188.740452054,0.0,split_002
2025-07-21,9216327.1514354,0.01012933320715889,977420116.6946439,0.9907217285393298,781532.5334896841,0.0007472812357316268,6834292.841095313,2382034.3103400855,0.0,True,6834292.841095312,1.862645149230957e-09,split_002
2025-07-22,9134040.17492679,-0.008154000802023456,986548142.571439,0.9904190386051482,788669.5710137793,0.000774390644648893,7120012.483033582,2014027.6918932071,0.0,True,7120012.483033581,1.862645149230957e-09,split_002
2025-07-23,9064068.194017485,-0.006967966786053154,994571058.0761284,0.8783534286079095,794995.863361719,0.0006926061443549969,7354195.630283263,1709872.5637342227,0.0,True,7354195.630283262,9.313225746154785e-10,split_002
2025-07-24,9143879.395700805,0.009592192432516675,1003283849.7603922,0.9612451603149333,802128.9480168684,0.0007869628187327086,7173949.424662634,1969929.9710381706,0.0,True,7173949.424662635,0.0,split_002
2025-07-25,9149078.653646734,0.0014392542576573397,1013441579.7821801,1.1108775151347425,810090.0574227073,0.0008706489949530583,7557062.887236172,1592015.766410562,0.0,True,7557062.887236173,-1.862645149230957e-09,split_002
2025-07-28,9233458.816701017,0.010097588561224096,1023484592.1178129,1.0977075086822818,818093.5263272264,0.000874784140294717,7800468.0642795935,1432990.752421424,0.0,True,7800468.064279593,9.313225746154785e-10,split_002
2025-07-29,9205142.260336779,-0.002130335071215018,1033697244.9273272,1.1060484496927792,826739.721545627,0.0009363983085906832,6899953.3823865075,2305188.8779502716,0.0,True,6899953.3823865075,0.0,split_002
2025-07-30,9132395.553551923,-0.007220966874300825,1041760174.7070434,0.8759158252727822,833016.4009953641,0.0006818666428200789,7290573.028892525,1841822.5246593999,0.0,True,7290573.028892524,0.0,split_002
2025-07-31,9128867.508378202,0.0003246185470684632,1050151529.209987,0.9188557869331371,839508.991144934,0.0007109405315941118,7839781.684390394,1289085.8239878078,0.0,True,7839781.684390392,1.862645149230957e-09,split_002
2025-08-01,9156105.156069137,0.0036889028509507864,1057466289.3397712,0.8012779376051672,845946.8488316073,0.0007052197526982199,6761763.928239812,2394341.227829325,0.0,True,6761763.928239811,9.313225746154785e-10,split_002
2025-08-04,9274471.352647679,0.013616401896421236,1065984161.8252946,0.9302943053113997,852253.8598639976,0.0006888312142428465,7962024.611461029,1312446.74118665,0.0,True,7962024.61146103,-1.862645149230957e-09,split_002
2025-08-06,10068086.955474887,0.006958879811404754,5006142.13053499,0.500614213053499,1501.842639160497,0.0001501842639160497,5075730.928649035,4992356.026825853,0.0,True,5075730.928649034,0.0,split_003
2025-08-07,10060899.902444774,-8.536197134366083e-05,13727989.25003162,0.8662864313814662,7829.463919094523,0.0006284829787344211,6395566.919746196,3665332.982698579,0.0,True,6395566.919746195,9.313225746154785e-10,split_003
2025-08-08,10039237.04169191,-0.001484960018989047,22768940.303638108,0.898622503083403,14552.290561777041,0.0006682132520818429,7457337.352837951,2581899.6888539596,0.0,True,7457337.352837952,-9.313225746154785e-10,split_003
2025-08-11,10094941.525823316,0.006307466940029351,31545014.631571252,0.8741774192089515,22169.9621739617,0.0007587898941472602,6367888.895735115,3727052.6300882013,0.0,True,6367888.895735114,9.313225746154785e-10,split_003
2025-08-12,10118370.93566176,0.0030131658401846813,41334107.72975177,0.9697028034426529,29158.285299790718,0.0006922598915459363,8097806.637827708,2020564.2978340515,0.0,True,8097806.637827709,-1.862645149230957e-09,split_003
2025-08-13,10195860.294255305,0.00845892966498999,51191830.06412129,0.9742400626593362,37259.51477528665,0.0008006456303102605,7854342.058032986,2341518.2362223193,0.0,True,7854342.058032986,0.0,split_003
2025-08-14,10094345.4377579,-0.009116308500543693,61193534.11254003,0.9809573454094932,45825.763401816184,0.0008401692823661043,6644589.4394271355,3449755.9983307645,0.0,True,6644589.439427133,2.7939677238464355e-09,split_003
2025-08-15,10137390.249327732,0.0047481838125584845,67662883.39764717,0.6408884384824539,50710.75943791957,0.0004839339079709973,7311026.710750963,2826363.5385767696,0.0,True,7311026.710750963,0.0,split_003
2025-08-18,10192727.718782857,0.006082372839442729,75890681.63774174,0.8116288352063988,57032.67709813731,0.0006236237833141504,7938746.961828485,2253980.756954373,0.0,True,7938746.961828486,-1.862645149230957e-09,split_003
2025-08-19,10164260.566156797,-0.0021044102504368506,84624976.85627776,0.8569144059877827,64050.1490328788,0.0006884783080990084,7896086.433237909,2268174.132918888,0.0,True,7896086.433237907,2.7939677238464355e-09,split_003
2025-08-20,10218708.559546296,0.005922626145079662,92008150.87289684,0.7263857482365507,69801.2710179028,0.0005658180393538024,8377728.372845085,1840980.1867012095,0.0,True,8377728.372845086,0.0,split_003
2025-08-21,10173384.47794128,-0.00352737065925494,103564624.37906818,1.1309133085486927,79080.17987449722,0.0009080314603870441,8310033.134490305,1863351.3434509754,0.0,True,8310033.134490303,1.862645149230957e-09,split_003
2025-08-22,10223378.638410246,0.005751607405159879,114732913.45958067,1.0977948493668397,87599.33290439709,0.0008373961534995317,9298131.247675044,925247.390735202,0.0,True,9298131.247675043,1.862645149230957e-09,split_003
2025-08-25,10402317.54246002,0.018442061855447184,126038209.00495313,1.105827725376163,97200.61007584166,0.0009391491317138173,8437265.43526502,1965052.107195001,0.0,True,8437265.43526502,0.0,split_003
2025-08-26,10373003.728858355,-0.001968869166672246,137697466.16560835,1.1208326522493317,106033.62140622351,0.0008491387899213228,9456605.879979845,916397.848878511,0.0,True,9456605.879979843,1.862645149230957e-09,split_003
2025-08-27,10079707.750036394,-0.0273526899655466,149529301.44598672,1.1406373302904975,115600.04522126332,0.0009222423962333511,9012522.780806733,1067184.9692296605,0.0,True,9012522.780806737,-3.725290298461914e-09,split_003
2025-08-28,10049399.2117574,-0.002254403525598699,159035606.22514647,0.943113135311431,123184.85481157183,0.0007524830856610024,9103304.420539573,946094.7912178263,0.0,True,9103304.420539573,0.0,split_003
