event_id,datetime,instrument,side,requested_shares,executed_shares,unfilled_shares,base_price,fill_price,gross_value,status,reason,commission,stamp_tax,slippage_cost,cash_fee,implementation_cost,outer_split_id,method
event_000015,2024-08-02,SH600153,buy,25000.0,8300.0,16700.0,7.739999831452666,7.747739831284117,64306.240599658166,partial,cash_volume_or_lot,19.29187217989745,0.0,64.2419986010462,19.29187217989745,83.53387078094366,split_001,equal_weight
event_000016,2024-08-02,SZ000983,buy,24000.0,8800.0,15200.0,8.070000010352308,8.07807001036266,71087.01609119141,partial,cash_volume_or_lot,21.326104827357423,0.0,71.01600009110314,21.326104827357423,92.34210491846056,split_001,equal_weight
event_000017,2024-08-02,SH600998,buy,43300.0,15400.000000000002,27900.0,4.469999947305418,4.4744699472527225,68906.83718769194,partial,cash_volume_or_lot,20.67205115630758,0.0,68.83799918849381,20.67205115630758,89.51005034480139,split_001,equal_weight
event_000018,2024-08-02,SH603801,buy,17700.0,1400.0,16300.0,10.919999851174051,10.930919851025223,15303.287791435312,partial,cash_volume_or_lot,5.0,0.0,15.287999791640772,5.0,20.28799979164077,split_001,equal_weight
event_000019,2024-08-02,SZ002308,buy,261900.0,700.0,261200.0,0.739999953048254,0.7407399530013022,518.5179671009116,partial,cash_volume_or_lot,5.0,0.0,0.517999967133731,5.0,5.517999967133731,split_001,equal_weight
event_000020,2024-08-02,SH601808,buy,12900.0,5600.0,7300.0,15.000000123344211,15.015000123467553,84084.0006914183,partial,cash_volume_or_lot,25.225200207425488,0.0,84.00000069071467,25.225200207425488,109.22520089814016,split_001,equal_weight
event_000021,2024-08-02,SH600711,buy,45100.0,1000.0,44100.0,4.2899998202961465,4.294289820116442,4294.289820116443,partial,cash_volume_or_lot,5.0,0.0,4.289999820295876,5.0,9.289999820295876,split_001,equal_weight
event_000022,2024-08-02,SH603605,buy,2200.0,700.0,1500.0,86.2900006048269,86.37629060543172,60463.4034238022,partial,cash_volume_or_lot,18.139021027140657,0.0,60.4030004233735,18.139021027140657,78.54202145051416,split_001,equal_weight
event_000023,2024-08-02,SZ300723,buy,12300.0,3700.0000000000005,8600.0,15.710000362409605,15.725710362772015,58185.12834225646,partial,cash_volume_or_lot,17.455538502676937,0.0,58.127001340913694,17.455538502676937,75.58253984359064,split_001,equal_weight
event_000024,2024-08-02,SH600057,buy,37200.0,14300.0,22900.0,5.200000082788602,5.205200082871389,74434.36118506087,partial,cash_volume_or_lot,22.33030835551826,0.0,74.36000118386019,22.33030835551826,96.69030953937845,split_001,equal_weight
event_000025,2024-08-02,SH600612,buy,3800.0,800.0,3000.0,50.19999974127147,50.25019974101273,40200.159792810184,partial,cash_volume_or_lot,12.060047937843054,0.0,40.15999979300773,12.060047937843054,52.22004773085078,split_001,equal_weight
event_000027,2024-08-02,SZ002311,buy,4600.0,2100.0,2500.0,41.84999920792533,41.891849207133255,87972.88333497984,partial,cash_volume_or_lot,26.391865000493947,0.0,87.88499833664503,26.391865000493947,114.27686333713898,split_001,equal_weight
event_000028,2024-08-02,SZ002372,buy,14200.0,3500.0,10700.0,13.580000346639592,13.59358034698623,47577.5312144518,partial,cash_volume_or_lot,14.273259364335539,0.0,47.530001213231365,14.273259364335539,61.8032605775669,split_001,equal_weight
event_000029,2024-08-02,SZ002078,buy,15000.0,12500.0,2500.0,12.879999758822656,12.892879758581477,161160.9969822685,partial,cash_volume_or_lot,48.34829909468054,0.0,160.99999698526713,48.34829909468054,209.34829607994766,split_001,equal_weight
event_000030,2024-08-02,SH601918,buy,23900.0,16400.0,7500.0,8.0899999738341,8.098089973807934,132808.6755704501,partial,cash_volume_or_lot,39.84260267113503,0.0,132.67599957086986,39.84260267113503,172.5186022420049,split_001,equal_weight
