datetime,nav,return,total_turnover,turnover,total_cost,cost,value,cash,bench,calendar_complete,stock_value,accounting_error,outer_split_id,method
2024-10-14,11853480.045301618,0.017755665626824218,212628202.71970588,0.4411380832096677,168067.49700946812,0.00034568536720790317,10384799.584127331,1468680.4611742874,0.0,True,10384799.584127335,-3.725290298461914e-09,split_001,equal_weight
2024-10-15,11570130.57816144,-0.023545805863358967,217840856.79409388,0.4397572741900506,172317.22419777402,0.00035852147825484983,10113328.941796262,1456801.63636518,0.0,True,10113328.941796262,0.0,split_001,equal_weight
2024-10-16,11650082.715949113,0.00721168603733018,222454505.28272206,0.3987550924737544,175805.23555071608,0.00030146689610622597,10747778.104063654,902304.6118854579,0.0,True,10747778.104063654,0.0,split_001,equal_weight
2024-10-17,11540228.858431794,-0.00909663947525319,227671687.66547853,0.44782363438622474,179682.4907441673,0.00033280924161535814,11380625.136226907,159603.72220488603,0.0,True,11380625.136226907,0.0,split_001,equal_weight
2024-10-18,11814527.186572237,0.024187732823073318,233537342.59255606,0.5082789084197259,184516.13494859275,0.00041885167648939475,11485411.813766003,329115.37280623504,0.0,True,11485411.813765997,5.587935447692871e-09,split_001,equal_weight
2024-10-21,11847893.149071334,0.0033156538468704666,240315565.5923776,0.5737193620008181,190323.0549646097,0.0004915067631836163,10834231.436823307,1013661.712248028,0.0,True,10834231.436823305,1.862645149230957e-09,split_001,equal_weight
2024-10-22,12029949.568641424,0.015862195245798,247392220.51324654,0.5972922638506086,196200.22977644147,0.0004960523139333368,10716051.728857264,1313897.8397841593,0.0,True,10716051.728857264,0.0,split_001,equal_weight
2024-10-23,12014886.435385047,-0.0007305221187161003,255469474.5179256,0.6714287502695858,202475.21878588735,0.0005216139081582646,11132027.139684195,882859.2957008514,0.0,True,11132027.139684191,3.725290298461914e-09,split_001,equal_weight
2024-10-24,12025646.218119673,0.0013387239337913216,261549136.61926603,0.5060107837087189,207800.0520840951,0.00044318631947494626,10360526.474153183,1665119.74396649,0.0,True,10360526.474153183,0.0,split_001,equal_weight
2024-10-25,12031513.230597487,0.0009060696376683957,267917993.81257373,0.5296062330281599,212829.11251786182,0.00041819461029787884,10630795.040166814,1400718.1904306735,0.0,True,10630795.040166816,-1.862645149230957e-09,split_001,equal_weight
2024-10-28,12137697.438936336,0.009244067343221448,274518871.98437166,0.5486324159966145,217865.02272351558,0.0004185600023151592,11377992.678643718,759704.7602926171,0.0,True,11377992.67864372,-1.862645149230957e-09,split_001,equal_weight
2024-10-29,12017383.940998906,-0.009381814670395386,282088805.49803257,0.6236712977683422,224304.89276351186,0.0005305676857076633,10676707.048951,1340676.8920479065,0.0,True,10676707.048951,0.0,split_001,equal_weight
2024-10-30,11922025.084992263,-0.007533889235065449,288260193.19271207,0.5135383645041902,229126.1092634146,0.00040118685760338587,10995954.356971253,926070.7280210102,0.0,True,10995954.356971253,0.0,split_001,equal_weight
2024-10-31,11838100.363524936,-0.006556139377983526,295667075.10367393,0.6212771620725601,234888.37260571675,0.0004833292415695237,11403422.611695109,434677.75182982674,0.0,True,11403422.611695115,-5.587935447692871e-09,split_001,equal_weight
2024-11-01,11894646.425325338,0.0052778120229722645,303052941.953137,0.623906422707825,240821.57923307933,0.0005011958376061528,11538403.874990562,356242.55033477617,0.0,True,11538403.874990564,-1.862645149230957e-09,split_001,equal_weight
2024-11-04,12005508.168161567,0.0099417089658567,311167233.8199406,0.6821801654841293,248212.9494092021,0.0006214031011788222,9972761.099611985,2032747.0685495818,0.0,True,9972761.099611979,7.450580596923828e-09,split_001,equal_weight
2024-11-05,12169975.372135708,0.014197426674663744,319264387.90252876,0.6744532567194174,254193.06734461177,0.00049811451973927,11235686.746848155,934288.6252875531,0.0,True,11235686.746848151,3.725290298461914e-09,split_001,equal_weight
2024-11-06,12099529.913403234,-0.005217584180649622,327546538.0021002,0.6805395940680554,261140.6550965356,0.0005708793600216296,10652415.437539699,1447114.4758635343,0.0,True,10652415.437539702,-3.725290298461914e-09,split_001,equal_weight
2024-11-07,12382332.804755487,0.023795173803809952,334343612.2629482,0.561763499036317,266248.18097811006,0.00042212597663952275,11708046.962032141,674285.8427233449,0.0,True,11708046.962032143,-1.862645149230957e-09,split_001,equal_weight
2024-11-08,12331926.771183949,-0.003502116183649002,343364909.566677,0.7285620121811047,273289.8464427855,0.0005686864967779804,12128018.413392356,203908.35779159406,0.0,True,12128018.413392356,0.0,split_001,equal_weight
2024-11-11,12275547.897789579,-0.004099393645132188,349894739.7241396,0.5295060762703255,279115.2975991286,0.00047238775127626044,11043278.925247468,1232268.9725421115,0.0,True,11043278.92524747,-1.862645149230957e-09,split_001,equal_weight
