outer_split_id,signal,size_bucket,mean_rank_ic,rank_icir,positive_ic_ratio,valid_days,coverage_rows
split_003,Factor group: Momentum / Trend,Small,0.10593731896138722,1.2608555152602727,0.8951612903225806,124,74022
split_003,Factor group: Momentum / Trend,Mid,0.04190558720949303,0.33426065564295626,0.5725806451612904,124,98871
split_003,Factor group: Momentum / Trend,Large,-0.022280362221660938,-0.13195606736726215,0.43548387096774194,124,74129
split_003,Factor group: Other,Small,0.06367762235398158,0.5951711755880972,0.7096774193548387,124,74022
split_003,Factor group: Other,Mid,0.02795127556348544,0.21468395456967174,0.532258064516129,124,98871
split_003,Factor group: Other,Large,-0.017942228018229475,-0.10464970673949045,0.49193548387096775,124,74129
split_003,Factor group: Reversal / Short-term Price-Volume,Small,0.121100441749706,1.7965631318087698,0.967741935483871,124,74022
split_003,Factor group: Reversal / Short-term Price-Volume,Mid,0.0683712016335061,0.6520815207109764,0.7580645161290323,124,98871
split_003,Factor group: Reversal / Short-term Price-Volume,Large,-0.00811852974125371,-0.046917412759453526,0.5161290322580645,124,74129
split_003,Factor group: Size / Liquidity,Small,0.10566519245834141,0.9865189649296274,0.7903225806451613,124,74022
split_003,Factor group: Size / Liquidity,Mid,0.05627498958059345,0.4817499776809714,0.6451612903225806,124,98871
split_003,Factor group: Size / Liquidity,Large,0.0008835598406419133,0.007077810406401176,0.4596774193548387,124,74129
split_003,Factor group: Volatility / Risk,Small,0.11020778932894293,1.817391142327967,0.9435483870967742,124,74022
split_003,Factor group: Volatility / Risk,Mid,0.07062535911681257,0.7580643554125649,0.782258064516129,124,98871
split_003,Factor group: Volatility / Risk,Large,0.005805031519999427,0.04141490735672473,0.5080645161290323,124,74129
