outer_split_id,cohort,sw_l1_code,sw_l1_name,mean_share,mean_universe_share,mean_active_share,industry_hhi
split_001,Top50,801760.SI,传媒,0.02266666666666667,0.04731614053398069,-0.024649473867314035,0.05328847222222222
split_001,Top50,801770.SI,通信,0.0185,0.03816114817919469,-0.0196611481791947,0.05328847222222222
split_001,Top50,801780.SI,银行,0.06233333333333334,0.01900563038651458,0.04332770294681875,0.05328847222222222
split_001,Top50,801790.SI,非银金融,0.03333333333333333,0.035319293856137274,-0.0019859605228039457,0.05328847222222222
split_001,Top50,801880.SI,汽车,0.06200000000000001,0.053625074367764466,0.00837492563223554,0.05328847222222222
split_001,Top50,801890.SI,机械设备,0.06366666666666668,0.0642670037533782,-0.0006003370867115243,0.05328847222222222
split_001,Top50,801950.SI,煤炭,0.022333333333333334,0.011759234084008972,0.010574099249324362,0.05328847222222222
split_001,Top50,801960.SI,石油石化,0.015333333333333334,0.00992575062556303,0.005407582707770301,0.05328847222222222
split_001,Top50,801970.SI,环保,0.016166666666666666,0.007725562969172276,0.008441103697494394,0.05328847222222222
split_001,Top50,801980.SI,美容护理,0.0013333333333333333,0.0033335960522803956,-0.0020002627189470612,0.05328847222222222
split_001,Top100,801010.SI,农林牧渔,0.018666666666666668,0.013617792605011218,0.0050488740616554525,0.0529121875
split_001,Top100,801030.SI,基础化工,0.06225000000000001,0.04209031484586137,0.020159685154138633,0.0529121875
split_001,Top100,801040.SI,钢铁,0.011333333333333332,0.008075562969172277,0.0032577703641610595,0.0529121875
split_001,Top100,801050.SI,有色金属,0.03441666666666667,0.038223610647916545,-0.0038069439812498827,0.0529121875
split_001,Top100,801080.SI,电子,0.07016666666666668,0.13100138726770794,-0.06083472060104126,0.0529121875
split_001,Top100,801110.SI,家用电器,0.013250000000000001,0.01315506741734231,9.493258265769559e-05,0.0529121875
split_001,Top100,801120.SI,食品饮料,0.011000000000000001,0.019289038782404216,-0.008289038782404215,0.0529121875
split_001,Top100,801130.SI,纺织服饰,0.010916666666666667,0.007308858771227458,0.0036078078954392113,0.0529121875
split_001,Top100,801140.SI,轻工制造,0.009000000000000001,0.008217154573282637,0.000782845426717363,0.0529121875
split_001,Top100,801150.SI,医药生物,0.10133333333333334,0.08441910550495467,0.016914227828378654,0.0529121875
split_001,Top100,801160.SI,公用事业,0.06666666666666667,0.025822634834684617,0.040844031831982056,0.0529121875
split_001,Top100,801170.SI,交通运输,0.053250000000000006,0.024722634834684613,0.028527365165315392,0.0529121875
split_001,Top100,801180.SI,房地产,0.010333333333333332,0.016093205449070887,-0.005759872115737548,0.0529121875
split_001,Top100,801200.SI,商贸零售,0.006916666666666667,0.011121734084008971,-0.004205067417342305,0.0529121875
split_001,Top100,801210.SI,社会服务,0.014333333333333333,0.015334421740399735,-0.001001088407066396,0.0529121875
