field,year,finite_observations,instruments_with_data,provider_instruments_with_field,field_earliest_observation,field_latest_observation
$vwap,2000,230867,1061,6106,2000-01-04,2026-06-09
$vwap,2001,260578,1140,6106,2000-01-04,2026-06-09
$vwap,2002,270358,1207,6106,2000-01-04,2026-06-09
$vwap,2003,291004,1267,6106,2000-01-04,2026-06-09
$vwap,2004,313448,1363,6106,2000-01-04,2026-06-09
$vwap,2005,316077,1372,6106,2000-01-04,2026-06-09
$vwap,2006,289675,1425,6106,2000-01-04,2026-06-09
$vwap,2007,325296,1524,6106,2000-01-04,2026-06-09
$vwap,2008,362283,1584,6106,2000-01-04,2026-06-09
$vwap,2009,377234,1687,6106,2000-01-04,2026-06-09
$vwap,2010,433498,2027,6106,2000-01-04,2026-06-09
$vwap,2011,513321,2306,6106,2000-01-04,2026-06-09
$vwap,2012,567121,2461,6106,2000-01-04,2026-06-09
$vwap,2013,565574,2475,6106,2000-01-04,2026-06-09
$vwap,2014,572153,2601,6106,2000-01-04,2026-06-09
$vwap,2015,571772,2820,6106,2000-01-04,2026-06-09
$vwap,2016,643673,3042,6106,2000-01-04,2026-06-09
$vwap,2017,745297,3474,6106,2000-01-04,2026-06-09
$vwap,2018,818830,3577,6106,2000-01-04,2026-06-09
$vwap,2019,886421,3773,6106,2000-01-04,2026-06-09
$vwap,2020,947319,4160,6106,2000-01-04,2026-06-09
$vwap,2021,1063059,4704,6106,2000-01-04,2026-06-09
$vwap,2022,1172247,5115,6106,2000-01-04,2026-06-09
$vwap,2023,1259518,5386,6106,2000-01-04,2026-06-09
$vwap,2024,1293779,5437,6106,2000-01-04,2026-06-09
$vwap,2025,1312327,5754,6106,2000-01-04,2026-06-09
$vwap,2026,559747,5540,6106,2000-01-04,2026-06-09
$factor,2000,234231,1061,6106,2000-01-04,2026-06-09
$factor,2001,266336,1140,6106,2000-01-04,2026-06-09
$factor,2002,276208,1208,6106,2000-01-04,2026-06-09
$factor,2003,296510,1267,6106,2000-01-04,2026-06-09
$factor,2004,319423,1363,6106,2000-01-04,2026-06-09
$factor,2005,329403,1373,6106,2000-01-04,2026-06-09
$factor,2006,329005,1426,6106,2000-01-04,2026-06-09
$factor,2007,354740,1537,6106,2000-01-04,2026-06-09
$factor,2008,388872,1610,6106,2000-01-04,2026-06-09
$factor,2009,396210,1707,6106,2000-01-04,2026-06-09
$factor,2010,454105,2050,6106,2000-01-04,2026-06-09
$factor,2011,537949,2326,6106,2000-01-04,2026-06-09
$factor,2012,587581,2478,6106,2000-01-04,2026-06-09
$factor,2013,588592,2477,6106,2000-01-04,2026-06-09
$factor,2014,621829,2602,6106,2000-01-04,2026-06-09
$factor,2015,667285,2823,6106,2000-01-04,2026-06-09
$factor,2016,706341,3044,6106,2000-01-04,2026-06-09
$factor,2017,801260,3481,6106,2000-01-04,2026-06-09
$factor,2018,858623,3581,6106,2000-01-04,2026-06-09
$factor,2019,891830,3776,6106,2000-01-04,2026-06-09
$factor,2020,953089,4162,6106,2000-01-04,2026-06-09
$factor,2021,1066344,4706,6106,2000-01-04,2026-06-09
$factor,2022,1175360,5115,6106,2000-01-04,2026-06-09
$factor,2023,1261716,5386,6106,2000-01-04,2026-06-09
$factor,2024,1296662,5440,6106,2000-01-04,2026-06-09
$factor,2025,1318222,5754,6106,2000-01-04,2026-06-09
$factor,2026,560839,5540,6106,2000-01-04,2026-06-09
$adjclose,2000,230867,1061,6106,2000-01-04,2026-06-09
$adjclose,2001,260578,1140,6106,2000-01-04,2026-06-09
$adjclose,2002,270358,1207,6106,2000-01-04,2026-06-09
$adjclose,2003,291004,1267,6106,2000-01-04,2026-06-09
$adjclose,2004,313448,1363,6106,2000-01-04,2026-06-09
$adjclose,2005,316077,1372,6106,2000-01-04,2026-06-09
$adjclose,2006,289675,1425,6106,2000-01-04,2026-06-09
$adjclose,2007,325296,1524,6106,2000-01-04,2026-06-09
$adjclose,2008,362283,1584,6106,2000-01-04,2026-06-09
$adjclose,2009,377234,1687,6106,2000-01-04,2026-06-09
$adjclose,2010,433498,2027,6106,2000-01-04,2026-06-09
$adjclose,2011,513321,2306,6106,2000-01-04,2026-06-09
$adjclose,2012,567121,2461,6106,2000-01-04,2026-06-09
$adjclose,2013,565574,2475,6106,2000-01-04,2026-06-09
$adjclose,2014,572153,2601,6106,2000-01-04,2026-06-09
$adjclose,2015,571772,2820,6106,2000-01-04,2026-06-09
$adjclose,2016,643673,3042,6106,2000-01-04,2026-06-09
$adjclose,2017,745297,3474,6106,2000-01-04,2026-06-09
$adjclose,2018,818830,3577,6106,2000-01-04,2026-06-09
$adjclose,2019,886421,3773,6106,2000-01-04,2026-06-09
$adjclose,2020,947319,4160,6106,2000-01-04,2026-06-09
$adjclose,2021,1063059,4704,6106,2000-01-04,2026-06-09
$adjclose,2022,1172247,5115,6106,2000-01-04,2026-06-09
$adjclose,2023,1259518,5386,6106,2000-01-04,2026-06-09
$adjclose,2024,1293779,5437,6106,2000-01-04,2026-06-09
$adjclose,2025,1312327,5754,6106,2000-01-04,2026-06-09
$adjclose,2026,559747,5540,6106,2000-01-04,2026-06-09
