catalog_name,factor_name,family,lag,category,expression,required_fields,missing_fields,field_status,source_project,source_file,source_function,source_commit,source_path
alpha360_CLOSE23,CLOSE23,CLOSE,23,alpha360_close_window,"Ref($close, 23)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_CLOSE22,CLOSE22,CLOSE,22,alpha360_close_window,"Ref($close, 22)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_CLOSE21,CLOSE21,CLOSE,21,alpha360_close_window,"Ref($close, 21)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_CLOSE20,CLOSE20,CLOSE,20,alpha360_close_window,"Ref($close, 20)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_CLOSE19,CLOSE19,CLOSE,19,alpha360_close_window,"Ref($close, 19)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_CLOSE18,CLOSE18,CLOSE,18,alpha360_close_window,"Ref($close, 18)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_CLOSE17,CLOSE17,CLOSE,17,alpha360_close_window,"Ref($close, 17)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_CLOSE16,CLOSE16,CLOSE,16,alpha360_close_window,"Ref($close, 16)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_CLOSE15,CLOSE15,CLOSE,15,alpha360_close_window,"Ref($close, 15)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_CLOSE14,CLOSE14,CLOSE,14,alpha360_close_window,"Ref($close, 14)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_CLOSE13,CLOSE13,CLOSE,13,alpha360_close_window,"Ref($close, 13)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_CLOSE12,CLOSE12,CLOSE,12,alpha360_close_window,"Ref($close, 12)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_CLOSE11,CLOSE11,CLOSE,11,alpha360_close_window,"Ref($close, 11)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
alpha360_CLOSE10,CLOSE10,CLOSE,10,alpha360_close_window,"Ref($close, 10)/$close",$close,,available,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
