outer_split_id,method,importance_type,factor,feature_order,importance,selection_authority
split_001,lightgbm,split,alpha158_KMID,15,63.0,diagnostic_only
split_001,lightgbm,split,alpha158_KUP,16,98.0,diagnostic_only
split_001,lightgbm,split,alpha158_LOW0,17,118.0,diagnostic_only
split_001,lightgbm,split,alpha158_MAX5,18,417.0,diagnostic_only
split_001,lightgbm,split,alpha158_MIN10,19,489.0,diagnostic_only
split_001,lightgbm,split,alpha158_QTLD60,20,677.0,diagnostic_only
split_001,lightgbm,split,alpha158_RSQR30,21,505.0,diagnostic_only
split_001,lightgbm,split,alpha158_VMA30,22,176.0,diagnostic_only
split_001,lightgbm,split,alpha158_VMA60,23,248.0,diagnostic_only
split_001,lightgbm,split,alpha158_VSUMD60,24,324.0,diagnostic_only
split_001,lightgbm,split,alpha360_LOW1,25,221.0,diagnostic_only
split_001,lightgbm,split,alpha360_VOLUME13,26,101.0,diagnostic_only
split_001,lightgbm,split,amount_cv_20,27,412.0,diagnostic_only
split_001,lightgbm,split,amount_std_20,28,624.0,diagnostic_only
split_001,lightgbm,split,corr_ret_amount_20,29,384.0,diagnostic_only
split_001,lightgbm,split,kunquant_alpha101_alpha003,30,153.0,diagnostic_only
split_001,lightgbm,split,kunquant_alpha101_alpha011,31,153.0,diagnostic_only
split_001,lightgbm,split,kunquant_alpha101_alpha012,32,72.0,diagnostic_only
split_001,lightgbm,split,kunquant_alpha101_alpha013,33,172.0,diagnostic_only
split_001,lightgbm,split,kunquant_alpha101_alpha020,34,74.0,diagnostic_only
split_001,lightgbm,split,kunquant_alpha101_alpha029,35,156.0,diagnostic_only
split_001,lightgbm,split,kunquant_alpha101_alpha034,36,68.0,diagnostic_only
split_001,lightgbm,split,kunquant_alpha101_alpha050,37,223.0,diagnostic_only
split_001,lightgbm,split,kunquant_alpha101_alpha055,38,128.0,diagnostic_only
split_001,lightgbm,split,kunquant_alpha101_alpha062,39,31.0,diagnostic_only
split_001,lightgbm,split,kunquant_alpha101_alpha094,40,227.0,diagnostic_only
split_001,lightgbm,split,ta_trend_mass_index,41,765.0,diagnostic_only
split_001,lightgbm,split,ta_volatility_bbhi,42,25.0,diagnostic_only
split_001,lightgbm,split,ta_volume_cmf,43,372.0,diagnostic_only
split_001,lightgbm,split,ta_volume_sma_em,44,534.0,diagnostic_only
