batch_id,factor,ic_days,mean_rank_ic,std_rank_ic,min_cross_section,median_cross_section,rank_ic_ir
alpha158,alpha158_VMA30,1273,0.02514767129307486,0.1036912010180985,0,1994.0,0.24252464091611328
alpha158,alpha158_VSTD30,1273,0.006618850337589586,0.10161832207930929,0,1994.0,0.06513441869689426
alpha158,alpha158_VSUMD30,1273,-0.03848889819789694,0.10795394423262575,0,1994.0,-0.3565307267973342
alpha158,alpha158_VSUMN30,1273,0.03848889225773277,0.10795393431185876,0,1994.0,0.3565307045368587
alpha158,alpha158_VSUMP30,1273,-0.03848891126259187,0.10795394911949024,0,1994.0,-0.35653083167888483
alpha158,alpha158_WVMA30,1273,-0.011992724766343414,0.06705089627563984,0,1994.0,-0.17886002175187138
alpha360,alpha360_CLOSE18,1273,0.06012408301821038,0.15932352197884628,0,1991.0,0.37737103894924684
alpha360,alpha360_CLOSE36,1273,0.07879226873307539,0.17202433684386056,0,1991.0,0.4580297775226531
alpha360,alpha360_CLOSE54,1273,0.06971812131997981,0.16740539554661474,0,1991.0,0.4164628092919891
alpha360,alpha360_HIGH18,1273,0.05459930119121174,0.15794779898927563,0,1991.0,0.34567940509838274
alpha360,alpha360_HIGH36,1273,0.07467431435363373,0.17043117871521543,0,1991.0,0.43814937452502106
alpha360,alpha360_HIGH54,1273,0.06667897578866888,0.16608784051288414,0,1991.0,0.40146813627513156
alpha360,alpha360_LOW18,1273,0.06734001859841332,0.16239009528888343,0,1991.0,0.4146805781388266
alpha360,alpha360_LOW36,1273,0.08310191239626262,0.17359021291178947,0,1991.0,0.47872464122439423
alpha360,alpha360_LOW54,1273,0.07241165498087915,0.1689164323939028,0,1991.0,0.4286833078028761
alpha360,alpha360_OPEN18,1273,0.062853437071269,0.16089599747602892,0,1991.0,0.39064636819591003
alpha360,alpha360_OPEN36,1273,0.07980819981408918,0.17224047996081404,0,1991.0,0.46335332920719985
alpha360,alpha360_OPEN54,1273,0.06970820120090533,0.16786417188597985,0,1991.0,0.4152655115008935
alpha360,alpha360_VOLUME18,1273,0.025216629444789678,0.09477739049692943,0,1991.0,0.26606165576595653
alpha360,alpha360_VOLUME36,1273,0.042520412496850644,0.11267538677125992,0,1991.0,0.3773709034003184
alpha360,alpha360_VOLUME54,1273,0.050715947737808784,0.10951388972920559,0,1991.0,0.4631005972229992
alpha360,alpha360_VWAP18,1273,0.06077395225622544,0.15982207119696587,0,1991.0,0.38026007172267956
alpha360,alpha360_VWAP36,1273,0.07902017924941684,0.17204519143712327,0,1991.0,0.45929897016794025
alpha360,alpha360_VWAP54,1273,0.06970617182617307,0.16739414927002533,0,1991.0,0.4164194037255704
project_basic,amount_mean_20,1273,-0.08215741350169901,0.1421019676788898,0,1985.0,-0.5781581694023513
project_basic,corr_ret_volume_20,1273,-0.02342002520202819,0.09231126474541612,0,1984.0,-0.25370712086567043
project_basic,downside_std_20,1273,-0.05469113106799633,0.21371980396902943,0,1984.0,-0.25590109129953037
project_basic,ret_10,1273,-0.04349827378844599,0.15215294375502222,0,1992.0,-0.2858851936409558
project_basic,ret_5,1273,-0.027159689421001682,0.15049175592193798,0,1992.0,-0.18047293856475277
project_basic,rev_5,1273,0.027159689421001682,0.15049175592193798,0,1992.0,0.18047293856475277
project_basic,std_20,1273,-0.07893690137133098,0.21855316844347497,0,1984.0,-0.3611793959955637
project_basic,volume_ratio_5_20,1273,-0.020283169355101376,0.0975751865432801,0,1985.0,-0.20787220679413865
ta,ta_momentum_ppo_hist,1273,-0.015733100077081338,0.14695786914507022,0,1994.0,-0.10705857514544068
ta,ta_momentum_rsi,1273,-0.05553025107225525,0.15407332971302679,0,1994.0,-0.3604144284782093
ta,ta_momentum_tsi,1273,-0.06539364989085464,0.16118602012714225,0,1994.0,-0.40570298738856286
ta,ta_trend_adx_pos,1273,-0.060888942939606394,0.14010902178624873,0,1729.0,-0.4345825997736175
ta,ta_trend_ema_fast,1273,-0.023225020076880796,0.10144671966299308,0,1994.0,-0.22893810814222995
ta,ta_trend_ichimoku_conv,1273,-0.02445206226771031,0.10131014727023145,0,1990.0,-0.24135847125449003
ta,ta_trend_macd_diff,1273,-0.014807803864755668,0.11969116416793128,0,1994.0,-0.12371676696184317
ta,ta_trend_psar_up_indicator,1271,-0.005410687667226903,0.0481613506123374,0,1994.0,-0.1123450152131086
ta,ta_trend_vortex_ind_diff,1273,-0.04030821173530453,0.1462698563440244,0,1987.0,-0.2755742894865518
ta,ta_volatility_bbl,1273,-0.0178489730896057,0.10321091827516374,0,1985.0,-0.17293686935348976
ta,ta_volatility_dcm,1273,-0.022531947527490884,0.10075302729297293,0,1985.0,-0.22363543937962035
ta,ta_volatility_kcli,1268,0.017519190107710105,0.10150032964031575,0,1994.0,0.17260229764565724
ta,ta_volume_em,1273,-0.010131098586424955,0.10185302193039131,0,1993.0,-0.0994678252487077
ta,ta_volume_sma_em,1273,-0.03187339263989054,0.1081786132263104,0,1987.0,-0.29463672799364865
