instrument,old_fill_count,old_buy_executed_shares,old_sell_executed_shares,old_gross_value,old_cash_fee,old_slippage_cost,new_fill_count,new_buy_executed_shares,new_sell_executed_shares,new_gross_value,new_cash_fee,new_slippage_cost,delta_fill_count,delta_buy_executed_shares,delta_sell_executed_shares,delta_gross_value,delta_cash_fee,delta_slippage_cost,is_focus_instrument,absolute_gross_value_impact
SH688596,66,51455.0,51455.85052909929,3062932.3899451317,1744.4329846756682,3062.900411199161,44,97373.0,97376.38625278835,5778500.487497113,3268.742109070234,5778.460041113162,-22,45918.0,45920.535723689056,2715568.097551981,1524.309124394566,2715.559629914001,False,2715568.097551981
SH600021,48,237600.0,187193.38855819247,4344300.474884679,2336.0722725740716,4343.856161182945,44,399800.0,350178.1203020599,7048003.829942798,3858.22367409605,7047.5592012953175,-4,162200.0,162984.73174386745,2703703.3550581196,1522.1514015219786,2703.703040112373,False,2703703.3550581196
SZ002217,68,965600.0,965661.2734567003,3136021.8672117474,1828.2290102684774,3136.170517688957,46,1846600.0,1846689.9066818855,5839359.761539154,3348.788164244635,5839.4387262447235,-22,881000.0,881028.6332251852,2703337.8943274063,1520.5591539761576,2703.2682085557667,False,2703337.8943274063
SZ002992,40,20000.0,20000.78166465623,2394663.9367376426,1338.7965167880175,2394.657470243832,29,42600.0,42601.260096447084,5097047.311787221,2846.6376632541583,5097.008300189731,-11,22600.0,22600.478431790852,2702383.375049578,1507.8411464661408,2702.350829945899,False,2702383.375049578
SZ002232,42,55300.0,55299.991594366984,1907404.8264778,1091.4257117716472,1907.4157482537805,30,132600.0,132601.0310658337,4607044.1288025705,2597.9406681263767,4607.054303139952,-12,77300.0,77301.0394714667,2699639.3023247705,1506.5149563547295,2699.6385548861717,False,2699639.3023247705
SH688798,55,23942.0,23942.08733333309,2683508.3682817766,1510.599237558323,2683.5007892992967,38,50632.0,50632.65680869466,5371393.724299242,3042.3178250500173,5371.394818148515,-17,26690.0,26690.569475361568,2687885.3560174652,1531.7185874916943,2687.894028849218,False,2687885.3560174652
SH600038,52,70200.0,70201.1373634801,5120213.561050541,2867.530412436991,5120.219524542789,44,106900.0,106901.19697682164,7803342.052605952,4379.914011440096,7803.358835413249,-8,36700.0,36700.05961334154,2683128.4915554114,1512.3835990031052,2683.1393108704597,False,2683128.4915554114
SH600968,80,634200.0,633945.476238275,5208361.86106022,2965.138866993286,5208.415004045825,57,966700.0,966508.7452446973,7878676.495591229,4504.014037008528,7878.748856328948,-23,332500.0,332563.2690064224,2670314.634531009,1538.8751700152425,2670.3338522831227,False,2670314.634531009
SH600233,96,295500.0,291499.44848974026,8880349.159764312,5012.266179325353,8880.276976646695,77,383000.0,383000.9952318937,11546533.562607376,6534.168374631564,11546.515682143629,-19,87500.0,91501.54674215347,2666184.4028430637,1521.902195306211,2666.238705496933,False,2666184.4028430637
SZ301267,22,23300.0,23301.0836583063,847635.2062584711,473.00715359466926,847.6293796401843,19,96900.0,96903.02679880525,3511451.874042324,1972.0687054753869,3511.440494571063,-3,73600.0,73601.94314049894,2663816.6677838527,1499.0615518807176,2663.811114930879,False,2663816.6677838527
SZ300861,33,44000.0,44001.413920729115,1799455.6441349126,1015.91533980163,1799.4421303136617,24,110200.0,110207.6939158365,4461355.495408169,2501.505421727683,4461.316620155756,-9,66200.0,66206.27999510738,2661899.8512732564,1485.5900819260528,2661.8744898420946,False,2661899.8512732564
SZ000429,108,197500.0,167500.72894862478,4398071.605860987,2497.576549100244,4397.683305186089,84,307100.0,277801.35999664455,7052288.61110242,4033.53857081697,7051.933923043174,-24,109600.0,110300.63104801977,2654217.005241433,1535.9620217167262,2654.2506178570857,False,2654217.005241433
SH601636,36,163200.0,163183.14003687608,1848112.306937408,1050.0968161779774,1848.1385215046444,28,415300.0,415261.239856247,4492574.779912805,2537.045916745444,4492.59856058462,-8,252100.0,252078.0998193709,2644462.4729753975,1486.9491005674668,2644.4600390799756,False,2644462.4729753975
SH600346,57,116600.0,116601.06570148368,3413944.0183442193,1945.6110097919855,3413.965175531364,39,205900.0,205902.61607427173,6034111.278891512,3407.8776927723025,6034.128243166499,-18,89300.0,89301.55037278806,2620167.260547293,1462.266682980317,2620.1630676351347,False,2620167.260547293
SZ002252,68,403200.0,403201.3881495718,5451240.12591223,3067.11732608654,5451.227041022767,56,597000.0,597003.9937014825,8069328.199336057,4562.8138039434225,8069.316353773181,-12,193800.0,193802.60555191076,2618088.073423826,1495.6964778568827,2618.089312750414,False,2618088.073423826
SZ301210,52,18800.0,18808.853365240662,1369797.1565360893,768.9858003888829,1369.8022828462706,31,55000.0,55053.00495650554,3983762.2171967467,2261.4775862916777,3983.769510777658,-21,36200.0,36244.151591264876,2613965.0606606575,1492.4917859027946,2613.9672279313872,False,2613965.0606606575
SH603191,78,63300.0,63293.71789406866,1411232.3429897414,813.3454719065454,1411.2338808689522,45,175700.0,175648.5652127243,4020394.548945316,2339.0569691244928,4020.3589018252424,-33,112400.0,112354.84731865564,2609162.2059555748,1525.7114972179475,2609.1250209562904,False,2609162.2059555748
SH600335,38,75400.0,75396.52115074679,910203.8546105375,533.0916606487676,910.2085751845794,25,289300.0,289276.060006527,3514437.000375373,1986.7965460337552,3514.4269713096032,-13,213900.0,213879.5388557802,2604233.145764835,1453.7048853849876,2604.218396125024,False,2604233.145764835
SZ002182,40,87700.0,87700.21766893791,1769605.8674212436,1014.7710542907047,1769.6341916662116,29,223300.0,223302.80930977417,4373088.1768308,2481.097718006405,4373.13224913296,-11,135600.0,135602.59164083627,2603482.309409557,1466.3266637157003,2603.498057466749,False,2603482.309409557
SH688702,37,10589.0,10589.0,1127837.3551389005,666.6869919875772,1127.8416689373712,22,40517.0,40517.0,3725244.3532628436,2098.9736227115854,3725.2849178410615,-15,29928.0,29928.0,2597406.998123943,1432.2866307240083,2597.4432489036903,False,2597406.998123943
SZ000778,56,405000.0,346785.71982009936,2647987.3974221707,1457.0005976055818,2647.79563907091,39,747500.0,747469.9944660955,5238325.5204977775,2996.8120945816463,5238.341704252516,-17,342500.0,400684.2746459961,2590338.1230756068,1539.8114969760645,2590.546065181606,False,2590338.1230756068
SZ002952,24,21300.0,21100.44381409622,922095.4595238648,544.1221396519859,922.102954450055,18,82200.0,82201.36285389982,3503711.4290062934,1967.954562224973,3503.738437392609,-6,60900.0,61100.9190398036,2581615.9694824284,1423.832422572987,2581.6354829425536,False,2581615.9694824284
SZ300947,58,47900.0,47897.630346236416,2016987.790350026,1165.1676822745048,2017.0022866405814,39,111700.0,111699.57046971255,4589306.877596483,2637.5713834735107,4589.333493098835,-19,63800.0,63801.94012347613,2572319.0872464566,1472.4037011990058,2572.3312064582533,False,2572319.0872464566
SH600355,36,165700.0,141901.42626151582,816281.7561544856,452.97718639628283,816.2204986200546,26,626300.0,626301.9573475189,3386223.7969990955,1921.7277181175373,3386.221508359024,-10,460600.0,484400.53108600306,2569942.04084461,1468.7505317212544,2570.0010097389695,False,2569942.04084461
SZ000990,21,38500.0,38503.41960873057,551595.6328297715,322.92923558642974,551.5976765073536,17,222300.0,222312.13172084896,3113224.672746907,1750.191342751633,3113.235820578207,-4,183800.0,183808.7121121184,2561629.0399171356,1427.2621071652034,2561.6381440708533,False,2561629.0399171356
SH600582,79,443600.0,443598.2240788838,5245212.672888902,3010.585404728167,5245.226669603433,59,662500.0,662496.487518145,7801879.671048533,4452.201052835404,7801.899798870913,-20,218900.0,218898.26343926118,2556666.998159631,1441.6156481072371,2556.6731292674804,False,2556666.998159631
SH600993,35,53900.0,42300.17173287941,2553090.363834937,1362.1174594310544,2552.8058196468037,28,103600.0,89800.5909885811,5106032.207932735,2791.5406597069127,5105.735317263854,-7,49700.0,47500.41925570169,2552941.8440977978,1429.4232002758583,2552.9294976170504,False,2552941.8440977978
SH600612,76,36900.0,36899.99835522458,3764555.220298215,2123.3207655410974,3764.562995188272,39,61100.0,61100.0005359517,6301550.095591818,3561.31227912964,6301.564189616007,-37,24200.0,24200.00218072712,2536994.875293603,1437.9915135885426,2537.001194427735,False,2536994.875293603
SZ300049,56,78400.0,78398.89806618409,5947698.417700358,3352.813702792084,5947.713493274354,44,112300.0,112297.97149544419,8479387.250001362,4761.708533984672,8479.402254384413,-12,33900.0,33899.0734292601,2531688.832301004,1408.8948311925878,2531.688761110059,False,2531688.832301004
SZ002449,82,247700.0,247700.6349831235,4512344.554740382,2563.426010794451,4512.370066733284,53,392200.0,392191.18118298444,7039523.2192075085,4013.121840674141,7039.56317625689,-29,144500.0,144490.54619986092,2527178.664467126,1449.6958298796899,2527.193109523606,False,2527178.664467126
SH600970,79,232100.0,233021.19707944905,4313768.374657785,2461.935619179053,4313.78461527366,54,366500.0,367494.4439397984,6838747.46927795,3920.1023263394595,6838.765720919887,-25,134400.0,134473.24686034935,2524979.0946201654,1458.1667071604065,2524.9811056462268,False,2524979.0946201654
SH603323,90,432700.0,364005.08204182296,4136903.219075039,2352.1078162893823,4136.53539241699,69,683500.0,615502.0985846311,6653560.047134031,3786.7115533987235,6653.210161191181,-21,250800.0,251497.01654280815,2516656.8280589916,1434.6037371093412,2516.674768774191,False,2516656.8280589916
SZ300556,57,61200.0,61202.425159761966,2195083.462442958,1242.2062015223737,2195.075353789096,35,131500.0,131505.4276921949,4710183.791488761,2675.1915676129047,4710.187847432469,-22,70300.0,70303.00253243293,2515100.3290458033,1432.985366090531,2515.1124936433735,False,2515100.3290458033
SH600971,49,98200.0,98199.32901027185,1790761.2468259532,1015.8811438159101,1790.7646194184933,29,237500.0,237497.24910149787,4303230.95174058,2439.5203375836145,4303.242506179924,-20,139300.0,139297.92009122603,2512469.7049146267,1423.6391937677045,2512.4778867614305,False,2512469.7049146267
SH600004,91,208900.0,208898.0483603153,3800980.4960033675,2168.572564193544,3800.998036015272,49,347900.0,347893.24698174495,6295680.7390175685,3587.9427149554554,6295.681296239368,-42,139000.0,138995.19862142965,2494700.243014201,1419.3701507619112,2494.6832602240956,False,2494700.243014201
SZ000422,36,130800.0,130799.29518925771,3058149.5904436763,1730.1980049641259,3058.1748772580354,30,236000.0,235999.35578735272,5550763.590032055,3127.4669274911985,5550.80809209938,-6,105200.0,105200.060598095,2492613.9995883787,1397.2689225270726,2492.6332148413444,False,2492613.9995883787
SZ002913,58,42400.0,42399.913259560555,2249825.619344778,1293.0713081956594,2249.9267381175628,32,91400.0,91400.24031632475,4738184.4175961325,2711.4120276056888,4738.297252924615,-26,49000.0,49000.327056764196,2488358.7982513546,1418.3407194100294,2488.3705148070526,False,2488358.7982513546
SH600060,91,197000.0,197354.9714037815,8413097.818920149,4748.509203582369,8413.149300283108,69,255500.0,256190.83745842203,10894050.825287212,6165.0193750661165,10894.107759065584,-22,58500.0,58835.86605464053,2480953.006367063,1416.5101714837474,2480.9584587824756,False,2480953.006367063
SH603583,22,26800.0,26800.509865063777,1099595.5302009278,628.3096874892422,1099.6108050200464,20,99600.0,99603.34342122398,3569124.097521648,2007.7436416640626,3569.1638032734413,-2,72800.0,72802.8335561602,2469528.5673207203,1379.4339541748204,2469.552998253395,False,2469528.5673207203
SZ300040,44,123600.0,123596.62605464095,1606240.4880025557,923.5090228308461,1606.244176187909,30,318800.0,318784.622952601,4072548.570086536,2312.5193514576135,4072.5605667034897,-14,195200.0,195187.99689796005,2466308.0820839806,1389.0103286267674,2466.3163905155807,False,2466308.0820839806
SH600216,67,182800.0,156396.11002623866,4860202.152325279,2651.119166275105,4859.834645048874,47,270500.0,241594.3585660231,7326058.139699875,4041.564428453954,7325.66662044126,-20,87700.0,85198.24853978443,2465855.9873745963,1390.4452621788491,2465.831975392386,False,2465855.9873745963
SH600280,28,139600.0,139604.52311804405,951464.3464033331,553.8800377116654,951.4683187156135,20,503500.0,503523.0408041908,3412148.8963272837,1920.706158430494,3412.161892183645,-8,363900.0,363918.5176861468,2460684.549923951,1366.8261207188286,2460.6935734680314,False,2460684.549923951
SH600201,26,53500.0,53500.25088549928,640788.9419913996,377.37278553299734,640.7894614722386,20,259900.0,259901.93202267832,3100835.104992741,1743.6782420993031,3100.8349760807578,-6,206400.0,206401.68113717902,2460046.1630013413,1366.3054565663058,2460.045514608519,False,2460046.1630013413
SH603233,23,32800.0,32429.72171538829,991122.4549292434,556.6765959298057,991.1149658727447,20,112900.0,113330.70902599585,3446747.9795110878,1935.683439220485,3446.7466601120495,-3,80100.0,80900.98731060757,2455625.5245818445,1379.0068432906794,2455.631694239305,False,2455625.5245818445
SH603072,48,18400.0,18399.14090062711,1549511.8987609567,880.7434158430834,1549.516263081465,28,47200.0,47197.592400509886,4002751.3210850013,2259.0405715045995,4002.74530248292,-20,28800.0,28798.451499882776,2453239.4223240446,1378.2971556615162,2453.2290394014553,False,2453239.4223240446
SH603398,37,134100.0,134096.90413222002,2202846.491111335,1228.4918270342137,2202.776639772697,30,273500.0,273497.3474711661,4651262.948723241,2595.3604284078256,4651.191470239725,-7,139400.0,139400.4433389461,2448416.457611906,1366.868601373612,2448.4148304670284,False,2448416.457611906
SZ300601,52,115900.0,93701.96365258587,3079833.2076883838,1665.1038337068824,3079.514213979638,40,200800.0,171299.95836069135,5511074.785044975,3024.4133521869085,5510.6478669777125,-12,84900.0,77597.99470810549,2431241.577356591,1359.309518480026,2431.1336529980745,False,2431241.577356591
SH688631,30,14823.0,14823.058227551346,2483340.885116776,1406.19483711793,2483.3341320789955,26,31416.0,31416.086805704334,4912617.009273723,2744.1634220873552,4912.594313455422,-4,16593.0,16593.02857815299,2429276.124156947,1337.9685849694251,2429.2601813764263,False,2429276.124156947
SZ300419,23,107000.0,107000.55962688178,1057966.1944531153,610.7698451870094,1057.9722707011333,17,372200.0,372191.7456001184,3481229.5916040395,1957.7429317315582,3481.2480215603987,-6,265200.0,265191.1859732366,2423263.3971509244,1346.9730865445488,2423.2757508592654,False,2423263.3971509244
SZ002425,47,379500.0,379480.445158052,1590523.6466928194,916.9898835271865,1590.5286693731055,37,961000.0,960891.6405605959,4011741.075630214,2269.4490190782117,4011.6942878839473,-10,581500.0,581411.1954025439,2421217.4289373946,1352.4591355510252,2421.165618510842,False,2421217.4289373946
SZ000009,72,234900.0,234897.69490219804,3838081.0507519227,2183.3011395371896,3838.0821528101874,46,386400.0,386394.3545438569,6256350.172867775,3552.7228146569455,6256.351312069776,-26,151500.0,151496.6596416589,2418269.1221158523,1369.421675119756,2418.269159259589,False,2418269.1221158523
SH600399,43,314300.0,314288.8899896985,3405160.4054921125,1916.0084997550423,3405.184291756305,35,542900.0,542907.6329710064,5818757.110962411,3286.8391771213346,5818.792591491182,-8,228600.0,228618.74298130797,2413596.705470299,1370.8306773662923,2413.608299734877,False,2413596.705470299
SZ301259,28,21800.0,21800.480187798847,1692479.7491477896,952.7233316514415,1692.5011803373384,23,52600.0,52600.62702863085,4101411.885524514,2309.2690725495445,4101.450079615645,-5,30800.0,30800.146840832003,2408932.1363767246,1356.5457408981028,2408.948899278307,False,2408932.1363767246
SZ300337,47,160800.0,160803.35712228893,3421042.910667525,1948.4632144850625,3421.0558625330737,32,277700.0,277708.6676040892,5819202.774930976,3266.118570294848,5819.208749689483,-15,116900.0,116905.31048180026,2398159.864263451,1317.6553558097853,2398.152887156409,False,2398159.864263451
SZ002597,70,79500.0,79499.43771248753,3671980.1274877475,2086.211146838094,3671.9856511760113,40,132800.0,132801.20826085212,6069517.586237382,3436.6206820923117,6069.52533552833,-30,53300.0,53301.770548364584,2397537.4587496347,1350.4095352542176,2397.539684352319,False,2397537.4587496347
SZ002785,38,41500.0,41500.06341780906,2487441.084807749,1391.443032711188,2487.4313141636285,31,83600.0,83599.83819154087,4883587.109807158,2754.989835813044,4883.57607602788,-7,42100.0,42099.774773731806,2396146.024999409,1363.546803101856,2396.1447618642514,False,2396146.024999409
SZ300344,21,162300.0,162307.90259198155,923233.2754417517,528.9659293860165,923.2259394099584,18,819700.0,819853.0316616528,3316440.590684194,1860.8572640615664,3316.4585092755915,-3,657400.0,657545.1290696713,2393207.3152424423,1331.8913346755498,2393.232569865633,False,2393207.3152424423
SH600398,114,764200.0,724703.469515689,9761810.618404679,5468.6776189940365,9761.569896137962,90,937300.0,910500.247641427,12154084.678235818,6877.458747092231,12153.938062030094,-24,173100.0,185796.77812573803,2392274.0598311387,1408.7811280981941,2392.3681658921323,False,2392274.0598311387
SH600889,28,55700.0,48700.339706604864,1682444.3984994548,937.0135941886784,1682.372412936433,24,144400.0,120099.82278412335,4069470.891807606,2206.9323991259703,4069.1617316096954,-4,88700.0,71399.48307751848,2387026.493308151,1269.918804937292,2386.7893186732626,False,2387026.493308151
SZ002401,31,37100.0,37101.00588031285,1239720.4278945418,714.7954742902328,1239.723363294004,23,116800.0,116804.0548232162,3617779.8570609665,2039.9317193954432,3617.7876006628717,-8,79700.0,79703.04894290335,2378059.429166425,1325.1362451052105,2378.064237368868,False,2378059.429166425
SZ002192,45,37700.0,37700.19398064831,2251437.5083742626,1286.023597462422,2251.444230599948,29,75700.0,75700.09311629529,4620149.879340472,2618.8438380078137,4620.167717022771,-16,38000.0,37999.89913564698,2368712.370966209,1332.8202405453917,2368.7234864228235,False,2368712.370966209
SH603179,61,51900.0,42900.04280362008,3945378.3375991415,2124.265700546169,3944.995587162392,38,83200.0,74399.8283057957,6312580.543389801,3451.15901439065,6312.191951441151,-23,31300.0,31499.78550217562,2367202.2057906594,1326.8933138444813,2367.196364278759,False,2367202.2057906594
SH600985,133,457800.0,457800.4210438227,12215893.021481648,6936.40988788482,12215.919120639835,103,548600.0,548602.9532510432,14582146.502986748,8292.538975222411,14582.164507551386,-30,90800.0,90802.5322072205,2366253.4815050997,1356.129087337591,2366.2453869115507,False,2366253.4815050997
SZ300036,53,86800.0,86800.92308328599,2589489.7340731765,1479.115603513439,2589.4327728764315,40,165100.0,165100.25418725793,4943839.214733769,2806.0536776843533,4943.771200069323,-13,78300.0,78299.33110397194,2354349.4806605927,1326.9380741709142,2354.3384271928912,False,2354349.4806605927
SH603078,29,44000.0,44000.50667173485,1468467.1352949198,828.3152392430309,1468.4618731505225,23,127400.0,127400.9130437145,3822130.1419747584,2139.17899608738,3822.117411253231,-6,83400.0,83400.40637197965,2353663.0066798385,1310.863756844349,2353.6555381027083,False,2353663.0066798385
SZ002032,30,17000.0,16999.97136007374,1782272.7007430901,1004.4441977936938,1782.272509284461,21,39600.0,39600.052006093625,4132354.705166667,2314.2896378479345,4132.345817013032,-9,22600.0,22600.080646019884,2350082.0044235764,1309.8454400542407,2350.0733077285704,False,2350082.0044235764
SH600583,51,304100.0,304099.07778556325,3223166.63713316,1840.3419335258097,3223.1808659348376,34,526000.0,526003.3753790045,5548930.990871099,3143.2229026052773,5548.97071738601,-17,221900.0,221904.29759344127,2325764.3537379387,1302.8809690794676,2325.789851451172,False,2325764.3537379387
SZ003031,16,5600.0,5599.9562817482965,467666.5062671796,261.65883419458646,467.6660362959509,16,34500.0,34499.69841033248,2792872.871968224,1562.6406248045303,2792.8701921044085,0,28900.0,28899.742128584185,2325206.3657010444,1300.9817906099438,2325.2041558084575,False,2325206.3657010444
SH600801,31,43500.0,43499.64132671515,1453521.6159459036,825.7261587172468,1453.5198037665912,24,136800.0,136799.24033705395,3777219.3327316437,2115.1403215894265,3777.1772699908997,-7,93300.0,93299.5990103388,2323697.71678574,1289.4141628721798,2323.6574662243083,False,2323697.71678574
SZ002376,30,89500.0,89505.60059354806,1355115.712545529,784.413955122564,1355.1192377540863,22,242500.0,242517.64896633662,3669355.430711714,2061.9201758191316,3669.36085350422,-8,153000.0,153012.04837278856,2314239.718166185,1277.5062206965677,2314.241615750134,False,2314239.718166185
SZ002035,26,66000.0,66516.21034335968,910363.3315000063,527.190425616418,910.3647362110335,18,233800.0,233800.92221959127,3224518.826960031,1814.45799664781,3224.5246815710652,-8,167800.0,167284.7118762316,2314155.4954600246,1287.267571031392,2314.159945360032,False,2314155.4954600246
SZ300798,15,20700.0,20708.59033739586,288536.40836343466,187.8917871618044,288.5389353002392,14,222700.0,222805.5266638749,2594872.518422922,1463.3153467437558,2594.91586028438,-1,202000.0,202096.93632647902,2306336.1100594876,1275.4235595819514,2306.3769249841407,False,2306336.1100594876
SH600325,62,430100.0,430101.80617956416,4059132.611121797,2284.3621128308196,4059.151604703784,41,685000.0,684999.655110344,6360148.845346628,3594.135879046308,6360.163921300618,-21,254900.0,254897.8489307799,2301016.2342248308,1309.7737662154886,2301.0123165968344,False,2301016.2342248308
SZ300406,24,19400.0,19400.68297216941,473015.7511978098,266.92776902683045,473.02269790005585,18,113900.0,113907.47844874606,2770226.4509442355,1563.9275632534886,2770.243674636786,-6,94500.0,94506.79547657665,2297210.6997464257,1296.9997942266582,2297.2209767367303,False,2297210.6997464257
SZ002643,26,57600.0,57599.42979656169,1178908.8385584257,670.1441407985432,1178.9158944500855,22,188800.0,188804.42281352455,3474983.8174422975,1960.2024072715349,3475.0079773632447,-4,131200.0,131204.99301696286,2296074.978883872,1290.0582664729918,2296.092082913159,False,2296074.978883872
SZ002092,32,104200.0,104195.99753767844,826999.7178254963,482.35912218504177,827.0037055388061,22,415700.0,415613.9248641038,3122784.3617942547,1779.0488911326804,3122.7980058139447,-10,311500.0,311417.9273264253,2295784.643968758,1296.6897689476386,2295.7943002751385,False,2295784.643968758
SZ301339,26,31300.0,31299.81205099016,1116188.8509262176,634.7970338548224,1116.1931260002543,20,95700.0,95705.25409897206,3408392.098794148,1918.3475717862736,3408.4093520282736,-6,64400.0,64405.442047981895,2292203.24786793,1283.5505379314513,2292.2162260280193,False,2292203.24786793
SH600452,36,120900.0,120698.31208589964,2230123.3360356963,1250.1941418259328,2230.126386442291,29,243900.0,243897.55057186945,4522124.130021873,2554.927239347166,4522.136500559801,-7,123000.0,123199.2384859698,2292000.7939861766,1304.7330975212333,2292.01011411751,False,2292000.7939861766
SH603260,63,50500.0,50499.46316031201,5017864.703743721,2822.5701452666112,5017.900286008617,43,73200.0,73198.4988166982,7303787.488859889,4109.843029147424,7303.831570304329,-20,22700.0,22699.035656386186,2285922.7851161677,1287.272883880813,2285.9312842957124,False,2285922.7851161677
SH603110,28,28400.0,28396.61036308117,653983.4230289012,367.3835090602583,653.9774764832038,22,127000.0,126976.89011903155,2939773.5201757257,1663.7059682402607,2939.7440361354825,-6,98600.0,98580.27975595038,2285790.0971468245,1296.3224591800024,2285.766559652279,False,2285790.0971468245
SZ300723,20,18500.0,18499.863382226533,785638.7043288302,445.5160239660429,785.6267590846214,18,95800.0,95798.33275994325,3068262.133286494,1719.275575017811,3068.269396677199,-2,77300.0,77298.46937771671,2282623.4289576635,1273.759551051768,2282.6426375925776,False,2282623.4289576635
SH688475,26,15675.0,15707.301592499774,975280.3263919324,550.1509151714904,975.278763240002,19,54057.0,54057.17087433556,3257604.4572841856,1826.3623526604524,3257.601017458886,-7,38382.0,38349.86928183579,2282324.130892253,1276.211437488962,2282.322254218884,False,2282324.130892253
SH688728,56,141665.0,141661.9018042218,4084693.5593123543,2306.709316416746,4084.6688285925384,39,222041.0,222033.96963581402,6362132.408056423,3576.8677553018,6362.092634073811,-17,80376.0,80372.06783159223,2277438.8487440688,1270.1584388850542,2277.423805481272,False,2277438.8487440688
SZ002015,22,66000.0,65997.94557359879,1194378.8941040754,675.4012913225693,1194.3815396241819,20,222500.0,222497.86591107756,3467239.1847049925,1942.7468727947219,3467.2470236692675,-2,156500.0,156499.92033747878,2272860.2906009173,1267.3455814721526,2272.8654840450854,False,2272860.2906009173
SZ000983,119,538600.0,501207.40262174036,7301682.749777387,4168.164408426022,7301.413601360164,89,676300.0,676310.0839546636,9568388.136337055,5529.691024574111,9568.400907192809,-30,137700.0,175102.68133292324,2266705.386559668,1361.5266161480886,2266.987305832645,False,2266705.386559668
SZ002791,37,28700.0,28701.00675909725,1251488.720642707,712.5603684199729,1251.4900947337196,25,81200.0,81202.29402624571,3516222.9796195854,1986.5229483430737,3516.2030587119225,-12,52500.0,52501.287267148466,2264734.2589768786,1273.9625799231007,2264.712963978203,False,2264734.2589768786
SZ300025,36,48600.0,48598.03945098135,839810.0866283937,489.82108539670566,839.8209836107416,22,177900.0,177887.9836791944,3102208.2397905346,1763.9517995285144,3102.2143641103985,-14,129300.0,129289.94422821306,2262398.153162141,1274.1307141318086,2262.393380499657,False,2262398.153162141
SH600763,64,65100.0,65099.613665390345,5552114.809651703,3125.2945708961265,5552.085320840163,46,91900.0,91899.89213822548,7811343.932042606,4386.469579912706,7811.316240063427,-18,26800.0,26800.278472835133,2259229.1223909035,1261.1750090165792,2259.230919223264,False,2259229.1223909035
SH601577,102,299300.0,299299.1348413915,5330643.464415653,3141.6833229377476,5330.608476897145,85,427700.0,427675.38901531935,7583454.848685138,4443.722149681069,7583.430603326331,-17,128400.0,128376.25417392782,2252811.3842694853,1302.0388267433214,2252.822126429186,False,2252811.3842694853
SH600428,52,215800.0,215794.66246848615,2595097.1613488155,1467.501108281323,2595.1224618771735,37,401100.0,401104.20626041264,4842341.952131893,2774.094017093873,4842.395337556509,-15,185300.0,185309.5437919265,2247244.790783077,1306.59290881255,2247.2728756793354,False,2247244.790783077
SZ002339,27,71800.0,71802.69323843285,1137935.8581813853,649.853956119516,1137.9367970250278,21,213200.0,213200.51253749867,3383687.2265035775,1906.8972245016266,3383.688170808935,-6,141400.0,141397.8192990658,2245751.368322192,1257.0432683821105,2245.751373783907,False,2245751.368322192
SH605168,41,30000.0,30000.008211320113,1742674.5565460562,994.5386804903042,1742.662951479938,24,70300.0,70299.7174577131,3987088.3668003445,2236.0384808979993,3987.072603421175,-17,40300.0,40299.70924639298,2244413.8102542884,1241.4998004076951,2244.409651941237,False,2244413.8102542884
SZ002507,31,68100.0,68098.93925651054,1763136.7072654709,1009.0283464090596,1763.143903172296,23,154800.0,154798.2184338074,4007060.9839496394,2251.2892672322523,4007.0758738310615,-8,86700.0,86699.27917729686,2243924.2766841687,1242.2609208231927,2243.9319706587657,False,2243924.2766841687
SH603507,32,40400.0,39902.62671395507,1872342.2358055003,1053.8260057732257,1872.3310328128882,22,93900.0,93908.70580869193,4115063.069805349,2303.280190693421,4115.0625643540125,-10,53500.0,54006.07909473686,2242720.833999849,1249.4541849201953,2242.7315315411242,False,2242720.833999849
SZ002575,37,175100.0,175096.73201785338,2557061.6462221174,1430.2636714796856,2557.027275468143,30,327500.0,327493.89355634496,4798416.725013939,2692.117246689068,4798.373398357012,-7,152400.0,152397.16153849158,2241355.0787918214,1261.8535752093824,2241.3461228888686,False,2241355.0787918214
SZ002995,51,65000.0,64999.84849208906,2417140.8303977363,1376.840416335986,2417.1703006872094,29,127700.0,127705.18148386493,4656632.70086096,2628.331988871729,4656.664537395516,-22,62700.0,62705.33299177587,2239491.870463224,1251.4915725357432,2239.4942367083067,False,2239491.870463224
SH600131,46,73200.0,73200.09921397807,2587215.814010306,1460.1464171583439,2587.2275014246056,32,136600.0,136599.4462608948,4824649.681022398,2725.2022302524824,4824.659486243313,-14,63400.0,63399.34704691672,2237433.8670120924,1265.0558130941386,2237.4319848187074,False,2237433.8670120924
SZ300957,29,22700.0,22699.724429794358,1910496.5736401456,1069.18849914011,1910.49529290375,22,49200.0,49199.26028279807,4142835.6150001814,2314.647321528638,4142.818395326842,-7,26500.0,26499.535853003716,2232339.0413600355,1245.4588223885278,2232.3231024230918,False,2232339.0413600355
SH603958,24,20600.0,20595.675958792286,678903.5169645079,395.84472891705275,678.9029439162124,18,88200.0,88181.16714570727,2903323.5539374454,1631.530933732435,2903.3170449286627,-6,67600.0,67585.49118691498,2224420.0369729376,1235.686204815382,2224.4141010124504,False,2224420.0369729376
