instrument,old_fill_count,old_buy_executed_shares,old_sell_executed_shares,old_gross_value,old_cash_fee,old_slippage_cost,new_fill_count,new_buy_executed_shares,new_sell_executed_shares,new_gross_value,new_cash_fee,new_slippage_cost,delta_fill_count,delta_buy_executed_shares,delta_sell_executed_shares,delta_gross_value,delta_cash_fee,delta_slippage_cost,is_focus_instrument,absolute_gross_value_impact
SH600161,179,360700.0,360699.75578447204,14446951.40478306,8257.335728411317,14447.000453174103,135,490100.0,490100.1524879818,19532534.680795398,11093.79483434258,19532.58111187792,-44,129400.0,129400.39670350973,5085583.276012337,2836.4591059312625,5085.580658703817,False,5085583.276012337
SH600566,101,120300.0,120298.55232156224,6604470.832363419,3738.992352801778,6604.524094450733,67,212800.0,212794.20347182755,11512618.218399215,6496.161811986329,11512.707625923194,-34,92500.0,92495.65115026532,4908147.386035796,2757.1694591845508,4908.183531472461,False,4908147.386035796
SH600377,137,208100.0,189898.74253436783,5635250.620962623,3262.589492721896,5634.999019931389,110,381700.0,356198.351781666,10527910.856323045,6034.547034630265,10527.574354556464,-27,173600.0,166299.60924729815,4892660.235360422,2771.9575419083694,4892.575334625075,False,4892660.235360422
SH688009,96,498966.0,498939.34845201275,5351593.331254684,3046.6682268213326,5351.5889041295795,73,961109.0,960866.0789747899,10223269.446263948,5794.87870492251,10223.2761843047,-23,462143.0,461926.7305227772,4871676.115009264,2748.2104781011776,4871.68728017512,False,4871676.115009264
SZ001286,123,475400.0,475441.11916732765,8994347.705383819,5079.532463334755,8994.371635258467,87,737900.0,737939.0920184712,13835061.374019613,7826.277157494077,13835.070086559468,-36,262500.0,262497.97285114357,4840713.668635795,2746.7446941593216,4840.698451301001,False,4840713.668635795
SH600199,85,150900.0,150901.55255637932,3192703.374814451,1810.2264885345858,3192.7253841808188,57,383600.0,383616.00845087506,7991973.184322937,4542.981321316386,7992.021203522159,-28,232700.0,232714.45589449574,4799269.809508486,2732.7548327818004,4799.295819341341,False,4799269.809508486
SH600777,58,635600.0,635595.6066600528,2548583.8921487643,1441.172938875962,2548.579491595398,43,1794300.0,1794280.3543285765,7222551.267235926,4055.9802437402054,7222.49833940753,-15,1158700.0,1158684.7476685238,4673967.3750871625,2614.8073048642436,4673.918847812132,False,4673967.3750871625
SH603517,83,139900.0,139890.16108822305,3946520.7718660915,2245.600557536334,3946.507987922585,56,308400.0,308370.06773609517,8597281.699689608,4844.9347301313055,8597.266852659137,-27,168500.0,168479.90664787212,4650760.927823517,2599.3341725949717,4650.758864736552,False,4650760.927823517
SH688598,36,46179.0,46178.20397111453,2062065.755954152,1169.170415992834,2062.0718356945677,32,151533.0,151530.22769100498,6694739.896734542,3752.2583992889545,6694.759407721811,-4,105354.0,105352.02371989045,4632674.14078039,2583.0879832961205,4632.687572027244,False,4632674.14078039
SH688639,67,52022.0,44867.53641676702,2883500.345967266,1576.6523620330317,2883.3152364131715,45,133170.0,117437.5851410722,7504495.877371469,4120.630415859035,7504.071859806274,-22,81148.0,72570.04872430518,4620995.531404203,2543.978053826003,4620.756623393103,False,4620995.531404203
SZ002019,86,181800.0,181799.21440656044,4419476.628375935,2495.9824629471555,4419.456064430941,60,374700.0,374699.7844862015,9013612.879011557,5104.254408992548,9013.583586573088,-26,192900.0,192900.57007964104,4594136.250635621,2608.2719460453923,4594.1275221421465,False,4594136.250635621
SH603477,91,175000.0,174983.30926223117,6316640.544507543,3560.8958338996454,6316.629125660739,70,309800.0,309773.4610274114,10899305.862370364,6125.848973015828,10899.272310813314,-21,134800.0,134790.15176518023,4582665.317862822,2564.9531391161827,4582.643185152575,False,4582665.317862822
SZ002653,89,77900.0,77901.04636288695,5555606.335694681,3140.7545905383063,5555.646121910099,59,147000.0,147001.5496262887,10137827.570262725,5733.5421622527665,10137.878274486091,-30,69100.0,69100.50326340176,4582221.234568044,2592.7875717144602,4582.232152575992,False,4582221.234568044
SH600320,84,590600.0,554797.1589771641,4507893.434955889,2501.0349912693778,4507.765082051075,61,1167700.0,1167704.3642038298,9083178.107255874,5154.329562036087,9083.165921048916,-23,577100.0,612907.2052266657,4575284.672299985,2653.294570766709,4575.400838997841,False,4575284.672299985
SZ000552,94,854800.0,812572.9060815838,4175814.6012234516,2337.202617636016,4175.708251387963,66,1818500.0,1650500.889225931,8745285.20358338,4861.430348901241,8744.835262717612,-28,963700.0,837927.9831443471,4569470.602359928,2524.227731265225,4569.127011329649,False,4569470.602359928
SH603003,52,100700.0,100706.00109616286,988557.1974968766,581.1208054515718,988.6027002026887,38,564900.0,564950.0096351509,5531237.792473501,3132.3068769308943,5531.26105560477,-14,464200.0,464244.00853898807,4542680.5949766245,2551.1860714793224,4542.658355402082,False,4542680.5949766245
SH600818,73,119600.0,114496.49420675242,2975648.602410678,1667.9616572695606,2975.609147579981,50,311100.0,311103.1986827466,7472530.201175475,4261.887518324544,7472.584369594267,-23,191500.0,196606.7044759942,4496881.598764797,2593.925861054983,4496.9752220142855,False,4496881.598764797
SZ300633,55,43000.0,42998.773872367055,2477086.130842746,1411.2710757435395,2477.100573373645,43,121000.0,120998.00112844541,6948513.190504317,3915.263564535003,6948.540843252409,-12,78000.0,77999.22725607836,4471427.059661571,2503.992488791463,4471.4402698787635,False,4471427.059661571
SH603871,57,99900.0,99899.22199217114,3583279.766947364,2030.0999546842647,3583.3019349332903,42,229500.0,229499.32364029152,8004216.042188906,4499.171296596869,8004.231299663841,-15,129600.0,129600.10164812038,4420936.275241543,2469.071341912604,4420.929364730551,False,4420936.275241543
SH600177,83,335300.0,335300.3424881657,5159768.625584842,2940.4592513758466,5159.777601169252,64,623500.0,623501.5364453156,9570240.418343836,5420.985278850495,9570.258793069903,-19,288200.0,288201.19395714987,4410471.792758995,2480.5260274746483,4410.481191900651,False,4410471.792758995
