datetime,portfolio_id,outer_split_id,return,benchmark_return,excess_return,turnover,implementation_cost,drawdown
2025-05-23,P04,split_002,-0.0092632235431737,-0.00941664,0.0001534162616663,0.0,0.0,-0.0171208060812686
2025-05-26,P04,split_002,0.002320320366665,0.00095558167,0.0013647387016259,0.0,0.0,-0.0148402114696476
2025-05-27,P04,split_002,0.0017443703138763,-0.0031635761,0.004907946439975,0.0,0.0,-0.0131217279801106
2025-05-28,P04,split_002,0.0010715031643635,-0.0021129847,0.0031844878216511,0.0,0.0,-0.0120642847887997
2025-05-29,P04,split_002,0.0065814574323666,0.011502862,-0.0049214045442569,0.0,0.0,-0.0055622279332224
2025-05-30,P04,split_002,0.0009115431192472,-0.008544147,0.0094556901338651,0.0,0.0,-0.0046557550245753
2025-06-03,P04,split_002,0.007717194098117,0.004988909,0.0027282853304168,0.0,0.0,0.0
2025-06-04,P04,split_002,0.0057840149637525,0.006837368,-0.001053353047722,0.0,0.0,0.0
2025-06-05,P04,split_002,-0.0043676326910415,0.00393486,-0.0083024929205337,1.516613621626011,29760.05028703812,-0.0055752515992064
2025-06-06,P04,split_002,0.0019209477207758,-0.001078546,0.0029994937679865,0.0,0.0,-0.0036650136452828
2025-06-09,P04,split_002,0.0021181051886423,0.0073570013,-0.0052388961159841,0.0,0.0,-0.0015546713410591
2025-06-10,P04,split_002,-0.0020360021285927,-0.0069316626,0.0048956604309165,0.0,0.0,-0.0035875081554922
2025-06-11,P04,split_002,0.0031819036607769,0.006132245,-0.0029503414030047,0.0,0.0,-0.0004170196000481
2025-06-12,P04,split_002,0.0020852782431762,0.0005322695,0.001553008765332,0.0,0.0,0.0
2025-06-13,P04,split_002,-0.0024842750903603,-0.011444032,0.0089597571018698,0.0,0.0,-0.0024842750903603
2025-06-16,P04,split_002,-0.0005930556709239,0.005200267,-0.0057933225089976,0.0,0.0,-0.0030758574478538
2025-06-17,P04,split_002,0.0026771591102952,-0.0012773275,0.0039544866478318,0.0,0.0,-0.0004069328973471
2025-06-18,P04,split_002,-0.0048485647608707,-0.00023180246,-0.0046167622973392,0.0,0.0,-0.0052535246177117
2025-06-19,P04,split_002,-0.0047330497853308,-0.01216954,0.0074364901431054,0.0,0.0,-0.0099617092094784
2025-06-20,P04,split_002,-0.0034326599003396,-0.0036273003,0.0001946403621114,0.0,0.0,-0.013360173950076
2025-06-23,P04,split_002,0.0024116435796633,0.008267403,-0.0058557590692624,0.0,0.0,-0.0109807503481424
2025-06-24,P04,split_002,0.00536902905606,0.015423059,-0.0100540304074409,0.0,0.0,-0.005670677259759
2025-06-25,P04,split_002,0.0067714909110043,0.013456941,-0.0066854497399355,0.0,0.0,0.0
2025-06-26,P04,split_002,-0.0007424425891368,-0.0034518242,0.0027093815990955,0.0,0.0,-0.0007424425891369
2025-06-27,P04,split_002,-0.0017038039148321,-0.00058984756,-0.0011139563501348,0.0,0.0,-0.0024449815273791
2025-06-30,P04,split_002,-0.0003880309568267,0.008256555,-0.0086445855604034,0.0,0.0,-0.0028320637556844
2025-07-01,P04,split_002,0.0025585521216972,0.0025413036,1.724848705367786e-05,0.0,0.0,-0.000280757616718
2025-07-02,P04,split_002,0.0021314678794263,-0.0039622784,0.0060937462455152,0.0,0.0,0.0
2025-07-03,P04,split_002,0.0035962641298134,0.00596714,-0.0023708760679404,1.5348561014913769,30342.364547473837,0.0
2025-07-04,P04,split_002,0.000923714638543,-0.0014969707,0.0024206852920769,0.0,0.0,0.0
2025-07-07,P04,split_002,0.0025571949589025,-0.0006259084,0.0031831033336888,0.0,0.0,0.0
2025-07-08,P04,split_002,0.0020563705344085,0.010609984,-0.0085536138634796,0.0,0.0,0.0
2025-07-09,P04,split_002,-0.0008109296433153,-0.0020503402,0.0012394105323132,0.0,0.0,-0.0008109296433155
2025-07-10,P04,split_002,0.0097564940032333,0.003591895,0.0061645988997787,0.0,0.0,0.0
2025-07-11,P04,split_002,0.0004292700184322,0.0038337708,-0.0034045007335208,0.0,0.0,0.0
2025-07-14,P04,split_002,0.0013913038158864,0.0014208555,-2.955170626934732e-05,0.0,0.0,0.0
2025-07-15,P04,split_002,-0.0089724522613383,-0.0020344257,-0.0069380265258646,0.0,0.0,-0.0089724522613381
2025-07-16,P04,split_002,-0.001024888469348,0.00029349327,-0.001318381740222,0.0,0.0,-0.0099881449678219
2025-07-17,P04,split_002,0.0011786582716348,0.009256363,-0.0080777046434042,0.0,0.0,-0.0088212593058717
2025-07-18,P04,split_002,0.0036689629903784,0.0038559437,-0.0001869806894311,0.0,0.0,-0.005184661189415
2025-07-21,P04,split_002,0.0188308083501041,0.009053946,0.0097768628087223,0.0,0.0,0.0
2025-07-22,P04,split_002,0.0190374608599331,0.0061182976,0.0129191632830288,0.0,0.0,0.0
2025-07-23,P04,split_002,-0.0067936069270694,-0.0028526187,-0.003940988232764,0.0,0.0,-0.0067936069270694
2025-07-24,P04,split_002,0.009051726981309,0.010753036,-0.00170130856404,0.0,0.0,0.0
2025-07-25,P04,split_002,-0.003901967496538,-0.0015586019,-0.0023433656403063,0.0,0.0,-0.0039019674965381
2025-07-28,P04,split_002,-0.0050702955100046,0.0034189224,-0.008489217934321,0.0,0.0,-0.0089524788782648
2025-07-29,P04,split_002,0.0010252465084916,0.0044896603,-0.0034644137545699,0.0,0.0,-0.0079364108674857
2025-07-30,P04,split_002,0.0009763285704688,-0.003988743,0.004965071398838,0.0,0.0,-0.0069678308416936
2025-07-31,P04,split_002,-0.0157342741549184,-0.0138475895,-0.0018866846621206,1.6668361964978815,34528.306915314424,-0.023920736123022
2025-08-01,P04,split_002,0.0027057152704212,-0.0014820099,0.0041877251581165,0.0,0.0,-0.0212797435536087
2025-08-04,P04,split_002,0.0026405168593845,0.007455826,-0.0048153089462795,0.0,0.0,-0.0186954162158408
2024-08-02,P05,split_001,-0.0074865550359335,,,0.9476453537020292,12309.92261157498,-0.0077708486420441
2024-08-05,P05,split_001,-0.0138814931776839,,,0.0,0.0,-0.0215444708373186
2024-08-06,P05,split_001,0.0086438636593031,,,0.0,0.0,-0.0130868346465451
2024-08-07,P05,split_001,-0.0006679041467334,,,0.0,0.0,-0.0137459980421505
2024-08-08,P05,split_001,-0.000678287652007,,,0.0,0.0,-0.014414961953421
2024-08-09,P05,split_001,-0.0057055992583401,,,0.0,0.0,-0.0200383152155307
2024-08-12,P05,split_001,-0.0037838516586159,,,0.0,0.0,-0.0237463448618825
2024-08-13,P05,split_001,0.005572954892934,,,0.0,0.0,-0.0183057272777358
2024-08-14,P05,split_001,-0.0026365926133504,,,0.0,0.0,-0.0208940551457638
2024-08-15,P05,split_001,0.0106232154677917,,,0.0,0.0,-0.0104928017277814
2024-08-16,P05,split_001,-0.0029191327276476,,,0.0,0.0,-0.0133813045745008
2024-08-19,P05,split_001,0.004909251378647,,,0.0,0.0,-0.0085377453837841
2024-08-20,P05,split_001,-0.0154057718924145,,,0.0,0.0,-0.0238119867183406
2024-08-21,P05,split_001,-0.0068783479381078,,,0.0,0.0,-0.0305265475267021
2024-08-22,P05,split_001,-0.0127414973119511,,,0.0,0.0,-0.0428790909153986
2024-08-23,P05,split_001,0.0040832243011349,,,0.0,0.0,-0.0389709515603
2024-08-26,P05,split_001,0.0078384601696108,,,0.0,0.0,-0.0314379636422663
2024-08-27,P05,split_001,-0.00919261428544,,,0.0,0.0,-0.0403415808540233
2024-08-28,P05,split_001,-0.0016247947696236,,,0.0,0.0,-0.0419008288340772
2024-08-29,P05,split_001,0.0017836061415351,,,0.0,0.0,-0.0401919572681859
2024-08-30,P05,split_001,0.020355034119816,,,1.742770138962398,30132.67556118992,-0.0219955731975587
2024-09-02,P05,split_001,-0.0182549005984437,,,0.0,0.0,-0.0398489467936752
2024-09-03,P05,split_001,0.0122632075807753,,,0.0,0.0,-0.0280744151193059
2024-09-04,P05,split_001,-0.0027959230194793,,,0.0,0.0,-0.0307918442352949
2024-09-05,P05,split_001,0.0090195894773625,0.004441023,0.0045785666044377,0.0,0.0,-0.0220499845521856
2024-09-06,P05,split_001,-0.0211819863474219,-0.012091994,-0.0090899920618384,0.0,0.0,-0.0427649084278622
2024-09-09,P05,split_001,-0.0017637456126404,-0.008618534,0.0068547879986571,0.0,0.0,-0.0444532276208881
2024-09-10,P05,split_001,0.0111234775978811,0.0019271374,0.0091963402230032,0.0,0.0,-0.0338242245046014
2024-09-11,P05,split_001,0.0009015535390127,-0.0024216175,0.0033231710469473,0.0,0.0,-0.0329531653148951
2024-09-12,P05,split_001,-0.0026348073452895,-0.0036681294,0.0010333220988327,0.0,0.0,-0.0355011474181624
2024-09-13,P05,split_001,-0.0168341970361642,-0.0077703,-0.0090638971246651,0.0,0.0,-0.0517377111436793
2024-09-18,P05,split_001,-0.0068637572825719,0.0007388592,-0.0076026164592077,0.0,0.0,-0.0582463533346053
2024-09-19,P05,split_001,0.022508357170015,0.012855053,0.009653304222017,0.0,0.0,-0.0370490258892964
2024-09-20,P05,split_001,-0.0001690470614494,-0.0009942055,0.000825158413404,0.0,0.0,-0.0372118099217897
2024-09-23,P05,split_001,0.0052781119383854,0.0023498535,0.0029282584227604,0.0,0.0,-0.0321301060816013
2024-09-24,P05,split_001,0.0322777871590666,0.040580034,-0.0083022470969148,0.0,0.0,-0.0008894076480349
2024-09-25,P05,split_001,0.0101407307291251,0.012697339,-0.0025566083287971,0.0,0.0,0.0
2024-09-26,P05,split_001,0.0291649404864918,0.040296435,-0.0111314948696482,0.0,0.0,0.0
2024-09-27,P05,split_001,0.0506917101782356,0.04806125,0.0026304585379158,0.0,0.0,0.0
2024-09-30,P05,split_001,0.1145126173692045,0.096354365,0.0181582520203886,0.0,0.0,0.0
2024-10-08,P05,split_001,0.109815816543012,0.07016277,0.0396530434106878,1.293544331806221,33030.97347358447,0.0
2024-10-09,P05,split_001,-0.020481738177509,-0.07450849,0.0540267500007441,0.0,0.0,-0.020481738177509
2024-10-10,P05,split_001,0.0018850767552171,0.0018556118,2.946495406964478e-05,0.0,0.0,-0.0186352710708368
2024-10-11,P05,split_001,-0.0073960288401237,-0.033438623,0.0260425941113838,0.0,0.0,-0.0258934729086771
2024-10-14,P05,split_001,0.0051579234758152,0.025546074,-0.020388150437759,0.0,0.0,-0.0208691059846479
2024-10-15,P05,split_001,-0.0061222449265676,-0.02264595,0.0165237053908151,0.0,0.0,-0.0268635851329792
2024-10-16,P05,split_001,0.0001096994238573,-0.0020421743,0.0021518737631517,0.0,0.0,-0.0267568326289336
2024-10-17,P05,split_001,-0.0029737584881583,-0.007653713,0.00467995473816,0.0,0.0,-0.0296510227589454
2024-10-18,P05,split_001,0.0058710521844355,0.037142277,-0.0312712245794805,0.0,0.0,-0.0239540532764496
2024-10-21,P05,split_001,0.0021281403264966,0.01065135,-0.0085232096948656,0.0,0.0,-0.0218768905367134
2024-10-22,P05,split_001,0.0055893990504211,0.006736517,-0.0011471179020934,0.0,0.0,-0.0164097701574844
2024-10-23,P05,split_001,0.0008272050106656,0.0034600496,-0.0026328446185457,0.0,0.0,-0.0155961393909169
2024-10-24,P05,split_001,-0.0002506325702604,-0.008181632,0.0079309989948335,0.0,0.0,-0.0158428630606757
2024-10-25,P05,split_001,0.0051175454170942,0.013057828,-0.0079402825324296,0.0,0.0,-0.0108063942148313
2024-10-28,P05,split_001,0.0062887470485365,0.011549234,-0.0052604873417222,0.0,0.0,-0.0045856058460184
2024-10-29,P05,split_001,-0.0068363219532926,-0.01216799,0.0053316682543794,0.0,0.0,-0.0113905791213969
2024-10-30,P05,split_001,-0.0016452832485354,-0.0016457438,4.6059835784621403e-07,0.0,0.0,-0.0130171216409128
2024-10-31,P05,split_001,0.0010949391635285,0.008025765,-0.0069308262554777,0.0,0.0,-0.0119364354336652
2024-11-01,P05,split_001,-0.0035728453464895,-0.014768004,0.0111951590709298,0.0,0.0,-0.015466633742362
2024-11-04,P05,split_001,0.0042228939435488,0.01686716,-0.0126442668535703,0.0,0.0,-0.0113090537527709
2024-11-05,P05,split_001,0.0191837723594698,0.029190063,-0.0100062911170926,1.1602797401766385,23281.302032924945,0.0
2024-11-06,P05,split_001,0.0076380408969336,0.0006918907,0.0069461501803809,0.0,0.0,0.0
2024-11-07,P05,split_001,0.0241705548012999,0.025292039,-0.0011214841162415,0.0,0.0,0.0
2024-11-08,P05,split_001,-0.007280033142021,-0.004394889,-0.0028851442641523,0.0,0.0,-0.0072800331420209
2024-11-11,P05,split_001,0.010261185784839,0.013631105,-0.0033699196381345,0.0,0.0,0.0
2024-11-12,P05,split_001,-0.0101062075880967,-0.011560559,0.0014543516846693,0.0,0.0,-0.0101062075880967
2024-11-13,P05,split_001,0.0009989696553759,0.002619028,-0.0016200584360547,0.0,0.0,-0.0091173337274321
2024-11-14,P05,split_001,-0.0223735783196548,-0.024270773,0.0018971946143051,0.0,0.0,-0.03128692466687
2024-11-15,P05,split_001,-0.0037822961247952,-0.02053243,0.0167501330934969,0.0,0.0,-0.0349508843777409
2024-11-18,P05,split_001,0.0010225638840081,-0.013814986,0.0148375496361138,0.0,0.0,-0.0339640600058115
2024-11-19,P05,split_001,0.0091961217391441,0.015424728,-0.0062286066544105,0.0,0.0,-0.0250802758972363
2024-11-20,P05,split_001,0.0146591123742786,0.010794282,0.0038648304147449,0.0,0.0,-0.0107888181057133
2024-11-21,P05,split_001,0.0016319635248465,0.0011962652,0.0004356983042044,0.0,0.0,-0.0091744615384915
2024-11-22,P05,split_001,-0.027496745049423,-0.033851206,0.0063544612532197,0.0,0.0,-0.0364189387580249
2024-11-25,P05,split_001,0.0050315268724759,0.0005835295,0.0044479974001249,0.0,0.0,-0.0315706547545771
2024-11-26,P05,split_001,-0.0039648247963355,-0.0063779354,0.0024131106132103,0.0,0.0,-0.035410307436105
2024-11-27,P05,split_001,0.018634740513585,0.018602014,3.2726925633375786e-05,0.0,0.0,-0.0174354288130981
2024-11-28,P05,split_001,0.002547068904659,-0.0057545304,0.008301599334499,0.0,0.0,-0.0149327691470083
2024-11-29,P05,split_001,0.0109659777891261,0.014005184,-0.0030392063844577,0.0,0.0,-0.0041305437726784
2024-12-02,P05,split_001,0.0187440403026482,0.014736056,0.0040079839748283,0.0,0.0,0.0
2024-12-03,P05,split_001,0.006629217086494,0.0007748604,0.0058543567044139,1.5996866705555326,41171.287545282765,0.0
