portfolio_id,outer_split_id,month,net_return,benchmark_return,turnover,transaction_cost
P06,split_001,2024-08,-0.022308525763038767,,2.42195297724416,37971.868909466764
P06,split_001,2024-09,0.24445143195636532,0.24275755882263184,0.0,0.0
P06,split_001,2024-10,0.10180687599131533,0.018562912940979004,1.2460382278749083,31624.436042586603
P06,split_001,2024-11,0.034384194484806674,0.010796308517456055,1.0982528868469061,22119.283647636537
P06,split_001,2024-12,0.003473426039905192,-0.01965177059173584,2.8013320314888523,71530.33194565756
P06,split_001,2025-01,-0.026496534588174137,-0.024838745594024658,0.0,0.0
P06,split_002,2025-02,0.031254999336269185,0.04488086700439453,0.9360561465742547,12159.378695208707
P06,split_002,2025-03,0.02224589986016312,-0.004239320755004883,1.2824065521181158,24277.28830190474
P06,split_002,2025-04,-0.023713104000507967,-0.03316015005111694,1.1100047701523401,21392.969263093724
P06,split_002,2025-05,0.02664896091801472,0.02095627784729004,1.2644003102083274,23793.405390808675
P06,split_002,2025-06,0.034289191413125586,0.03979945182800293,1.2121543718893242,23575.211954531365
P06,split_002,2025-07,0.04271584788741478,0.043300628662109375,2.547884693821082,51910.88922877978
P06,split_002,2025-08,0.008326293108731342,0.005962729454040527,0.0,0.0
