datetime,instrument,calendar_position,entry_position,exit_position,entry_date,exit_date,terminal_entry_missing,terminal_exit_missing,entry_close,exit_close,label_20d_t1
2021-02-01,SH600079,0,1,21,2021-02-02,2021-03-09,False,False,19.766356,18.920835,-0.04277569
2021-02-01,SH600081,0,1,21,2021-02-02,2021-03-09,False,False,3.6076026,3.3893316,-0.060503066
2021-02-01,SH600085,0,1,21,2021-02-02,2021-03-09,False,False,11.364306,12.220631,0.07535207
2021-02-01,SH600089,0,1,21,2021-02-02,2021-03-09,False,False,11.895156,10.100988,-0.15083176
2021-02-01,SH600093,0,1,21,2021-02-02,2021-03-09,False,False,2.4203045,2.6832488,0.10864091
2021-02-01,SH600094,0,1,21,2021-02-02,2021-03-09,False,False,0.55960804,0.598258,0.06906617
2021-02-01,SH600095,0,1,21,2021-02-02,2021-03-09,False,False,1.5,1.187549,-0.20830065
2021-02-01,SH600096,0,1,21,2021-02-02,2021-03-09,False,False,1.749226,1.9659443,0.12389386
2021-02-01,SH600100,0,1,21,2021-02-02,2021-03-09,False,False,1.3947585,1.5072277,0.0806371
2021-02-01,SH600104,0,1,21,2021-02-02,2021-03-09,False,False,15.666667,14.152097,-0.09667468
2021-02-01,SH600105,0,1,21,2021-02-02,2021-03-09,False,False,1.5225376,1.677379,0.10169959
2021-02-01,SH600107,0,1,21,2021-02-02,2021-03-09,False,False,1.5308114,1.2355095,-0.19290549
2021-02-01,SH600108,0,1,21,2021-02-02,2021-03-09,False,False,1.9018265,2.064688,0.08563423
2021-02-01,SH600109,0,1,21,2021-02-02,2021-03-09,False,False,12.132495,10.149903,-0.16341168
2021-02-01,SH600110,0,1,21,2021-02-02,2021-03-09,False,False,8.033407,5.9938755,-0.25388128
2021-02-01,SH600111,0,1,21,2021-02-02,2021-03-09,False,False,25.300497,27.971651,0.10557711
2021-02-01,SH600114,0,1,21,2021-02-02,2021-03-09,False,False,3.4057772,3.7592847,0.10379648
2021-02-01,SH600115,0,1,21,2021-02-02,2021-03-09,False,False,1.6065162,1.7393484,0.082683325
2021-02-01,SH600116,0,1,21,2021-02-02,2021-03-09,False,False,4.4256926,4.534845,0.02466333
2021-02-01,SH600118,0,1,21,2021-02-02,2021-03-09,False,False,29.667034,27.325262,-0.07893515
2021-02-01,SH600120,0,1,21,2021-02-02,2021-03-09,False,False,5.2624326,5.507602,0.04658866
2021-02-01,SH600125,0,1,21,2021-02-02,2021-03-09,False,False,2.785951,2.884692,0.03544247
2021-02-01,SH600126,0,1,21,2021-02-02,2021-03-09,False,False,3.054945,3.2604396,0.067266226
2021-02-01,SH600127,0,1,21,2021-02-02,2021-03-09,False,False,2.7814176,2.7695057,-0.0042826533
2021-02-01,SH600129,0,1,21,2021-02-02,2021-03-09,False,False,2.2811182,2.2299578,-0.022427738
2021-02-01,SH600131,0,1,21,2021-02-02,2021-03-09,False,False,4.5253487,4.8307986,0.06749761
2021-02-01,SH600132,0,1,21,2021-02-02,2021-03-09,False,False,30.824154,21.32395,-0.3082065
2021-02-01,SH600138,0,1,21,2021-02-02,2021-03-09,False,False,2.3738532,2.994954,0.26164246
2021-02-01,SH600141,0,1,21,2021-02-02,2021-03-09,False,False,3.7692308,3.8670568,0.025953889
2021-02-01,SH600143,0,1,21,2021-02-02,2021-03-09,False,False,36.464943,27.351784,-0.24991566
2021-02-01,SH600150,0,1,21,2021-02-02,2021-03-09,False,False,7.1031075,7.0946326,-0.0011931062
2021-02-01,SH600151,0,1,21,2021-02-02,2021-03-09,False,False,2.9260378,3.2966037,0.12664425
2021-02-01,SH600153,0,1,21,2021-02-02,2021-03-09,False,False,6.054755,6.2800193,0.037204504
2021-02-01,SH600155,0,1,21,2021-02-02,2021-03-09,False,False,2.0435865,1.8804483,-0.079829335
2021-02-01,SH600157,0,1,21,2021-02-02,2021-03-09,False,False,1.255387,1.3125352,0.04552245
2021-02-01,SH600158,0,1,21,2021-02-02,2021-03-09,False,False,5.3736954,4.97634,-0.07394457
2021-02-01,SH600160,0,1,21,2021-02-02,2021-03-09,False,False,7.380121,7.055387,-0.04400122
2021-02-01,SH600161,0,1,21,2021-02-02,2021-03-09,False,False,17.525888,14.469035,-0.17441928
2021-02-01,SH600165,0,1,21,2021-02-02,2021-03-09,False,False,2.1898253,2.2801821,0.04126215
2021-02-01,SH600166,0,1,21,2021-02-02,2021-03-09,False,False,3.441278,3.837651,0.11518192
2021-02-01,SH600170,0,1,21,2021-02-02,2021-03-09,False,False,5.2247972,5.422943,0.03792417
2021-02-01,SH600171,0,1,21,2021-02-02,2021-03-09,False,False,1.4046512,1.3928443,-0.008405507
2021-02-01,SH600172,0,1,21,2021-02-02,2021-03-09,False,False,1.4245901,1.7054645,0.19716156
2021-02-01,SH600176,0,1,21,2021-02-02,2021-03-09,False,False,57.06729,46.72457,-0.18123728
2021-02-01,SH600177,0,1,21,2021-02-02,2021-03-09,False,False,11.327742,12.193126,0.076395154
2021-02-01,SH600183,0,1,21,2021-02-02,2021-03-09,False,False,20.193434,21.410421,0.060266495
2021-02-01,SH600185,0,1,21,2021-02-02,2021-03-09,False,False,2.1333334,1.9828571,-0.07053578
2021-02-01,SH600188,0,1,21,2021-02-02,2021-03-09,False,False,3.9633152,5.3505435,0.3500172
2021-02-01,SH600191,0,1,21,2021-02-02,2021-03-09,False,False,0.7484985,0.8213213,0.09729183
2021-02-01,SH600195,0,1,21,2021-02-02,2021-03-09,False,False,7.8196874,7.371665,-0.05729413
2021-02-01,SH600196,0,1,21,2021-02-02,2021-03-09,False,False,23.949354,19.969828,-0.16616428
2021-02-01,SH600197,0,1,21,2021-02-02,2021-03-09,False,False,7.2526064,5.635124,-0.22302079
2021-02-01,SH600198,0,1,21,2021-02-02,2021-03-09,False,False,0.36530834,0.45113596,0.23494565
2021-02-01,SH600199,0,1,21,2021-02-02,2021-03-09,False,False,6.0498753,4.8412304,-0.1997801
2021-02-01,SH600200,0,1,21,2021-02-02,2021-03-09,False,False,2.4812708,2.5229967,0.016816378
2021-02-01,SH600201,0,1,21,2021-02-02,2021-03-09,False,False,24.156675,21.3406,-0.11657548
2021-02-01,SH600203,0,1,21,2021-02-02,2021-03-09,False,False,1.8833536,1.6051033,-0.14774197
2021-02-01,SH600206,0,1,21,2021-02-02,2021-03-09,False,False,2.0039825,1.967742,-0.018084288
2021-02-01,SH600208,0,1,21,2021-02-02,2021-03-09,False,False,1.4243056,1.4673611,0.030229092
2021-02-01,SH600211,0,1,21,2021-02-02,2021-03-09,False,False,5.794922,5.1103516,-0.11813277
