datetime,factor,count,ic,rank_ic
2017-02-07,rev_5,465,0.10754633403399856,0.22456421481559624
2017-02-08,rev_5,466,-0.07022386409433884,0.18899163571156746
2017-02-09,rev_5,466,0.10650453452670695,0.12120878104015408
2017-02-10,rev_5,466,-0.38572621985997585,-0.169466957004047
2017-02-13,rev_5,466,0.277096382662868,0.1511742568588536
2017-02-14,rev_5,466,-0.27882109807052463,-0.2411419402787865
2017-02-15,rev_5,466,0.14378395376974437,0.20629543199121833
2017-02-16,rev_5,459,-0.076688554994672,-0.14061512688465597
2017-02-17,rev_5,459,0.19186747531127643,0.27871644028828757
2017-02-20,rev_5,458,-0.08116047080375065,-0.045853863462027446
2017-02-21,rev_5,459,0.04450286460608626,0.14112132953048837
2017-02-22,rev_5,461,0.24643041481535663,0.24594211612853897
2017-02-23,rev_5,464,0.1119679686912599,0.15202355142399804
2017-02-24,rev_5,465,0.08860253411240489,0.06167027675423925
2017-02-27,rev_5,461,0.10817190516836167,0.15396026421292155
2017-02-28,rev_5,464,-0.00449022306107464,-0.01194274590930344
2017-03-01,rev_5,464,-0.0932044382770925,-0.14798350063661314
2017-03-02,rev_5,464,0.022544300907400318,0.010163021085547298
2017-03-03,rev_5,465,-0.0037403743074801736,0.08182930965611661
2017-03-06,rev_5,467,0.0051044901580816265,0.05929556164076424
2017-03-07,rev_5,467,-0.1607694278037903,-0.14324134156047938
2017-03-08,rev_5,467,-0.05548005732633918,0.036814303479723254
2017-03-09,rev_5,467,-0.05494513220116525,0.02640986869941852
2017-03-10,rev_5,466,0.058898738444955676,0.09520687598627377
2017-03-13,rev_5,466,-0.0873611927524685,-0.06011085142859254
2017-03-14,rev_5,465,0.036968893828803084,0.1395473871225559
2017-03-15,rev_5,464,0.15218148643573054,0.1534215790615323
2017-03-16,rev_5,464,-0.056215135791216446,0.001545628985586464
2017-03-17,rev_5,466,0.13931415267468134,0.06746463489111826
2017-03-20,rev_5,467,-0.13746961959435097,-0.09134269062588214
2017-03-21,rev_5,467,-0.00505814818022773,0.07768230576995945
2017-03-22,rev_5,467,-0.028979365208159285,-0.0049135318690104925
2017-03-23,rev_5,465,0.19202845189737225,0.23596798028383534
2017-03-24,rev_5,465,-0.0645430134667827,0.09477785803215959
2017-03-27,rev_5,464,-0.23489183134621422,-0.15801840258391775
2017-03-28,rev_5,465,-0.10411073513320965,-0.05829159912786096
2017-03-29,rev_5,463,0.3660394459194078,0.14634803354746753
2017-03-30,rev_5,461,0.015151224080431909,0.024275597823808694
2017-03-31,rev_5,462,0.08915971131922013,0.08294696659611016
2017-04-05,rev_5,463,-0.17562862520802314,-0.06943562534081027
2017-04-06,rev_5,461,-0.5109287291513691,-0.26002270129779675
2017-04-07,rev_5,460,-0.24503633363760755,0.017992353522727506
2017-04-10,rev_5,460,0.22066271034369148,0.2652480018991671
2017-04-11,rev_5,454,-0.3077127193633934,-0.08079471061013634
2017-04-12,rev_5,454,0.13206386911473716,0.07333442528089873
2017-04-13,rev_5,456,0.4123713228731864,0.21149878191008012
2017-04-14,rev_5,457,-0.043784208519491684,0.014658922864004196
2017-04-17,rev_5,458,0.08203269987829416,0.10213372849149017
2017-04-18,rev_5,458,-0.3135583137736597,-0.2916836570515323
2017-04-19,rev_5,459,0.09943369255874536,0.07228360296543
2017-04-20,rev_5,454,-0.21982361014634405,-0.3247201716564555
2017-04-21,rev_5,455,-0.022404580370871965,0.009019571627889746
2017-04-24,rev_5,457,0.1755703676790828,0.19197847041716926
2017-04-25,rev_5,459,0.05984817874921332,0.05510460752220402
2017-04-26,rev_5,459,0.12872693163347138,0.24634018818236367
2017-04-27,rev_5,461,-0.15743442755042883,-0.05378424316494548
2017-04-28,rev_5,460,0.23299274741902662,0.06087101303734167
2017-05-02,rev_5,461,-0.0871904801045014,-0.011480952616122612
2017-05-03,rev_5,461,0.1640402613606686,0.09012609066531897
2017-05-04,rev_5,459,0.06608333592629592,0.0927950823228189
2017-05-05,rev_5,462,0.11702356199825041,0.1343825859312778
2017-05-08,rev_5,461,-0.23606950606803503,-0.20163315292296183
2017-05-09,rev_5,464,0.17022113681460097,0.1588830087899863
2017-05-10,rev_5,459,0.012182734142006334,0.0712412757946841
2017-05-11,rev_5,460,-0.03666631325215881,-0.042312495828673274
2017-05-12,rev_5,461,0.13927290642901444,0.1890809535616249
2017-05-15,rev_5,460,0.17127635258654897,0.16944354133316103
2017-05-16,rev_5,462,0.0071627355658238825,-0.006696654028116147
2017-05-17,rev_5,463,-0.023750110164644803,0.07796442022853368
2017-05-18,rev_5,465,0.10621796336443717,0.0020103516280512495
2017-05-19,rev_5,466,0.019535178109744988,-0.02024668806557589
2017-05-22,rev_5,466,-0.2103623292964229,-0.11640923972483934
2017-05-23,rev_5,464,-0.04502178832800478,0.01051047529491343
2017-05-24,rev_5,464,0.03753946807947897,-0.01827232698695323
2017-05-25,rev_5,468,0.05790745060225668,-0.016700652632908125
2017-05-26,rev_5,467,-0.33995149420332516,-0.3641100472706535
2017-05-31,rev_5,469,-0.10107651968199761,-0.02327536375777752
2017-06-01,rev_5,468,0.346721736792894,0.3116276312145162
2017-06-02,rev_5,467,0.10158906222301306,0.0925057524090974
2017-06-05,rev_5,470,0.18443629339208348,0.29130469332339237
2017-06-06,rev_5,468,-0.028913178759585215,-0.045072437015590695
2017-06-07,rev_5,469,0.11465884751355213,0.03649819190727304
2017-06-08,rev_5,468,0.08445701031898831,0.13669784919507502
2017-06-09,rev_5,467,-0.026706995721972524,0.002809509621569713
2017-06-12,rev_5,471,-0.030295786098975302,0.14940467353263998
2017-06-13,rev_5,468,0.11314372122888178,0.18356180329275978
2017-06-14,rev_5,467,0.027194840448581777,0.044481329217295605
2017-06-15,rev_5,466,-0.00856789142765161,0.02709288877827684
2017-06-16,rev_5,466,0.09103508763436201,0.05853149903535919
2017-06-19,rev_5,467,0.23833131470487037,0.23575042258022133
2017-06-20,rev_5,466,0.14155677654647927,0.1697154236545845
2017-06-21,rev_5,468,-0.23728945424132483,-0.21422081183398875
2017-06-22,rev_5,468,0.04089615627877501,0.022991776330002833
2017-06-23,rev_5,467,0.039234669709248056,0.04939529747814848
2017-06-26,rev_5,467,-0.11397074502391298,-0.16790570954178835
2017-06-27,rev_5,468,-0.03041838914912228,-0.045091487583915554
2017-06-28,rev_5,431,0.06887466972855756,-0.07572832860942594
2017-06-29,rev_5,431,0.010604322471565458,0.07558042960189633
2017-06-30,rev_5,426,0.18552501091328527,0.21283745961363582
2017-07-03,rev_5,426,-0.08642505836453752,-0.05882636232337104
2017-07-04,rev_5,427,-0.19663230443098287,-0.1622537041440093
2017-07-05,rev_5,427,-0.25081775099288295,-0.2494575263826965
2017-07-06,rev_5,427,-0.08087586644278624,0.015922238650461478
2017-07-07,rev_5,474,0.40227155612506643,0.4377328013493508
2017-07-10,rev_5,474,-0.4011935656541313,-0.22434668663634683
2017-07-11,rev_5,474,-0.12374630024543437,-0.2412539301607134
2017-07-12,rev_5,476,0.0180229536074362,0.07351063130790765
2017-07-13,rev_5,474,-0.12447629080895437,-0.1331632460613533
2017-07-14,rev_5,473,-0.20138053252741728,-0.1607696442545629
2017-07-17,rev_5,472,-0.18937041765938004,-0.13917994204877268
2017-07-18,rev_5,471,-0.038890143726483736,0.028358812722704244
2017-07-19,rev_5,470,-0.14139611883628198,-0.10107596861039235
2017-07-20,rev_5,469,0.052172588257235836,0.04956396281096901
2017-07-21,rev_5,469,-0.006411468814792732,0.11681400367435904
2017-07-24,rev_5,470,-0.28103150902379465,-0.2168963537168201
2017-07-25,rev_5,472,0.3335646739430353,0.33593000626126646
2017-07-26,rev_5,471,-0.11520242317210205,0.07038052477183147
2017-07-27,rev_5,467,0.0510974130807486,0.05020723010295078
2017-07-28,rev_5,466,0.18914717399424105,0.11887627422405421
2017-07-31,rev_5,468,-0.09553537335868173,-0.09235843165522276
2017-08-01,rev_5,469,-0.0441267921675177,-0.0027332563051669103
2017-08-02,rev_5,469,0.36420889282513197,0.2755611200898926
2017-08-03,rev_5,469,-0.4261000244684923,-0.21735897140717647
2017-08-04,rev_5,466,0.17105206221371969,0.12840920735374556
2017-08-07,rev_5,464,-0.03786654866487281,0.020735140570209656
2017-08-08,rev_5,464,0.020630369225254012,0.0900433741824001
2017-08-09,rev_5,468,0.3032607090500005,0.19825656871530972
2017-08-10,rev_5,470,0.08765749090856935,0.16693822850237047
2017-08-11,rev_5,470,0.19629216859164458,0.1775872916439672
2017-08-14,rev_5,471,-0.025375664024565158,-0.14299776478305393
2017-08-15,rev_5,468,0.17463205172867213,0.1685561698015999
2017-08-16,rev_5,469,0.010746821410922851,0.08154891630498125
2017-08-17,rev_5,471,0.15354853852836536,0.23559324722911357
2017-08-18,rev_5,471,0.173666972897589,0.2095947806007207
2017-08-21,rev_5,472,0.19314226846059565,0.1258629946046594
2017-08-22,rev_5,472,-0.088275801946596,-0.07957439068448216
2017-08-23,rev_5,473,0.08911288558904233,0.1465524426517393
2017-08-24,rev_5,475,0.10756739944968371,0.24908942354325875
2017-08-25,rev_5,476,-0.024673271426366033,-0.006121468174776154
2017-08-28,rev_5,476,0.008120201375541472,0.05753825754540099
2017-08-29,rev_5,476,-0.07457933393805403,-0.06449092491946225
2017-08-30,rev_5,475,-0.20598356817923014,-0.11435465768058106
2017-08-31,rev_5,478,0.07036229430862317,0.11818124742845106
2017-09-01,rev_5,478,0.054487513113718675,0.11720285398164643
2017-09-04,rev_5,478,-0.1107683554378533,-0.0934527950503921
2017-09-05,rev_5,472,0.18485464287241693,0.30491639429466477
2017-09-06,rev_5,472,-0.10468810332879953,-0.05717226734174383
2017-09-07,rev_5,472,-0.21429140402634678,-0.07494693626440738
2017-09-08,rev_5,474,0.1474812443047994,0.11309841764743832
2017-09-11,rev_5,479,-0.1836824099961031,-0.02755318328547169
2017-09-12,rev_5,480,0.03527263097187654,0.018727329728117324
2017-09-13,rev_5,480,0.11543888892336347,0.07624858481188822
2017-09-14,rev_5,475,-0.14455525801962407,-0.020981477462572593
2017-09-15,rev_5,475,-0.019626756099258152,0.0743180876230423
2017-09-18,rev_5,478,0.038068202236692994,0.08370324265742886
2017-09-19,rev_5,478,0.18023245736742738,0.025747739441375646
2017-09-20,rev_5,478,-0.06270382907309484,-0.053805032866596075
2017-09-21,rev_5,479,0.030515979648026475,0.07666911069053214
2017-09-22,rev_5,478,0.07366167569567841,0.17337334539210836
2017-09-25,rev_5,477,-0.06377071103679495,0.06953338334630241
2017-09-26,rev_5,477,-0.26447356928157767,-0.2085690947125511
2017-09-27,rev_5,476,-0.17721231900908752,0.10006876622788613
2017-09-28,rev_5,473,0.0514425253360683,0.16019981049351917
2017-09-29,rev_5,473,0.1594726063661238,0.15229448234905973
2017-10-09,rev_5,474,0.2421149010775964,0.21014210809527292
2017-10-10,rev_5,474,-0.2190540193695318,-0.24348919362849253
2017-10-11,rev_5,474,0.15258251118731678,0.1454861638354672
2017-10-12,rev_5,473,0.14998353177319618,0.17099488433720178
2017-10-13,rev_5,473,-0.17006723532721538,-0.17995800241619214
2017-10-16,rev_5,475,-0.2111113695672595,-0.24800096967221016
2017-10-17,rev_5,476,0.009044109938315285,-0.012963894559212718
2017-10-18,rev_5,476,0.24633113175565813,0.3287672063561776
2017-10-19,rev_5,476,-0.20218962855067243,-0.16713403936241428
2017-10-20,rev_5,476,-0.019910391271067255,-0.052369736753848296
2017-10-23,rev_5,477,-0.0861736194934587,0.01153796504264285
2017-10-24,rev_5,477,0.1712336541743889,0.31651786321292424
2017-10-25,rev_5,476,-0.06134093925402243,-0.07846992355827413
2017-10-26,rev_5,475,-0.07993591140604892,-0.037529746651313374
2017-10-27,rev_5,475,0.04612564826985978,0.10034277286680776
2017-10-30,rev_5,476,-0.05941693242377204,-0.02104157153618419
2017-10-31,rev_5,476,0.006021340023167241,-0.08870406877321563
2017-11-01,rev_5,477,-0.1752951725270601,-0.1735752886689216
2017-11-02,rev_5,475,-0.11273684417884312,-0.0358811233204865
2017-11-03,rev_5,473,-0.059348866348079475,0.13584307090659206
2017-11-06,rev_5,473,0.22410204501645495,0.1885464991089232
2017-11-07,rev_5,475,-0.21072139783522426,-0.11506823721431643
2017-11-08,rev_5,476,-0.04080729914600469,-0.07318286598228126
2017-11-09,rev_5,476,-0.167781825002473,-0.06102360334182844
2017-11-10,rev_5,476,0.10055175610246998,0.13899241821282654
2017-11-13,rev_5,477,0.13113742810118056,0.12801688892548724
2017-11-14,rev_5,477,-0.1614068962058622,-0.06400417649551157
2017-11-15,rev_5,476,0.00934792962329807,-0.02790978376239693
2017-11-16,rev_5,477,-0.19130727082617233,-0.0711170437070834
2017-11-17,rev_5,475,-0.26262675091520543,-0.20162039603050014
2017-11-20,rev_5,473,0.24494465284644046,0.2460489484473964
2017-11-21,rev_5,471,0.17217470549667974,0.11359223356723856
2017-11-22,rev_5,468,0.1093933776948136,0.02937442825881888
2017-11-23,rev_5,466,0.23171172491516742,0.12917193357282689
2017-11-24,rev_5,465,-0.25320519836749,-0.15943402385373193
2017-11-27,rev_5,466,-0.17481849377007397,-0.19539559162970338
2017-11-28,rev_5,464,-0.039862686667435816,0.028836198427617615
2017-11-29,rev_5,464,0.2251160243668059,0.2636786846717936
2017-11-30,rev_5,464,0.09806599184262985,0.1407413645052899
2017-12-01,rev_5,464,0.06797813800007646,0.03644748388523694
2017-12-04,rev_5,464,-0.17963229788604712,-0.09009677064225685
2017-12-05,rev_5,461,0.15447615206401066,0.16171501820486783
2017-12-06,rev_5,463,0.1520107714335044,0.17472866451517313
2017-12-07,rev_5,463,0.0299861493630909,0.06655979458237167
2017-12-08,rev_5,461,0.04330751063350377,-0.003003881179358345
2017-12-11,rev_5,462,-0.1395677096319438,-0.13198482486250265
2017-12-12,rev_5,462,0.00043286375054095227,0.018510194930337547
2017-12-13,rev_5,464,0.01151967268425005,0.05214362966446832
2017-12-14,rev_5,464,0.08144886658210646,0.06521013054344792
2017-12-15,rev_5,464,0.06439460578120552,0.057500173525582704
2017-12-18,rev_5,464,-0.14787265780944514,-0.11083829897950367
2017-12-19,rev_5,462,0.03119303620846011,-0.009534069550286892
2017-12-20,rev_5,462,-0.045686077977170225,0.006036759171297061
2017-12-21,rev_5,466,-0.2268932376940675,-0.2108073461736116
2017-12-22,rev_5,464,0.01934659321865392,0.06247761183313019
2017-12-25,rev_5,464,0.22897340745351605,0.16530730191230056
2017-12-26,rev_5,465,0.07374197363048213,0.07665685654949082
2017-12-27,rev_5,425,0.016946323817582737,0.07661881936051422
2017-12-28,rev_5,420,-0.15899569381751844,-0.06362166654797177
2017-12-29,rev_5,415,0.25838671886913595,0.40549795687567824
2018-01-02,rev_5,415,-0.1641775256819057,-0.11628945386135389
2018-01-03,rev_5,415,0.02552592281363522,0.007154910300195189
2018-01-04,rev_5,415,-0.3232592043446993,-0.25539267961839124
2018-01-05,rev_5,415,0.07559167270777237,0.06425991071163023
2018-01-08,rev_5,459,0.026866957247687402,0.0720306412615047
2018-01-09,rev_5,459,0.10330699291777348,0.1304493002987072
2018-01-10,rev_5,459,-0.0951384195974962,-0.1075912979270459
2018-01-11,rev_5,460,-0.10723554071670044,-0.11060627177900942
2018-01-12,rev_5,460,-0.21132083814382693,-0.2015267472027299
2018-01-15,rev_5,460,0.3092757194805934,0.23165680250626564
2018-01-16,rev_5,457,0.004856144166481011,0.027775572197681345
2018-01-17,rev_5,457,0.03436696480041635,0.0875589364635721
2018-01-18,rev_5,457,-0.00018025464282907545,0.04848209882684339
2018-01-19,rev_5,457,-0.009136303752595663,0.055469413646341365
2018-01-22,rev_5,459,0.14209117387505024,0.1504504562783534
2018-01-23,rev_5,459,0.020069349553629483,-0.01967151983044746
2018-01-24,rev_5,459,-0.13477509893748787,-0.035798231225430896
2018-01-25,rev_5,459,-0.13774314058453466,-0.0753220932191103
2018-01-26,rev_5,461,0.04521468746582057,0.026062009478252535
2018-01-29,rev_5,460,-0.010095768425804773,0.0007117939862558275
2018-01-30,rev_5,459,-0.10620444052179306,-0.11570134814586136
2018-01-31,rev_5,454,-0.22843964978934977,-0.11224449721730063
2018-02-01,rev_5,449,-0.12324361291654103,-0.12559703888914797
2018-02-02,rev_5,448,-0.1186640215368068,-0.20810014211097583
2018-02-05,rev_5,449,0.26725175051438727,0.2559898365683103
2018-02-06,rev_5,447,0.3700371936324211,0.3880812608966247
2018-02-07,rev_5,448,0.14802807118853062,0.1147467673850153
2018-02-08,rev_5,452,-0.016409021676892697,0.10109731688006954
2018-02-09,rev_5,452,0.05893798044833884,0.14255787325626626
2018-02-12,rev_5,452,0.3408116019949277,0.2441291301985088
2018-02-13,rev_5,451,0.16038253488947793,0.16109904098354585
2018-02-14,rev_5,451,0.2894966082573132,0.3631611929350156
2018-02-22,rev_5,451,-0.1690373141141519,-0.13587085328089993
2018-02-23,rev_5,452,0.23386173622733405,0.19822716097669954
2018-02-26,rev_5,452,-0.08451107278566879,-0.10384375038289861
2018-02-27,rev_5,451,-0.17050304180997763,-0.1451124893743173
2018-02-28,rev_5,452,0.11939576266088153,0.1648557994817576
2018-03-01,rev_5,454,-0.29620021709077893,-0.33349389331898394
2018-03-02,rev_5,455,0.35001058888729897,0.3709893384090136
2018-03-05,rev_5,459,-0.11913366046422584,-0.02387430567110311
2018-03-06,rev_5,460,0.13708829797025346,0.06800645757661221
2018-03-07,rev_5,460,-0.024920321067502145,-0.09931721078020195
2018-03-08,rev_5,459,0.21395754465012987,0.24742040961653547
2018-03-09,rev_5,459,0.1781229867359133,0.21717385417616517
2018-03-12,rev_5,459,0.055347162243940755,0.012927504905069161
2018-03-13,rev_5,463,-0.04091383667331354,-0.05687602432641237
2018-03-14,rev_5,464,0.06386434126454107,0.07871733530591281
2018-03-15,rev_5,464,0.01186683328883244,0.0469398128884029
2018-03-16,rev_5,463,0.09545691036985539,0.14650976869527643
2018-03-19,rev_5,462,0.023640697987921833,0.023222728812021247
2018-03-20,rev_5,463,0.04863083921055606,0.08577038572616483
2018-03-21,rev_5,463,-0.19852344453567258,-0.2521817058345981
2018-03-22,rev_5,463,-0.05121955821976016,-0.02714438029165037
2018-03-23,rev_5,459,0.17210584583688254,0.2197766497361181
2018-03-26,rev_5,461,0.0747183200798512,0.01650468788518553
2018-03-27,rev_5,462,0.3432056290589383,0.3822735395890649
2018-03-28,rev_5,461,-0.27123288868399725,-0.2399340009255749
2018-03-29,rev_5,464,-0.07682396450677995,-0.06544810871380284
2018-03-30,rev_5,462,-0.006293948867927926,0.04306701680793109
2018-04-02,rev_5,464,0.40512773226517107,0.4254824044836121
2018-04-03,rev_5,462,-0.19507611419915893,-0.14728717151827295
2018-04-04,rev_5,460,0.18692393477950495,0.2246453981599114
2018-04-09,rev_5,462,0.10382943642561936,0.06873702596534527
2018-04-10,rev_5,462,-0.07279045876182849,-0.07126418751698893
