datetime,factor,quantile,mean_label,count
2020-04-02,ret_20,1,0.037101876,100
2020-04-02,ret_20,2,0.030545508,99
2020-04-02,ret_20,3,0.022213316,100
2020-04-02,ret_20,4,0.02216641,99
2020-04-02,ret_20,5,0.031784967,100
2020-04-03,ret_20,1,0.0052016466,100
2020-04-03,ret_20,2,0.0052540656,100
2020-04-03,ret_20,3,0.0025382414,99
2020-04-03,ret_20,4,0.0010996736,100
2020-04-03,ret_20,5,-0.0056772395,100
2020-04-07,ret_20,1,0.006790924,100
2020-04-07,ret_20,2,0.007139046,99
2020-04-07,ret_20,3,0.0053925733,100
2020-04-07,ret_20,4,0.008121271,99
2020-04-07,ret_20,5,0.014014747,100
2020-04-08,ret_20,1,-0.027102565,100
2020-04-08,ret_20,2,-0.02174835,100
2020-04-08,ret_20,3,-0.011497498,99
2020-04-08,ret_20,4,-0.011869674,100
2020-04-08,ret_20,5,-0.01688835,100
2020-04-09,ret_20,1,-0.014459334,100
2020-04-09,ret_20,2,-0.009866689,100
2020-04-09,ret_20,3,-0.0066190427,99
2020-04-09,ret_20,4,-0.0050835274,100
2020-04-09,ret_20,5,0.0016165643,100
2020-04-10,ret_20,1,0.028141668,100
2020-04-10,ret_20,2,0.019391,99
2020-04-10,ret_20,3,0.013935146,99
2020-04-10,ret_20,4,0.0149387615,99
2020-04-10,ret_20,5,0.018756054,100
2020-04-13,ret_20,1,-0.00076761487,100
2020-04-13,ret_20,2,-0.0087806815,99
2020-04-13,ret_20,3,-0.0028779483,99
2020-04-13,ret_20,4,-0.0029047227,99
2020-04-13,ret_20,5,-0.0038876568,100
2020-04-14,ret_20,1,0.0051173596,100
2020-04-14,ret_20,2,0.0025515405,99
2020-04-14,ret_20,3,0.005895621,99
2020-04-14,ret_20,4,0.005698623,99
2020-04-14,ret_20,5,0.0118145775,100
2020-04-15,ret_20,1,0.0019941158,100
2020-04-15,ret_20,2,0.0003606388,99
2020-04-15,ret_20,3,0.0023538622,99
2020-04-15,ret_20,4,-0.0004996224,99
2020-04-15,ret_20,5,-0.0076393024,100
2020-04-16,ret_20,1,0.007030764,100
2020-04-16,ret_20,2,0.0031384192,99
2020-04-16,ret_20,3,0.0053867875,100
2020-04-16,ret_20,4,0.011794008,99
2020-04-16,ret_20,5,0.017377008,100
2020-04-17,ret_20,1,-0.0034254473,100
2020-04-17,ret_20,2,-0.008621674,99
2020-04-17,ret_20,3,-0.007914817,99
2020-04-17,ret_20,4,-0.009139325,99
2020-04-17,ret_20,5,-0.0070736264,100
2020-04-20,ret_20,1,0.011389427,100
2020-04-20,ret_20,2,0.0068686944,100
2020-04-20,ret_20,3,0.0052634142,99
2020-04-20,ret_20,4,0.008823243,100
2020-04-20,ret_20,5,0.011962648,100
2020-04-21,ret_20,1,-0.009261905,100
2020-04-21,ret_20,2,-0.00041605486,99
2020-04-21,ret_20,3,-0.0050297244,100
2020-04-21,ret_20,4,-0.0010296655,99
2020-04-21,ret_20,5,0.0011053598,100
2020-04-22,ret_20,1,-0.02033001,100
2020-04-22,ret_20,2,-0.012173701,103
2020-04-22,ret_20,3,-0.017098887,96
2020-04-22,ret_20,4,-0.011813925,99
2020-04-22,ret_20,5,-0.01469588,100
2020-04-23,ret_20,1,-0.008172023,100
2020-04-23,ret_20,2,0.0013783436,99
2020-04-23,ret_20,3,-0.0028941405,100
2020-04-23,ret_20,4,0.0007361107,99
2020-04-23,ret_20,5,-0.0018582178,100
2020-04-24,ret_20,1,-0.01984668,100
2020-04-24,ret_20,2,-0.015262,99
2020-04-24,ret_20,3,-0.010913976,99
2020-04-24,ret_20,4,-0.013632692,99
2020-04-24,ret_20,5,-0.004452272,99
2020-04-27,ret_20,1,-0.0024913508,99
2020-04-27,ret_20,2,0.0027873057,99
2020-04-27,ret_20,3,0.0077599864,99
2020-04-27,ret_20,4,0.0028941578,99
2020-04-27,ret_20,5,-0.0067360457,99
2020-04-28,ret_20,1,0.030046515,99
2020-04-28,ret_20,2,0.02530676,99
2020-04-28,ret_20,3,0.019963251,98
2020-04-28,ret_20,4,0.02104396,99
2020-04-28,ret_20,5,0.017146925,99
2020-04-29,ret_20,1,0.017867554,99
2020-04-29,ret_20,2,0.01545333,99
2020-04-29,ret_20,3,0.012809408,98
2020-04-29,ret_20,4,0.011352119,99
2020-04-29,ret_20,5,0.01732464,99
2020-04-30,ret_20,1,-0.00089717924,100
2020-04-30,ret_20,2,-0.005325047,99
2020-04-30,ret_20,3,-0.0037680834,99
2020-04-30,ret_20,4,0.0017117509,99
2020-04-30,ret_20,5,0.00011202723,99
2020-05-06,ret_20,1,0.011576733,100
2020-05-06,ret_20,2,0.009265976,105
2020-05-06,ret_20,3,0.011904099,93
2020-05-06,ret_20,4,0.013393933,99
2020-05-06,ret_20,5,0.010369264,100
2020-05-07,ret_20,1,-0.003374687,100
2020-05-07,ret_20,2,-0.0014643109,100
2020-05-07,ret_20,3,0.002943747,99
2020-05-07,ret_20,4,0.00042779982,100
2020-05-07,ret_20,5,-0.0006294388,100
2020-05-08,ret_20,1,-0.008705683,100
2020-05-08,ret_20,2,-0.0039711082,99
2020-05-08,ret_20,3,-0.0012811535,100
2020-05-08,ret_20,4,0.0018069552,99
2020-05-08,ret_20,5,0.0068124877,100
2020-05-11,ret_20,1,0.004008311,100
2020-05-11,ret_20,2,0.0005000848,100
2020-05-11,ret_20,3,0.0036245228,99
2020-05-11,ret_20,4,0.0013720447,100
2020-05-11,ret_20,5,0.009467477,100
2020-05-12,ret_20,1,-0.008213196,100
2020-05-12,ret_20,2,-0.008637934,100
2020-05-12,ret_20,3,-0.008965724,99
2020-05-12,ret_20,4,-0.0069293045,100
2020-05-12,ret_20,5,-0.0070494353,100
2020-05-13,ret_20,1,-0.002853561,100
2020-05-13,ret_20,2,0.0047515184,100
2020-05-13,ret_20,3,0.0026373381,99
2020-05-13,ret_20,4,0.00038647413,100
2020-05-13,ret_20,5,0.006235012,100
2020-05-14,ret_20,1,0.0012333638,100
2020-05-14,ret_20,2,0.0007916748,100
2020-05-14,ret_20,3,-0.0010774358,99
2020-05-14,ret_20,4,-0.0010432958,100
2020-05-14,ret_20,5,-0.009378449,100
2020-05-15,ret_20,1,0.0017280942,100
2020-05-15,ret_20,2,0.0050265105,100
2020-05-15,ret_20,3,0.0061116307,99
2020-05-15,ret_20,4,0.010686752,100
2020-05-15,ret_20,5,0.020384936,100
2020-05-18,ret_20,1,-0.0056670927,100
2020-05-18,ret_20,2,-0.005278593,99
2020-05-18,ret_20,3,-0.0059259105,99
2020-05-18,ret_20,4,-0.005871453,99
2020-05-18,ret_20,5,-0.015239043,100
2020-05-19,ret_20,1,-0.0030338466,100
2020-05-19,ret_20,2,-0.008763239,99
2020-05-19,ret_20,3,-0.0016282046,100
2020-05-19,ret_20,4,-0.012369152,99
2020-05-19,ret_20,5,-0.012087192,100
2020-05-20,ret_20,1,-0.016912587,100
2020-05-20,ret_20,2,-0.014610096,99
2020-05-20,ret_20,3,-0.01439101,100
2020-05-20,ret_20,4,-0.019088166,99
2020-05-20,ret_20,5,-0.01467614,100
2020-05-21,ret_20,1,-0.005034447,100
2020-05-21,ret_20,2,-0.00544577,100
2020-05-21,ret_20,3,-0.00054262445,99
2020-05-21,ret_20,4,-0.0032882285,100
2020-05-21,ret_20,5,0.0032647282,100
2020-05-22,ret_20,1,0.022115316,100
2020-05-22,ret_20,2,0.012410982,100
2020-05-22,ret_20,3,0.016949238,99
2020-05-22,ret_20,4,0.017010326,100
2020-05-22,ret_20,5,0.02433208,100
2020-05-25,ret_20,1,-0.01008863,100
2020-05-25,ret_20,2,-0.0064997934,99
2020-05-25,ret_20,3,-0.0014134622,100
2020-05-25,ret_20,4,-0.0010238404,99
2020-05-25,ret_20,5,-0.004924597,100
2020-05-26,ret_20,1,-0.0069006043,100
2020-05-26,ret_20,2,0.002067386,99
2020-05-26,ret_20,3,0.0020189732,100
2020-05-26,ret_20,4,-0.00011749099,99
2020-05-26,ret_20,5,-0.0008778149,100
2020-05-27,ret_20,1,0.007599511,100
2020-05-27,ret_20,2,0.0013679477,99
2020-05-27,ret_20,3,0.003098045,100
2020-05-27,ret_20,4,0.009154249,99
2020-05-27,ret_20,5,0.012219926,100
2020-05-28,ret_20,1,0.0339968,100
2020-05-28,ret_20,2,0.024505626,99
2020-05-28,ret_20,3,0.02504088,99
2020-05-28,ret_20,4,0.029327253,99
2020-05-28,ret_20,5,0.030056095,100
2020-05-29,ret_20,1,0.008065102,100
2020-05-29,ret_20,2,0.0062541496,99
2020-05-29,ret_20,3,0.004418045,99
2020-05-29,ret_20,4,0.0075659724,99
2020-05-29,ret_20,5,-0.011860513,99
2020-06-01,ret_20,1,0.001788444,99
2020-06-01,ret_20,2,-0.0015589137,99
2020-06-01,ret_20,3,-0.00207328,99
2020-06-01,ret_20,4,-0.00069036806,99
2020-06-01,ret_20,5,0.0024143101,99
2020-06-02,ret_20,1,-0.0053560347,100
2020-06-02,ret_20,2,0.0010763058,99
2020-06-02,ret_20,3,0.004132151,99
2020-06-02,ret_20,4,0.003658273,99
2020-06-02,ret_20,5,0.0050189323,100
2020-06-03,ret_20,1,0.00040693342,100
2020-06-03,ret_20,2,0.0017082583,99
2020-06-03,ret_20,3,0.0027035163,99
2020-06-03,ret_20,4,0.0004858519,99
2020-06-03,ret_20,5,-0.0009485152,99
2020-06-04,ret_20,1,0.0026235592,100
2020-06-04,ret_20,2,0.0004832859,99
2020-06-04,ret_20,3,0.0042025913,99
2020-06-04,ret_20,4,0.0027574801,99
2020-06-04,ret_20,5,-0.0091634635,100
2020-06-05,ret_20,1,0.0057791537,100
2020-06-05,ret_20,2,0.0040730685,99
2020-06-05,ret_20,3,0.003385438,99
2020-06-05,ret_20,4,0.0033930251,99
2020-06-05,ret_20,5,0.007407416,100
2020-06-08,ret_20,1,-0.003817513,100
2020-06-08,ret_20,2,-0.004955911,99
2020-06-08,ret_20,3,-0.0051176124,99
2020-06-08,ret_20,4,-0.0018786234,99
2020-06-08,ret_20,5,0.0080877105,100
2020-06-09,ret_20,1,-0.0036354894,100
2020-06-09,ret_20,2,-0.0046170526,99
2020-06-09,ret_20,3,-0.004652685,99
2020-06-09,ret_20,4,-0.0053893137,99
2020-06-09,ret_20,5,-0.0073349313,100
2020-06-10,ret_20,1,0.00017383754,100
2020-06-10,ret_20,2,-0.0011791948,99
2020-06-10,ret_20,3,-0.0016670071,99
2020-06-10,ret_20,4,0.002656924,99
2020-06-10,ret_20,5,0.006269779,100
2020-06-11,ret_20,1,-0.0024878192,100
2020-06-11,ret_20,2,-0.0013245302,100
2020-06-11,ret_20,3,-0.00065144146,99
2020-06-11,ret_20,4,-0.0013622284,100
2020-06-11,ret_20,5,0.0004921377,100
2020-06-12,ret_20,1,0.021851258,100
2020-06-12,ret_20,2,0.012890795,100
2020-06-12,ret_20,3,0.015352632,99
2020-06-12,ret_20,4,0.01659259,100
2020-06-12,ret_20,5,0.023167897,100
2020-06-15,ret_20,1,0.0058067213,100
2020-06-15,ret_20,2,0.0035309547,100
