factor,full_coverage,infinite_fraction,coverage_A,coverage_B,coverage_C,coverage_D,worst_era_coverage
alpha360_OPEN27,0.9535953775330881,0.0,0.943032615545615,0.8977781997591519,0.9822903802276941,0.9974255273782748,0.8977781997591519
alpha360_OPEN28,0.9534173818369096,0.0,0.9428187199319776,0.8973868044451032,0.9822109249620361,0.9974193370887756,0.8973868044451032
alpha360_OPEN29,0.9532422473236646,0.0,0.9426105694484587,0.8969960921944299,0.9821328396147515,0.9974152102291095,0.8969960921944299
alpha360_OPEN3,0.9620665872562912,0.0,0.9531904475279589,0.9160918119144013,0.9860103935706991,0.9981319081911286,0.9160918119144013
alpha360_OPEN30,0.9530761481249463,0.0,0.9424267252846712,0.8966094783240084,0.9820540693082803,0.9974110833694434,0.8966094783240084
alpha360_OPEN31,0.952911705400558,0.0,0.942230065061389,0.8962426732914707,0.9819814636344893,0.997408332129666,0.8962426732914707
alpha360_OPEN32,0.9527572015221493,0.0,0.9420568272916661,0.8958902125898143,0.9819006384504579,0.997408332129666,0.8958902125898143
alpha360_OPEN33,0.9526037517637687,0.0,0.9418835895219433,0.8955391180149085,0.9818246079807335,0.9974069565097772,0.8955391180149085
alpha360_OPEN34,0.9524631020343011,0.0,0.941734658071952,0.8952091984046372,0.9817499474293824,0.9974035174600554,0.8952091984046372
alpha360_OPEN35,0.9523201934762018,0.0,0.941573794428638,0.8948874755548695,0.9816732320004713,0.9974021418401667,0.8948874755548695
alpha360_OPEN36,0.952174122558018,0.0,0.9414063017890335,0.8945589220713487,0.9815985714491202,0.9974014540302224,0.8945589220713487
alpha360_OPEN37,0.9520363340114839,0.0,0.9412635574022467,0.8942317347145785,0.9815232259385824,0.9973993906003893,0.8942317347145785
alpha360_OPEN38,0.9518968889906199,0.0,0.9411186033500296,0.8938977167240554,0.9814526751423517,0.9973952637407232,0.8938977167240554
alpha360_OPEN39,0.9517591004440857,0.0,0.9409701138331243,0.8935705293672852,0.9813869190604277,0.9973925125009457,0.8935705293672852
alpha360_OPEN4,0.9611591405006468,0.0,0.9521134565973097,0.9141689885129232,0.9856124322832224,0.9979991608718679,0.9141689885129232
alpha360_OPEN40,0.9516318530978328,0.0,0.9408379758404021,0.8932583694047718,0.9813245877744374,0.9973938881208344,0.8932583694047718
alpha360_OPEN41,0.9515071657573626,0.0,0.9406969991859593,0.8929660182801421,0.9812677361619407,0.9973952637407232,0.8929660182801421
alpha360_OPEN42,0.9513904596113911,0.0,0.9405759095203877,0.8926784485991395,0.9812101995902575,0.9973980149805006,0.8926784485991395
alpha360_OPEN43,0.9512728499339669,0.0,0.940452610189386,0.8923895127913863,0.9811540329369475,0.9974000784103336,0.8923895127913863
alpha360_OPEN44,0.9511550896679672,0.0,0.9403262173267821,0.8921060414906355,0.9810971813244508,0.9974014540302224,0.8921060414906355
alpha360_OPEN45,0.9510412447049292,0.0,0.9402161759883613,0.89181164117588,0.9810410146711408,0.9974055808898885,0.89181164117588
alpha360_OPEN46,0.9509307126905511,0.0,0.940115415244747,0.8915220223047514,0.9809848480178308,0.9974055808898885,0.8915220223047514
alpha360_OPEN47,0.9508240959791344,0.0,0.9400146545011326,0.891246064701129,0.9809321061604545,0.9974062686998328,0.891246064701129
alpha360_OPEN48,0.9507179310334443,0.0,0.9399108002259162,0.8909803530481362,0.9808773094255179,0.9974055808898885,0.8909803530481362
alpha360_OPEN49,0.9506198978708281,0.0,0.9398312522704312,0.890720788965521,0.980816348057901,0.9974042052699998,0.890720788965521
alpha360_OPEN5,0.9603580092792681,0.0,0.9511982131761466,0.9124476688071596,0.9852336498529735,0.9978781063216612,0.9124476688071596
alpha360_OPEN50,0.9505208105881839,0.0,0.9397353527907633,0.8904748861504119,0.9807615513229644,0.9974035174600554,0.8904748861504119
alpha360_OPEN51,0.9504236809570206,0.0,0.9396403371772674,0.8902412784760583,0.980704014751281,0.9974007662202781,0.8902412784760583
alpha360_OPEN52,0.9503259489715553,0.0,0.9395448796306853,0.8900124522453318,0.9806416834652907,0.9973959515506675,0.8900124522453318
alpha360_OPEN53,0.9502252052145812,0.0,0.9394357221584365,0.8897904566483583,0.9805800371384871,0.9973911368810571,0.8897904566483583
alpha360_OPEN54,0.9501369603093691,0.0,0.939363245132328,0.8895670949246341,0.9805211306484303,0.9973849465915579,0.8895670949246341
alpha360_OPEN55,0.9500530824728451,0.0,0.9392916519723915,0.8893560283416656,0.9804663339134938,0.9973808197318916,0.8893560283416656
alpha360_OPEN56,0.949976282299367,0.0,0.9392368522697241,0.8891470109488229,0.9804156469336774,0.9973766928722255,0.8891470109488229
alpha360_OPEN57,0.9499043009603033,0.0,0.9391948686265515,0.8889379935559801,0.9803683847497947,0.9973711903926707,0.8889379935559801
alpha360_OPEN58,0.9498273501982498,0.0,0.9391409527900562,0.8887173640857572,0.9803259172802189,0.9973684391528933,0.8887173640857572
alpha360_OPEN59,0.9497594347507232,0.0,0.9390972014145395,0.88852064183367,0.9802868746065766,0.9973636244832828,0.88852064183367
alpha360_OPEN6,0.9597422525942647,0.0,0.9505132168928039,0.9110911049438077,0.9849356926067561,0.9977969447482272,0.9110911049438077
alpha360_OPEN7,0.959205554911371,0.0,0.9499311910185055,0.9098868642131486,0.9846726682790606,0.9977281637537916,0.9098868642131486
alpha360_OPEN8,0.9587090643781219,0.0,0.9493951261851541,0.908778935418407,0.9844212882575392,0.9976628218090777,0.908778935418407
alpha360_OPEN9,0.9582413362627831,0.0,0.9488749709428996,0.9077686846863339,0.9841719631135779,0.9976036701538631,0.9077686846863339
alpha360_VWAP10,0.9578067376340427,0.0,0.948369399492484,0.9068588442704303,0.9839459265819646,0.9975486453583146,0.9068588442704303
alpha360_VWAP11,0.9574786051281433,0.0,0.9479482372614998,0.9061511906136164,0.983823318887544,0.9975410794489267,0.9061511906136164
alpha360_VWAP12,0.957176373857221,0.0,0.9475712683391182,0.9054886191395723,0.9837055059074306,0.9975328257295945,0.9054886191395723
alpha360_VWAP13,0.9568682696318561,0.0,0.9471735285616935,0.9048308291091556,0.9835897478048771,0.9975231963903735,0.9048308291091556
alpha360_VWAP14,0.956566791303811,0.0,0.9467828597136451,0.9041901156631214,0.983475359620697,0.9975142548610968,0.9041901156631214
alpha360_VWAP15,0.9562800706561596,0.0,0.9464173810515002,0.903573992498598,0.9833657661508239,0.9975039377119315,0.903573992498598
alpha360_VWAP16,0.9560153359405236,0.0,0.9460806280399472,0.9030015853900941,0.9832657621095647,0.9974956839925991,0.9030015853900941
alpha360_VWAP17,0.9557513541677647,0.0,0.9457350363666737,0.9024414734223456,0.9831698678234257,0.9974881180832113,0.9024414734223456
alpha360_VWAP18,0.9555004736010698,0.0,0.9454155187454757,0.9018957057854785,0.9830787682515937,0.9974805521738234,0.9018957057854785
alpha360_VWAP19,0.9552556165773928,0.0,0.945099536588966,0.9013704300498705,0.9829883536389484,0.9974736740743798,0.9013704300498705
alpha360_VWAP20,0.9550175360396108,0.0,0.9448003478897253,0.9008594986451438,0.9828890345568759,0.9974661081649918,0.9008594986451438
alpha360_VWAP21,0.9547936108279209,0.0,0.944507788186775,0.90038886797956,0.9828040996177243,0.9974578544456596,0.90038886797956
alpha360_VWAP22,0.9545812809365405,0.0,0.9442426283351585,0.899929166327981,0.9827198496377594,0.9974482251064386,0.899929166327981
alpha360_VWAP23,0.9543638310335948,0.0,0.9439628846917031,0.899466732422901,0.9826342297394209,0.9974420348169394,0.899466732422901
alpha360_VWAP24,0.9541635482282501,0.0,0.9437171698958717,0.8990288887993317,0.9825472399227092,0.9974379079572733,0.8990288887993317
alpha360_VWAP25,0.9539601030628211,0.0,0.9434599648398037,0.8985971927461401,0.9824575102692507,0.9974337810976072,0.8985971927461401
alpha360_VWAP26,0.9537787944179826,0.0,0.9432500466239406,0.8981900869744596,0.9823705204525388,0.9974296542379409,0.8981900869744596
alpha360_VWAP27,0.9535953775330881,0.0,0.943032615545615,0.8977781997591519,0.9822903802276941,0.9974255273782748,0.8977781997591519
alpha360_VWAP28,0.9534173818369096,0.0,0.9428187199319776,0.8973868044451032,0.9822109249620361,0.9974193370887756,0.8973868044451032
alpha360_VWAP29,0.9532422473236646,0.0,0.9426105694484587,0.8969960921944299,0.9821328396147515,0.9974152102291095,0.8969960921944299
alpha360_VWAP3,0.9620665872562912,0.0,0.9531904475279589,0.9160918119144013,0.9860103935706991,0.9981319081911286,0.9160918119144013
alpha360_VWAP30,0.9530761481249463,0.0,0.9424267252846712,0.8966094783240084,0.9820540693082803,0.9974110833694434,0.8966094783240084
alpha360_VWAP31,0.952911705400558,0.0,0.942230065061389,0.8962426732914707,0.9819814636344893,0.997408332129666,0.8962426732914707
alpha360_VWAP32,0.9527572015221493,0.0,0.9420568272916661,0.8958902125898143,0.9819006384504579,0.997408332129666,0.8958902125898143
alpha360_VWAP33,0.9526037517637687,0.0,0.9418835895219433,0.8955391180149085,0.9818246079807335,0.9974069565097772,0.8955391180149085
alpha360_VWAP34,0.9524631020343011,0.0,0.941734658071952,0.8952091984046372,0.9817499474293824,0.9974035174600554,0.8952091984046372
alpha360_VWAP35,0.9523201934762018,0.0,0.941573794428638,0.8948874755548695,0.9816732320004713,0.9974021418401667,0.8948874755548695
alpha360_VWAP36,0.952174122558018,0.0,0.9414063017890335,0.8945589220713487,0.9815985714491202,0.9974014540302224,0.8945589220713487
alpha360_VWAP37,0.9520363340114839,0.0,0.9412635574022467,0.8942317347145785,0.9815232259385824,0.9973993906003893,0.8942317347145785
alpha360_VWAP38,0.9518968889906199,0.0,0.9411186033500296,0.8938977167240554,0.9814526751423517,0.9973952637407232,0.8938977167240554
alpha360_VWAP39,0.9517591004440857,0.0,0.9409701138331243,0.8935705293672852,0.9813869190604277,0.9973925125009457,0.8935705293672852
