factor,cluster_id_0_7,proposal_role_0_7,proposed_representative_0_7,representation_sign_0_7,cluster_id_0_85,proposal_role_0_85,proposed_representative_0_85,representation_sign_0_85,cluster_id_0_95,proposal_role_0_95,proposed_representative_0_95,representation_sign_0_95,cluster_id_0_995,proposal_role_0_995,proposed_representative_0_995,representation_sign_0_995,user_decision,replacement_authority,canonical_representation_proposal
alpha158_CORD5,3d98f2e823046ee142e9,proposed_representative,alpha158_CORD5,1.0,d5a17e2d5b78a507fac1,proposed_representative,alpha158_CORD5,1.0,0d495298578d1efc9d18,proposed_representative,alpha158_CORD5,1.0,8b1b8a3355693cfef9d2,proposed_representative,alpha158_CORD5,1.0,pending,none_proposal_only,
alpha158_CORD60,67a0a5f4dd2913c3a06a,proposed_representative,alpha158_CORD60,1.0,ee1914b04993cbfcfdf0,proposed_representative,alpha158_CORD60,1.0,abcb39d6433b8afd507a,proposed_representative,alpha158_CORD60,1.0,c6e1bdb112c357ea3f27,proposed_representative,alpha158_CORD60,1.0,pending,none_proposal_only,
alpha158_CORR10,d9616667058381ef68dc,proposed_representative,alpha158_CORR10,1.0,1b87df472e386a2274ae,proposed_representative,alpha158_CORR10,1.0,a2d1a924f5fc0e215038,proposed_representative,alpha158_CORR10,1.0,a57fc0dd3ede3a735bc9,proposed_representative,alpha158_CORR10,1.0,pending,none_proposal_only,
alpha158_CORR20,0b4afbeca84160affc0b,retain_horizon_or_semantic_variant,alpha158_CORR20,1.0,ce1953d5155d1b3d4166,proposed_representative,alpha158_CORR20,1.0,dd3a084657f04673ea64,proposed_representative,alpha158_CORR20,1.0,7d8f646bd55a94c7526f,proposed_representative,alpha158_CORR20,1.0,pending,none_proposal_only,
alpha158_CORR30,0b4afbeca84160affc0b,retain_horizon_or_semantic_variant,alpha158_CORR30,1.0,2857a87c99d5e649be37,proposed_representative,alpha158_CORR30,1.0,818eff8fd93ce094e6a2,proposed_representative,alpha158_CORR30,1.0,d2daa33daa1bae7ddcb8,proposed_representative,alpha158_CORR30,1.0,pending,none_proposal_only,
alpha158_CORR5,ab1aa211315bbd8dbd8f,proposed_representative,alpha158_CORR5,1.0,64ff92670d1fc7a450a0,proposed_representative,alpha158_CORR5,1.0,957e44f0d279c7d75a9a,proposed_representative,alpha158_CORR5,1.0,b702894686ea328a34dd,proposed_representative,alpha158_CORR5,1.0,pending,none_proposal_only,
alpha158_CORR60,1f29a4164dbaa92e277d,proposed_representative,alpha158_CORR60,1.0,cfc2852027b8fa833e78,proposed_representative,alpha158_CORR60,1.0,ac219d870aee34fcb105,proposed_representative,alpha158_CORR60,1.0,d592ff8809b35ae23d92,proposed_representative,alpha158_CORR60,1.0,pending,none_proposal_only,
alpha158_IMAX20,88dafc1e34f55dfda573,retain_horizon_or_semantic_variant,alpha158_IMAX20,1.0,d051b694375e548a949d,proposed_representative,alpha158_IMAX20,1.0,6925bc5a09a02bded0f5,proposed_representative,alpha158_IMAX20,1.0,967539051fecb0a01e35,proposed_representative,alpha158_IMAX20,1.0,pending,none_proposal_only,
alpha158_IMAX30,b688a2e44a76ff1046be,retain_horizon_or_semantic_variant,alpha158_IMAX30,1.0,5d0a2536eadffa31c504,proposed_representative,alpha158_IMAX30,1.0,a06b551e0969a2bf0981,proposed_representative,alpha158_IMAX30,1.0,4f8d55f9df820e7c7284,proposed_representative,alpha158_IMAX30,1.0,pending,none_proposal_only,
alpha158_IMAX60,c3d8620de09032791bb7,retain_horizon_or_semantic_variant,alpha158_IMAX60,1.0,0ea703d9c7528e585a4a,proposed_representative,alpha158_IMAX60,1.0,606f3f7b79b6888414b8,proposed_representative,alpha158_IMAX60,1.0,70dc3bf4c1a363dcbd44,proposed_representative,alpha158_IMAX60,1.0,pending,none_proposal_only,
alpha158_IMIN20,ed504586af73b9136812,proposed_representative,alpha158_IMIN20,1.0,4d038426683be578092e,proposed_representative,alpha158_IMIN20,1.0,a7fbb75b889b8efd2021,proposed_representative,alpha158_IMIN20,1.0,41eb086ec42546f58afa,proposed_representative,alpha158_IMIN20,1.0,pending,none_proposal_only,
alpha158_IMIN30,0d32654d4acac8673d96,retain_horizon_or_semantic_variant,alpha158_IMIN30,1.0,6ecdf74759887a6c3d0c,proposed_representative,alpha158_IMIN30,1.0,687536b7e6b2f3329e2c,proposed_representative,alpha158_IMIN30,1.0,ce4411bf34c689130567,proposed_representative,alpha158_IMIN30,1.0,pending,none_proposal_only,
alpha158_IMIN60,496b9558f6b15d4d6131,proposed_representative,alpha158_IMIN60,1.0,ca009d62ffb4e38d4f51,proposed_representative,alpha158_IMIN60,1.0,7c87da6c37f06abd362a,proposed_representative,alpha158_IMIN60,1.0,b067806ca732b09822b3,proposed_representative,alpha158_IMIN60,1.0,pending,none_proposal_only,
alpha158_IMXD20,88dafc1e34f55dfda573,retain_horizon_or_semantic_variant,alpha158_IMXD20,1.0,1c87baddb1ca72c9f1f5,proposed_representative,alpha158_IMXD20,1.0,c9661f47c4971f2f2fbf,proposed_representative,alpha158_IMXD20,1.0,283c0a8bed4026efdb61,proposed_representative,alpha158_IMXD20,1.0,pending,none_proposal_only,
alpha158_IMXD30,b688a2e44a76ff1046be,retain_horizon_or_semantic_variant,alpha158_IMXD30,1.0,3947a64400c86cab4da5,proposed_representative,alpha158_IMXD30,1.0,ad0a840e4f9e0584489f,proposed_representative,alpha158_IMXD30,1.0,5c4871a5af3b1c69b752,proposed_representative,alpha158_IMXD30,1.0,pending,none_proposal_only,
alpha158_IMXD60,c3d8620de09032791bb7,retain_horizon_or_semantic_variant,alpha158_IMXD60,1.0,5bda4ea1edbf84b2c299,proposed_representative,alpha158_IMXD60,1.0,695e482b6e8b4adf0ec3,proposed_representative,alpha158_IMXD60,1.0,1cb5ae70952107981baf,proposed_representative,alpha158_IMXD60,1.0,pending,none_proposal_only,
alpha158_KLEN,ec24da66ac1559d1336f,proposed_representative,alpha158_KLEN,1.0,92de1d9fafb10d19e62d,proposed_representative,alpha158_KLEN,1.0,746cf6d53ce5701f6c91,proposed_representative,alpha158_KLEN,1.0,c60d267958733d9341d3,proposed_representative,alpha158_KLEN,1.0,pending,none_proposal_only,
alpha158_KLOW,9df67f90fa34b907a6a3,proposed_representative,alpha158_KLOW,1.0,85c3918a22d6e0e6b04f,proposed_representative,alpha158_KLOW,1.0,a57b0dd3dd119034bd0c,proposed_representative,alpha158_KLOW,1.0,d01d091f629f220567f7,proposed_representative,alpha158_KLOW,1.0,pending,none_proposal_only,
alpha158_KUP,28f83ec655f723919f67,proposed_representative,alpha158_KUP,1.0,b3733a70b7e7cecb1829,proposed_representative,alpha158_KUP,1.0,26d9a7d152ec948b54ee,proposed_representative,alpha158_KUP,1.0,4b1e4c10cd819ec38598,proposed_representative,alpha158_KUP,1.0,pending,none_proposal_only,
alpha158_LOW0,ad1034067c984367899a,retain_horizon_or_semantic_variant,alpha158_LOW0,1.0,6e8b881c5b29083f2cd9,retain_horizon_or_semantic_variant,alpha158_LOW0,1.0,a2854e4f9bc320479b60,retain_horizon_or_semantic_variant,alpha158_LOW0,1.0,a7d29ec1593b64cb89bb,retain_horizon_or_semantic_variant,alpha158_LOW0,1.0,pending,none_proposal_only,alpha158_LOW0
alpha158_MA10,1e4d503306f15d3a7192,retain_horizon_or_semantic_variant,alpha158_MA10,1.0,b855fce0089e165b279c,retain_horizon_or_semantic_variant,alpha158_MA10,1.0,6b05b7d62e5cb0568aab,proposed_representative,alpha158_MA10,1.0,09b333d1eced136ffe86,proposed_representative,alpha158_MA10,1.0,pending,none_proposal_only,
alpha158_MA20,dc7dc4ccc1bcc1a729c0,retain_horizon_or_semantic_variant,alpha158_MA20,1.0,e7b56d64b308b6a6b331,retain_horizon_or_semantic_variant,alpha158_MA20,1.0,b3cff2ec39c6610409a0,proposed_representative,alpha158_MA20,1.0,c5c2279889353b96306d,proposed_representative,alpha158_MA20,1.0,pending,none_proposal_only,
alpha158_MA30,dc7dc4ccc1bcc1a729c0,retain_horizon_or_semantic_variant,alpha158_MA30,1.0,760344d19d910c88a231,retain_horizon_or_semantic_variant,alpha158_MA30,1.0,9c705929f3daf5f4d669,proposed_representative,alpha158_MA30,1.0,21af19e53c7b130cc690,proposed_representative,alpha158_MA30,1.0,pending,none_proposal_only,
alpha158_MA5,4d67c4edaacfd610ed74,retain_horizon_or_semantic_variant,alpha158_MA5,1.0,2cf2e4c7943d89b5b2db,retain_horizon_or_semantic_variant,alpha158_MA5,1.0,e4b08206906026a54081,proposed_representative,alpha158_MA5,1.0,5a1294d667e1e4495db8,proposed_representative,alpha158_MA5,1.0,pending,none_proposal_only,
alpha158_MA60,084d1953fa6e95c9d420,retain_horizon_or_semantic_variant,alpha158_MA60,1.0,2cd8ec2f71b681c8a2d8,retain_horizon_or_semantic_variant,alpha158_MA60,1.0,f54e5e62df1e43ff212a,proposed_representative,alpha158_MA60,1.0,9226cf5da77330476c1d,proposed_representative,alpha158_MA60,1.0,pending,none_proposal_only,
alpha158_MAX5,d5f57684274e9e6b64f9,proposed_representative,alpha158_MAX5,1.0,f1260a1077021ff345c4,proposed_representative,alpha158_MAX5,1.0,4e31f53de96f4fe76409,proposed_representative,alpha158_MAX5,1.0,6ac3d5e9ccb70d974bcb,proposed_representative,alpha158_MAX5,1.0,pending,none_proposal_only,
alpha158_MIN10,ed238e002c5beff52395,retain_horizon_or_semantic_variant,alpha158_MIN10,1.0,0ea75c2af358cad5a82c,proposed_representative,alpha158_MIN10,1.0,7eddb9d31590178b5e79,proposed_representative,alpha158_MIN10,1.0,82bcce09bc2024dba8bd,proposed_representative,alpha158_MIN10,1.0,pending,none_proposal_only,
alpha158_MIN20,57eec38f5d9f31f5a342,retain_horizon_or_semantic_variant,alpha158_MIN20,1.0,acac013a5a2e88814f49,retain_horizon_or_semantic_variant,alpha158_MIN20,1.0,ff382c63050eae78fd72,proposed_representative,alpha158_MIN20,1.0,2a6ff4627ffc914b3150,proposed_representative,alpha158_MIN20,1.0,pending,none_proposal_only,
alpha158_MIN30,57eec38f5d9f31f5a342,retain_horizon_or_semantic_variant,alpha158_MIN30,1.0,acac013a5a2e88814f49,retain_horizon_or_semantic_variant,alpha158_MIN30,1.0,4bc4fecdde240cfdaf85,proposed_representative,alpha158_MIN30,1.0,c51c9e7c70356696ffeb,proposed_representative,alpha158_MIN30,1.0,pending,none_proposal_only,
alpha158_MIN5,ed238e002c5beff52395,retain_horizon_or_semantic_variant,alpha158_MIN5,1.0,9bd859cd4f410c55cb68,proposed_representative,alpha158_MIN5,1.0,b703bc6e3ba9f1ff132b,proposed_representative,alpha158_MIN5,1.0,001c3dcf6b9a48f57a67,proposed_representative,alpha158_MIN5,1.0,pending,none_proposal_only,
alpha158_MIN60,57eec38f5d9f31f5a342,retain_horizon_or_semantic_variant,alpha158_MIN60,1.0,d19a1d0786470217e2b9,retain_horizon_or_semantic_variant,alpha158_MIN60,1.0,7e3a42ece612bc550b0a,proposed_representative,alpha158_MIN60,1.0,19268328b54e82b3c381,proposed_representative,alpha158_MIN60,1.0,pending,none_proposal_only,
alpha158_QTLD10,1e4d503306f15d3a7192,retain_horizon_or_semantic_variant,alpha158_QTLD10,1.0,b855fce0089e165b279c,retain_horizon_or_semantic_variant,alpha158_QTLD10,1.0,d4bfc5abb71b2854488c,proposed_representative,alpha158_QTLD10,1.0,fb7557c9568196899c11,proposed_representative,alpha158_QTLD10,1.0,pending,none_proposal_only,
alpha158_QTLD20,dc7dc4ccc1bcc1a729c0,retain_horizon_or_semantic_variant,alpha158_QTLD20,1.0,333854b667bd90f28686,retain_horizon_or_semantic_variant,alpha158_QTLD20,1.0,d18607793b10513d7c92,proposed_representative,alpha158_QTLD20,1.0,70d695c0466b6ce16dfe,proposed_representative,alpha158_QTLD20,1.0,pending,none_proposal_only,
alpha158_QTLD30,dc7dc4ccc1bcc1a729c0,retain_horizon_or_semantic_variant,alpha158_QTLD30,1.0,333854b667bd90f28686,retain_horizon_or_semantic_variant,alpha158_QTLD30,1.0,72be48e7eef52752b78b,proposed_representative,alpha158_QTLD30,1.0,441d65ed10f07afea38c,proposed_representative,alpha158_QTLD30,1.0,pending,none_proposal_only,
alpha158_QTLD5,4d67c4edaacfd610ed74,retain_horizon_or_semantic_variant,alpha158_QTLD5,1.0,2cf2e4c7943d89b5b2db,retain_horizon_or_semantic_variant,alpha158_QTLD5,1.0,4f4724d28de02af01da1,proposed_representative,alpha158_QTLD5,1.0,ff47388823cb8e7f9d27,proposed_representative,alpha158_QTLD5,1.0,pending,none_proposal_only,
alpha158_QTLD60,57eec38f5d9f31f5a342,retain_horizon_or_semantic_variant,alpha158_QTLD60,1.0,d19a1d0786470217e2b9,retain_horizon_or_semantic_variant,alpha158_QTLD60,1.0,2ca59647a619fb84db87,proposed_representative,alpha158_QTLD60,1.0,83c3ab7fe46dbc2c850b,proposed_representative,alpha158_QTLD60,1.0,pending,none_proposal_only,
alpha158_QTLU20,dc7dc4ccc1bcc1a729c0,retain_horizon_or_semantic_variant,alpha158_QTLU20,1.0,e7b56d64b308b6a6b331,retain_horizon_or_semantic_variant,alpha158_QTLU20,1.0,ca20cc5e482d281d393b,proposed_representative,alpha158_QTLU20,1.0,268aa2b53f9b2846b8cb,proposed_representative,alpha158_QTLU20,1.0,pending,none_proposal_only,
alpha158_QTLU30,dc7dc4ccc1bcc1a729c0,retain_horizon_or_semantic_variant,alpha158_QTLU30,1.0,760344d19d910c88a231,retain_horizon_or_semantic_variant,alpha158_QTLU30,1.0,f2950e3f45a0089c790b,proposed_representative,alpha158_QTLU30,1.0,7e94364880118cb84fed,proposed_representative,alpha158_QTLU30,1.0,pending,none_proposal_only,
alpha158_QTLU60,084d1953fa6e95c9d420,retain_horizon_or_semantic_variant,alpha158_QTLU60,1.0,2cd8ec2f71b681c8a2d8,retain_horizon_or_semantic_variant,alpha158_QTLU60,1.0,72e4754e1808c9711664,proposed_representative,alpha158_QTLU60,1.0,996c165a7ad99cefa71a,proposed_representative,alpha158_QTLU60,1.0,pending,none_proposal_only,
alpha158_RANK10,1e4d503306f15d3a7192,retain_horizon_or_semantic_variant,alpha158_RANK10,1.0,b855fce0089e165b279c,retain_horizon_or_semantic_variant,alpha158_RANK10,1.0,a0cc06e032968bdc3ccf,proposed_representative,alpha158_RANK10,1.0,fb2a557bc098b77cc95a,proposed_representative,alpha158_RANK10,1.0,pending,none_proposal_only,
alpha158_RANK20,dc7dc4ccc1bcc1a729c0,retain_horizon_or_semantic_variant,alpha158_RANK20,1.0,49c8a41e8afed3ae75e4,retain_horizon_or_semantic_variant,alpha158_RANK20,1.0,7bfbfb8744bb215da763,proposed_representative,alpha158_RANK20,1.0,684d40643479fe56cf83,proposed_representative,alpha158_RANK20,1.0,pending,none_proposal_only,
alpha158_RANK30,dc7dc4ccc1bcc1a729c0,retain_horizon_or_semantic_variant,alpha158_RANK30,1.0,49c8a41e8afed3ae75e4,retain_horizon_or_semantic_variant,alpha158_RANK30,1.0,23809097381c7914fa2e,proposed_representative,alpha158_RANK30,1.0,ede7867065f4a48ecd6e,proposed_representative,alpha158_RANK30,1.0,pending,none_proposal_only,
alpha158_RANK60,084d1953fa6e95c9d420,retain_horizon_or_semantic_variant,alpha158_RANK60,1.0,2cd8ec2f71b681c8a2d8,retain_horizon_or_semantic_variant,alpha158_RANK60,1.0,1d1ccc056dca02694e18,proposed_representative,alpha158_RANK60,1.0,704c8d1b868c8ab5dfcd,proposed_representative,alpha158_RANK60,1.0,pending,none_proposal_only,
alpha158_RESI60,1e206f5b67fa299dde6c,retain_horizon_or_semantic_variant,alpha158_RESI60,1.0,87c29bb2c96acbf308ec,proposed_representative,alpha158_RESI60,1.0,328b3fd312d9efd68c91,proposed_representative,alpha158_RESI60,1.0,5dd31285948d79a0ce96,proposed_representative,alpha158_RESI60,1.0,pending,none_proposal_only,
alpha158_ROC10,b7629c155c3211cfaec5,retain_horizon_or_semantic_variant,alpha158_ROC10,1.0,c398c20da83e349dc94a,retain_horizon_or_semantic_variant,alpha158_ROC10,1.0,68deb3342485271a8235,retain_horizon_or_semantic_variant,alpha158_ROC10,1.0,963aaa8c7e25d871466f,retain_horizon_or_semantic_variant,alpha158_ROC10,1.0,pending,none_proposal_only,alpha158_ROC10
alpha158_ROC20,306dd709e0cf9595b3eb,retain_horizon_or_semantic_variant,alpha158_ROC20,1.0,d644a456a9384bc1a7a8,retain_horizon_or_semantic_variant,alpha158_ROC20,1.0,26c07d46d38336844056,retain_horizon_or_semantic_variant,alpha158_ROC20,1.0,358d75208b12edd6d8c3,retain_horizon_or_semantic_variant,alpha158_ROC20,1.0,pending,none_proposal_only,alpha158_ROC20
alpha158_ROC30,084d1953fa6e95c9d420,retain_horizon_or_semantic_variant,alpha158_ROC30,1.0,7ad7bdd9a681975845d4,retain_horizon_or_semantic_variant,alpha158_ROC30,1.0,bd34cc5be5fc78f5fad8,retain_horizon_or_semantic_variant,alpha158_ROC30,1.0,109daa6c9ef8dfbf4020,retain_horizon_or_semantic_variant,alpha158_ROC30,1.0,pending,none_proposal_only,alpha158_ROC30
alpha158_ROC5,fbcfce924ce2b3e665d6,retain_horizon_or_semantic_variant,alpha158_ROC5,1.0,10ab03ef9cf7699ad71e,retain_horizon_or_semantic_variant,alpha158_ROC5,1.0,97579789a904a6255f78,retain_horizon_or_semantic_variant,alpha158_ROC5,1.0,f6bf23d675dfb9340db4,retain_horizon_or_semantic_variant,alpha158_ROC5,1.0,pending,none_proposal_only,alpha158_ROC5
alpha158_ROC60,e88b0b2e8560b3953d66,retain_horizon_or_semantic_variant,alpha158_ROC60,1.0,5747fe37574b3e22e149,retain_horizon_or_semantic_variant,alpha158_ROC60,1.0,cc4777fa6fc9a5f9feea,retain_horizon_or_semantic_variant,alpha158_ROC60,1.0,4030626c1e875f6499cc,retain_horizon_or_semantic_variant,alpha158_ROC60,1.0,pending,none_proposal_only,
alpha158_RSV20,dc7dc4ccc1bcc1a729c0,retain_horizon_or_semantic_variant,alpha158_RSV20,1.0,9e359c111ed97df2f5b9,retain_horizon_or_semantic_variant,alpha158_RSV20,1.0,899276f28486c25726c5,retain_horizon_or_semantic_variant,alpha158_RSV20,1.0,cc99e622d5c3fa2d5ed9,retain_horizon_or_semantic_variant,alpha158_RSV20,1.0,pending,none_proposal_only,
alpha158_RSV30,dc7dc4ccc1bcc1a729c0,retain_horizon_or_semantic_variant,alpha158_RSV30,1.0,9e359c111ed97df2f5b9,retain_horizon_or_semantic_variant,alpha158_RSV30,1.0,a843ec43f3299d9e2e77,proposed_representative,alpha158_RSV30,1.0,e0dca8a556950403261a,proposed_representative,alpha158_RSV30,1.0,pending,none_proposal_only,
alpha158_RSV60,084d1953fa6e95c9d420,retain_horizon_or_semantic_variant,alpha158_RSV60,1.0,2cd8ec2f71b681c8a2d8,retain_horizon_or_semantic_variant,alpha158_RSV60,1.0,e581876fe1c1bcb55c1a,proposed_representative,alpha158_RSV60,1.0,04d099c0d6f80a9931d2,proposed_representative,alpha158_RSV60,1.0,pending,none_proposal_only,
alpha158_STD10,50ef5790d359c06b271d,proposed_representative,alpha158_STD10,1.0,15ab88f85c5d919cc327,proposed_representative,alpha158_STD10,1.0,7124ee6071f7a02d1193,proposed_representative,alpha158_STD10,1.0,ec581dd8fb2fab0d1f2b,proposed_representative,alpha158_STD10,1.0,pending,none_proposal_only,
alpha158_STD5,1f6e793d220fb2ea30d9,proposed_representative,alpha158_STD5,1.0,b0c74239f353ee5ed5bb,proposed_representative,alpha158_STD5,1.0,a1489f3a2e39d65531c4,proposed_representative,alpha158_STD5,1.0,cf03be3726c9f855cc13,proposed_representative,alpha158_STD5,1.0,pending,none_proposal_only,
alpha158_SUMD10,b7629c155c3211cfaec5,retain_horizon_or_semantic_variant,alpha158_SUMD10,1.0,c398c20da83e349dc94a,retain_horizon_or_semantic_variant,alpha158_SUMD10,1.0,c193906f1e22e8582eda,retain_horizon_or_semantic_variant,alpha158_SUMD10,1.0,458b410f60bc42aa91d7,retain_horizon_or_semantic_variant,alpha158_SUMD10,1.0,pending,none_proposal_only,
alpha158_SUMD20,306dd709e0cf9595b3eb,retain_horizon_or_semantic_variant,alpha158_SUMD20,1.0,d644a456a9384bc1a7a8,retain_horizon_or_semantic_variant,alpha158_SUMD20,1.0,9952d1912045f85c57a9,retain_horizon_or_semantic_variant,alpha158_SUMD20,1.0,97a90b9c5d46f2c944cc,retain_horizon_or_semantic_variant,alpha158_SUMD20,1.0,pending,none_proposal_only,
alpha158_SUMD30,084d1953fa6e95c9d420,retain_horizon_or_semantic_variant,alpha158_SUMD30,1.0,7ad7bdd9a681975845d4,retain_horizon_or_semantic_variant,alpha158_SUMD30,1.0,f5d2dba0f492ddc794d1,retain_horizon_or_semantic_variant,alpha158_SUMD30,1.0,edf76a11fffb3c0f64bb,retain_horizon_or_semantic_variant,alpha158_SUMD30,1.0,pending,none_proposal_only,
alpha158_SUMD60,e88b0b2e8560b3953d66,retain_horizon_or_semantic_variant,alpha158_SUMD60,1.0,5747fe37574b3e22e149,retain_horizon_or_semantic_variant,alpha158_SUMD60,1.0,57e76b2aa396beca8047,retain_horizon_or_semantic_variant,alpha158_SUMD60,1.0,f1604058807fbf7599f7,retain_horizon_or_semantic_variant,alpha158_SUMD60,1.0,pending,none_proposal_only,
alpha158_SUMN10,b7629c155c3211cfaec5,retain_horizon_or_semantic_variant,alpha158_SUMN10,1.0,c398c20da83e349dc94a,retain_horizon_or_semantic_variant,alpha158_SUMN10,1.0,c193906f1e22e8582eda,retain_horizon_or_semantic_variant,alpha158_SUMN10,1.0,458b410f60bc42aa91d7,retain_horizon_or_semantic_variant,alpha158_SUMN10,1.0,pending,none_proposal_only,
alpha158_SUMN20,306dd709e0cf9595b3eb,retain_horizon_or_semantic_variant,alpha158_SUMN20,1.0,d644a456a9384bc1a7a8,retain_horizon_or_semantic_variant,alpha158_SUMN20,1.0,9952d1912045f85c57a9,retain_horizon_or_semantic_variant,alpha158_SUMN20,1.0,97a90b9c5d46f2c944cc,retain_horizon_or_semantic_variant,alpha158_SUMN20,1.0,pending,none_proposal_only,
alpha158_SUMN30,084d1953fa6e95c9d420,retain_horizon_or_semantic_variant,alpha158_SUMN30,1.0,7ad7bdd9a681975845d4,retain_horizon_or_semantic_variant,alpha158_SUMN30,1.0,f5d2dba0f492ddc794d1,retain_horizon_or_semantic_variant,alpha158_SUMN30,1.0,edf76a11fffb3c0f64bb,retain_horizon_or_semantic_variant,alpha158_SUMN30,1.0,pending,none_proposal_only,
alpha158_SUMN60,e88b0b2e8560b3953d66,retain_horizon_or_semantic_variant,alpha158_SUMN60,1.0,5747fe37574b3e22e149,retain_horizon_or_semantic_variant,alpha158_SUMN60,1.0,57e76b2aa396beca8047,retain_horizon_or_semantic_variant,alpha158_SUMN60,1.0,f1604058807fbf7599f7,retain_horizon_or_semantic_variant,alpha158_SUMN60,1.0,pending,none_proposal_only,
alpha158_SUMP10,b7629c155c3211cfaec5,retain_horizon_or_semantic_variant,alpha158_SUMP10,1.0,c398c20da83e349dc94a,retain_horizon_or_semantic_variant,alpha158_SUMP10,1.0,c193906f1e22e8582eda,retain_horizon_or_semantic_variant,alpha158_SUMP10,1.0,458b410f60bc42aa91d7,retain_horizon_or_semantic_variant,alpha158_SUMP10,1.0,pending,none_proposal_only,
alpha158_SUMP20,306dd709e0cf9595b3eb,retain_horizon_or_semantic_variant,alpha158_SUMP20,1.0,d644a456a9384bc1a7a8,retain_horizon_or_semantic_variant,alpha158_SUMP20,1.0,9952d1912045f85c57a9,retain_horizon_or_semantic_variant,alpha158_SUMP20,1.0,97a90b9c5d46f2c944cc,retain_horizon_or_semantic_variant,alpha158_SUMP20,1.0,pending,none_proposal_only,
