selection_source,name,category,source_project,source_file,source_function,source_commit,license,expected_direction,required_fields,labels,stage,enabled,runnable,compute_adapter,registry_name,notes
alpha158,alpha158_WVMA30,alpha158_volume_liquidity,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$volume","label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_WVMA30,"Qlib Alpha158 expression: Std(Abs($close/Ref($close, 1)-1)*$volume, 30)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 30)+1e-12)"
alpha360,alpha360_CLOSE18,alpha360_close_window,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$close,"label_10d_t1,label_20d_t1",alpha360_adapter_v4_batch_passed,True,True,qlib_expression_adapter_pending,alpha360_CLOSE18,"Qlib Alpha360 expression: Ref($close, 18)/$close Alpha360 batch V4 passed."
alpha360,alpha360_CLOSE36,alpha360_close_window,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$close,"label_10d_t1,label_20d_t1",alpha360_adapter_v4_batch_passed,True,True,qlib_expression_adapter_pending,alpha360_CLOSE36,"Qlib Alpha360 expression: Ref($close, 36)/$close Alpha360 batch V4 passed."
alpha360,alpha360_CLOSE54,alpha360_close_window,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$close,"label_10d_t1,label_20d_t1",alpha360_adapter_v4_batch_passed,True,True,qlib_expression_adapter_pending,alpha360_CLOSE54,"Qlib Alpha360 expression: Ref($close, 54)/$close Alpha360 batch V4 passed."
alpha360,alpha360_HIGH18,alpha360_high_window,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$high","label_10d_t1,label_20d_t1",alpha360_adapter_v4_batch_passed,True,True,qlib_expression_adapter_pending,alpha360_HIGH18,"Qlib Alpha360 expression: Ref($high, 18)/$close Alpha360 batch V4 passed."
alpha360,alpha360_HIGH36,alpha360_high_window,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$high","label_10d_t1,label_20d_t1",alpha360_adapter_v4_batch_passed,True,True,qlib_expression_adapter_pending,alpha360_HIGH36,"Qlib Alpha360 expression: Ref($high, 36)/$close Alpha360 batch V4 passed."
alpha360,alpha360_HIGH54,alpha360_high_window,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$high","label_10d_t1,label_20d_t1",alpha360_adapter_v4_batch_passed,True,True,qlib_expression_adapter_pending,alpha360_HIGH54,"Qlib Alpha360 expression: Ref($high, 54)/$close Alpha360 batch V4 passed."
alpha360,alpha360_LOW18,alpha360_low_window,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$low","label_10d_t1,label_20d_t1",alpha360_adapter_v4_batch_passed,True,True,qlib_expression_adapter_pending,alpha360_LOW18,"Qlib Alpha360 expression: Ref($low, 18)/$close Alpha360 batch V4 passed."
alpha360,alpha360_LOW36,alpha360_low_window,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$low","label_10d_t1,label_20d_t1",alpha360_adapter_v4_batch_passed,True,True,qlib_expression_adapter_pending,alpha360_LOW36,"Qlib Alpha360 expression: Ref($low, 36)/$close Alpha360 batch V4 passed."
alpha360,alpha360_LOW54,alpha360_low_window,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$low","label_10d_t1,label_20d_t1",alpha360_adapter_v4_batch_passed,True,True,qlib_expression_adapter_pending,alpha360_LOW54,"Qlib Alpha360 expression: Ref($low, 54)/$close Alpha360 batch V4 passed."
alpha360,alpha360_OPEN18,alpha360_open_window,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$open","label_10d_t1,label_20d_t1",alpha360_adapter_v4_batch_passed,True,True,qlib_expression_adapter_pending,alpha360_OPEN18,"Qlib Alpha360 expression: Ref($open, 18)/$close Alpha360 batch V4 passed."
alpha360,alpha360_OPEN36,alpha360_open_window,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$open","label_10d_t1,label_20d_t1",alpha360_adapter_v4_batch_passed,True,True,qlib_expression_adapter_pending,alpha360_OPEN36,"Qlib Alpha360 expression: Ref($open, 36)/$close Alpha360 batch V4 passed."
alpha360,alpha360_OPEN54,alpha360_open_window,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$open","label_10d_t1,label_20d_t1",alpha360_adapter_v4_batch_passed,True,True,qlib_expression_adapter_pending,alpha360_OPEN54,"Qlib Alpha360 expression: Ref($open, 54)/$close Alpha360 batch V4 passed."
alpha360,alpha360_VOLUME18,alpha360_volume_window,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$volume,"label_10d_t1,label_20d_t1",alpha360_adapter_v4_batch_passed,True,True,qlib_expression_adapter_pending,alpha360_VOLUME18,"Qlib Alpha360 expression: Ref($volume, 18)/($volume+1e-12) Alpha360 batch V4 passed."
alpha360,alpha360_VOLUME36,alpha360_volume_window,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$volume,"label_10d_t1,label_20d_t1",alpha360_adapter_v4_batch_passed,True,True,qlib_expression_adapter_pending,alpha360_VOLUME36,"Qlib Alpha360 expression: Ref($volume, 36)/($volume+1e-12) Alpha360 batch V4 passed."
alpha360,alpha360_VOLUME54,alpha360_volume_window,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$volume,"label_10d_t1,label_20d_t1",alpha360_adapter_v4_batch_passed,True,True,qlib_expression_adapter_pending,alpha360_VOLUME54,"Qlib Alpha360 expression: Ref($volume, 54)/($volume+1e-12) Alpha360 batch V4 passed."
alpha360,alpha360_VWAP18,alpha360_vwap_window,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$vwap","label_10d_t1,label_20d_t1",alpha360_adapter_v4_batch_passed,True,True,qlib_expression_adapter_pending,alpha360_VWAP18,"Qlib Alpha360 expression: Ref($vwap, 18)/$close Alpha360 batch V4 passed."
