factor,source_family,batch_id,dependency_class,cross_sectional_operator_present,max_lookback_trading_days,state_propagation_rule,classification_evidence,classifier_version,affected_date_count,fallback_sensitive,filter_only_reuse_allowed,recompute_policy,review_status
kunquant_alpha101_alpha013,alpha101,alpha101_001,mixed,True,5,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=covariance,rank;cross=rank;temporal=covariance;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha014,alpha101,alpha101_001,mixed,True,10,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=correlation,delta,fillna,rank,replace;cross=rank;temporal=correlation,delta;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha015,alpha101,alpha101_001,mixed,True,3,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=correlation,fillna,rank,replace,ts_sum;cross=rank;temporal=correlation,ts_sum;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha016,alpha101,alpha101_001,mixed,True,5,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=covariance,rank;cross=rank;temporal=covariance;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha017,alpha101,alpha101_001,mixed,True,20,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=delta,fillna,rank,sma,ts_rank;cross=rank;temporal=delta,sma,ts_rank;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha018,alpha101,alpha101_001,mixed,True,10,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=abs,correlation,fillna,rank,replace,stddev;cross=rank;temporal=correlation,stddev;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha020,alpha101,alpha101_001,mixed,True,1,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=delay,rank;cross=rank;temporal=delay;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha022,alpha101,alpha101_001,mixed,True,20,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=correlation,delta,fillna,rank,replace,stddev;cross=rank;temporal=correlation,delta,stddev;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha024,alpha101,alpha101_001,pure_time_series,False,100,instrument_local_history_only,"wide_pandas_cross_section;ast_calls=astype,delay,delta,sma,ts_min;cross=none;temporal=delay,delta,sma,ts_min;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,0,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha025,alpha101,alpha101_001,mixed,True,20,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=rank,sma;cross=rank;temporal=sma;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha026,alpha101,alpha101_001,pure_time_series,False,5,instrument_local_history_only,"wide_pandas_cross_section;ast_calls=correlation,fillna,replace,ts_max,ts_rank;cross=none;temporal=correlation,ts_max,ts_rank;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,0,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha028,alpha101,alpha101_001,mixed,True,20,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=correlation,fillna,replace,scale,sma;cross=scale;temporal=correlation,sma;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha029,alpha101,alpha101_001,mixed,True,6,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=delay,delta,log,rank,scale,ts_min,ts_rank,ts_sum;cross=rank,scale;temporal=delay,delta,ts_min,ts_rank,ts_sum;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha030,alpha101,alpha101_001,mixed,True,20,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=delay,delta,fillna,rank,sign,ts_sum;cross=rank;temporal=delay,delta,ts_sum;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha031,alpha101,alpha101_001,mixed,True,20,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=correlation,decay_linear,delta,fillna,rank,replace,scale,sign,sma;cross=rank,scale;temporal=correlation,decay_linear,delta,sma;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha033,alpha101,alpha101_002,cross_sectional,True,0,same_date_universe,wide_pandas_cross_section;ast_calls=rank;cross=rank;temporal=none;adapter_fallback=positional_axis_relabel_when_lengths_match,factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha034,alpha101,alpha101_002,mixed,True,5,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=delta,fillna,rank,replace,stddev;cross=rank;temporal=delta,stddev;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha035,alpha101,alpha101_002,pure_time_series,False,32,instrument_local_history_only,wide_pandas_cross_section;ast_calls=ts_rank;cross=none;temporal=ts_rank;adapter_fallback=positional_axis_relabel_when_lengths_match,factor_dependency_ast_v1,0,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha038,alpha101,alpha101_002,mixed,True,10,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=fillna,rank,replace,ts_rank;cross=rank;temporal=ts_rank;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha040,alpha101,alpha101_002,mixed,True,10,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=correlation,rank,stddev;cross=rank;temporal=correlation,stddev;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha041,alpha101,alpha101_002,unknown,False,0,unresolved_fail_closed,wide_pandas_cross_section;unrecognised_calls:pow;adapter_fallback=positional_axis_relabel_when_lengths_match,factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,blocked_unknown
kunquant_alpha101_alpha042,alpha101,alpha101_002,cross_sectional,True,0,same_date_universe,wide_pandas_cross_section;ast_calls=rank;cross=rank;temporal=none;adapter_fallback=positional_axis_relabel_when_lengths_match,factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha043,alpha101,alpha101_002,pure_time_series,False,20,instrument_local_history_only,"wide_pandas_cross_section;ast_calls=delta,fillna,sma,ts_rank;cross=none;temporal=delta,sma,ts_rank;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,0,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha044,alpha101,alpha101_002,mixed,True,5,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=correlation,fillna,rank,replace;cross=rank;temporal=correlation;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha045,alpha101,alpha101_002,mixed,True,20,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=correlation,delay,fillna,rank,replace,sma,ts_sum;cross=rank;temporal=correlation,delay,sma,ts_sum;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha046,alpha101,alpha101_002,pure_time_series,False,20,instrument_local_history_only,"wide_pandas_cross_section;ast_calls=delay,delta;cross=none;temporal=delay,delta;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,0,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha047,alpha101,alpha101_002,mixed,True,20,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=delay,fillna,rank,sma;cross=rank;temporal=delay,sma;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha049,alpha101,alpha101_002,pure_time_series,False,20,instrument_local_history_only,"wide_pandas_cross_section;ast_calls=delay,delta;cross=none;temporal=delay,delta;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,0,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha050,alpha101,alpha101_002,mixed,True,5,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=correlation,fillna,rank,replace,ts_max;cross=rank;temporal=correlation,ts_max;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha051,alpha101,alpha101_002,pure_time_series,False,20,instrument_local_history_only,"wide_pandas_cross_section;ast_calls=delay,delta;cross=none;temporal=delay,delta;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,0,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha053,alpha101,alpha101_002,pure_time_series,False,9,instrument_local_history_only,"wide_pandas_cross_section;ast_calls=delta,replace;cross=none;temporal=delta;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,0,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha054,alpha101,alpha101_002,pure_time_series,False,0,instrument_local_history_only,wide_pandas_cross_section;ast_calls=replace;cross=none;temporal=none;adapter_fallback=positional_axis_relabel_when_lengths_match,factor_dependency_ast_v1,0,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha055,alpha101,alpha101_002,mixed,True,12,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=correlation,fillna,rank,replace,ts_max,ts_min;cross=rank;temporal=correlation,ts_max,ts_min;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha057,alpha101,alpha101_002,mixed,True,30,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=decay_linear,rank,ts_argmax;cross=rank;temporal=decay_linear,ts_argmax;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha060,alpha101,alpha101_002,mixed,True,10,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=rank,replace,scale,ts_argmax;cross=rank,scale;temporal=ts_argmax;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha062,alpha101,alpha101_002,mixed,True,22,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=correlation,rank,sma;cross=rank;temporal=correlation,sma;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha064,alpha101,alpha101_002,mixed,True,120,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=correlation,delta,rank,sma;cross=rank;temporal=correlation,delta,sma;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha066,alpha101,alpha101_002,mixed,True,11,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=decay_linear,delta,fillna,rank,ts_rank;cross=rank;temporal=decay_linear,delta,ts_rank;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha071,alpha101,alpha101_002,unknown,True,180,unresolved_fail_closed,"wide_pandas_cross_section;unrecognised_calls:pow,where;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,blocked_unknown
kunquant_alpha101_alpha072,alpha101,alpha101_002,mixed,True,40,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=correlation,decay_linear,rank,sma,ts_rank;cross=rank;temporal=correlation,decay_linear,sma,ts_rank;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha073,alpha101,alpha101_003,unknown,True,17,unresolved_fail_closed,wide_pandas_cross_section;unrecognised_calls:where;adapter_fallback=positional_axis_relabel_when_lengths_match,factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,blocked_unknown
kunquant_alpha101_alpha074,alpha101,alpha101_003,mixed,True,37,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=correlation,rank,sma;cross=rank;temporal=correlation,sma;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha077,alpha101,alpha101_003,unknown,True,40,unresolved_fail_closed,wide_pandas_cross_section;unrecognised_calls:where;adapter_fallback=positional_axis_relabel_when_lengths_match,factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,blocked_unknown
kunquant_alpha101_alpha078,alpha101,alpha101_003,unknown,True,40,unresolved_fail_closed,wide_pandas_cross_section;unrecognised_calls:pow;adapter_fallback=positional_axis_relabel_when_lengths_match,factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,blocked_unknown
kunquant_alpha101_alpha083,alpha101,alpha101_003,mixed,True,5,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=delay,rank,ts_sum;cross=rank;temporal=delay,ts_sum;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha084,alpha101,alpha101_003,unknown,False,21,unresolved_fail_closed,wide_pandas_cross_section;unrecognised_calls:pow;adapter_fallback=positional_axis_relabel_when_lengths_match,factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,blocked_unknown
kunquant_alpha101_alpha085,alpha101,alpha101_003,unknown,True,30,unresolved_fail_closed,wide_pandas_cross_section;unrecognised_calls:pow;adapter_fallback=positional_axis_relabel_when_lengths_match,factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,blocked_unknown
kunquant_alpha101_alpha088,alpha101,alpha101_003,unknown,True,60,unresolved_fail_closed,wide_pandas_cross_section;unrecognised_calls:where;adapter_fallback=positional_axis_relabel_when_lengths_match,factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,blocked_unknown
kunquant_alpha101_alpha092,alpha101,alpha101_003,unknown,True,30,unresolved_fail_closed,wide_pandas_cross_section;unrecognised_calls:where;adapter_fallback=positional_axis_relabel_when_lengths_match,factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,blocked_unknown
kunquant_alpha101_alpha094,alpha101,alpha101_003,unknown,True,60,unresolved_fail_closed,wide_pandas_cross_section;unrecognised_calls:pow;adapter_fallback=positional_axis_relabel_when_lengths_match,factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,blocked_unknown
kunquant_alpha101_alpha095,alpha101,alpha101_003,unknown,True,40,unresolved_fail_closed,wide_pandas_cross_section;unrecognised_calls:pow;adapter_fallback=positional_axis_relabel_when_lengths_match,factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,blocked_unknown
kunquant_alpha101_alpha096,alpha101,alpha101_003,unknown,True,60,unresolved_fail_closed,wide_pandas_cross_section;unrecognised_calls:where;adapter_fallback=positional_axis_relabel_when_lengths_match,factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,blocked_unknown
kunquant_alpha101_alpha098,alpha101,alpha101_003,mixed,True,26,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=correlation,decay_linear,fillna,rank,sma,ts_argmin,ts_rank;cross=rank;temporal=correlation,decay_linear,sma,ts_argmin,ts_rank;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha101,alpha101,alpha101_003,pure_time_series,False,0,instrument_local_history_only,wide_pandas_cross_section;ast_calls=elementwise_only;cross=none;temporal=none;adapter_fallback=positional_axis_relabel_when_lengths_match,factor_dependency_ast_v1,0,True,False,mandatory_recompute_audit,proven
alpha158_BETA10,alpha158,alpha158_003,pure_time_series,False,10,instrument_local_history_only,"qlib_per_instrument_expression;expression=Slope($close, 10)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_BETA20,alpha158,alpha158_003,pure_time_series,False,20,instrument_local_history_only,"qlib_per_instrument_expression;expression=Slope($close, 20)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_BETA30,alpha158,alpha158_003,pure_time_series,False,30,instrument_local_history_only,"qlib_per_instrument_expression;expression=Slope($close, 30)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_BETA5,alpha158,alpha158_003,pure_time_series,False,5,instrument_local_history_only,"qlib_per_instrument_expression;expression=Slope($close, 5)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_BETA60,alpha158,alpha158_003,pure_time_series,False,60,instrument_local_history_only,"qlib_per_instrument_expression;expression=Slope($close, 60)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CNTD10,alpha158,alpha158_001,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($close>Ref($close, 1), 10)-Mean($close<Ref($close, 1), 10);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CNTD20,alpha158,alpha158_001,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($close>Ref($close, 1), 20)-Mean($close<Ref($close, 1), 20);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CNTD30,alpha158,alpha158_001,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($close>Ref($close, 1), 30)-Mean($close<Ref($close, 1), 30);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CNTD5,alpha158,alpha158_001,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($close>Ref($close, 1), 5)-Mean($close<Ref($close, 1), 5);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CNTD60,alpha158,alpha158_001,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($close>Ref($close, 1), 60)-Mean($close<Ref($close, 1), 60);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CNTN10,alpha158,alpha158_001,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($close<Ref($close, 1), 10);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CNTN20,alpha158,alpha158_001,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($close<Ref($close, 1), 20);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CNTN30,alpha158,alpha158_001,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($close<Ref($close, 1), 30);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CNTN60,alpha158,alpha158_001,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($close<Ref($close, 1), 60);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CNTP10,alpha158,alpha158_001,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($close>Ref($close, 1), 10);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CNTP20,alpha158,alpha158_001,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($close>Ref($close, 1), 20);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CNTP30,alpha158,alpha158_001,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($close>Ref($close, 1), 30);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CNTP5,alpha158,alpha158_001,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($close>Ref($close, 1), 5);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CNTP60,alpha158,alpha158_001,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($close>Ref($close, 1), 60);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CORD10,alpha158,alpha158_002,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 10);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CORD20,alpha158,alpha158_002,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 20);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CORD30,alpha158,alpha158_002,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 30);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CORD5,alpha158,alpha158_002,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 5);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_CORD60,alpha158,alpha158_002,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 60);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
