factor,decision,reason,alphalens_status,jqfactor_status,qlib_status
ta_trend_aroon_ind,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_aroon_up,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_cci,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_dpo,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_ema_fast,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_ema_slow,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_ichimoku_a,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_ichimoku_b,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_ichimoku_base,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_ichimoku_conv,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_kst,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_kst_diff,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_kst_sig,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_macd,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_macd_signal,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_mass_index,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_psar_down,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_psar_down_indicator,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_psar_up,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_psar_up_indicator,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_sma_fast,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_sma_slow,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_stc,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_trix,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_vortex_ind_diff,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_vortex_ind_neg,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_vortex_ind_pos,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volatility_atr,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volatility_bbh,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volatility_bbhi,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volatility_bbl,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volatility_bbm,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volatility_bbp,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volatility_dch,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volatility_dcl,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volatility_dcm,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volatility_dcp,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volatility_dcw,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volatility_kcc,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volatility_kch,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volatility_kcl,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volatility_kcli,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volatility_kcp,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volatility_kcw,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volatility_ui,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volume_adi,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volume_em,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volume_fi,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volume_mfi,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volume_obv,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volume_sma_em,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_volume_vwap,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
