datetime,cash,nav,turnover,accounting_error,daily_return,holding_valuation_missing_count,unfilled_shares,calendar_mode,method
2021-08-03,3643881.894448637,10693477.232801408,0.8663054904463771,-4.656612873077393e-10,0.002205152478823358,3,7147600,signal_date_only,old_candidate_equal
2021-08-04,3643881.894448637,10661419.295817107,0.0,0.0,-0.0029978964079117043,3,0,signal_date_only,old_candidate_equal
2021-08-05,3643881.894448637,10539872.574835509,0.0,0.0,-0.01140061352143662,3,0,signal_date_only,old_candidate_equal
2021-08-06,3643881.894448637,10502146.331253141,0.0,0.0,-0.003579383271904213,3,0,signal_date_only,old_candidate_equal
2021-08-09,3643881.894448637,10710497.080867976,0.0,0.0,0.01983887322106792,3,0,signal_date_only,old_candidate_equal
2021-08-10,3643881.894448637,10919642.186134547,0.0,0.0,0.019527114725624184,3,0,signal_date_only,old_candidate_equal
2021-08-11,3643881.894448637,10875376.659118623,0.0,0.0,-0.004053752518752951,3,0,signal_date_only,old_candidate_equal
2021-08-12,3643881.894448637,10833693.762489647,0.0,0.0,-0.003832777285375788,3,0,signal_date_only,old_candidate_equal
2021-08-13,3643881.894448637,10835206.136741728,0.0,0.0,0.00013959913259853352,3,0,signal_date_only,old_candidate_equal
2021-08-16,3643881.894448637,10916645.006593555,0.0,0.0,0.007516134794673723,4,0,signal_date_only,old_candidate_equal
2021-08-17,3643881.894448637,10703785.763126105,0.0,0.0,-0.019498595341232106,3,0,signal_date_only,old_candidate_equal
2021-08-18,3643881.894448637,10793783.12506625,0.0,0.0,0.008407993576457828,3,0,signal_date_only,old_candidate_equal
2021-08-19,3643881.894448637,10694745.814436167,0.0,0.0,-0.009175403052159692,3,0,signal_date_only,old_candidate_equal
2021-08-20,3643881.894448637,10531312.53923127,0.0,0.0,-0.0152816418492423,3,0,signal_date_only,old_candidate_equal
2021-08-23,3643881.894448637,10680730.469250172,0.0,0.0,0.014187968447645138,3,0,signal_date_only,old_candidate_equal
2021-08-24,3643881.894448637,10715652.732505888,0.0,0.0,0.0032696512056227256,3,0,signal_date_only,old_candidate_equal
2021-08-25,3643881.894448637,10792764.603891462,0.0,0.0,0.0071961898458743345,3,0,signal_date_only,old_candidate_equal
2021-08-26,3643881.894448637,10637527.048855513,0.0,0.0,-0.014383483818407039,3,0,signal_date_only,old_candidate_equal
2021-08-27,3643881.894448637,10545772.590717167,0.0,0.0,-0.008625544049565392,3,0,signal_date_only,old_candidate_equal
2021-08-30,3643881.894448637,10542362.439065665,0.0,0.0,-0.0003233666971449445,3,0,signal_date_only,old_candidate_equal
2021-08-31,2254955.8178122765,10384804.043837233,1.074691337348733,1.3969838619232178e-09,-0.014945264511546874,3,4395000,signal_date_only,old_candidate_equal
2021-09-01,2254955.8178122765,10354109.30684988,0.0,0.0,-0.0029557357902740833,3,0,signal_date_only,old_candidate_equal
2021-09-02,2254955.8178122765,10283090.67926888,0.0,0.0,-0.00685897989641826,3,0,signal_date_only,old_candidate_equal
2021-09-03,2254955.8178122765,10408103.977226062,0.0,0.0,0.012157171599119776,3,0,signal_date_only,old_candidate_equal
2021-09-06,2254955.8178122765,10620724.55021326,0.0,0.0,0.02042836749636945,3,0,signal_date_only,old_candidate_equal
2021-09-07,2254955.8178122765,10673787.003065987,0.0,0.0,0.004996123626204163,3,0,signal_date_only,old_candidate_equal
2021-09-08,2254955.8178122765,10810071.809564872,0.0,0.0,0.012768177448148288,3,0,signal_date_only,old_candidate_equal
2021-09-09,2254955.8178122765,10737644.270201368,0.0,0.0,-0.006700005387514474,3,0,signal_date_only,old_candidate_equal
2021-09-10,2254955.8178122765,10780151.966883583,0.0,0.0,0.003958754416942378,3,0,signal_date_only,old_candidate_equal
