window,sample,label,factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows,ic_dates
baseline_alignment_2017_2020,raw,label_20d_t1,corr_ret_volume_20,price_volume,watch,0.8863415304742561,-0.0203336181133295,-0.2654795581335142,-0.0324288401498873,,-0.3671293833156372,1540934,
baseline_alignment_2017_2020,raw,label_20d_t1,volume_ratio_5_20,liquidity,watch,0.8884835663171191,-0.0355438051551896,-0.4228659568830611,-0.0272318142596871,,-0.2927590075557033,1544658,
baseline_alignment_2017_2020,raw,label_20d_t1,amount_mean_20,liquidity,watch,0.8884835663171191,-0.0035578759698432,-0.0369677315121491,-0.0263379914924959,,-0.1684641650572632,1544658,
baseline_alignment_2017_2020,raw,label_20d_t1,ret_5,momentum,watch,0.9204841093036484,-0.0287460411168849,-0.2578349669690265,-0.0262168916674926,,-0.2068320822280552,1600292,
baseline_alignment_2017_2020,raw,label_20d_t1,rev_5,reversal,positive,0.9204841093036484,0.0287460411168849,0.2578349669690265,0.0262168916674926,0.0262168916674926,0.2068320822280552,1600292,
main_research_2021_2023,raw,label_10d_t1,amount_std_20,liquidity,watch,0.9441000768995896,-0.0559535981462898,-0.5173056001737821,-0.116913954891162,,-0.8219894239642216,1335743,
main_research_2021_2023,raw,label_10d_t1,amount_mean_20,liquidity,watch,0.9441000768995896,-0.0521268354367542,-0.4609589127240583,-0.1129091416561261,,-0.7404518511645994,1335743,
main_research_2021_2023,raw,label_10d_t1,amplitude_20,risk,negative,0.9441000768995896,-0.0447062413659033,-0.2844956248212266,-0.0932947266722624,0.0932947266722624,-0.5663668038044685,1335743,
main_research_2021_2023,raw,label_10d_t1,std_20,risk,negative,0.9422991563662684,-0.0426514445822002,-0.3020044483361363,-0.0884183932554345,0.0884183932554345,-0.5950079714587958,1333195,
main_research_2021_2023,raw,label_10d_t1,ret_20,momentum,watch,0.9494243839551268,-0.0374890342178139,-0.2914394107965951,-0.0449981476453529,,-0.3242740659431049,1343276,
main_research_2021_2023,raw,label_10d_t1,corr_ret_volume_20,price_volume,watch,0.9422991563662684,-0.0175324218921099,-0.2624742907928969,-0.0346070660128687,,-0.4311341006618814,1333195,
main_research_2021_2023,raw,label_10d_t1,ret_10,momentum,watch,0.9633899996607372,-0.0325619747634332,-0.2931988784149583,-0.0332681470579342,,-0.2610068636364777,1363035,
main_research_2021_2023,raw,label_10d_t1,ret_5,momentum,watch,0.9707293869519492,-0.028308718131211,-0.2614808771827814,-0.0272445597588013,,-0.2144626012604398,1373419,
main_research_2021_2023,raw,label_10d_t1,rev_5,reversal,positive,0.9707293869519492,0.028308718131211,0.2614808771827814,0.0272445597588013,0.0272445597588013,0.2144626012604398,1373419,
main_research_2021_2023,raw,label_10d_t1,volume_ratio_5_20,liquidity,watch,0.9441000768995896,-0.0162997927625728,-0.2102246485855996,-0.0167681377096697,,-0.1918707404690774,1335743,
main_research_2021_2023,raw,label_20d_t1,amount_std_20,liquidity,watch,0.9303168149999436,-0.0720674884937835,-0.6625413290666127,-0.1496889139310869,,-1.0935598843721428,1316242,
main_research_2021_2023,raw,label_20d_t1,amount_mean_20,liquidity,watch,0.9303168149999436,-0.0694672553088242,-0.6359009015690772,-0.1487825221162824,,-1.0210892548808237,1316242,
main_research_2021_2023,raw,label_20d_t1,amplitude_20,risk,negative,0.9303168149999436,-0.0586512147786521,-0.3758145519987684,-0.1102018274082288,0.1102018274082288,-0.6527372758774003,1316242,
main_research_2021_2023,raw,label_20d_t1,std_20,risk,negative,0.9285187216574124,-0.052577593018375,-0.3738390986883428,-0.1020664230341204,0.1020664230341204,-0.6662633569191206,1313698,
main_research_2021_2023,raw,label_20d_t1,ret_20,momentum,watch,0.935487040157418,-0.0484784465023071,-0.389123342604639,-0.0610538568505205,,-0.4352179240360262,1323557,
main_research_2021_2023,raw,label_20d_t1,corr_ret_volume_20,price_volume,watch,0.9285187216574124,-0.0255781483199509,-0.3470380635707601,-0.0451550492728354,,-0.5179895929514218,1313698,
