factor,source_family,frame_status,valid_rows,total_rows,coverage,missing_rate
alpha360_OPEN40,alpha360,available,88217,88797,0.9934682478011645,0.006531752198835505
alpha360_HIGH49,alpha360,available,88216,88797,0.9934569861594423,0.0065430138405576654
alpha360_OPEN47,alpha360,available,88223,88797,0.9935358176514972,0.006464182348502767
alpha360_OPEN41,alpha360,available,88223,88797,0.9935358176514972,0.006464182348502767
alpha360_LOW46,alpha360,available,88226,88797,0.9935696025766636,0.006430397423336398
alpha360_CLOSE48,alpha360,available,88221,88797,0.993513294368053,0.006486705631946976
alpha360_VWAP48,alpha360,available,88221,88797,0.993513294368053,0.006486705631946976
alpha360_HIGH51,alpha360,available,88210,88797,0.9933894163091096,0.006610583690890404
alpha360_CLOSE41,alpha360,available,88223,88797,0.9935358176514972,0.006464182348502767
alpha360_HIGH52,alpha360,available,88207,88797,0.9933556313839431,0.006644368616056884
alpha360_CLOSE42,alpha360,available,88226,88797,0.9935696025766636,0.006430397423336398
alpha360_VWAP40,alpha360,available,88217,88797,0.9934682478011645,0.006531752198835505
alpha360_OPEN39,alpha360,available,88208,88797,0.9933668930256653,0.006633106974334724
alpha360_HIGH39,alpha360,available,88208,88797,0.9933668930256653,0.006633106974334724
alpha360_LOW43,alpha360,available,88228,88797,0.9935921258601079,0.006407874139892078
alpha360_OPEN48,alpha360,available,88221,88797,0.993513294368053,0.006486705631946976
alpha360_HIGH53,alpha360,available,88202,88797,0.9932993231753325,0.006700676824667462
alpha360_CLOSE40,alpha360,available,88217,88797,0.9934682478011645,0.006531752198835505
alpha360_LOW42,alpha360,available,88226,88797,0.9935696025766636,0.006430397423336398
alpha360_HIGH38,alpha360,available,88207,88797,0.9933556313839431,0.006644368616056884
alpha360_LOW47,alpha360,available,88223,88797,0.9935358176514972,0.006464182348502767
alpha360_CLOSE49,alpha360,available,88216,88797,0.9934569861594423,0.0065430138405576654
alpha360_OPEN49,alpha360,available,88216,88797,0.9934569861594423,0.0065430138405576654
alpha360_VWAP49,alpha360,available,88216,88797,0.9934569861594423,0.0065430138405576654
alpha360_LOW41,alpha360,available,88223,88797,0.9935358176514972,0.006464182348502767
alpha360_CLOSE50,alpha360,available,88212,88797,0.9934119395925538,0.006588060407446195
alpha360_VOLUME54,alpha360,available,88198,88797,0.993254276608444,0.006745723391555991
alpha360_VWAP50,alpha360,available,88212,88797,0.9934119395925538,0.006588060407446195
alpha360_OPEN50,alpha360,available,88212,88797,0.9934119395925538,0.006588060407446195
alpha360_HIGH54,alpha360,available,88198,88797,0.993254276608444,0.006745723391555991
alpha360_OPEN38,alpha360,available,88207,88797,0.9933556313839431,0.006644368616056884
alpha360_CLOSE51,alpha360,available,88210,88797,0.9933894163091096,0.006610583690890404
alpha360_LOW40,alpha360,available,88217,88797,0.9934682478011645,0.006531752198835505
alpha360_VOLUME53,alpha360,available,88202,88797,0.9932993231753325,0.006700676824667462
alpha360_VOLUME52,alpha360,available,88207,88797,0.9933556313839431,0.006644368616056884
alpha360_LOW48,alpha360,available,88221,88797,0.993513294368053,0.006486705631946976
alpha360_VWAP39,alpha360,available,88208,88797,0.9933668930256653,0.006633106974334724
alpha360_HIGH37,alpha360,available,88206,88797,0.9933443697422211,0.006655630257778933
alpha360_OPEN37,alpha360,available,88206,88797,0.9933443697422211,0.006655630257778933
alpha360_VWAP51,alpha360,available,88210,88797,0.9933894163091096,0.006610583690890404
alpha360_VWAP52,alpha360,available,88207,88797,0.9933556313839431,0.006644368616056884
alpha360_OPEN51,alpha360,available,88210,88797,0.9933894163091096,0.006610583690890404
alpha360_CLOSE52,alpha360,available,88207,88797,0.9933556313839431,0.006644368616056884
alpha360_HIGH55,alpha360,available,88193,88797,0.9931979683998333,0.00680203160016668
alpha360_CLOSE39,alpha360,available,88208,88797,0.9933668930256653,0.006633106974334724
alpha360_CLOSE53,alpha360,available,88202,88797,0.9932993231753325,0.006700676824667462
alpha360_VWAP38,alpha360,available,88207,88797,0.9933556313839431,0.006644368616056884
alpha360_LOW39,alpha360,available,88208,88797,0.9933668930256653,0.006633106974334724
alpha360_HIGH36,alpha360,available,88205,88797,0.9933331081004989,0.006666891899501093
alpha360_OPEN52,alpha360,available,88207,88797,0.9933556313839431,0.006644368616056884
alpha360_VOLUME47,alpha360,available,88223,88797,0.9935358176514972,0.006464182348502767
alpha360_OPEN35,alpha360,available,88201,88797,0.9932880615336104,0.006711938466389622
alpha360_OPEN36,alpha360,available,88205,88797,0.9933331081004989,0.006666891899501093
alpha360_CLOSE38,alpha360,available,88207,88797,0.9933556313839431,0.006644368616056884
alpha360_LOW49,alpha360,available,88216,88797,0.9934569861594423,0.0065430138405576654
alpha360_LOW50,alpha360,available,88212,88797,0.9934119395925538,0.006588060407446195
alpha360_VWAP53,alpha360,available,88202,88797,0.9932993231753325,0.006700676824667462
alpha360_VOLUME45,alpha360,available,88227,88797,0.9935808642183858,0.006419135781614238
alpha360_VWAP37,alpha360,available,88206,88797,0.9933443697422211,0.006655630257778933
alpha360_VOLUME55,alpha360,available,88193,88797,0.9931979683998333,0.00680203160016668
alpha360_VOLUME48,alpha360,available,88221,88797,0.993513294368053,0.006486705631946976
alpha360_VOLUME51,alpha360,available,88210,88797,0.9933894163091096,0.006610583690890404
alpha360_HIGH56,alpha360,available,88189,88797,0.9931529218329448,0.0068470781670552094
alpha360_OPEN33,alpha360,available,88200,88797,0.9932767998918882,0.006723200108111782
alpha360_OPEN34,alpha360,available,88200,88797,0.9932767998918882,0.006723200108111782
alpha360_HIGH57,alpha360,available,88186,88797,0.9931191369077784,0.0068808630922215785
alpha360_LOW38,alpha360,available,88207,88797,0.9933556313839431,0.006644368616056884
alpha360_OPEN53,alpha360,available,88202,88797,0.9932993231753325,0.006700676824667462
alpha360_VWAP36,alpha360,available,88205,88797,0.9933331081004989,0.006666891899501093
alpha360_CLOSE37,alpha360,available,88206,88797,0.9933443697422211,0.006655630257778933
alpha360_VWAP54,alpha360,available,88198,88797,0.993254276608444,0.006745723391555991
ta_volatility_atr,ta,available,20423,21285,0.959501996711299,0.04049800328870101
ta_volume_vwap,ta,available,19428,21285,0.9127554615926708,0.08724453840732915
ta_trend_sma_fast,ta,available,19694,21285,0.9252525252525252,0.07474747474747478
ta_volatility_kcc,ta,available,19960,21285,0.9377495889123796,0.062250411087620416
ta_trend_ichimoku_conv,ta,available,20093,21285,0.9439981207423068,0.05600187925769318
ta_volatility_kch,ta,available,21237,21285,0.9977448907681465,0.0022551092318534582
ta_trend_ema_fast,ta,available,19951,21285,0.9373267559314071,0.06267324406859287
ta_momentum_kama,ta,available,19489,21285,0.9156213295748179,0.0843786704251821
ta_volatility_kcl,ta,available,21237,21285,0.9977448907681465,0.0022551092318534582
ta_trend_ichimoku_b,ta,available,21281,21285,0.9998120742306789,0.00018792576932114002
ta_volatility_kcw,ta,available,19960,21285,0.9377495889123796,0.062250411087620416
ta_volatility_ui,ta,available,19428,21285,0.9127554615926708,0.08724453840732915
