window,label,base_factor,neutralization,neutralized_factor,raw_directional_rank_ic,directional_mean_rank_ic,delta_directional_rank_ic,raw_ic_win_rate,ic_win_rate,effect
main_research_2021_2023,label_20d_t1,max_drawdown_20,liquidity_volatility_residual,max_drawdown_20__liquidity_volatility_residual,0.03071393862259186,-0.03475832427505444,-0.0654722628976463,0.5991735537190083,0.39944903581267216,weakened
main_research_2021_2023,label_20d_t1,amplitude_20,raw,amplitude_20__raw,0.10986349599668649,0.10986349599668649,0.0,0.6804407713498623,0.6804407713498623,baseline
main_research_2021_2023,label_20d_t1,amplitude_20,cs_rank,amplitude_20__cs_rank,0.10986349599668649,0.10986349599668649,0.0,0.6804407713498623,0.6804407713498623,similar
main_research_2021_2023,label_20d_t1,amplitude_20,cs_zscore,amplitude_20__cs_zscore,0.10986349599668649,0.10981848102709724,-4.501496958925211e-05,0.6804407713498623,0.6804407713498623,similar
main_research_2021_2023,label_20d_t1,amplitude_20,liquidity_bucket_zscore,amplitude_20__liquidity_bucket_zscore,0.10986349599668649,0.08527168410595883,-0.024591811890727663,0.6804407713498623,0.6611570247933884,weakened
main_research_2021_2023,label_20d_t1,amplitude_20,volatility_bucket_zscore,amplitude_20__volatility_bucket_zscore,0.10986349599668649,0.04665899433570784,-0.06320450166097866,0.6804407713498623,0.7589531680440771,weakened
main_research_2021_2023,label_20d_t1,amplitude_20,amount_proxy_residual,amplitude_20__amount_proxy_residual,0.10986349599668649,0.07614683096440174,-0.03371666503228475,0.6804407713498623,0.6391184573002755,weakened
main_research_2021_2023,label_20d_t1,amplitude_20,liquidity_volatility_residual,amplitude_20__liquidity_volatility_residual,0.10986349599668649,0.004954328458456556,-0.10490916753822993,0.6804407713498623,0.5440771349862259,weakened
main_research_2021_2023,label_20d_t1,amount_mean_20,raw,amount_mean_20__raw,,,,,,baseline
main_research_2021_2023,label_20d_t1,amount_mean_20,cs_rank,amount_mean_20__cs_rank,,,,,,similar
main_research_2021_2023,label_20d_t1,amount_mean_20,cs_zscore,amount_mean_20__cs_zscore,,,,,,similar
main_research_2021_2023,label_20d_t1,amount_mean_20,liquidity_bucket_zscore,amount_mean_20__liquidity_bucket_zscore,,,,,,similar
main_research_2021_2023,label_20d_t1,amount_mean_20,volatility_bucket_zscore,amount_mean_20__volatility_bucket_zscore,,,,,,similar
main_research_2021_2023,label_20d_t1,amount_mean_20,amount_proxy_residual,amount_mean_20__amount_proxy_residual,,,,,,similar
main_research_2021_2023,label_20d_t1,amount_mean_20,liquidity_volatility_residual,amount_mean_20__liquidity_volatility_residual,,,,,,similar
main_research_2021_2023,label_20d_t1,amount_cv_20,raw,amount_cv_20__raw,0.019980850900293737,0.019980850900293737,0.0,0.6019283746556474,0.6019283746556474,baseline
main_research_2021_2023,label_20d_t1,amount_cv_20,cs_rank,amount_cv_20__cs_rank,0.019980850900293737,0.019980850900293737,0.0,0.6019283746556474,0.6019283746556474,similar
main_research_2021_2023,label_20d_t1,amount_cv_20,cs_zscore,amount_cv_20__cs_zscore,0.019980850900293737,0.01990059009955727,-8.026080073646538e-05,0.6019283746556474,0.6005509641873278,similar
