factor,side,date_count,row_count,valid_count,coverage,nonfinite_count
alpha158_IMAX60,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_IMIN10,historical_pre_boundary,20,40000,39995,0.999875,0
alpha158_IMIN10,canonical_continuation_post_boundary,15,30000,29999,0.9999666666666667,0
alpha158_IMIN20,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_IMIN20,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_IMIN30,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_IMIN30,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_IMIN5,historical_pre_boundary,20,40000,39965,0.999125,0
alpha158_IMIN5,canonical_continuation_post_boundary,15,30000,29989,0.9996333333333334,0
alpha158_IMIN60,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_IMIN60,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_IMXD10,historical_pre_boundary,20,40000,39995,0.999875,0
alpha158_IMXD10,canonical_continuation_post_boundary,15,30000,29999,0.9999666666666667,0
alpha158_IMXD20,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_IMXD20,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_IMXD30,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_IMXD30,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_IMXD5,historical_pre_boundary,20,40000,39965,0.999125,0
alpha158_IMXD5,canonical_continuation_post_boundary,15,30000,29989,0.9996333333333334,0
alpha158_IMXD60,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_IMXD60,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_MA10,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_MA10,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_MA20,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_MA20,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_MA30,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_MA30,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_MA5,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_MA5,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_OPEN0,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_OPEN0,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_VWAP0,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_VWAP0,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_MA60,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_MA60,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_MAX10,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_MAX10,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
