instrument,date,$factor,factor_change,raw_close,event_window_status
SZ300003,2025-09-23,0.07493661,0.008919477,17.830002,candidate_requires_corporate_action_cross_check
SZ300122,2024-08-08,0.17155951,0.03036344,26.140001,candidate_requires_corporate_action_cross_check
SZ300122,2024-12-25,0.17280298,0.007277727,28.039999,candidate_requires_corporate_action_cross_check
SZ300280,2025-09-15,0.10282116,0.005895674,0.63,candidate_requires_corporate_action_cross_check
SZ300307,2024-09-27,0.07400379,0.017834902,5.8799996,candidate_requires_corporate_action_cross_check
SZ300307,2025-06-18,0.07496647,0.012642264,7.9100003,candidate_requires_corporate_action_cross_check
SZ300446,2025-06-17,0.27880996,0.01685822,16.43,candidate_requires_corporate_action_cross_check
SZ300680,2025-06-18,0.21003614,0.005338311,38.739998,candidate_requires_corporate_action_cross_check
SZ300682,2025-06-06,0.20283833,0.014234543,16.220001,candidate_requires_corporate_action_cross_check
SZ300697,2025-06-10,0.27868688,0.3155403,11.629999,candidate_requires_corporate_action_cross_check
SZ300817,2025-06-06,0.1055597,0.008381009,23.660002,candidate_requires_corporate_action_cross_check
SZ300840,2025-06-17,0.119183056,0.0052711964,20.51,candidate_requires_corporate_action_cross_check
SZ300938,2025-05-29,0.06358564,0.41194355,20.65,candidate_requires_corporate_action_cross_check
SZ300967,2025-05-27,0.03316931,0.01016891,19.18,candidate_requires_corporate_action_cross_check
SZ300997,2025-04-29,0.034848128,0.020967364,13.7,candidate_requires_corporate_action_cross_check
SZ301196,2024-09-27,0.01805065,0.01738286,30.300001,candidate_requires_corporate_action_cross_check
SZ301196,2025-07-21,0.018180666,0.0072880983,83.25,candidate_requires_corporate_action_cross_check
SZ301230,2025-07-04,0.036620528,0.009644985,33.89,candidate_requires_corporate_action_cross_check
SZ301299,2024-08-20,0.021980228,0.011529565,37.739998,candidate_requires_corporate_action_cross_check
SZ301299,2025-01-15,0.022114124,0.0061210394,61.9,candidate_requires_corporate_action_cross_check
SZ301299,2025-06-12,0.022484157,0.01683104,62.899998,candidate_requires_corporate_action_cross_check
SZ301299,2025-12-09,0.022755427,0.007107973,55.39,candidate_requires_corporate_action_cross_check
SZ301396,2025-05-23,0.03411773,0.40081012,61.340004,candidate_requires_corporate_action_cross_check
SZ301488,2025-06-06,0.0113696605,0.007272601,67.57,candidate_requires_corporate_action_cross_check
SZ302132,2025-02-24,0.08786834,4.975926,64.8,code_change_not_ordinary_corporate_action
SZ302132,2025-06-24,0.088526286,0.007366061,80.299995,code_change_not_ordinary_corporate_action
