outer_split_id,factor,window_count,eligible_window_count,selected_window_count,selection_frequency,frozen_direction,direction_agreement_ratio,direction_adjusted_positive_window_ratio,median_train_ic,median_validation_ic,median_development_degradation,worst_development_degradation,upstream_fdr_pass,upstream_fdr_q_value,coverage_min,coverage_median,stability_role,role_reason
split_002,alpha158_BETA20,3,3,2,0.6666666666666666,-1,1.0,1.0,-0.06337939969251931,-0.02659134992652712,-0.003355490506130699,-0.034640418870562274,True,0.0206270627062706,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=1.000;worst_development_degradation=-0.034640418870562274;upstream_fdr_pass=True
split_002,alpha158_BETA30,3,3,3,1.0,-1,1.0,1.0,-0.08427930331767253,-0.04595064664039493,-0.04705804786417013,-0.05385830252308389,True,0.0206270627062706,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=1.000;worst_development_degradation=-0.05385830252308389;upstream_fdr_pass=True
split_002,alpha158_BETA5,3,3,0,0.0,-1,1.0,0.6666666666666666,-0.01982106589504646,-0.04649209041566936,,,False,0.1042209484106305,1.0,1.0,holdout,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.667;worst_development_degradation=nan;upstream_fdr_pass=False
split_002,alpha158_BETA60,3,3,2,0.6666666666666666,-1,1.0,0.6666666666666666,-0.074062746871607,-0.012442858004280511,-0.0011301461555534228,-0.055569600314357356,True,0.0206270627062706,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.667;worst_development_degradation=-0.055569600314357356;upstream_fdr_pass=True
split_002,alpha158_CNTD10,3,3,0,0.0,-1,1.0,1.0,-0.021421444547403863,-0.018150066674286775,,,False,0.1532296086751532,1.0,1.0,holdout,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=1.000;worst_development_degradation=nan;upstream_fdr_pass=False
split_002,alpha158_CNTD20,3,3,0,0.0,-1,1.0,1.0,-0.03512826579873296,-0.014647566450185247,,,False,0.0825082508250825,1.0,1.0,holdout,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=1.000;worst_development_degradation=nan;upstream_fdr_pass=False
split_002,alpha158_CNTD30,3,3,1,0.3333333333333333,-1,1.0,0.3333333333333333,-0.05014090792238772,0.010065141922084776,-0.010313910793517865,-0.010313910793517865,True,0.0495049504950495,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.333;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.333;worst_development_degradation=-0.010313910793517865;upstream_fdr_pass=True
split_002,alpha158_CNTD5,3,3,0,0.0,-1,1.0,1.0,-0.013202898252778284,-0.0223951067596151,,,False,0.2152389151958674,1.0,1.0,holdout,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=1.000;worst_development_degradation=nan;upstream_fdr_pass=False
split_002,alpha158_CNTD60,3,3,0,0.0,-1,1.0,0.3333333333333333,-0.046438847374683054,0.023315830748766718,,,False,0.0825082508250825,1.0,1.0,holdout,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.333;worst_development_degradation=nan;upstream_fdr_pass=False
split_002,alpha158_CNTN10,3,3,0,0.0,1,1.0,0.6666666666666666,0.015121390834951407,0.024421517904274194,,,False,0.2681518151815181,1.0,1.0,holdout,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.667;worst_development_degradation=nan;upstream_fdr_pass=False
