outer_split_id,inner_split_id,factor,train_count,validation_count,train_total,validation_total,train_mean_ic,validation_mean_ic,train_coverage,validation_coverage,selection_eligible,fdr_bh_pass,fdr_bh_q_value,selected,frozen_direction,selection_reason,eligible,internally_recomputed_fdr
split_001,split_001_inner_003,alpha158_CORD30,668.0,40.0,668.0,40.0,-0.05410402669238719,-0.039876864722425,1.0,1.0,True,True,0.0309405940594059,True,-1,selected,True,False
split_001,split_001_inner_003,alpha158_CORD5,668.0,40.0,668.0,40.0,-0.01774006142295489,-0.11471939836917959,1.0,1.0,True,False,0.0618811881188118,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_003,alpha158_CORD60,668.0,40.0,668.0,40.0,-0.04297512222193288,-0.03560456279204142,1.0,1.0,True,True,0.0309405940594059,True,-1,selected,True,False
split_001,split_001_inner_003,alpha158_CORR10,668.0,40.0,668.0,40.0,-0.0333060617378808,-0.15177185629469683,1.0,1.0,True,True,0.0495049504950495,True,-1,selected,True,False
split_002,split_002_inner_001,alpha158_BETA10,474.0,40.0,474.0,40.0,-0.032493650347123766,-0.10307155584291738,1.0,1.0,True,True,0.0206270627062706,True,-1,selected,True,False
split_002,split_002_inner_001,alpha158_BETA20,474.0,40.0,474.0,40.0,-0.06494083595398575,-0.09287027381228663,1.0,1.0,True,True,0.0206270627062706,True,-1,selected,True,False
split_002,split_002_inner_001,alpha158_BETA30,474.0,40.0,474.0,40.0,-0.09300869450456506,-0.04595064664039493,1.0,1.0,True,True,0.0206270627062706,True,-1,selected,True,False
split_002,split_002_inner_001,alpha158_BETA5,474.0,40.0,474.0,40.0,-0.01982106589504646,-0.07059260208021753,1.0,1.0,True,False,0.1042209484106305,False,-1,fdr_not_passed,True,False
split_002,split_002_inner_001,alpha158_BETA60,474.0,40.0,474.0,40.0,-0.09055069004308974,0.048948994091807786,1.0,1.0,True,True,0.0206270627062706,False,-1,direction_mismatch,True,False
split_002,split_002_inner_001,alpha158_CNTD10,474.0,40.0,474.0,40.0,-0.021421444547403863,-0.061314212549291966,1.0,1.0,True,False,0.1532296086751532,False,-1,fdr_not_passed,True,False
split_002,split_002_inner_001,alpha158_CNTD20,474.0,40.0,474.0,40.0,-0.04403302781174433,-0.02762296741337612,1.0,1.0,True,False,0.0825082508250825,False,-1,fdr_not_passed,True,False
split_002,split_002_inner_001,alpha158_CNTD30,474.0,40.0,474.0,40.0,-0.06680509262258558,0.014209097563944489,1.0,1.0,True,True,0.0495049504950495,False,-1,direction_mismatch,True,False
split_002,split_002_inner_001,alpha158_CNTD5,474.0,40.0,474.0,40.0,-0.012948032434442648,-0.05576850372657942,1.0,1.0,True,False,0.2152389151958674,False,-1,fdr_not_passed,True,False
split_002,split_002_inner_001,alpha158_CNTD60,474.0,40.0,474.0,40.0,-0.06944087201284026,0.060332678562083054,1.0,1.0,True,False,0.0825082508250825,False,-1,direction_mismatch;fdr_not_passed,True,False
split_002,split_002_inner_001,alpha158_CNTN10,474.0,40.0,474.0,40.0,0.017481259117164954,0.05455836049195374,1.0,1.0,True,False,0.2681518151815181,False,1,fdr_not_passed,True,False
