datetime,instrument,alpha360_CLOSE0,alpha360_CLOSE5,alpha360_CLOSE20,alpha360_CLOSE59,alpha360_OPEN0,alpha360_OPEN5,alpha360_OPEN20,alpha360_OPEN59,alpha360_HIGH0,alpha360_HIGH5,alpha360_HIGH20,alpha360_HIGH59,alpha360_LOW0,alpha360_LOW5,alpha360_LOW20,alpha360_LOW59,alpha360_VWAP0,alpha360_VWAP5,alpha360_VWAP20,alpha360_VWAP59,alpha360_VOLUME0,alpha360_VOLUME5,alpha360_VOLUME20,alpha360_VOLUME59
2020-12-08,SH600000,1.0,1.0320628,0.9479073,1.0070254,0.998998,1.0100187,0.9489093,1.0090295,1.008016,1.0370728,0.9609335,1.0110335,0.99498993,1.0030047,0.9459033,1.0030174,1.0015458,1.0216576,0.9521373,1.0069731,1.0,3.4201808,2.671651,1.6804541
2020-12-09,SH600000,1.0,1.0343218,0.9646996,1.010161,1.0070635,1.0353309,0.95763594,1.010161,1.0181634,1.0484492,0.9667179,1.0172251,1.0,1.0282673,0.9525904,1.0091519,1.0087438,1.0370257,0.95970553,1.0128771,1.0,1.7850233,1.4554446,1.1207756
2020-12-10,SH600000,1.0,1.0427617,0.9602765,1.0142033,1.009165,1.0417434,0.9694414,1.024386,1.0142567,1.046835,0.9704597,1.024386,0.99389005,1.034615,0.9602765,1.0121667,1.0034516,1.0400357,0.96358556,1.0164496,1.0,1.4516474,1.3170142,1.3749126
2020-12-11,SH600000,1.0,1.048443,0.9649366,1.0226836,1.014433,1.0556594,0.9700912,1.0257764,1.0185567,1.0566903,0.9700912,1.0268073,0.9989691,1.0360719,0.96184385,1.015467,1.0048374,1.0435898,0.96488786,1.0209066,1.0,0.97830725,0.9281639,1.0322593
2020-12-14,SH600000,1.0,1.0246328,0.9692472,1.0153764,1.0,1.0369407,0.96206766,1.0205045,1.0051281,1.0430946,0.97027296,1.0205045,0.99282056,1.0154018,0.96104205,1.0112739,0.99781775,1.0247335,0.96686846,1.0144011,1.0,1.492097,0.8227763,1.0027801
2020-12-15,SH600000,1.0,1.0278076,0.98148715,1.0154401,1.0020597,1.0267777,0.9742779,1.0205894,1.0030895,1.0360465,0.98148715,1.0216193,0.98867136,1.0226582,0.97221816,1.0144103,0.99382246,1.0293964,0.9774846,1.0164177,1.0,0.801625,1.2026726,1.1851034
2020-12-16,SH600000,1.0,1.0268975,1.0051785,1.021719,1.0072538,1.0341511,0.98756194,1.0227551,1.0134715,1.0455495,1.0124323,1.0258639,0.9989637,1.0268975,0.9844532,1.0155016,1.0043128,1.0358765,1.0038346,1.0211682,1.0,0.9186046,2.2795901,1.0723747
2020-12-17,SH600000,1.0,1.0051148,0.9969463,1.0061072,0.9866939,1.0143267,0.9928521,1.0102013,1.0020471,1.0194445,1.0010406,1.0122483,0.9815762,0.9989736,0.98671067,1.0030367,0.99071664,1.008584,0.99497014,1.0063897,1.0,0.9184047,1.488034,1.0063303
2020-12-18,SH600000,1.0,0.9938861,0.9908292,1.0184945,0.99795085,1.0082309,0.99185383,1.0082481,1.0030738,1.0123295,0.9959524,1.0184945,0.9928279,0.9928615,0.9846813,1.0041496,0.99749166,0.9986939,0.989162,1.0131562,1.0,1.5175081,1.462436,2.9865878
2020-12-21,SH600000,1.0,1.0,1.0153764,1.0092565,0.9948718,1.0,0.9907612,1.0195131,1.0020512,1.0051281,1.0174277,1.0225902,0.98974365,0.99282056,0.9876843,1.0082307,0.9972727,0.99781775,1.0071024,1.0129384,1.0,1.2120514,2.897467,1.7518038
2020-12-22,SH600000,1.0,1.0104005,1.0249922,1.0093914,1.0145681,1.0124817,1.0322765,1.0208381,1.0145681,1.0135223,1.0374795,1.0239601,0.9937565,0.9989541,1.0218705,1.0083508,1.0030077,1.0041587,1.0297478,1.0148488,1.0,0.7799452,1.214261,1.3080722
2020-12-23,SH600000,1.0,1.0104655,1.027179,1.0083567,1.0052357,1.0177952,1.0366026,1.0167335,1.0094241,1.024078,1.0460263,1.0177807,0.9926702,1.0094184,1.027179,1.0073097,0.9990483,1.0148234,1.0366437,1.0103656,1.0,1.2416897,1.5836694,1.08418
2020-12-24,SH600000,1.0,1.0230397,1.044986,0.99476725,1.0,1.0094271,1.0303268,1.0062855,1.0115184,1.025134,1.046033,1.0073328,0.99581146,1.0041915,1.0219501,0.9905787,1.0031686,1.0135424,1.0371838,0.9963911,1.0,1.7248945,2.878681,2.165438
2020-12-25,SH600000,1.0,1.0187635,1.0646994,0.98855495,0.9979123,1.016676,1.0448668,0.9916866,1.0031314,1.0218949,1.0646994,0.9948182,0.9926931,1.0114568,1.0396476,0.987511,0.9982979,1.0162082,1.0509757,0.99033827,1.0,1.4221174,5.0573187,1.3151253
2020-12-28,SH600000,1.0,1.0187826,1.0512041,0.9884655,0.9979102,1.0135581,1.0762826,0.9916001,1.0062696,1.0208725,1.100316,0.99577975,0.9926855,1.0083337,1.0512041,0.9884655,0.9990295,1.0160041,1.0794014,0.9911095,1.0,0.9467034,6.0267377,0.7776742
2020-12-29,SH600000,1.0,1.0083745,1.0807701,0.9895124,1.0062959,1.0230645,1.0576857,0.9968577,1.0094439,1.0230645,1.0860165,0.9989563,0.99895066,1.0020787,1.0503407,0.9895124,1.0028276,1.0114073,1.0698738,0.9942972,1.0,1.1419766,2.4419775,0.7471709
2020-12-30,SH600000,1.0,1.0052602,1.078904,0.9883803,1.0021054,1.0105234,1.0799567,0.99469584,1.0042106,1.014734,1.0936403,0.99890625,0.99368423,0.9978919,1.0725886,0.98416996,0.997243,1.0043036,1.0817244,0.99235106,1.0,0.70431,1.4340008,0.71072274
2020-12-31,SH600000,1.0,0.9865927,1.0578672,0.97310835,0.98243797,0.9865927,1.0568341,0.97517437,1.0010331,0.99795663,1.0619994,0.97930646,0.98037195,0.9824603,1.0496025,0.97104234,0.99508476,0.98971874,1.0551018,0.9754476,1.0,0.3768822,0.8666893,0.60270613
2021-01-04,SH600000,1.0,0.98868454,1.0495728,0.98968524,0.99484,0.9866205,1.056797,0.97523725,1.004128,0.9917805,1.057829,0.99381316,0.98555213,0.98146033,1.0371884,0.97214127,0.9947451,0.9870017,1.0447145,0.98655176,1.0,0.35640186,0.7524571,1.0598401
2021-01-05,SH600000,1.0,0.9886731,1.0320542,0.985514,1.0,0.98660696,1.0444514,0.9896461,1.0,0.9948717,1.0506498,0.9906791,0.98347104,0.98144144,1.0227565,0.98344785,0.99190366,0.98771363,1.0321558,0.9851897,1.0,0.62690675,1.0733342,0.52098376
2021-01-06,SH600000,1.0,0.9704543,1.0162541,0.9704543,0.97963345,0.97656417,1.0152358,0.97147256,1.0010184,0.9796191,1.0244004,0.9735092,0.97963345,0.96943593,1.0111625,0.9673993,0.9940702,0.9731983,1.0178249,0.9704899,1.0,0.71348345,0.5094206,0.69439125
