execution_date,instrument,side,requested_shares,executed_shares,unfilled_shares
2023-11-02,SZ002634,buy,83900,3300,80600
2023-11-02,SZ002614,buy,237600,18000,219600
2023-11-02,SZ002234,buy,239500,168800,70700
2023-11-02,SZ000798,buy,101500,8300,93200
2023-11-02,SZ002552,buy,105500,15800,89700
2023-11-02,SZ000031,buy,57100,6700,50400
2023-11-02,SH600790,buy,74200,2600,71600
2023-11-02,SH600022,buy,152000,18700,133300
2023-11-02,SZ000861,buy,89700,6900,82800
2023-11-02,SH603299,buy,112500,7600,104900
2023-11-02,SH600172,buy,114200,10900,103300
2023-11-02,SZ002746,buy,48400,13900,34500
2023-11-02,SZ002299,buy,114400,63800,50600
2023-11-02,SZ002016,buy,56000,4200,51800
2023-11-02,SZ002726,buy,78000,11700,66300
2023-11-02,SZ002203,buy,149700,40500,109200
2023-11-02,SZ002399,buy,755700,68300,687400
2023-11-02,SH600376,buy,150300,13700,136600
2023-11-02,SH600834,buy,91400,2800,88600
2023-11-02,SZ300469,buy,63300,8300,55000
2023-11-02,SZ002692,buy,188200,700,187500
2023-11-02,SH601018,buy,159500,16500,143000
2023-11-02,SH600097,buy,125100,8700,116400
2023-11-02,SZ000910,buy,102600,6100,96500
2023-11-02,SZ002545,buy,184700,14100,170600
2023-11-02,SZ000156,buy,514900,95400,419500
2023-11-02,SH603368,buy,123600,16200,107400
2023-11-02,SH600662,buy,74300,3900,70400
2023-11-02,SH600307,buy,204200,13000,191200
2023-11-02,SZ002258,buy,69500,4400,65100
2023-11-02,SZ002643,buy,51000,8500,42500
2023-11-02,SH603609,buy,118100,7500,110600
2023-11-02,SH600717,buy,32500,3600,28900
2023-11-02,SH601002,buy,345400,10400,335000
2023-11-02,SZ002102,buy,85800,8600,77200
2023-11-02,SH600080,buy,159800,11500,148300
2023-11-02,SH600696,buy,27600,5000,22600
2023-11-02,SZ000833,buy,123700,4100,119600
2023-11-02,SH600694,buy,35300,4000,31300
2023-11-02,SH600639,buy,76400,6900,69500
2023-11-02,SH600059,buy,59500,18100,41400
2023-11-02,SH600693,buy,66600,3300,63300
2023-11-02,SZ300051,buy,107500,13200,94300
2023-11-02,SZ002568,buy,29400,21500,7900
2023-11-02,SZ000019,buy,86300,7400,78900
2023-11-30,SH600022,sell,18700,12600,6100
2023-11-30,SH600059,sell,18100,11000,7100
2023-11-30,SH600080,sell,11500,9100,2400
2023-11-30,SH600097,sell,8700,8500,200
2023-11-30,SH600568,sell,11900,6900,5000
2023-11-30,SH600620,sell,4000,1700,2300
2023-11-30,SH600694,sell,4000,2500,1500
2023-11-30,SH600696,sell,5000,1500,3500
2023-11-30,SZ000156,sell,95400,61500,33900
2023-11-30,SZ000861,sell,17900,15800,2100
2023-11-30,SZ000910,sell,6100,4700,1400
2023-11-30,SZ002016,sell,4200,3100,1100
2023-11-30,SZ002102,sell,8600,6700,1900
2023-11-30,SZ002203,sell,40500,29200,11300
2023-11-30,SZ002234,sell,168800,48900,119900
2023-11-30,SZ002259,sell,8400,4400,4000
2023-11-30,SZ002299,sell,63800,30200,33600
2023-11-30,SZ002399,sell,68300,39500,28800
2023-11-30,SZ002545,sell,36400,15600,20800
2023-11-30,SZ002552,sell,15800,8000,7800
2023-11-30,SZ002568,sell,21500,9300,12200
2023-11-30,SZ002586,sell,7900,5400,2500
2023-11-30,SZ002614,sell,18000,16600,1400
2023-11-30,SZ002746,sell,13900,8300,5600
2023-11-30,SZ300117,sell,33000,18200,14800
2023-11-30,SZ300370,sell,181900,23800,158100
2023-11-30,SH600116,buy,49700,3500,46200
2023-11-30,SH603609,buy,109800,6500,103300
2023-11-30,SZ002634,buy,92800,7600,85200
2023-11-30,SZ002039,buy,36500,1400,35100
2023-11-30,SH600874,buy,119600,8600,111000
2023-11-30,SZ000703,buy,39500,3000,36500
2023-11-30,SH603020,buy,297800,53400,244400
2023-11-30,SH600323,buy,41300,8000,33300
2023-11-30,SH600801,buy,10700,1200,9500
2023-11-30,SH603227,buy,92800,10100,82700
2023-11-30,SH603568,buy,50700,5800,44900
2023-11-30,SZ002318,buy,75900,8100,67800
2023-11-30,SH600359,buy,142400,6600,135800
2023-11-30,SZ002570,buy,775400,96700,678700
2023-11-30,SZ002064,buy,22700,4900,17800
2023-11-30,SH600251,buy,27200,2900,24300
2023-11-30,SZ000731,buy,53700,6000,47700
2023-11-30,SH601880,buy,257600,22500,235100
2023-11-30,SZ000958,buy,131100,8800,122300
2023-11-30,SH600834,buy,87500,3500,84000
2023-11-30,SH600673,buy,30500,4700,25800
2023-11-30,SZ300492,buy,19500,2200,17300
2023-11-30,SZ002440,buy,163400,25900,137500
2023-11-30,SZ000605,buy,149900,9000,140900
2023-11-30,SZ000488,buy,114900,19100,95800
2023-11-30,SH600917,buy,123400,8200,115200
2023-11-30,SZ000927,buy,284900,32100,252800
2023-11-30,SH601678,buy,234800,23000,211800
2023-11-30,SH600717,buy,29000,5800,23200
2023-11-30,SZ000598,buy,36400,4300,32100
2023-11-30,SZ002734,buy,110100,3600,106500
2023-11-30,SZ002688,buy,207200,15300,191900
2023-11-30,SZ002562,buy,209200,15500,193700
2023-11-30,SH600746,buy,124200,8300,115900
2023-11-30,SZ000035,buy,242600,35300,207300
2023-11-30,SZ002381,buy,252500,20200,232300
2023-11-30,SZ002498,buy,282200,30600,251600
2023-11-30,SH600966,buy,58500,3300,55200
2023-11-30,SH600722,buy,378400,21800,356600
2023-11-30,SZ000498,buy,122200,9500,112700
2023-11-30,SZ000685,buy,39900,3600,36300
2023-11-30,SH600433,buy,87300,6400,80900
2023-11-30,SZ000949,buy,109200,10000,99200
2023-11-30,SZ000619,buy,94100,4700,89400
2023-11-30,SZ000833,buy,116400,13200,103200
2023-11-30,SH600058,buy,81400,5300,76100
2023-11-30,SH603919,buy,67900,13100,54800
2023-11-30,SZ000089,buy,101500,15500,86000
2023-11-30,SH603077,buy,101000,31000,70000
2023-11-30,SH600279,buy,211700,11700,200000
2023-12-28,SH600058,sell,5300,4300,1000
2023-12-28,SH600323,sell,8000,5300,2700
2023-12-28,SH600433,sell,6400,5100,1300
2023-12-28,SH600717,sell,9400,4000,5400
2023-12-28,SH600722,sell,66900,35800,31100
2023-12-28,SH600874,sell,8600,8000,600
2023-12-28,SH600917,sell,8200,6000,2200
2023-12-28,SH603609,sell,14100,9200,4900
2023-12-28,SZ000488,sell,19100,14100,5000
2023-12-28,SZ000498,sell,9500,8900,600
2023-12-28,SZ000833,sell,17300,13200,4100
2023-12-28,SZ000949,sell,10000,6500,3500
2023-12-28,SZ002064,sell,4900,4500,400
2023-12-28,SZ002234,sell,119900,37000,82900
2023-12-28,SZ002299,sell,33600,30700,2900
2023-12-28,SZ002570,sell,96700,75500,21200
2023-12-28,SZ300370,sell,158100,26800,131300
2023-12-28,SZ300196,buy,115600,7500,108100
2023-12-28,SZ300208,buy,72600,8600,64000
2023-12-28,SZ300497,buy,84900,18200,66700
2023-12-28,SZ002741,buy,83500,7600,75900
2023-12-28,SH603968,buy,166800,5900,160900
2023-12-28,SZ000581,buy,21300,5100,16200
2023-12-28,SZ002440,buy,153900,9300,144600
2023-12-28,SZ000913,buy,49600,9000,40600
2023-12-28,SZ002585,buy,336000,120300,215700
2023-12-28,SH603222,buy,95300,14100,81200
2023-12-28,SH603601,buy,41100,3100,38000
2023-12-28,SH601777,buy,870400,108200,762200
2023-12-28,SH603026,buy,41700,13700,28000
2023-12-28,SH603588,buy,130400,40400,90000
2023-12-28,SZ300358,buy,211100,29600,181500
2023-12-28,SH600063,buy,49700,8600,41100
2023-12-28,SZ000869,buy,49500,5900,43600
2023-12-28,SZ002258,buy,72100,9000,63100
2023-12-28,SZ002623,buy,296700,90700,206000
2023-12-28,SZ300019,buy,75800,7800,68000
2023-12-28,SH600478,buy,41400,13400,28000
2023-12-28,SH600315,buy,30000,7100,22900
2023-12-28,SZ002169,buy,130100,18500,111600
2023-12-28,SZ300381,buy,174000,11800,162200
2023-12-28,SZ002110,buy,212000,20800,191200
2023-12-28,SZ300326,buy,136900,15000,121900
2023-12-28,SZ000016,buy,138000,12900,125100
2023-12-28,SH603020,buy,274500,15900,258600
2023-12-28,SZ002024,buy,43200,3400,39800
2023-12-28,SZ300091,buy,217400,24000,193400
2023-12-28,SZ002581,buy,106600,15500,91100
2023-12-28,SZ000789,buy,45100,3100,42000
2023-12-28,SH601678,buy,226500,72800,153700
2023-12-28,SZ300443,buy,85900,48800,37100
2023-12-28,SH601311,buy,151200,31400,119800
2023-12-28,SZ002690,buy,31600,6000,25600
2023-12-28,SZ300048,buy,211300,22200,189100
2023-12-28,SH600075,buy,113700,6500,107200
2023-12-28,SH603100,buy,62700,10200,52500
2023-12-28,SZ002206,buy,119000,20400,98600
2023-12-28,SZ300121,buy,112000,7900,104100
2023-12-28,SZ000035,buy,244700,100000,144700
2023-12-28,SZ300501,buy,154700,8600,146100
2023-12-28,SZ002668,buy,87000,9200,77800
2023-12-28,SH603001,buy,570200,14100,556100
2023-12-28,SZ002125,buy,104700,23500,81200
2023-12-28,SZ002626,buy,73600,9100,64500
2023-12-28,SZ002408,buy,115900,13400,102500
2023-12-28,SZ002511,buy,124500,14900,109600
2023-12-28,SZ300149,buy,174300,14600,159700
