datetime,cash,nav,turnover,accounting_error,daily_return,holding_valuation_missing_count,unfilled_shares,calendar_mode
2022-08-09,7138890.543231116,9855553.833318248,0.0,0.0,-0.0001629035069459217,3,0,signal_date_only
2022-08-10,7138890.543231116,9850734.223488465,0.0,0.0,-0.0004890247581510465,3,0,signal_date_only
2022-08-11,7138890.543231116,9907923.8634025,0.0,0.0,0.005805622059893878,3,0,signal_date_only
2022-08-12,7138890.543231116,9922473.699412242,0.0,0.0,0.0014685050279286127,3,0,signal_date_only
2022-08-15,7138890.543231116,9917176.212087765,0.0,0.0,-0.0005338877667965258,3,0,signal_date_only
2022-08-16,7138890.543231116,9924780.618152514,0.0,0.0,0.0007667914638322948,3,0,signal_date_only
2022-08-17,7138890.543231116,9943581.19326879,0.0,0.0,0.0018943063670233684,3,0,signal_date_only
2022-08-18,7138890.543231116,9926030.891797438,0.0,0.0,-0.0017649879988140826,3,0,signal_date_only
2022-08-19,7138890.543231116,9922912.148023143,0.0,0.0,-0.0003141984755328231,3,0,signal_date_only
2022-08-22,7138890.543231116,9938400.201350942,0.0,0.0,0.001560837493747691,3,0,signal_date_only
2022-08-23,7138890.543231116,9944664.584652081,0.0,0.0,0.0006303210953697569,3,0,signal_date_only
2022-08-24,7138890.543231116,9909494.969627753,0.0,0.0,-0.0035365310438530972,3,0,signal_date_only
2022-08-25,7138890.543231116,9936080.713919297,0.0,0.0,0.0026828556221107913,3,0,signal_date_only
2022-08-26,7138890.543231116,9935000.558892384,0.0,0.0,-0.00010871037162563102,3,0,signal_date_only
2022-08-29,7138890.543231116,9956939.02796258,0.0,0.0,0.002208200084151901,3,0,signal_date_only
2022-08-30,7138890.543231116,9968315.878507987,0.0,0.0,0.0011426052236993556,3,0,signal_date_only
2022-08-31,7138890.543231116,9944397.194237009,0.0,0.0,-0.002399470939975723,3,0,signal_date_only
2022-09-01,7138890.543231116,9949422.189715996,0.0,0.0,0.0005053092088778133,3,0,signal_date_only
