signal_date,execution_date,instrument,side,shares,price,trade_value
2022-01-05,2022-01-06,SZ002575,buy,2300,1.0108900653123853,2325.0471502184864
2022-01-05,2022-01-06,SH600881,buy,17800,2.3817763123512266,42395.61835985183
2022-01-05,2022-01-06,SZ002200,buy,10200,0.3092875361442566,3154.7328686714172
2022-01-05,2022-01-06,SH600555,buy,49900,0.2784375095069408,13894.031724396345
2022-01-05,2022-01-06,SZ000528,buy,6500,10.502330293655394,68265.14690876006
2022-01-05,2022-01-06,SH600666,buy,7300,0.8746465727686881,6384.919981211423
2022-01-05,2022-01-06,SH600898,buy,4200,1.2687038215398787,5328.55605046749
2022-01-05,2022-01-06,SZ000972,buy,15000,0.6224078440070152,9336.117660105228
2022-01-05,2022-01-06,SH600278,buy,33100,0.9515228841900825,31495.40746669173
2022-01-05,2022-01-06,SZ002499,buy,22000,0.2225824644267559,4896.81421738863
2022-01-05,2022-01-06,SH600798,buy,15500,1.5797155351638792,24485.590795040127
2022-01-05,2022-01-06,SH600020,buy,7100,1.7929183320999142,12729.72015790939
2022-01-05,2022-01-06,SZ300284,buy,50900,1.8889126203060147,96145.65237357614
2022-01-05,2022-01-06,SH600568,buy,13100,0.6879524825215338,9012.177521032094
2022-01-05,2022-01-06,SH600694,buy,3900,5.992892480373382,23372.280673456193
2022-01-05,2022-01-06,SH600269,buy,8200,2.4070042662620543,19737.434983348845
2022-01-05,2022-01-06,SH600152,buy,11900,1.4977913895845412,17823.71753605604
2022-01-05,2022-01-06,SZ300356,buy,36600,0.6100977370738982,22329.577176904677
2022-02-09,2022-02-10,SH600015,sell,15200,3.8907153182029726,59138.87283668519
2022-02-09,2022-02-10,SH600020,sell,7100,1.8166560566425323,12898.25800216198
2022-02-09,2022-02-10,SH600084,sell,3100,1.8468575391769408,5725.258371448516
2022-02-09,2022-02-10,SH600152,sell,11900,1.2514270259141922,14891.981608378886
2022-02-09,2022-02-10,SH600269,sell,8200,2.5339803879261016,20778.639180994032
2022-02-09,2022-02-10,SH600275,sell,13500,0.3044372068941593,4109.902293071151
2022-02-09,2022-02-10,SH600278,sell,10000,0.9053224924206734,9053.224924206734
2022-02-09,2022-02-10,SH600311,sell,8300,0.3813832131922245,3165.4806694954636
2022-02-09,2022-02-10,SH600555,sell,49900,0.2654662881195545,13246.76777716577
2022-02-09,2022-02-10,SH600568,sell,8300,0.6617754778862,5492.73646645546
2022-02-09,2022-02-10,SH600595,sell,6000,2.2144421718120575,13286.653030872345
2022-02-09,2022-02-10,SH600601,sell,10000,1.00614373755455,10061.437375545502
2022-02-09,2022-02-10,SH600611,sell,4400,1.998704775094986,8794.30101041794
2022-02-09,2022-02-10,SH600643,sell,13500,2.134985984802246,28822.31079483032
2022-02-09,2022-02-10,SH600666,sell,7300,0.7987825416326523,5831.112553918361
2022-02-09,2022-02-10,SH600679,sell,1600,2.289494169473648,3663.1906711578367
2022-02-09,2022-02-10,SH600694,sell,3900,6.073540740966797,23686.808889770506
2022-02-09,2022-02-10,SH600717,sell,5700,6.320409713745117,36026.335368347165
2022-02-09,2022-02-10,SH600735,sell,11500,3.3335385632514956,38335.6934773922
2022-02-09,2022-02-10,SH600766,sell,5700,0.8274032224416733,4716.198367917538
2022-02-09,2022-02-10,SH600798,sell,15500,1.5355527348518372,23801.067390203476
2022-02-09,2022-02-10,SH600881,sell,8800,2.2388613545894622,19701.979920387268
2022-02-09,2022-02-10,SH600898,sell,3100,1.2532127816677094,3884.9596231698993
2022-02-09,2022-02-10,SH601069,sell,6200,2.472293869972229,15328.22199382782
2022-02-09,2022-02-10,SZ000048,sell,13900,1.3824538621902467,19216.10868444443
2022-02-09,2022-02-10,SZ000089,sell,15700,2.309607531309128,36260.83824155331
2022-02-09,2022-02-10,SZ000502,sell,1000,0.6970932489037514,697.0932489037514
2022-02-09,2022-02-10,SZ000528,sell,3400,10.15944708251953,34542.120080566405
2022-02-09,2022-02-10,SZ000752,sell,5300,0.7059721884727478,3741.652598905563
2022-02-09,2022-02-10,SZ000800,sell,7900,3.577625353574753,28263.24029324055
2022-02-09,2022-02-10,SZ000802,sell,2600,1.206867686033249,3137.8559836864474
2022-02-09,2022-02-10,SZ000971,sell,6200,0.7107631824016571,4406.731730890274
2022-02-09,2022-02-10,SZ000972,sell,15000,0.6255098093748093,9382.647140622139
2022-02-09,2022-02-10,SZ002005,sell,5900,0.6690700430274009,3947.5132538616654
2022-02-09,2022-02-10,SZ002200,sell,10200,0.30555668342113496,3116.6781708955764
2022-02-09,2022-02-10,SZ002423,sell,21000,0.8649651269316673,18164.267665565014
2022-02-09,2022-02-10,SZ002496,sell,17800,0.616367442548275,10971.340477359296
2022-02-09,2022-02-10,SZ002499,sell,12100,0.22125963351130484,2677.2415654867887
2022-02-09,2022-02-10,SZ002575,sell,2300,1.0228602930307389,2352.5786739706996
2022-02-09,2022-02-10,SZ002618,sell,27200,0.4421710178554058,12027.051685667038
2022-02-09,2022-02-10,SZ002634,sell,7400,1.8629517298936844,13785.842801213264
2022-02-09,2022-02-10,SZ002724,sell,3300,2.315973372459412,7642.712129116059
2022-02-09,2022-02-10,SZ300103,sell,6900,1.0224995691776275,7055.2470273256295
2022-02-09,2022-02-10,SZ300284,sell,50900,2.094822855234146,106626.48333141803
2022-02-09,2022-02-10,SZ300312,sell,34200,0.4682132793366909,16012.894153314828
2022-02-09,2022-02-10,SZ300089,buy,9100,0.6419107745289802,5841.388048213719
2022-02-09,2022-02-10,SZ000687,buy,16700,0.5975160384774207,9978.517842572926
2022-02-09,2022-02-10,SZ002776,buy,10000,0.3694806196391582,3694.806196391582
2022-02-09,2022-02-10,SH603996,buy,67600,0.13470130594074725,9105.808281594514
2022-02-09,2022-02-10,SH600652,buy,76200,0.4082020313739776,31104.994790697092
2022-02-09,2022-02-10,SH600112,buy,28200,1.2277136468887329,34621.52484226227
2022-02-09,2022-02-10,SZ300105,buy,30300,0.46511656436324117,14093.031900206208
2022-02-09,2022-02-10,SZ300367,buy,13000,0.5555860325694083,7222.618423402308
2022-02-09,2022-02-10,SH600292,buy,21800,1.236185492992401,26948.843747234343
2022-02-09,2022-02-10,SH600532,buy,3600,3.1052635688781733,11178.948847961425
2022-02-09,2022-02-10,SH600419,buy,5200,1.3701077479124069,7124.560289144516
2022-02-09,2022-02-10,SH600146,buy,82600,0.3558290217220783,29391.477194243667
2022-02-09,2022-02-10,SH600260,buy,109100,0.6216214691996573,67818.90228968262
2022-02-09,2022-02-10,SZ002470,buy,125800,0.4196074194610118,52786.613368195285
2022-02-09,2022-02-10,SZ300151,buy,3600,5.873910034179687,21146.076123046874
2022-02-09,2022-02-10,SH600836,buy,19900,3.6098966307640072,71836.94295220374
2022-02-09,2022-02-10,SH600841,buy,3500,2.4692973225116726,8642.540628790854
2022-02-09,2022-02-10,SZ000099,buy,12000,1.5416986687183378,18500.384024620053
2022-02-09,2022-02-10,SZ000600,buy,13100,1.4097655005455016,18467.928057146073
2022-02-09,2022-02-10,SZ300492,buy,700,7.531662111759185,5272.1634782314295
2022-02-09,2022-02-10,SZ002076,buy,12500,0.5835521578788757,7294.401973485947
2022-02-09,2022-02-10,SZ002029,buy,2500,4.7870794315338125,11967.698578834532
2022-02-09,2022-02-10,SZ000927,buy,13400,0.9373082944154738,12559.93114516735
2022-02-09,2022-02-10,SZ300370,buy,15100,0.6471554410457611,9772.047159790993
2022-02-09,2022-02-10,SZ002501,buy,20500,0.2893197316229343,5931.054498270153
2022-02-09,2022-02-10,SH600203,buy,8400,1.8502267982959746,15541.905105686186
2022-02-09,2022-02-10,SH600290,buy,19800,0.5915539093613624,11712.767405354976
2022-02-09,2022-02-10,SZ002755,buy,2900,1.965400517463684,5699.661500644684
2022-02-09,2022-02-10,SH600251,buy,4400,6.6420967917442315,29225.22588367462
2022-02-09,2022-02-10,SH600856,buy,181800,0.5488188537359238,99775.26760919094
2022-02-09,2022-02-10,SZ000016,buy,6400,2.3665070376396176,15145.645040893553
2022-02-09,2022-02-10,SH600400,buy,4400,2.434885847330093,10713.49772825241
2022-02-09,2022-02-10,SZ300486,buy,3600,1.8450930476188658,6642.334971427917
2022-02-09,2022-02-10,SH600093,buy,44600,0.6566727241277694,29287.603496098516
2022-02-09,2022-02-10,SZ002473,buy,15100,0.5707880060076713,8618.898890715836
2022-02-09,2022-02-10,SZ300356,buy,8300,0.558182919025421,4632.918227910995
2022-02-09,2022-02-10,SZ002102,buy,3300,2.944667933940887,9717.404182004928
2022-02-09,2022-02-10,SH600624,buy,7000,1.4956898953914641,10469.82926774025
2022-02-09,2022-02-10,SH600433,buy,5500,2.6570313606262204,14613.672483444212
2022-02-09,2022-02-10,SH600305,buy,9500,8.262864671707153,78497.21438121794
2022-02-09,2022-02-10,SZ002698,buy,5700,1.809357384085655,10313.337089288234
2022-02-09,2022-02-10,SZ000541,buy,1100,4.8935595922470085,5382.9155514717095
2022-02-09,2022-02-10,SZ000911,buy,6100,2.467388305187225,15051.068661642072
2022-02-09,2022-02-10,SH603111,buy,5200,1.3567745780944822,7055.227806091308
2022-02-09,2022-02-10,SZ002426,buy,56000,0.6718417629003524,37623.13872241973
2022-02-09,2022-02-10,SH601368,buy,91100,0.6430339540243148,58580.39321161508
2022-02-09,2022-02-10,SZ002320,buy,14600,1.6580076792240142,24206.912116670606
2022-02-09,2022-02-10,SH603022,buy,2100,1.4701522840261458,3087.3197964549063
2022-02-09,2022-02-10,SZ000572,buy,14000,1.9690020902156828,27566.029263019558
2022-02-09,2022-02-10,SZ002392,buy,16500,0.7552425389885902,12461.501893311737
2022-03-09,2022-03-10,SH600093,sell,24700,0.581402237713337,14360.635271519424
2022-03-09,2022-03-10,SH600112,sell,14600,1.2554818049669265,18330.034352517127
2022-03-09,2022-03-10,SH600146,sell,64400,0.3322685884237289,21398.09709448814
2022-03-09,2022-03-10,SH600203,sell,8400,1.677319829106331,14089.48656449318
2022-03-09,2022-03-10,SH600251,sell,4400,7.828749412536621,34446.49741516113
2022-03-09,2022-03-10,SH600260,sell,51900,0.7171656437516213,37220.89691070915
2022-03-09,2022-03-10,SH600278,sell,20900,0.8414987243413925,17587.323338735103
2022-03-09,2022-03-10,SH600290,sell,11100,0.536807944893837,5958.56818832159
2022-03-09,2022-03-10,SH600292,sell,20000,1.1943230942487717,23886.461884975433
2022-03-09,2022-03-10,SH600305,sell,9500,6.777894257068634,64389.99544215202
2022-03-09,2022-03-10,SH600311,sell,4100,0.37456411519646643,1535.7128723055123
2022-03-09,2022-03-10,SH600400,sell,4100,2.3066564791202544,9457.291564393043
2022-03-09,2022-03-10,SH600433,sell,5500,2.374310362815857,13058.706995487213
2022-03-09,2022-03-10,SH600532,sell,3600,2.9222936017513277,10520.25696630478
2022-03-09,2022-03-10,SH600595,sell,5200,2.1788861610889434,11330.208037662505
2022-03-09,2022-03-10,SH600611,sell,4100,1.9185290458202362,7865.969087862968
2022-03-09,2022-03-10,SH600652,sell,13000,0.39239070931077,5101.07922104001
2022-03-09,2022-03-10,SH600679,sell,1600,2.2811969254016877,3649.9150806427006
2022-03-09,2022-03-10,SH600836,sell,25300,3.945094468832016,99810.89006145
2022-03-09,2022-03-10,SH600841,sell,3500,2.3001765496730804,8050.617923855782
2022-03-09,2022-03-10,SH600881,sell,7000,2.144341463327408,15010.390243291855
2022-03-09,2022-03-10,SH600898,sell,1100,1.374884139418602,1512.3725533604622
2022-03-09,2022-03-10,SH601368,sell,91100,0.6900945630669594,62867.6146954
2022-03-09,2022-03-10,SH603022,sell,2100,1.1480348045825959,2410.8730896234515
2022-03-09,2022-03-10,SH603111,sell,5200,1.3779247473478318,7165.208686208725
2022-03-09,2022-03-10,SH603996,sell,64800,0.14080706445872784,9124.297776925565
2022-03-09,2022-03-10,SZ000016,sell,6400,2.0277903835773468,12977.858454895018
2022-03-09,2022-03-10,SZ000099,sell,12000,1.3708557983636855,16450.269580364227
2022-03-09,2022-03-10,SZ000502,sell,400,0.6361067424416542,254.4426969766617
2022-03-09,2022-03-10,SZ000528,sell,3100,9.262281486511231,28713.072608184815
2022-03-09,2022-03-10,SZ000541,sell,1300,4.738686231136322,6160.292100477219
2022-03-09,2022-03-10,SZ000572,sell,14000,1.8217810982465743,25504.93537545204
2022-03-09,2022-03-10,SZ000600,sell,13100,1.3278351023197175,17394.6398403883
2022-03-09,2022-03-10,SZ000687,sell,11700,0.5741157111525536,6717.153820484877
2022-03-09,2022-03-10,SZ000752,sell,3500,0.7321047202348709,2562.366520822048
2022-03-09,2022-03-10,SZ000802,sell,700,1.0648700333833694,745.4090233683586
2022-03-09,2022-03-10,SZ000911,sell,6100,2.64121195435524,16111.392921566963
2022-03-09,2022-03-10,SZ000927,sell,13400,0.8712785684466362,11675.132817184925
2022-03-09,2022-03-10,SZ002005,sell,5000,0.6382500066161155,3191.250033080578
2022-03-09,2022-03-10,SZ002029,sell,2400,4.32286225605011,10374.869414520263
2022-03-09,2022-03-10,SZ002076,sell,12500,0.5456104881763458,6820.131102204323
2022-03-09,2022-03-10,SZ002102,sell,2600,2.8237074987888335,7341.639496850968
2022-03-09,2022-03-10,SZ002320,sell,12700,1.5769440404176711,20027.18931330442
2022-03-09,2022-03-10,SZ002392,sell,16500,0.7046277210116386,11626.357396692038
2022-03-09,2022-03-10,SZ002423,sell,4600,0.8124929062128067,3737.4673685789107
2022-03-09,2022-03-10,SZ002426,sell,55500,0.6040828839540482,33526.60005944967
2022-03-09,2022-03-10,SZ002470,sell,65600,0.41577086091041565,27274.568475723267
2022-03-09,2022-03-10,SZ002473,sell,15100,0.5131068157553673,7747.9129179060465
2022-03-09,2022-03-10,SZ002499,sell,9900,0.27652826794981955,2737.6298527032136
2022-03-09,2022-03-10,SZ002501,sell,19400,0.2970997097790241,5763.734369713068
2022-03-09,2022-03-10,SZ002618,sell,5100,0.38881532737612723,1982.9581696182488
2022-03-09,2022-03-10,SZ002634,sell,9600,1.6873619810342788,16198.675017929076
2022-03-09,2022-03-10,SZ002698,sell,5400,1.6993313677310944,9176.389385747909
2022-03-09,2022-03-10,SZ002724,sell,4200,2.3078676252365113,9693.044025993348
2022-03-09,2022-03-10,SZ002755,sell,2900,1.8252199434041978,5293.137835872174
2022-03-09,2022-03-10,SZ300089,sell,9100,0.6781745392084122,6171.388306796551
2022-03-09,2022-03-10,SZ300103,sell,10000,0.9808400727510452,9808.400727510452
2022-03-09,2022-03-10,SZ300105,sell,30300,0.4406080796420574,13350.424813154339
2022-03-09,2022-03-10,SZ300151,sell,3600,4.514216197013855,16251.178309249879
2022-03-09,2022-03-10,SZ300312,sell,20600,0.41169419905543325,8480.900500541926
2022-03-09,2022-03-10,SZ300356,sell,12200,0.5187437065243721,6328.673219597339
2022-03-09,2022-03-10,SZ300370,sell,10300,0.620557865202427,6391.746011584997
2022-03-09,2022-03-10,SZ300486,sell,3600,1.5868993756771088,5712.837752437592
2022-03-09,2022-03-10,SZ300492,sell,700,6.659470128536224,4661.629089975357
2022-03-09,2022-03-10,SZ002259,buy,4400,0.9231129761934279,4061.697095251083
2022-03-09,2022-03-10,SZ002242,buy,24000,1.8163873839378355,43593.29721450805
2022-03-09,2022-03-10,SH600229,buy,12600,1.0669993994235991,13444.192432737349
2022-03-09,2022-03-10,SH601968,buy,13000,1.6294993848800658,21183.492003440857
2022-03-09,2022-03-10,SH600289,buy,15700,0.39907972562313077,6265.551692283153
2022-03-09,2022-03-10,SZ002367,buy,7800,1.5857622681856154,12368.9456918478
2022-03-09,2022-03-10,SZ002780,buy,6200,2.0347921874523163,12615.71156220436
2022-03-09,2022-03-10,SH600012,buy,5700,4.17827354478836,23816.159205293654
2022-03-09,2022-03-10,SH600693,buy,1600,2.9123468554019927,4659.7549686431885
2022-03-09,2022-03-10,SH601998,buy,78600,0.6445140450596809,50658.803941690916
2022-03-09,2022-03-10,SZ002360,buy,10200,1.371759373664856,13991.94561138153
2022-03-09,2022-03-10,SH603300,buy,9600,2.7393522734642026,26297.781825256345
2022-03-09,2022-03-10,SZ000036,buy,3800,4.099083811759948,15576.518484687804
2022-03-09,2022-03-10,SZ002668,buy,3400,1.7883706036806104,6080.460052514075
2022-03-09,2022-03-10,SZ002228,buy,15200,2.130884086370468,32389.438112831114
2022-03-09,2022-03-10,SZ002341,buy,23400,1.1893132586479185,27829.930252361293
2022-03-09,2022-03-10,SH600568,buy,4800,0.6064554136395454,2910.985985469818
2022-03-09,2022-03-10,SZ000631,buy,1800,2.374943562507629,4274.898412513732
2022-03-09,2022-03-10,SZ002734,buy,4500,2.2851643798351287,10283.23970925808
2022-03-09,2022-03-10,SZ002168,buy,11700,1.0770306303501127,12601.258375096319
2022-03-09,2022-03-10,SZ000413,buy,21400,1.0137944016456604,21695.20019521713
2022-03-09,2022-03-10,SH600834,buy,3100,2.3664079949855803,7335.864784455299
2022-03-09,2022-03-10,SH601098,buy,34200,0.9400312514305114,32149.06879892349
2022-03-09,2022-03-10,SZ300257,buy,18900,1.1396502887010573,21539.390456449983
2022-03-09,2022-03-10,SH603028,buy,17400,2.0588970215320583,35824.80817465782
2022-03-09,2022-03-10,SZ000700,buy,3100,3.183743297338485,9869.604221749303
2022-03-09,2022-03-10,SZ002147,buy,50400,0.34882709389925,17580.8855325222
2022-03-09,2022-03-10,SH600269,buy,19400,2.4204817042350766,46957.345062160486
2022-03-09,2022-03-10,SH600868,buy,13000,1.4374458937644956,18686.796618938442
2022-03-09,2022-03-10,SZ300256,buy,32900,0.48284009814262385,15885.439228892325
2022-03-09,2022-03-10,SH603018,buy,17700,1.2641546611785888,22375.53750286102
2022-03-09,2022-03-10,SH603188,buy,24700,0.3553803167343139,8777.893823337554
2022-03-09,2022-03-10,SZ002776,buy,81300,0.44235924735665316,35963.8068100959
2022-03-09,2022-03-10,SZ300400,buy,3600,4.706489736557006,16943.36305160522
2022-03-09,2022-03-10,SZ000616,buy,2700,3.1076358194351195,8390.616712474823
2022-03-09,2022-03-10,SZ002676,buy,23900,1.0943126188516616,26154.071590554715
2022-03-09,2022-03-10,SH600060,buy,10800,3.9524114260673517,42686.0434015274
2022-03-09,2022-03-10,SZ000971,buy,5700,0.6806542322039604,3879.729123562574
2022-03-09,2022-03-10,SH600624,buy,8900,1.4623995114564894,13015.355651962756
2022-03-09,2022-03-10,SZ300367,buy,11100,0.5186464638113975,5756.975748306511
2022-03-09,2022-03-10,SZ002486,buy,21600,0.7383510529994963,15948.38274478912
2022-03-09,2022-03-10,SZ300280,buy,15200,2.8075759561061857,42675.15453281402
2022-03-09,2022-03-10,SZ002582,buy,11500,0.7286110432744025,8379.026997655628
2022-03-09,2022-03-10,SH600419,buy,12700,1.4115979089736936,17927.293443965907
2022-03-09,2022-03-10,SH600894,buy,11400,3.7768298022747038,43055.85974593162
2022-03-09,2022-03-10,SZ000536,buy,7000,1.1380818349123,7966.572844386101
2022-03-09,2022-03-10,SZ000678,buy,15800,1.543261991381645,24383.53946382999
2022-03-09,2022-03-10,SH600791,buy,11100,1.4540125079154966,16139.538837862012
2022-03-09,2022-03-10,SH603609,buy,10300,1.8149769210815427,18694.26228713989
2022-03-09,2022-03-10,SZ002697,buy,16600,1.780454947710037,29555.552131986617
2022-04-08,2022-04-11,SH600012,sell,5700,4.468024489402771,25467.739589595796
2022-04-08,2022-04-11,SH600060,sell,10400,3.725895838022232,38749.31671543121
2022-04-08,2022-04-11,SH600093,sell,13100,0.44037299582362177,5768.8862452894455
2022-04-08,2022-04-11,SH600112,sell,10700,1.1868020793199539,12698.782248723506
2022-04-08,2022-04-11,SH600146,sell,18200,0.3165865387022495,5761.875004380941
2022-04-08,2022-04-11,SH600229,sell,9300,1.0762306315898895,10008.944873785973
2022-04-08,2022-04-11,SH600260,sell,41100,0.6257080348134041,25716.600230830907
2022-04-08,2022-04-11,SH600269,sell,15200,2.5272596583366393,38414.346806716916
2022-04-08,2022-04-11,SH600278,sell,2200,0.9149483649730682,2012.88640294075
2022-04-08,2022-04-11,SH600289,sell,7300,0.4249431788921356,3102.08520591259
2022-04-08,2022-04-11,SH600290,sell,8700,0.5657446907758713,4921.9788097500805
2022-04-08,2022-04-11,SH600292,sell,1800,1.0464415580034256,1883.594804406166
2022-04-08,2022-04-11,SH600419,sell,13600,1.4479620999097824,19692.28455877304
2022-04-08,2022-04-11,SH600595,sell,2700,2.214428833723068,5978.957851052284
2022-04-08,2022-04-11,SH600624,sell,12900,1.523597638964653,19654.409542644025
2022-04-08,2022-04-11,SH600652,sell,10400,0.3024155932366848,3145.122169661522
2022-04-08,2022-04-11,SH600693,sell,1600,3.818710597515106,6109.936956024169
2022-04-08,2022-04-11,SH600791,sell,11100,1.8606722266674043,20653.461716008187
2022-04-08,2022-04-11,SH600834,sell,3100,2.37536478638649,7363.630837798119
2022-04-08,2022-04-11,SH600836,sell,1100,4.045386656284332,4449.925321912766
2022-04-08,2022-04-11,SH600856,sell,181800,0.597012089073658,108536.79779359102
2022-04-08,2022-04-11,SH600881,sell,2000,2.31162801361084,4623.25602722168
2022-04-08,2022-04-11,SH600894,sell,11400,3.8556318569183348,43954.20316886902
2022-04-08,2022-04-11,SH601098,sell,34200,0.9736411964893341,33298.52891993523
2022-04-08,2022-04-11,SH601968,sell,7200,1.5789813144207,11368.66546382904
2022-04-08,2022-04-11,SH601998,sell,78600,0.7212903286814689,56693.419834363456
2022-04-08,2022-04-11,SH603018,sell,17700,1.3785561629533767,24400.444084274768
2022-04-08,2022-04-11,SH603028,sell,15200,1.822746442437172,27705.745925045016
2022-04-08,2022-04-11,SH603188,sell,24700,0.3650197598040104,9015.988067159056
2022-04-08,2022-04-11,SH603300,sell,7200,2.7879135460853575,20072.977531814573
2022-04-08,2022-04-11,SH603609,sell,10300,1.755331215262413,18079.911517202854
2022-04-08,2022-04-11,SZ000036,sell,3800,4.7455420088768,18033.059633731842
2022-04-08,2022-04-11,SZ000413,sell,21400,0.9811291043758392,20996.16283364296
2022-04-08,2022-04-11,SZ000536,sell,7000,1.093616830587387,7655.317814111709
2022-04-08,2022-04-11,SZ000541,sell,1500,4.647768100261688,6971.652150392532
2022-04-08,2022-04-11,SZ000616,sell,2700,3.221664150953293,8698.49320757389
2022-04-08,2022-04-11,SZ000631,sell,1800,2.5952134108543397,4671.384139537811
2022-04-08,2022-04-11,SZ000678,sell,10900,1.5614356538057328,17019.64862648249
2022-04-08,2022-04-11,SZ000687,sell,19400,0.48941661313176155,9494.682294756174
2022-04-08,2022-04-11,SZ000971,sell,7200,0.6824286750555039,4913.4864603996275
2022-04-08,2022-04-11,SZ002029,sell,100,4.485499291419983,448.5499291419983
2022-04-08,2022-04-11,SZ002102,sell,700,3.0622299242019655,2143.5609469413757
2022-04-08,2022-04-11,SZ002168,sell,11700,1.0367020139694214,12129.413563442231
2022-04-08,2022-04-11,SZ002228,sell,9900,2.1618527069091797,21402.34179840088
2022-04-08,2022-04-11,SZ002242,sell,24000,1.7085091638565064,41004.21993255615
2022-04-08,2022-04-11,SZ002320,sell,1900,1.6687554659843444,3170.6353853702544
2022-04-08,2022-04-11,SZ002341,sell,14200,1.0906460094451904,15487.173334121704
2022-04-08,2022-04-11,SZ002360,sell,10200,1.3440949473381043,13709.768462848664
2022-04-08,2022-04-11,SZ002367,sell,7800,1.6178618438243866,12619.322381830216
2022-04-08,2022-04-11,SZ002426,sell,500,0.5724320155978203,286.21600779891014
2022-04-08,2022-04-11,SZ002470,sell,60200,0.41874212864041327,25208.27614415288
2022-04-08,2022-04-11,SZ002486,sell,21600,0.8228622581362725,17773.824775743484
2022-04-08,2022-04-11,SZ002501,sell,17300,0.30388543277978897,5257.217987090349
2022-04-08,2022-04-11,SZ002582,sell,11500,0.7252288162708282,8340.131387114525
2022-04-08,2022-04-11,SZ002618,sell,17900,0.3530779424607754,6320.09517004788
2022-04-08,2022-04-11,SZ002668,sell,3400,1.7120655509233476,5821.022873139382
2022-04-08,2022-04-11,SZ002676,sell,16100,1.183677989244461,19057.215626835823
2022-04-08,2022-04-11,SZ002697,sell,16600,1.9890927765369415,33018.94009051323
2022-04-08,2022-04-11,SZ002734,sell,3800,2.25540439581871,8570.536704111099
2022-04-08,2022-04-11,SZ002776,sell,20400,0.45380573165416715,9257.63692574501
2022-04-08,2022-04-11,SZ002780,sell,6200,1.8870073306560515,11699.44545006752
2022-04-08,2022-04-11,SZ300256,sell,32900,0.4875264153778553,16039.61906593144
2022-04-08,2022-04-11,SZ300257,sell,17600,1.1829821459054948,20820.48576793671
2022-04-08,2022-04-11,SZ300280,sell,13600,2.829757274866104,38484.69893817901
2022-04-08,2022-04-11,SZ300312,sell,54800,0.4038108823299408,22128.836351680755
2022-04-08,2022-04-11,SZ300356,sell,19600,0.49926473754644396,9785.588855910302
2022-04-08,2022-04-11,SZ300367,sell,24100,0.3031024155020714,7304.76821359992
2022-04-08,2022-04-11,SZ300400,sell,3600,3.968278211116791,14285.801560020447
2022-04-08,2022-04-11,SZ002698,buy,7000,1.559085785627365,10913.600499391556
2022-04-08,2022-04-11,SZ002147,buy,21600,0.30034207522869105,6487.388824939727
