api,parameters,status,row_count,columns,elapsed_seconds,error
fina_indicator,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales"", ""start_date"": 20090101, ""ts_code"": ""002449.SZ""}",accessible_nonempty,100,"ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales",0.071,
income,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag"", ""start_date"": 20090101, ""ts_code"": ""002679.SZ""}",accessible_nonempty,55,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag",0.096,
balancesheet,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,update_flag"", ""start_date"": 20090101, ""ts_code"": ""002679.SZ""}",accessible_nonempty,66,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,update_flag",0.077,
cashflow,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,n_cashflow_act,update_flag"", ""start_date"": 20090101, ""ts_code"": ""002679.SZ""}",accessible_nonempty,52,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,n_cashflow_act,update_flag",0.068,
fina_indicator,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales"", ""start_date"": 20090101, ""ts_code"": ""002679.SZ""}",accessible_nonempty,86,"ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales",0.093,
income,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag"", ""start_date"": 20090101, ""ts_code"": ""002733.SZ""}",accessible_nonempty,43,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag",0.089,
balancesheet,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,update_flag"", ""start_date"": 20090101, ""ts_code"": ""002733.SZ""}",accessible_nonempty,51,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,update_flag",0.087,
cashflow,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,n_cashflow_act,update_flag"", ""start_date"": 20090101, ""ts_code"": ""002733.SZ""}",accessible_nonempty,39,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,n_cashflow_act,update_flag",0.069,
fina_indicator,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales"", ""start_date"": 20090101, ""ts_code"": ""002733.SZ""}",accessible_nonempty,68,"ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales",0.079,
income,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag"", ""start_date"": 20090101, ""ts_code"": ""603588.SH""}",accessible_nonempty,42,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag",0.089,
