ts_code,api,rows,report_periods,target_periods,period_coverage_ratio,duplicate_key_rows,revision_rows,row_cap_reached,report_type_count,median_announcement_delay_days,p95_announcement_delay_days
300838.SZ,cashflow,29,25,0.0,,8,24,False,1,90.0,943.3999999999997
300838.SZ,fina_indicator,52,26,0.0,,52,0,False,0,90.0,993.0
601816.SH,income,27,16,0.0,,22,13,False,1,120.0,979.4999999999998
601816.SH,balancesheet,19,14,0.0,,10,13,False,1,86.0,760.4999999999992
601816.SH,cashflow,20,14,0.0,,12,11,False,1,113.5,1089.0
601816.SH,fina_indicator,34,17,0.0,,34,0,False,0,113.0,851.7499999999992
603353.SH,income,25,16,0.0,,18,13,False,1,110.0,786.0
603353.SH,balancesheet,19,13,0.0,,12,11,False,1,56.0,797.8999999999997
603353.SH,cashflow,19,16,0.0,,6,13,False,1,110.0,797.8999999999997
603353.SH,fina_indicator,34,17,0.0,,34,0,False,0,118.0,827.6499999999997
605178.SH,income,25,16,0.0,,18,16,False,1,220.0,1012.3999999999997
605178.SH,balancesheet,19,14,0.0,,10,12,False,1,116.0,957.7999999999998
605178.SH,cashflow,19,16,0.0,,6,14,False,1,220.0,957.7999999999998
605178.SH,fina_indicator,34,17,0.0,,34,0,False,0,220.0,977.2999999999998
301073.SZ,income,29,17,0.0,,24,17,False,1,214.0,1049.0
301073.SZ,balancesheet,21,17,0.0,,8,16,False,1,138.0,1049.0
301073.SZ,cashflow,21,17,0.0,,8,17,False,1,251.0,1049.0
301073.SZ,fina_indicator,38,19,0.0,,38,0,False,0,214.0,1058.6
688232.SH,income,11,7,0.0,,8,7,False,1,412.0,987.5
688232.SH,balancesheet,10,7,0.0,,6,6,False,1,302.0,992.05
688232.SH,cashflow,11,8,0.0,,6,9,False,1,302.0,987.5
688232.SH,fina_indicator,20,10,0.0,,20,0,False,0,348.0,1033.0
920111.BJ,income,0,0,,0.0,0,0,False,0,,
920111.BJ,balancesheet,0,0,,0.0,0,0,False,0,,
920111.BJ,cashflow,0,0,,0.0,0,0,False,0,,
920111.BJ,fina_indicator,3,3,0.0,,0,0,False,0,867.0,1013.6999999999999
920267.BJ,income,10,9,0.0,,2,8,False,1,100.5,466.7499999999996
920267.BJ,balancesheet,10,9,0.0,,2,9,False,1,100.5,466.7499999999996
920267.BJ,cashflow,10,9,0.0,,2,8,False,1,100.5,466.7499999999996
920267.BJ,fina_indicator,20,20,0.0,,0,0,False,0,111.0,870.2000000000002
000552.SZ,income,61,52,32.0,1.0,18,12,False,1,40.0,105.0
000552.SZ,balancesheet,78,52,32.0,1.0,52,29,False,1,48.0,105.44999999999997
000552.SZ,cashflow,58,52,32.0,1.0,12,13,False,1,40.5,105.44999999999999
000552.SZ,fina_indicator,100,50,32.0,1.0,100,0,True,0,35.5,91.0
000605.SZ,income,60,52,32.0,1.0,16,11,False,1,31.0,121.0
000605.SZ,balancesheet,78,52,32.0,1.0,52,29,False,1,52.5,157.14999999999912
000605.SZ,cashflow,58,52,32.0,1.0,12,13,False,1,48.5,120.15
000605.SZ,fina_indicator,100,50,32.0,1.0,100,0,True,0,31.0,120.0
000815.SZ,income,61,52,32.0,1.0,18,12,False,1,31.0,116.0
000815.SZ,balancesheet,78,52,32.0,1.0,52,29,False,1,56.0,116.0
000815.SZ,cashflow,58,52,32.0,1.0,12,13,False,1,45.5,116.0
000815.SZ,fina_indicator,100,50,32.0,1.0,100,0,True,0,31.0,116.0
000915.SZ,income,61,52,32.0,1.0,18,12,False,1,28.0,118.0
000915.SZ,balancesheet,79,52,32.0,1.0,54,30,False,1,28.0,118.0
000915.SZ,cashflow,58,52,32.0,1.0,12,13,False,1,28.0,86.15
000915.SZ,fina_indicator,100,50,32.0,1.0,100,0,True,0,27.0,86.0
