trade_date,layer,active_canary_count,observed_count,aligned_count,missing_count,unexpected_count,coverage_ratio
2016-04-01,moneyflow,2603,2522,2329,274,193,0.8947368421052632
2016-07-01,moneyflow,2641,2586,2389,252,197,0.904581597879591
2016-10-10,moneyflow,2704,2698,2491,213,207,0.9212278106508875
2017-01-03,moneyflow,2806,2822,2618,188,204,0.9330007127583749
2017-04-05,moneyflow,2936,2930,2730,206,200,0.9298365122615804
2017-07-03,moneyflow,3049,3014,2826,223,188,0.9268612659888488
2017-10-09,moneyflow,3148,3172,2973,175,199,0.9444091486658196
2018-01-02,moneyflow,3235,3246,3046,189,200,0.9415765069551777
2018-04-02,moneyflow,3271,3247,3056,215,191,0.9342708651788444
2018-07-02,moneyflow,3296,3334,3135,161,199,0.9511529126213593
2018-10-08,moneyflow,3320,3463,3253,67,210,0.9798192771084338
2019-01-02,moneyflow,3338,3553,3330,8,223,0.9976033553025764
2019-04-01,moneyflow,3371,3569,3348,23,221,0.9931770987837437
2019-07-01,moneyflow,3404,3610,3392,12,218,0.9964747356051704
2019-10-08,moneyflow,3467,3666,3452,15,214,0.9956734929333718
2020-01-02,moneyflow,3540,3740,3529,11,211,0.9968926553672316
2020-04-01,moneyflow,3590,3790,3580,10,210,0.9972144846796658
2020-07-01,moneyflow,3659,3846,3645,14,201,0.9961738179830555
2020-10-09,moneyflow,3862,4018,3823,39,195,0.9899016053858105
2021-01-04,moneyflow,3973,4119,3927,46,192,0.9884218474704254
2021-04-01,moneyflow,4083,4219,4027,56,192,0.9862845946607887
2021-07-01,moneyflow,4231,4359,4169,62,190,0.9853462538406996
2021-10-08,moneyflow,4368,4481,4294,74,187,0.983058608058608
