source,batch_id,name,category,source_project,source_file,source_function,source_commit,license,expected_direction,required_fields,labels,stage,enabled,runnable,compute_adapter,registry_name,notes,lineage_status,parent_v1_factor,canonical_replacement_for,evidence_tier,economic_family,economic_subfamily,candidate_status
alpha101,alpha101_001,kunquant_alpha101_alpha004,alpha101,kunquant_alpha101,tests/KunTestUtil/ref_alpha101.py,alpha004,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,$low,"label_10d_t1,label_20d_t1",alpha101_adapter_v4_smoke_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha004,Generated from KunQuant pandas reference smoke; coverage=0.942281 V4 smoke passed for selected Alpha101 adapter factor.,legacy_v1,kunquant_alpha101_alpha004,,A_or_B_legacy,Multi,CrossSectionalTechnicalFormula,pre_network_data_correctness_candidate
alpha101,alpha101_001,kunquant_alpha101_alpha005,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha005,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$close,$open,$volume","label_10d_t1,label_20d_t1",alpha101_adapter_v4_batch_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha005,Alpha101 batch V4 passed.,legacy_v1,kunquant_alpha101_alpha005,,A_or_B_legacy,Multi,CrossSectionalTechnicalFormula,pre_network_data_correctness_candidate
alpha101,alpha101_001,kunquant_alpha101_alpha006,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha006,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$open,$volume","label_10d_t1,label_20d_t1",alpha101_adapter_v4_batch_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha006,Alpha101 batch V4 passed.,legacy_v1,kunquant_alpha101_alpha006,,A_or_B_legacy,Multi,CrossSectionalTechnicalFormula,pre_network_data_correctness_candidate
alpha101,alpha101_001,kunquant_alpha101_alpha008,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha008,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$close,$open","label_10d_t1,label_20d_t1",alpha101_adapter_v4_batch_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha008,Alpha101 batch V4 passed.,legacy_v1,kunquant_alpha101_alpha008,,A_or_B_legacy,Multi,CrossSectionalTechnicalFormula,pre_network_data_correctness_candidate
alpha101,alpha101_001,kunquant_alpha101_alpha009,alpha101,kunquant_alpha101,tests/KunTestUtil/ref_alpha101.py,alpha009,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,$close,"label_10d_t1,label_20d_t1",alpha101_adapter_v4_smoke_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha009,Generated from KunQuant pandas reference smoke; coverage=0.987213 V4 smoke passed for selected Alpha101 adapter factor.,legacy_v1,kunquant_alpha101_alpha009,,A_or_B_legacy,Multi,CrossSectionalTechnicalFormula,pre_network_data_correctness_candidate
alpha101,alpha101_001,kunquant_alpha101_alpha010,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha010,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,$close,"label_10d_t1,label_20d_t1",alpha101_adapter_v4_batch_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha010,Alpha101 batch V4 passed.,legacy_v1,kunquant_alpha101_alpha010,,A_or_B_legacy,Multi,CrossSectionalTechnicalFormula,pre_network_data_correctness_candidate
alpha101,alpha101_001,kunquant_alpha101_alpha011,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha011,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$close,$volume","label_10d_t1,label_20d_t1",alpha101_adapter_v4_batch_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha011,Alpha101 batch V4 passed.,legacy_v1,kunquant_alpha101_alpha011,,A_or_B_legacy,Multi,CrossSectionalTechnicalFormula,pre_network_data_correctness_candidate
alpha101,alpha101_001,kunquant_alpha101_alpha012,alpha101,kunquant_alpha101,tests/KunTestUtil/ref_alpha101.py,alpha012,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$close,$volume","label_10d_t1,label_20d_t1",alpha101_adapter_v4_smoke_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha012,Generated from KunQuant pandas reference smoke; coverage=0.987213 V4 smoke passed for selected Alpha101 adapter factor.,legacy_v1,kunquant_alpha101_alpha012,,A_or_B_legacy,Multi,CrossSectionalTechnicalFormula,pre_network_data_correctness_candidate
alpha101,alpha101_001,kunquant_alpha101_alpha013,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha013,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$close,$volume","label_10d_t1,label_20d_t1",alpha101_adapter_v4_batch_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha013,Alpha101 batch V4 passed.,legacy_v1,kunquant_alpha101_alpha013,,A_or_B_legacy,Multi,CrossSectionalTechnicalFormula,pre_network_data_correctness_candidate
alpha101,alpha101_001,kunquant_alpha101_alpha014,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha014,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$close,$open,$volume","label_10d_t1,label_20d_t1",alpha101_adapter_v4_batch_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha014,Alpha101 batch V4 passed.,legacy_v1,kunquant_alpha101_alpha014,,A_or_B_legacy,Multi,CrossSectionalTechnicalFormula,pre_network_data_correctness_candidate
alpha101,alpha101_001,kunquant_alpha101_alpha015,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha015,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$high,$volume","label_10d_t1,label_20d_t1",alpha101_adapter_v4_batch_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha015,Alpha101 batch V4 passed.,legacy_v1,kunquant_alpha101_alpha015,,A_or_B_legacy,Multi,CrossSectionalTechnicalFormula,pre_network_data_correctness_candidate
alpha101,alpha101_001,kunquant_alpha101_alpha016,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha016,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$high,$volume","label_10d_t1,label_20d_t1",alpha101_adapter_v4_batch_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha016,Alpha101 batch V4 passed.,legacy_v1,kunquant_alpha101_alpha016,,A_or_B_legacy,Multi,CrossSectionalTechnicalFormula,pre_network_data_correctness_candidate
alpha101,alpha101_001,kunquant_alpha101_alpha017,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha017,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$close,$volume","label_10d_t1,label_20d_t1",alpha101_adapter_v4_batch_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha017,Alpha101 batch V4 passed.,legacy_v1,kunquant_alpha101_alpha017,,A_or_B_legacy,Multi,CrossSectionalTechnicalFormula,pre_network_data_correctness_candidate
alpha101,alpha101_001,kunquant_alpha101_alpha018,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha018,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$close,$open","label_10d_t1,label_20d_t1",alpha101_adapter_v4_batch_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha018,Alpha101 batch V4 passed.,legacy_v1,kunquant_alpha101_alpha018,,A_or_B_legacy,Multi,CrossSectionalTechnicalFormula,pre_network_data_correctness_candidate
alpha101,alpha101_001,kunquant_alpha101_alpha020,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha020,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$close,$high,$low,$open","label_10d_t1,label_20d_t1",alpha101_adapter_v4_batch_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha020,Alpha101 batch V4 passed.,legacy_v1,kunquant_alpha101_alpha020,,A_or_B_legacy,Multi,CrossSectionalTechnicalFormula,pre_network_data_correctness_candidate
alpha101,alpha101_001,kunquant_alpha101_alpha022,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha022,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$close,$high,$volume","label_10d_t1,label_20d_t1",alpha101_adapter_v4_batch_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha022,Alpha101 batch V4 passed.,legacy_v1,kunquant_alpha101_alpha022,,A_or_B_legacy,Multi,CrossSectionalTechnicalFormula,pre_network_data_correctness_candidate
