catalog_id,name,registry_name,category,stage,enabled,runnable,expected_direction,source_project,source_file,source_function,source_commit,license,compute_adapter,required_fields,labels,notes
alpha158_full_runnable_catalog,alpha158_BETA30,alpha158_BETA30,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Slope($close, 30)/$close"
alpha158_full_runnable_catalog,alpha158_BETA60,alpha158_BETA60,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Slope($close, 60)/$close"
alpha158_full_runnable_catalog,alpha158_RSQR5,alpha158_RSQR5,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Rsquare($close, 5)"
alpha158_full_runnable_catalog,alpha158_RSQR10,alpha158_RSQR10,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Rsquare($close, 10)"
alpha158_full_runnable_catalog,alpha158_RSQR20,alpha158_RSQR20,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Rsquare($close, 20)"
alpha158_full_runnable_catalog,alpha158_RSQR30,alpha158_RSQR30,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Rsquare($close, 30)"
alpha158_full_runnable_catalog,alpha158_RSQR60,alpha158_RSQR60,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Rsquare($close, 60)"
alpha158_full_runnable_catalog,alpha158_RESI5,alpha158_RESI5,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Resi($close, 5)/$close"
alpha158_full_runnable_catalog,alpha158_RESI10,alpha158_RESI10,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Resi($close, 10)/$close"
alpha158_full_runnable_catalog,alpha158_RESI20,alpha158_RESI20,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Resi($close, 20)/$close"
alpha158_full_runnable_catalog,alpha158_RESI30,alpha158_RESI30,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Resi($close, 30)/$close"
alpha158_full_runnable_catalog,alpha158_RESI60,alpha158_RESI60,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,$close,"label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Resi($close, 60)/$close"
alpha158_full_runnable_catalog,alpha158_MAX5,alpha158_MAX5,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$high","label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Max($high, 5)/$close"
alpha158_full_runnable_catalog,alpha158_MAX10,alpha158_MAX10,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$high","label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Max($high, 10)/$close"
alpha158_full_runnable_catalog,alpha158_MAX20,alpha158_MAX20,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$high","label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Max($high, 20)/$close"
alpha158_full_runnable_catalog,alpha158_MAX30,alpha158_MAX30,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$high","label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Max($high, 30)/$close"
alpha158_full_runnable_catalog,alpha158_MAX60,alpha158_MAX60,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$high","label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Max($high, 60)/$close"
alpha158_full_runnable_catalog,alpha158_MIN5,alpha158_MIN5,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$low","label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Min($low, 5)/$close"
alpha158_full_runnable_catalog,alpha158_MIN10,alpha158_MIN10,alpha158_rolling_price,alpha158_remaining138_v4_batch_passed,True,True,watch,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,qlib_expression_frame_v1,"$close,$low","label_10d_t1,label_20d_t1","Qlib Alpha158 expression: Min($low, 10)/$close"
