level,factor,old_role,old_representative,new_role,new_representative,changed,old_alias_review_reasons,reason,user_decision
0.995,alpha158_QTLD20,proposed_representative,alpha158_QTLD20,retain_unmerged_with_unknown_pairs,alpha158_QTLD20,True,[],Singleton is not evidence of independence,pending
0.995,alpha158_QTLD30,proposed_representative,alpha158_QTLD30,retain_unmerged_with_unknown_pairs,alpha158_QTLD30,True,[],Singleton is not evidence of independence,pending
0.995,alpha158_QTLD5,proposed_representative,alpha158_QTLD5,retain_unmerged_with_unknown_pairs,alpha158_QTLD5,True,[],Singleton is not evidence of independence,pending
0.995,alpha158_QTLD60,proposed_representative,alpha158_QTLD60,retain_unmerged_with_unknown_pairs,alpha158_QTLD60,True,[],Singleton is not evidence of independence,pending
0.995,alpha158_QTLU20,proposed_representative,alpha158_QTLU20,retain_unmerged_with_unknown_pairs,alpha158_QTLU20,True,[],Singleton is not evidence of independence,pending
0.995,alpha158_QTLU30,proposed_representative,alpha158_QTLU30,retain_unmerged_with_unknown_pairs,alpha158_QTLU30,True,[],Singleton is not evidence of independence,pending
0.995,alpha158_QTLU60,proposed_representative,alpha158_QTLU60,retain_unmerged_with_unknown_pairs,alpha158_QTLU60,True,[],Singleton is not evidence of independence,pending
0.995,alpha158_RANK10,proposed_representative,alpha158_RANK10,retain_unmerged_with_unknown_pairs,alpha158_RANK10,True,[],Singleton is not evidence of independence,pending
0.995,alpha158_RANK20,proposed_representative,alpha158_RANK20,retain_unmerged_with_unknown_pairs,alpha158_RANK20,True,[],Singleton is not evidence of independence,pending
0.995,alpha158_RANK30,proposed_representative,alpha158_RANK30,retain_unmerged_with_unknown_pairs,alpha158_RANK30,True,[],Singleton is not evidence of independence,pending
0.995,alpha158_RANK60,proposed_representative,alpha158_RANK60,retain_unmerged_with_unknown_pairs,alpha158_RANK60,True,[],Singleton is not evidence of independence,pending
0.995,alpha158_RESI60,proposed_representative,alpha158_RESI60,retain_unmerged_with_unknown_pairs,alpha158_RESI60,True,[],Singleton is not evidence of independence,pending
0.995,alpha158_ROC10,retain_horizon_or_semantic_variant,alpha158_ROC10,retain_semantic_or_horizon_variant,alpha158_ROC10,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_ROC20,retain_horizon_or_semantic_variant,alpha158_ROC20,retain_semantic_or_horizon_variant,alpha158_ROC20,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_ROC30,retain_horizon_or_semantic_variant,alpha158_ROC30,retain_semantic_or_horizon_variant,alpha158_ROC30,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_ROC5,retain_horizon_or_semantic_variant,alpha158_ROC5,retain_semantic_or_horizon_variant,alpha158_ROC5,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_ROC60,retain_horizon_or_semantic_variant,alpha158_ROC60,retain_semantic_or_horizon_variant,alpha158_ROC60,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_RSV20,retain_horizon_or_semantic_variant,alpha158_RSV20,retain_semantic_or_horizon_variant,alpha158_RSV20,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_RSV30,proposed_representative,alpha158_RSV30,retain_unmerged_with_unknown_pairs,alpha158_RSV30,True,[],Singleton is not evidence of independence,pending
0.995,alpha158_RSV60,proposed_representative,alpha158_RSV60,retain_unmerged_with_unknown_pairs,alpha158_RSV60,True,[],Singleton is not evidence of independence,pending
0.995,alpha158_STD10,proposed_representative,alpha158_STD10,retain_unmerged_with_unknown_pairs,alpha158_STD10,True,[],Singleton is not evidence of independence,pending
0.995,alpha158_STD5,proposed_representative,alpha158_STD5,retain_unmerged_with_unknown_pairs,alpha158_STD5,True,[],Singleton is not evidence of independence,pending
0.995,alpha158_SUMD10,retain_horizon_or_semantic_variant,alpha158_SUMD10,retain_semantic_or_horizon_variant,alpha158_SUMD10,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_SUMD20,retain_horizon_or_semantic_variant,alpha158_SUMD20,retain_semantic_or_horizon_variant,alpha158_SUMD20,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_SUMD30,retain_horizon_or_semantic_variant,alpha158_SUMD30,retain_semantic_or_horizon_variant,alpha158_SUMD30,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_SUMD60,retain_horizon_or_semantic_variant,alpha158_SUMD60,retain_semantic_or_horizon_variant,alpha158_SUMD60,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_SUMN10,retain_horizon_or_semantic_variant,alpha158_SUMN10,retain_semantic_or_horizon_variant,alpha158_SUMN10,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_SUMN20,retain_horizon_or_semantic_variant,alpha158_SUMN20,retain_semantic_or_horizon_variant,alpha158_SUMN20,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_SUMN30,retain_horizon_or_semantic_variant,alpha158_SUMN30,retain_semantic_or_horizon_variant,alpha158_SUMN30,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_SUMN60,retain_horizon_or_semantic_variant,alpha158_SUMN60,retain_semantic_or_horizon_variant,alpha158_SUMN60,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_SUMP10,retain_horizon_or_semantic_variant,alpha158_SUMP10,retain_semantic_or_horizon_variant,alpha158_SUMP10,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_SUMP20,retain_horizon_or_semantic_variant,alpha158_SUMP20,retain_semantic_or_horizon_variant,alpha158_SUMP20,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_SUMP30,retain_horizon_or_semantic_variant,alpha158_SUMP30,retain_semantic_or_horizon_variant,alpha158_SUMP30,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_SUMP60,retain_horizon_or_semantic_variant,alpha158_SUMP60,retain_semantic_or_horizon_variant,alpha158_SUMP60,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_VSUMD20,retain_horizon_or_semantic_variant,alpha158_VSUMD20,retain_semantic_or_horizon_variant,alpha158_VSUMD20,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_VSUMD30,retain_horizon_or_semantic_variant,alpha158_VSUMD30,retain_semantic_or_horizon_variant,alpha158_VSUMD30,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_VSUMD60,retain_horizon_or_semantic_variant,alpha158_VSUMD60,retain_semantic_or_horizon_variant,alpha158_VSUMD60,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_VSUMN20,retain_horizon_or_semantic_variant,alpha158_VSUMN20,retain_semantic_or_horizon_variant,alpha158_VSUMN20,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_VSUMN30,retain_horizon_or_semantic_variant,alpha158_VSUMN30,retain_semantic_or_horizon_variant,alpha158_VSUMN30,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_VSUMN60,retain_horizon_or_semantic_variant,alpha158_VSUMN60,retain_semantic_or_horizon_variant,alpha158_VSUMN60,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_VSUMP20,retain_horizon_or_semantic_variant,alpha158_VSUMP20,retain_semantic_or_horizon_variant,alpha158_VSUMP20,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_VSUMP30,retain_horizon_or_semantic_variant,alpha158_VSUMP30,retain_semantic_or_horizon_variant,alpha158_VSUMP30,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha158_VSUMP60,retain_horizon_or_semantic_variant,alpha158_VSUMP60,retain_semantic_or_horizon_variant,alpha158_VSUMP60,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE10,retain_horizon_or_semantic_variant,alpha360_CLOSE10,retain_semantic_or_horizon_variant,alpha360_CLOSE10,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE11,proposed_representative,alpha360_CLOSE11,retain_unmerged_with_unknown_pairs,alpha360_CLOSE11,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_CLOSE12,retain_horizon_or_semantic_variant,alpha360_CLOSE12,retain_semantic_or_horizon_variant,alpha360_CLOSE12,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE13,proposed_representative,alpha360_CLOSE13,retain_unmerged_with_unknown_pairs,alpha360_CLOSE13,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_CLOSE14,proposed_representative,alpha360_CLOSE14,retain_unmerged_with_unknown_pairs,alpha360_CLOSE14,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_CLOSE15,proposed_representative,alpha360_CLOSE15,retain_unmerged_with_unknown_pairs,alpha360_CLOSE15,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_CLOSE16,proposed_representative,alpha360_CLOSE16,retain_unmerged_with_unknown_pairs,alpha360_CLOSE16,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_CLOSE17,proposed_representative,alpha360_CLOSE17,retain_unmerged_with_unknown_pairs,alpha360_CLOSE17,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_CLOSE18,proposed_representative,alpha360_CLOSE18,retain_unmerged_with_unknown_pairs,alpha360_CLOSE18,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_CLOSE19,proposed_representative,alpha360_CLOSE19,retain_unmerged_with_unknown_pairs,alpha360_CLOSE19,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_CLOSE20,retain_horizon_or_semantic_variant,alpha360_CLOSE20,retain_semantic_or_horizon_variant,alpha360_CLOSE20,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE21,retain_horizon_or_semantic_variant,alpha360_CLOSE21,retain_semantic_or_horizon_variant,alpha360_CLOSE21,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE22,proposed_representative,alpha360_CLOSE22,retain_unmerged_with_unknown_pairs,alpha360_CLOSE22,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_CLOSE23,proposed_representative,alpha360_CLOSE23,retain_unmerged_with_unknown_pairs,alpha360_CLOSE23,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_CLOSE24,retain_horizon_or_semantic_variant,alpha360_CLOSE24,retain_semantic_or_horizon_variant,alpha360_CLOSE24,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE25,retain_horizon_or_semantic_variant,alpha360_CLOSE25,retain_semantic_or_horizon_variant,alpha360_CLOSE25,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE26,retain_horizon_or_semantic_variant,alpha360_CLOSE26,retain_semantic_or_horizon_variant,alpha360_CLOSE26,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE27,retain_horizon_or_semantic_variant,alpha360_CLOSE27,retain_semantic_or_horizon_variant,alpha360_CLOSE27,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE28,retain_horizon_or_semantic_variant,alpha360_CLOSE28,retain_semantic_or_horizon_variant,alpha360_CLOSE28,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE29,retain_horizon_or_semantic_variant,alpha360_CLOSE29,retain_semantic_or_horizon_variant,alpha360_CLOSE29,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE3,proposed_representative,alpha360_CLOSE3,retain_unmerged_with_unknown_pairs,alpha360_CLOSE3,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_CLOSE30,retain_horizon_or_semantic_variant,alpha360_CLOSE30,retain_semantic_or_horizon_variant,alpha360_CLOSE30,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE31,retain_horizon_or_semantic_variant,alpha360_CLOSE31,retain_semantic_or_horizon_variant,alpha360_CLOSE31,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE32,retain_horizon_or_semantic_variant,alpha360_CLOSE32,retain_semantic_or_horizon_variant,alpha360_CLOSE32,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE33,retain_horizon_or_semantic_variant,alpha360_CLOSE33,retain_semantic_or_horizon_variant,alpha360_CLOSE33,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE34,retain_horizon_or_semantic_variant,alpha360_CLOSE34,retain_semantic_or_horizon_variant,alpha360_CLOSE34,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE35,retain_horizon_or_semantic_variant,alpha360_CLOSE35,retain_semantic_or_horizon_variant,alpha360_CLOSE35,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE36,retain_horizon_or_semantic_variant,alpha360_CLOSE36,retain_semantic_or_horizon_variant,alpha360_CLOSE36,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE37,retain_horizon_or_semantic_variant,alpha360_CLOSE37,retain_semantic_or_horizon_variant,alpha360_CLOSE37,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE38,retain_horizon_or_semantic_variant,alpha360_CLOSE38,retain_semantic_or_horizon_variant,alpha360_CLOSE38,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE39,retain_horizon_or_semantic_variant,alpha360_CLOSE39,retain_semantic_or_horizon_variant,alpha360_CLOSE39,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE4,proposed_representative,alpha360_CLOSE4,retain_unmerged_with_unknown_pairs,alpha360_CLOSE4,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_CLOSE40,retain_horizon_or_semantic_variant,alpha360_CLOSE40,retain_semantic_or_horizon_variant,alpha360_CLOSE40,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE41,retain_horizon_or_semantic_variant,alpha360_CLOSE41,retain_semantic_or_horizon_variant,alpha360_CLOSE41,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE42,retain_horizon_or_semantic_variant,alpha360_CLOSE42,retain_semantic_or_horizon_variant,alpha360_CLOSE42,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE43,retain_horizon_or_semantic_variant,alpha360_CLOSE43,retain_semantic_or_horizon_variant,alpha360_CLOSE43,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE44,retain_horizon_or_semantic_variant,alpha360_CLOSE44,retain_semantic_or_horizon_variant,alpha360_CLOSE44,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE45,retain_horizon_or_semantic_variant,alpha360_CLOSE45,retain_semantic_or_horizon_variant,alpha360_CLOSE45,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE46,retain_horizon_or_semantic_variant,alpha360_CLOSE46,retain_semantic_or_horizon_variant,alpha360_CLOSE46,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE47,retain_horizon_or_semantic_variant,alpha360_CLOSE47,retain_semantic_or_horizon_variant,alpha360_CLOSE47,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE48,retain_horizon_or_semantic_variant,alpha360_CLOSE48,retain_semantic_or_horizon_variant,alpha360_CLOSE48,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE49,retain_horizon_or_semantic_variant,alpha360_CLOSE49,retain_semantic_or_horizon_variant,alpha360_CLOSE49,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE5,retain_horizon_or_semantic_variant,alpha360_CLOSE5,retain_semantic_or_horizon_variant,alpha360_CLOSE5,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE50,retain_horizon_or_semantic_variant,alpha360_CLOSE50,retain_semantic_or_horizon_variant,alpha360_CLOSE50,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE51,retain_horizon_or_semantic_variant,alpha360_CLOSE51,retain_semantic_or_horizon_variant,alpha360_CLOSE51,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE52,retain_horizon_or_semantic_variant,alpha360_CLOSE52,retain_semantic_or_horizon_variant,alpha360_CLOSE52,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE53,retain_horizon_or_semantic_variant,alpha360_CLOSE53,retain_semantic_or_horizon_variant,alpha360_CLOSE53,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE54,retain_horizon_or_semantic_variant,alpha360_CLOSE54,retain_semantic_or_horizon_variant,alpha360_CLOSE54,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE55,retain_horizon_or_semantic_variant,alpha360_CLOSE55,retain_semantic_or_horizon_variant,alpha360_CLOSE55,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE56,retain_horizon_or_semantic_variant,alpha360_CLOSE56,retain_semantic_or_horizon_variant,alpha360_CLOSE56,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE57,retain_horizon_or_semantic_variant,alpha360_CLOSE57,retain_semantic_or_horizon_variant,alpha360_CLOSE57,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE58,retain_horizon_or_semantic_variant,alpha360_CLOSE58,retain_semantic_or_horizon_variant,alpha360_CLOSE58,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE59,retain_horizon_or_semantic_variant,alpha360_CLOSE59,retain_semantic_or_horizon_variant,alpha360_CLOSE59,True,[],Distinct resolved mechanism/window/units; identity retained,pending
0.995,alpha360_CLOSE6,proposed_representative,alpha360_CLOSE6,retain_unmerged_with_unknown_pairs,alpha360_CLOSE6,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_CLOSE7,proposed_representative,alpha360_CLOSE7,retain_unmerged_with_unknown_pairs,alpha360_CLOSE7,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_CLOSE8,proposed_representative,alpha360_CLOSE8,retain_unmerged_with_unknown_pairs,alpha360_CLOSE8,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_CLOSE9,proposed_representative,alpha360_CLOSE9,retain_unmerged_with_unknown_pairs,alpha360_CLOSE9,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_HIGH10,proposed_representative,alpha360_HIGH10,retain_unmerged_with_unknown_pairs,alpha360_HIGH10,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_HIGH11,proposed_representative,alpha360_HIGH11,retain_unmerged_with_unknown_pairs,alpha360_HIGH11,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_HIGH12,proposed_representative,alpha360_HIGH12,retain_unmerged_with_unknown_pairs,alpha360_HIGH12,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_HIGH13,proposed_representative,alpha360_HIGH13,retain_unmerged_with_unknown_pairs,alpha360_HIGH13,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_HIGH14,proposed_representative,alpha360_HIGH14,retain_unmerged_with_unknown_pairs,alpha360_HIGH14,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_HIGH15,proposed_representative,alpha360_HIGH15,retain_unmerged_with_unknown_pairs,alpha360_HIGH15,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_HIGH16,proposed_representative,alpha360_HIGH16,retain_unmerged_with_unknown_pairs,alpha360_HIGH16,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_HIGH17,proposed_representative,alpha360_HIGH17,retain_unmerged_with_unknown_pairs,alpha360_HIGH17,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_HIGH18,proposed_representative,alpha360_HIGH18,retain_unmerged_with_unknown_pairs,alpha360_HIGH18,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_HIGH19,proposed_representative,alpha360_HIGH19,retain_unmerged_with_unknown_pairs,alpha360_HIGH19,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_HIGH20,proposed_representative,alpha360_HIGH20,retain_unmerged_with_unknown_pairs,alpha360_HIGH20,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_HIGH21,proposed_representative,alpha360_HIGH21,retain_unmerged_with_unknown_pairs,alpha360_HIGH21,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_HIGH22,proposed_representative,alpha360_HIGH22,retain_unmerged_with_unknown_pairs,alpha360_HIGH22,True,[],Singleton is not evidence of independence,pending
0.995,alpha360_HIGH23,proposed_representative,alpha360_HIGH23,retain_unmerged_with_unknown_pairs,alpha360_HIGH23,True,[],Singleton is not evidence of independence,pending
