factor,source_family,dependency_class,max_lookback_trading_days,state_propagation_rule,recompute_policy,illegal_input_date_count,affected_instrument_count,materialization_mode,recompute_start,recompute_end
alpha158_CNTD60,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CNTN10,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CNTN20,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CNTN30,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CNTN60,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CNTP10,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CNTP20,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CNTP30,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CNTP5,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CNTP60,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CORD10,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CORD20,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CORD30,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CORD5,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CORD60,alpha158,pure_time_series,1,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CORR10,alpha158,pure_time_series,0,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CORR20,alpha158,pure_time_series,0,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CORR30,alpha158,pure_time_series,0,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
alpha158_CORR5,alpha158,pure_time_series,0,instrument_local_history_only,filter_only_common_keys_bit_identical_candidate,235,29,filter_v3_to_v2_common_keys,2021-02-01,2026-06-09
