factor,source_family,dependency_class,filter_only_reuse_allowed,common_key_count,bit_identical_count,difference_count,bit_identical,max_absolute_difference
alpha360_CLOSE50,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE51,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE52,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE53,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE54,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE55,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE56,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE57,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE58,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE59,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE6,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE7,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE8,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_CLOSE9,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH0,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH1,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH10,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH11,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH12,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH13,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH14,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH15,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH16,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH17,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH18,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH19,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH2,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH20,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH21,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH22,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH23,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH24,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH25,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH26,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH27,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH28,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH29,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH3,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH30,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH31,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH32,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH33,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH34,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH35,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH36,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH37,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH38,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH39,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH4,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH40,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH41,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH42,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH43,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH44,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH45,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH46,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH47,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH48,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH49,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH5,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH50,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH51,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH52,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH53,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH54,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH55,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH56,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH57,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH58,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH59,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH6,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH7,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH8,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_HIGH9,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW0,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW1,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW10,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW11,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW12,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW13,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW14,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW15,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW16,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW17,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW18,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW19,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW2,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW20,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW21,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW22,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW23,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
