instrument,board,list_date,delist_date,selection_reason,event_evidence,seed,sample_sha256
SZ300366,chinext,2014-01-27,2026-06-09,historical_st_probe,candidate_probe_pending_external_evidence,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300379,chinext,2014-01-28,2026-01-21,suspension_or_missing_span,market_cache_v2,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300399,chinext,2014-10-09,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300429,chinext,2015-03-24,2026-06-09,historical_st_probe,candidate_probe_pending_external_evidence,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300446,chinext,2015-04-23,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300486,chinext,2015-06-30,2026-06-09,suspension_or_missing_span,market_cache_v2,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300520,chinext,2016-07-08,2026-06-09,historical_st_probe,candidate_probe_pending_external_evidence,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300538,chinext,2016-08-26,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300571,chinext,2016-12-13,2026-06-09,adjustment_event,community_factor_change,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300589,chinext,2017-01-13,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300630,chinext,2017-03-28,2025-05-21,ipo_or_lifecycle_boundary|suspension_or_missing_span,market_cache_v2|provider_lifecycle,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300676,chinext,2017-07-14,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300680,chinext,2017-07-25,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300682,chinext,2017-08-01,2026-06-09,adjustment_event,community_factor_change,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300697,chinext,2017-09-07,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300719,chinext,2017-11-09,2026-06-09,historical_st_probe,candidate_probe_pending_external_evidence,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300740,chinext,2018-02-08,2026-06-09,adjustment_event,community_factor_change,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300817,chinext,2020-02-18,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300835,chinext,2020-05-25,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300840,chinext,2020-07-08,2026-06-09,adjustment_event,community_factor_change,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300875,chinext,2020-08-24,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300938,chinext,2021-01-27,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300967,chinext,2021-04-13,2026-06-09,coverage_fill,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ300997,chinext,2021-06-02,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ301018,chinext,2021-07-07,2026-06-09,historical_st_probe,candidate_probe_pending_external_evidence,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ301139,chinext,2022-07-08,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ301196,chinext,2022-01-11,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ301205,chinext,2022-09-13,2026-06-09,coverage_fill,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ301230,chinext,2022-11-01,2026-06-09,adjustment_event,community_factor_change,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ301231,chinext,2022-09-08,2026-06-09,coverage_fill,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ301299,chinext,2022-10-19,2026-06-09,historical_st_probe,candidate_probe_pending_external_evidence,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ301396,chinext,2022-11-11,2026-06-09,stratified_random,instrument_state_v1;seed=20260724,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
SZ301488,chinext,2023-07-04,2026-06-09,adjustment_event,community_factor_change,20260724,9f41a83c811e576e78c90cfff7ff33c0af1352366b236528a73b87567ba3f448
