factor,split_id,test_family,metric,train_mean_ic,validation_mean_ic,test_mean_ic,train_count,validation_count,test_count,train_coverage,validation_coverage,test_coverage,selection_eligible,eligible,eligibility_reason,raw_statistic,bootstrap_standard_error,raw_p_value,bootstrap_samples,block_length,random_seed,observation_count,fdr_bh_q_value,fdr_by_q_value,fdr_bh_pass,fdr_by_pass,selected,frozen_direction,selection_reason,test_metrics_used_in_selection
std_20|10d_t1,split_003,split_003|selection_history,daily_rank_ic,,-0.08545193839944873,-0.10546208494879065,0,78,124,0.0,1.0,1.0,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,,,,1000,20,20260712,78,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,False
std_20|20d_t1,split_003,split_003|selection_history,daily_rank_ic,,-0.09580287414557034,-0.15178497653226083,0,78,124,0.0,1.0,1.0,False,False,train_valid_ic_count=0<40;train_coverage=0<0.8,,,,1000,20,20260712,78,,,False,False,False,0,direction_mismatch;insufficient_dates;selection_ineligible;fdr_not_passed,False
amount_mean_20|10d_t1,split_004,split_004|selection_history,daily_rank_ic,-0.07804438174445257,-0.07497057892612743,-0.026073507897703165,78,83,118,0.07407407407407407,1.0,1.0,False,False,train_coverage=0.0740741<0.8,,,,1000,20,20260712,161,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
amount_mean_20|20d_t1,split_004,split_004|selection_history,daily_rank_ic,-0.09929474929853525,-0.10970842545206436,-0.046976720236719095,78,83,118,0.07407407407407407,1.0,1.0,False,False,train_coverage=0.0740741<0.8,,,,1000,20,20260712,161,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
downside_std_20|10d_t1,split_004,split_004|selection_history,daily_rank_ic,-0.058663788736629884,-0.07845300584152995,-0.005115823646819666,78,83,118,0.07407407407407407,1.0,1.0,False,False,train_coverage=0.0740741<0.8,,,,1000,20,20260712,161,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
downside_std_20|20d_t1,split_004,split_004|selection_history,daily_rank_ic,-0.06190884446690852,-0.09015683471916953,0.009157202461662534,78,83,118,0.07407407407407407,1.0,1.0,False,False,train_coverage=0.0740741<0.8,,,,1000,20,20260712,161,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
rev_20_exclude_5|10d_t1,split_004,split_004|selection_history,daily_rank_ic,0.027704485666019848,-0.002879739049001207,0.044927286485461,78,83,118,0.07407407407407407,1.0,1.0,False,False,train_coverage=0.0740741<0.8,,,,1000,20,20260712,161,,,False,False,False,1,direction_mismatch;selection_ineligible;weak_validation_ic;fdr_not_passed,False
rev_20_exclude_5|20d_t1,split_004,split_004|selection_history,daily_rank_ic,0.06214035278162003,0.0565697632539614,0.06015579740742264,78,83,118,0.07407407407407407,1.0,1.0,False,False,train_coverage=0.0740741<0.8,,,,1000,20,20260712,161,,,False,False,False,1,selection_ineligible;fdr_not_passed,False
rev_5|10d_t1,split_004,split_004|selection_history,daily_rank_ic,0.03198093833383643,-0.0018649445174531137,0.02458188129780132,78,83,118,0.07407407407407407,1.0,1.0,False,False,train_coverage=0.0740741<0.8,,,,1000,20,20260712,161,,,False,False,False,1,direction_mismatch;selection_ineligible;weak_validation_ic;fdr_not_passed,False
rev_5|20d_t1,split_004,split_004|selection_history,daily_rank_ic,0.014164043762469082,-0.005120977457038839,0.021009495222686306,78,83,118,0.07407407407407407,1.0,1.0,False,False,train_coverage=0.0740741<0.8,,,,1000,20,20260712,161,,,False,False,False,1,direction_mismatch;selection_ineligible;weak_validation_ic;fdr_not_passed,False
