metric,count,mean,std,min,10%,25%,50%,75%,90%,95%,max
qlib_ic__std,765.0,0.1291541541998597,0.03473267498388102,0.027665181990484334,0.08157754149426638,0.10329169339731425,0.13654037614987208,0.16193863288499577,0.16704627160435104,0.16771239513287434,0.20181644392912376
qlib_ic__mean_std_ratio,765.0,0.1455819670194799,0.28941494286639674,-0.7466134304180292,-0.28380709533283904,-0.0855630247689724,0.2362381754561302,0.38695492597298586,0.41850895667525845,0.4275329891743062,0.8291915464800466
qlib_ic__positive_ratio,765.0,0.5527104910233772,0.11394288066037489,0.22701576911633442,0.38202915798869386,0.4656352276108301,0.5897054448080928,0.6471288307051473,0.661112764058316,0.6690865813745909,0.8021422195775066
qlib_ic__valid_dates,765.0,3355.1816993464054,69.92387169048189,2413.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0
qlib_pearson__mean,765.0,0.013780649726712904,0.026955489416917645,-0.07708594012478126,-0.023010604898718225,-0.005737796006704209,0.010763210053449868,0.040249249749625356,0.04603023857153744,0.04799682142557184,0.05310486931074118
qlib_pearson__median,765.0,0.01053344300829056,0.023954571386970682,-0.07825934995666284,-0.02091836000126623,-0.005524672163915901,0.008502697096428818,0.03442536967170934,0.038691885329612694,0.04035841455014878,0.05759301976875883
qlib_pearson__std,765.0,0.11258238526549659,0.036021748049815665,0.025569614803323263,0.06446753969007223,0.07980517452127618,0.11804615330395918,0.1454016948063163,0.1556835557688044,0.1565823129389578,0.17881270010773292
qlib_pearson__mean_std_ratio,765.0,0.09449131546201217,0.21784612819083676,-0.6835194851487787,-0.21670428243258547,-0.07368132524700335,0.125184116224109,0.2818430254663036,0.31098435646630035,0.32287259331440266,0.6397773931562237
qlib_pearson__positive_ratio,765.0,0.5331709354358827,0.08772350618425698,0.23861945849449567,0.4088069027075275,0.4715858375483487,0.5528116631954776,0.609937518595656,0.6184468908063077,0.6221362689675691,0.7590002975304969
qlib_pearson__valid_dates,765.0,3355.1816993464054,69.92387169048189,2413.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0
jqfactor_returns__mean,765.0,0.0014030486458948622,0.0037820616561188214,-0.012195676114027158,-0.0035449370542640366,-0.0020728728602098603,0.0016041987714967476,0.005067348494258475,0.00575949319916018,0.005954217461347464,0.006583024832841774
jqfactor_returns__median,765.0,0.0013711211789935738,0.0033404741743096127,-0.012945718495968442,-0.00302471029344131,-0.0007614733513393334,0.0014077414883554844,0.004593062266788768,0.005037992129451063,0.005241397759545854,0.007221489194594845
jqfactor_returns__std,765.0,0.020068055817365947,0.006032129965459924,0.004788976769326697,0.011641649249209268,0.01633726286206021,0.021251420321449856,0.023497246533315107,0.024077897789410475,0.030659255247697643,0.049776346700439664
jqfactor_returns__mean_std_ratio,765.0,0.06447494709139201,0.1876134316372488,-0.6163243964130036,-0.18503780694828345,-0.09664539869052621,0.10984593376751649,0.22744526504639134,0.25537323807484585,0.2629512391899724,0.5330318734979369
jqfactor_returns__positive_ratio,765.0,0.5331709354358827,0.08772350618425698,0.23861945849449567,0.4088069027075275,0.4715858375483487,0.5528116631954776,0.609937518595656,0.6184468908063077,0.6221362689675691,0.7590002975304969
jqfactor_returns__valid_dates,765.0,3355.1816993464054,69.92387169048189,2413.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0
qlib_long_short__mean,765.0,0.002053698198807028,0.0035136285818075257,-0.009889204421903715,-0.003032868122479185,-0.0004651644417471707,0.0026563707202135836,0.00531681206951794,0.00612228444827475,0.00631645733085595,0.007190383354787665
qlib_long_short__median,765.0,0.0016411291068884949,0.003186390314706031,-0.010423476743921615,-0.003152513388960392,-0.0004685565310850008,0.0021463265057829195,0.0046511615216858065,0.005041027059057837,0.005203669457940579,0.007939130448063575
qlib_long_short__std,765.0,0.01937428245223692,0.005529542563747918,0.0031024242570771446,0.01195398753071188,0.015459141591562555,0.02029429015022414,0.02497822362872656,0.025330336243807018,0.025401585051152552,0.029471656585170102
qlib_long_short__mean_std_ratio,765.0,0.09035327609511466,0.1709854056444061,-0.46630700183850643,-0.1706545861231175,-0.028167557300810168,0.15401579640037552,0.21950739973344813,0.2502482434398191,0.25705558879703266,0.5255540766978976
qlib_long_short__positive_ratio,765.0,0.539273425252001,0.0823956497570165,0.2707527521570961,0.4132103540612913,0.48289199642963404,0.5650104135673907,0.6048795001487652,0.614698006545671,0.6226718238619459,0.7539422790836061
qlib_long_short__valid_dates,765.0,3355.1816993464054,69.92387169048189,2413.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0
qlib_cross_section_mean__mean,765.0,0.006936653227800702,0.00025918880406533464,0.005119701006902224,0.006840201770847037,0.006886511312124293,0.006917312378256439,0.006940692043252314,0.0070639732776676374,0.007104174578693692,0.010045728090006836
qlib_cross_section_mean__median,765.0,0.005146658214341841,0.000387333816133517,0.0031756983471081914,0.0050058961299415256,0.005062418831371835,0.005107019432081555,0.005173510653129045,0.0052712176138578004,0.005327755999097827,0.010253023951659142
qlib_cross_section_mean__std,765.0,0.08350711087349691,0.0004435257199070093,0.07612513337582859,0.08329341366973446,0.08344087679924703,0.08354732974702728,0.08369914543703857,0.08372957589804918,0.08373920449404927,0.08458228485430598
qlib_cross_section_mean__mean_std_ratio,765.0,0.08307590826135715,0.0034233781770482367,0.0650959793463481,0.08195709019719864,0.08243184189054605,0.08266300577768258,0.08302989474612274,0.08483849919539146,0.08550931057663666,0.12527072505331538
qlib_cross_section_mean__positive_ratio,765.0,0.5329556934011015,0.002598363801491852,0.5200269269606194,0.5322820589110384,0.5325795894079143,0.5325795894079143,0.5328771199047903,0.5340672418922939,0.5343647723891699,0.566100290095317
qlib_cross_section_mean__valid_dates,765.0,3355.1816993464054,69.92387169048189,2413.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0
alphalens_q1__mean,740.0,0.0030496459513770285,0.006335087911059097,-0.01007615842014942,-0.001273474428956843,-0.00034543103381839084,0.0013508735656258884,0.005836292900960285,0.008859901329368276,0.009858177288954405,0.12795445405123262
alphalens_q1__median,740.0,0.002140708256253546,0.00729830922252336,-0.014571182687796363,-0.0014165576944852889,-0.0005871106727334137,0.0012193756418070847,0.0038041550262708874,0.006349740597892019,0.007969653957854435,0.17271481313988696
alphalens_q1__std,739.0,0.08445318804924855,0.004699755023798773,0.028125962884326554,0.08150101314236652,0.08414739604191815,0.08525525253630582,0.08585717468490568,0.08749630443795321,0.08924729889352541,0.09756926527921189
alphalens_q1__mean_std_ratio,739.0,0.03597027411649532,0.07616486694396991,-0.17665721970109,-0.014959932117857783,-0.004127191024694517,0.01626244456235448,0.06920269726074656,0.10370348346060321,0.11529932404572538,1.5306196836777688
alphalens_q1__positive_ratio,740.0,0.5122867512184892,0.03222133223497693,0.41304347826086957,0.4921154418327879,0.4965783992859268,0.5066944361797084,0.5216533589199382,0.5373400773579292,0.545685807795299,1.0
alphalens_q1__valid_dates,765.0,3135.6954248366014,756.7988729351406,0.0,3093.4,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0
alphalens_q2__mean,740.0,0.007478100260933389,0.004185088422063162,-0.009382241246687868,0.005647049091864081,0.006076747958133956,0.007219243735003281,0.00852212240187238,0.009268436212899413,0.009816919004977349,0.081973334340008
alphalens_q2__median,740.0,0.005974291072298326,0.003620682727293557,-0.011181304880168956,0.00442837936480075,0.005098488242018886,0.005941081352781063,0.006831343876228537,0.007469526128288213,0.007942461809675167,0.05884701472032004
alphalens_q2__std,739.0,0.08346354795837521,0.003281553290374607,0.04368281789390924,0.08224210187738602,0.08277573351208795,0.08335894726238344,0.08438286289808372,0.08614066145256186,0.08746393461525258,0.0929408802587883
alphalens_q2__mean_std_ratio,739.0,0.08902252760556392,0.05550484502772639,-0.1598252174337321,0.06823624405675444,0.07281874306138078,0.08666878277721633,0.1014134938861965,0.10828601568938928,0.11646613407573754,1.1153137703679703
alphalens_q2__positive_ratio,740.0,0.5359171646035655,0.032454677844130746,0.40217391304347827,0.5251413269860161,0.529604284439155,0.5349598333829217,0.5400580317295023,0.5438857482891997,0.5474709907765546,1.0
alphalens_q2__valid_dates,765.0,3135.6954248366014,756.7988729351406,0.0,3093.4,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0
alphalens_q3__mean,740.0,0.00861351205310798,0.005018123560210021,-0.009749184749562882,0.006927002403095174,0.008029760426942615,0.008393977226412377,0.009170369815982661,0.00968701560791158,0.010023456003689719,0.10680079980481715
alphalens_q3__median,740.0,0.0068792088379968095,0.006200151346253876,-0.012672085793566374,0.004828797053665095,0.006121320469169304,0.006699002178519168,0.007631068341041715,0.008216553405240365,0.008536733003775587,0.15251360116973803
alphalens_q3__std,739.0,0.08374166330333577,0.0027420575711950713,0.05162692645938067,0.0831928639752187,0.0835258761372821,0.08370245931748241,0.08447023567698725,0.08570416921115613,0.08640733237187807,0.0912561958124716
alphalens_q3__mean_std_ratio,739.0,0.10211575381581559,0.0623740511945819,-0.14417460080096237,0.08080494180408883,0.09588116079483572,0.09996500067537879,0.10908492268464919,0.11564033100731234,0.11819664844395482,1.2841098437298921
alphalens_q3__positive_ratio,740.0,0.5409271560361576,0.03191262762859035,0.41304347826086957,0.5278007068663227,0.5366907998066451,0.5409104433204404,0.5447783397798275,0.5489437667360905,0.550728949717346,1.0
alphalens_q3__valid_dates,765.0,3135.6954248366014,756.7988729351406,0.0,3093.4,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0
alphalens_q4__mean,740.0,0.008677678433906598,0.00639149229562397,-0.011493884229013608,0.006028838624756311,0.007609856935125716,0.008937731451288304,0.009641030481720284,0.010052679936582718,0.010231974324744812,0.15185468577097364
alphalens_q4__median,740.0,0.006484345865557505,0.008186333660759113,-0.01146489949161424,0.004357437694825114,0.005736034399516102,0.006547839774810792,0.007009362182330618,0.0074094487261083045,0.007769680769208555,0.21700776189246557
alphalens_q4__std,739.0,0.08450116855558973,0.003447713137890208,0.0508355867214363,0.0825910213935839,0.08394827561568811,0.08500936591239178,0.08553581250353066,0.08591146958004874,0.08726383180157325,0.1267432801182594
alphalens_q4__mean_std_ratio,739.0,0.10144588450756442,0.06198726353741378,-0.21500846781460933,0.07241777427460976,0.09005202677314098,0.1059246337737764,0.11273843103745392,0.117495850923867,0.11960745017529653,1.19812810295965
alphalens_q4__positive_ratio,740.0,0.5375735353135632,0.03205887157260992,0.41544117647058826,0.5242360120351883,0.5328027372805713,0.538342561374668,0.5415055043141922,0.5444808092829515,0.546563522761083,1.0
alphalens_q4__valid_dates,765.0,3135.6954248366014,756.7988729351406,0.0,3093.4,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0
alphalens_q5__mean,740.0,0.007321758372380346,0.006397543406619105,-0.01231440248368036,0.001411603039049284,0.004377864723128896,0.007680839993845281,0.010413178072381749,0.01142532558189366,0.011606579547321265,0.10141979472889633
alphalens_q5__median,740.0,0.004438852046702954,0.006761456218983462,-0.013527177424085213,0.0004496027160400433,0.0028238255076096517,0.00472977654960877,0.005957014267049971,0.007130271627932224,0.007573272395024024,0.1547350990543285
alphalens_q5__std,739.0,0.08642419262072532,0.00520339769483297,0.05364436390406489,0.0798044507205672,0.08385706596749179,0.08700593132740395,0.09013050732357583,0.09088475076990656,0.0915450655534639,0.10560707372961392
alphalens_q5__mean_std_ratio,739.0,0.08215067925199622,0.06558566993722058,-0.193003976197534,0.016817866491216853,0.05317533548405176,0.08969673611827887,0.11657160365543746,0.1260629090718618,0.1285486871469641,1.0099515505515553
alphalens_q5__positive_ratio,740.0,0.5239978179987983,0.03053842785272734,0.41544117647058826,0.5020921290001845,0.5153228205891104,0.525438857482892,0.5322820589110384,0.5376673609044926,0.5433211431730808,1.0
alphalens_q5__valid_dates,765.0,3135.6954248366014,756.7988729351406,0.0,3093.4,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0
alphalens_q5_minus_q1__mean,740.0,0.004272112421003317,0.007642535047619723,-0.0265346593223363,-0.006412427380460883,-0.0010593724759385354,0.005645849439265382,0.010721248413717122,0.012288042391393913,0.012641221914880109,0.07083563945699574
alphalens_q5_minus_q1__median,740.0,0.003350918835195441,0.0068831085311105685,-0.03811602010235061,-0.0064602070116081675,-0.0009136344513457767,0.004720751394801895,0.009352142687842697,0.010099943161672854,0.010457780366634223,0.04023185403163287
alphalens_q5_minus_q1__std,739.0,0.03981471894762792,0.010562237346343902,0.009364121308915143,0.025295957358919083,0.0320695762011125,0.041407967367449235,0.05001307189394341,0.05065099128098295,0.05078632206699282,0.10330763221758707
alphalens_q5_minus_q1__mean_std_ratio,739.0,0.09055951155995089,0.185732508512487,-1.4245712652793663,-0.1709452998524141,-0.03099552456838492,0.1560128380077045,0.22119169599365468,0.2514619130834725,0.2574787997319087,1.162184978655159
alphalens_q5_minus_q1__positive_ratio,740.0,0.5405511461144685,0.08868368955208361,0.0,0.41071026798716526,0.4848259446593276,0.5673906575423981,0.6055489437667361,0.6150252900922344,0.6239363284736685,1.0
alphalens_q5_minus_q1__valid_dates,765.0,3135.6954248366014,756.7988729351406,0.0,3093.4,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0
alphalens_quantile_monotonicity_raw,740.0,0.3352702702702703,0.6862948371109336,-0.9999999999999999,-0.8999999999999998,-0.09999999999999999,0.39999999999999997,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
annual_qualified_years,765.0,13.977777777777778,0.2908333895897974,10.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
annual_direction_agreement,765.0,0.8906227106227107,0.13484365658991532,0.35714285714285715,0.7142857142857143,0.8571428571428571,0.9285714285714286,1.0,1.0,1.0,1.0
era_count_available,765.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
max_absolute_era_contribution_share,765.0,0.37655044967777507,0.07190444985177125,0.26448680992588885,0.31339156997227363,0.3342622829096117,0.36484979954968666,0.38602955229356917,0.4561764726369523,0.5194969692272587,0.8075750012837594
worst_directional_era_mean,765.0,0.019609394925537666,0.020828920889878234,-0.06646918121069338,-0.00622042472772253,0.005749127113341209,0.024273005454948118,0.034203452436361255,0.04342951111644045,0.04694742036706263,0.07711292022394181
worst_leave_one_era_out_directional_mean,765.0,0.034707896054189086,0.022655430829419374,-0.012467255771266854,0.004886342128342115,0.013513121024685387,0.03539419564970887,0.05735784435198321,0.06287323800066125,0.0645722602432975,0.09281421632791578
era_A_mean_raw,765.0,0.02189203287222201,0.04001612278117496,-0.11589533053861367,-0.038325816331571484,-0.006923393859170375,0.02622548867306878,0.06289076895305919,0.0692683667751286,0.07056716895061348,0.09019792039260173
era_A_valid_dates,765.0,1187.5947712418301,68.72734637801442,245.0,1193.0,1193.0,1193.0,1193.0,1193.0,1193.0,1193.0
era_A_ic_sum_raw,765.0,26.22881457711201,47.55883820330004,-138.2631293325661,-45.48669710766111,-8.115745922908975,31.287007986971055,75.02868736099961,82.63716156272842,84.18663255808188,107.60611902837387
era_B_mean_raw,765.0,0.027092900373164728,0.05162168401369817,-0.131609098701738,-0.0435177367846552,-0.011835809869123798,0.03646243507735701,0.07887625839107675,0.08413108275728727,0.08580046600960288,0.09920859147691007
era_B_valid_dates,765.0,731.7307189542483,5.913039998316876,570.0,732.0,732.0,732.0,732.0,732.0,732.0,732.0
era_B_ic_sum_raw,765.0,19.83091320875496,37.786569910540116,-96.33786024967222,-31.85498332636761,-8.66381282419862,26.690502476625333,57.737421142268175,61.58395257833428,62.80594111902931,72.62068896109817
era_C_mean_raw,765.0,0.014324392602560554,0.029211833625576635,-0.11428765189860639,-0.02693912004561252,-0.005310281423923617,0.024661742844250656,0.03516800725211741,0.04350383407668201,0.046975589168979925,0.06646918121069338
era_C_valid_dates,765.0,729.918954248366,1.8725682882013537,679.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0
era_C_ic_sum_raw,765.0,10.456044072005962,21.32468393211356,-83.42998588598266,-19.66555763329714,-3.8765054394642404,18.00307227630298,25.67264529404571,31.757798875977866,34.29218009335535,48.52250228380617
era_D_mean_raw,765.0,0.023389475254659748,0.04847902938522475,-0.10841348006856581,-0.042177264203043255,-0.00926041477379847,0.024153404717900194,0.07076448223987876,0.08373557657573116,0.08804556826766863,0.09541958106997153
era_D_valid_dates,765.0,705.9372549019607,1.6288419083590817,661.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0
era_D_ic_sum_raw,765.0,16.513412524956536,34.22589739413946,-76.53991692840746,-29.777148527348537,-6.53785283030172,17.052303730837536,49.959724461354405,59.117317062466206,62.16017119697405,67.3662242353999
jqfactor_return_qualified_years,765.0,13.977777777777778,0.2908333895897974,10.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
jqfactor_return_annual_direction_agreement,765.0,0.7366860590390002,0.16210888635184817,0.07142857142857142,0.5,0.6428571428571429,0.7857142857142857,0.8571428571428571,0.9285714285714286,0.9285714285714286,1.0
canonical_signal_rows,765.0,6598610.0,0.0,6598610.0,6598610.0,6598610.0,6598610.0,6598610.0,6598610.0,6598610.0,6598610.0
finite_pairs,765.0,6099854.717647059,383180.8314198788,2301401.0,5877883.2,6142436.0,6170410.0,6251001.0,6270369.4,6273218.0,6273218.0
ic_samples,765.0,6098382.734640523,383485.04922971735,2299582.0,5871234.0,6142436.0,6170410.0,6251001.0,6269524.0,6273113.6,6273218.0
quantile_samples,765.0,5697727.986928104,1417443.3591612154,0.0,5020498.600000001,6115556.0,6156771.0,6209159.0,6251001.0,6267228.0,6273218.0
ic_dates,765.0,3355.1816993464054,69.92387169048189,2413.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0
quantile_dates,765.0,3135.6954248366014,756.7988729351406,0.0,3093.4,3361.0,3361.0,3361.0,3361.0,3361.0,3361.0
ic_sample_coverage,765.0,0.9241920244779617,0.058116034927009994,0.348494910291713,0.8897682996873584,0.9308681676898619,0.9351075453769809,0.9473208751540098,0.9501279814991339,0.9506719748553105,0.9506877963692354
quantile_sample_coverage,765.0,0.8634739720832273,0.21480938548591527,0.0,0.7608418439641077,0.9267945824954044,0.9330405949131712,0.9409798427244526,0.9473208751540098,0.9497800294304407,0.9506877963692354
