factor,rows,finite_count,missing_count,infinite_count,first_finite_date,last_finite_date,min_count_variable_dates,coverage,source,economic_family
alpha158_CNTP20,6640610,6640610,0,0,2010-01-29,2023-12-29,3382,1.0,alpha158,MomentumTrend
alpha158_CNTP30,6640610,6640610,0,0,2010-01-29,2023-12-29,3382,1.0,alpha158,MomentumTrend
alpha158_CNTP5,6640610,6640610,0,0,2010-01-29,2023-12-29,3382,1.0,alpha158,MomentumTrend
alpha158_CNTP60,6640610,6640610,0,0,2010-01-29,2023-12-29,3382,1.0,alpha158,MomentumTrend
alpha158_CORD10,6640610,6489294,151316,0,2010-01-29,2023-12-29,3382,0.9772135391176413,alpha158,Liquidity
alpha158_CORD20,6640610,6528723,111887,0,2010-01-29,2023-12-29,3382,0.9831510960589463,alpha158,Liquidity
alpha158_CORD30,6640610,6557141,83469,0,2010-01-29,2023-12-29,3382,0.987430522196003,alpha158,Liquidity
alpha158_CORD5,6640610,6452996,187614,0,2010-01-29,2023-12-29,3382,0.9717474750060612,alpha158,Liquidity
alpha158_CORD60,6640610,6617000,23610,0,2010-01-29,2023-12-29,3382,0.9964446037336931,alpha158,Liquidity
alpha158_CORR10,6640610,6493249,147361,0,2010-01-29,2023-12-29,3382,0.9778091169335347,alpha158,Liquidity
alpha158_CORR20,6640610,6530954,109656,0,2010-01-29,2023-12-29,3382,0.983487059170769,alpha158,Liquidity
alpha158_CORR30,6640610,6558706,81904,0,2010-01-29,2023-12-29,3382,0.9876661933165778,alpha158,Liquidity
alpha158_CORR5,6640610,6460838,179772,0,2010-01-29,2023-12-29,3382,0.9729283906147176,alpha158,Liquidity
alpha158_CORR60,6640610,6617648,22962,0,2010-01-29,2023-12-29,3382,0.9965421851305829,alpha158,Liquidity
alpha158_HIGH0,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,Liquidity
alpha158_IMAX10,6640610,6501404,139206,0,2010-01-29,2023-12-29,3382,0.9790371667663061,alpha158,VolatilityRisk
alpha158_IMAX20,6640610,6536078,104532,0,2010-01-29,2023-12-29,3382,0.9842586750313601,alpha158,VolatilityRisk
alpha158_IMAX30,6640610,6562619,77991,0,2010-01-29,2023-12-29,3382,0.9882554464123025,alpha158,VolatilityRisk
alpha158_IMAX5,6640610,6474844,165766,0,2010-01-29,2023-12-29,3382,0.9750375342024302,alpha158,VolatilityRisk
alpha158_IMAX60,6640610,6619668,20942,0,2010-01-29,2023-12-29,3382,0.9968463740529862,alpha158,VolatilityRisk
alpha158_IMIN10,6640610,6501404,139206,0,2010-01-29,2023-12-29,3382,0.9790371667663061,alpha158,VolatilityRisk
alpha158_IMIN20,6640610,6536078,104532,0,2010-01-29,2023-12-29,3382,0.9842586750313601,alpha158,VolatilityRisk
alpha158_IMIN30,6640610,6562619,77991,0,2010-01-29,2023-12-29,3382,0.9882554464123025,alpha158,VolatilityRisk
alpha158_IMIN5,6640610,6474844,165766,0,2010-01-29,2023-12-29,3382,0.9750375342024302,alpha158,VolatilityRisk
alpha158_IMIN60,6640610,6619668,20942,0,2010-01-29,2023-12-29,3382,0.9968463740529862,alpha158,VolatilityRisk
alpha158_IMXD10,6640610,6501404,139206,0,2010-01-29,2023-12-29,3382,0.9790371667663061,alpha158,VolatilityRisk
alpha158_IMXD20,6640610,6536078,104532,0,2010-01-29,2023-12-29,3382,0.9842586750313601,alpha158,VolatilityRisk
alpha158_IMXD30,6640610,6562619,77991,0,2010-01-29,2023-12-29,3382,0.9882554464123025,alpha158,VolatilityRisk
alpha158_IMXD5,6640610,6474844,165766,0,2010-01-29,2023-12-29,3382,0.9750375342024302,alpha158,VolatilityRisk
alpha158_IMXD60,6640610,6619668,20942,0,2010-01-29,2023-12-29,3382,0.9968463740529862,alpha158,VolatilityRisk
alpha158_KLEN,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,TradingBehavior
alpha158_KLOW,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,TradingBehavior
alpha158_KLOW2,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,TradingBehavior
alpha158_KMID,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,TradingBehavior
alpha158_KMID2,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,TradingBehavior
alpha158_KSFT,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,TradingBehavior
alpha158_KSFT2,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,TradingBehavior
alpha158_KUP,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,TradingBehavior
alpha158_KUP2,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,TradingBehavior
alpha158_LOW0,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,Liquidity
alpha158_MA10,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_MA20,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_MA30,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_MA5,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_MA60,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_MAX10,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_MAX20,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_MAX30,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_MAX5,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_MAX60,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_MIN10,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_MIN20,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_MIN30,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_MIN5,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_MIN60,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_OPEN0,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,Liquidity
alpha158_QTLD10,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_QTLD20,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_QTLD30,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_QTLD5,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_QTLD60,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_QTLU10,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_QTLU20,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_QTLU30,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_QTLU5,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_QTLU60,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_RANK10,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_RANK20,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_RANK30,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_RANK5,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_RANK60,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_RESI10,6640610,6422793,217817,0,2010-01-29,2023-12-29,3382,0.9671992482618313,alpha158,VolatilityRisk
alpha158_RESI20,6640610,6424244,216366,0,2010-01-29,2023-12-29,3382,0.9674177522848052,alpha158,VolatilityRisk
alpha158_RESI30,6640610,6424799,215811,0,2010-01-29,2023-12-29,3382,0.9675013289441783,alpha158,VolatilityRisk
alpha158_RESI5,6640610,6420001,220609,0,2010-01-29,2023-12-29,3382,0.966778804959183,alpha158,VolatilityRisk
alpha158_RESI60,6640610,6425625,214985,0,2010-01-29,2023-12-29,3382,0.9676257151074976,alpha158,VolatilityRisk
alpha158_ROC10,6640610,6360421,280189,0,2010-01-29,2023-12-29,3382,0.9578067376340427,alpha158,VolatilityRisk
alpha158_ROC20,6640610,6341899,298711,0,2010-01-29,2023-12-29,3382,0.9550175360396108,alpha158,VolatilityRisk
alpha158_ROC30,6640610,6329007,311603,0,2010-01-29,2023-12-29,3382,0.9530761481249463,alpha158,VolatilityRisk
alpha158_ROC5,6640610,6377363,263247,0,2010-01-29,2023-12-29,3382,0.9603580092792681,alpha158,VolatilityRisk
alpha158_ROC60,6640610,6306585,334025,0,2010-01-29,2023-12-29,3382,0.9496996510862706,alpha158,VolatilityRisk
alpha158_RSQR10,6640610,6493249,147361,0,2010-01-29,2023-12-29,3382,0.9778091169335347,alpha158,VolatilityRisk
alpha158_RSQR20,6640610,6530954,109656,0,2010-01-29,2023-12-29,3382,0.983487059170769,alpha158,VolatilityRisk
alpha158_RSQR30,6640610,6558706,81904,0,2010-01-29,2023-12-29,3382,0.9876661933165778,alpha158,VolatilityRisk
alpha158_RSQR5,6640610,6460838,179772,0,2010-01-29,2023-12-29,3382,0.9729283906147176,alpha158,VolatilityRisk
alpha158_RSQR60,6640610,6617648,22962,0,2010-01-29,2023-12-29,3382,0.9965421851305829,alpha158,VolatilityRisk
alpha158_RSV10,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_RSV20,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_RSV30,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_RSV5,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_RSV60,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,VolatilityRisk
alpha158_STD10,6640610,6422793,217817,0,2010-01-29,2023-12-29,3382,0.9671992482618313,alpha158,VolatilityRisk
alpha158_STD20,6640610,6424244,216366,0,2010-01-29,2023-12-29,3382,0.9674177522848052,alpha158,VolatilityRisk
alpha158_STD30,6640610,6424799,215811,0,2010-01-29,2023-12-29,3382,0.9675013289441783,alpha158,VolatilityRisk
alpha158_STD5,6640610,6420001,220609,0,2010-01-29,2023-12-29,3382,0.966778804959183,alpha158,VolatilityRisk
alpha158_STD60,6640610,6425625,214985,0,2010-01-29,2023-12-29,3382,0.9676257151074976,alpha158,VolatilityRisk
alpha158_SUMD10,6640610,6497905,142705,0,2010-01-29,2023-12-29,3382,0.9785102573408165,alpha158,MomentumTrend
alpha158_SUMD20,6640610,6534031,106579,0,2010-01-29,2023-12-29,3382,0.9839504202174197,alpha158,MomentumTrend
alpha158_SUMD30,6640610,6561157,79453,0,2010-01-29,2023-12-29,3382,0.9880352859149988,alpha158,MomentumTrend
alpha158_SUMD5,6640610,6468552,172058,0,2010-01-29,2023-12-29,3382,0.9740900308857168,alpha158,MomentumTrend
alpha158_SUMD60,6640610,6619092,21518,0,2010-01-29,2023-12-29,3382,0.9967596350335286,alpha158,MomentumTrend
alpha158_SUMN10,6640610,6497905,142705,0,2010-01-29,2023-12-29,3382,0.9785102573408165,alpha158,MomentumTrend
alpha158_SUMN20,6640610,6534031,106579,0,2010-01-29,2023-12-29,3382,0.9839504202174197,alpha158,MomentumTrend
alpha158_SUMN30,6640610,6561157,79453,0,2010-01-29,2023-12-29,3382,0.9880352859149988,alpha158,MomentumTrend
alpha158_SUMN5,6640610,6468552,172058,0,2010-01-29,2023-12-29,3382,0.9740900308857168,alpha158,MomentumTrend
alpha158_SUMN60,6640610,6619092,21518,0,2010-01-29,2023-12-29,3382,0.9967596350335286,alpha158,MomentumTrend
alpha158_SUMP10,6640610,6497905,142705,0,2010-01-29,2023-12-29,3382,0.9785102573408165,alpha158,MomentumTrend
alpha158_SUMP20,6640610,6534031,106579,0,2010-01-29,2023-12-29,3382,0.9839504202174197,alpha158,MomentumTrend
alpha158_SUMP30,6640610,6561157,79453,0,2010-01-29,2023-12-29,3382,0.9880352859149988,alpha158,MomentumTrend
alpha158_SUMP5,6640610,6468552,172058,0,2010-01-29,2023-12-29,3382,0.9740900308857168,alpha158,MomentumTrend
alpha158_SUMP60,6640610,6619092,21518,0,2010-01-29,2023-12-29,3382,0.9967596350335286,alpha158,MomentumTrend
alpha158_VMA10,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,Liquidity
alpha158_VMA20,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,Liquidity
alpha158_VMA30,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,Liquidity
alpha158_VMA5,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,Liquidity
alpha158_VMA60,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,Liquidity
alpha158_VSTD10,6640610,6422793,217817,0,2010-01-29,2023-12-29,3382,0.9671992482618313,alpha158,Liquidity
alpha158_VSTD20,6640610,6424244,216366,0,2010-01-29,2023-12-29,3382,0.9674177522848052,alpha158,Liquidity
alpha158_VSTD30,6640610,6424799,215811,0,2010-01-29,2023-12-29,3382,0.9675013289441783,alpha158,Liquidity
alpha158_VSTD5,6640610,6420001,220609,0,2010-01-29,2023-12-29,3382,0.966778804959183,alpha158,Liquidity
alpha158_VSTD60,6640610,6425625,214985,0,2010-01-29,2023-12-29,3382,0.9676257151074976,alpha158,Liquidity
alpha158_VSUMD10,6640610,6497905,142705,0,2010-01-29,2023-12-29,3382,0.9785102573408165,alpha158,Liquidity
alpha158_VSUMD20,6640610,6534031,106579,0,2010-01-29,2023-12-29,3382,0.9839504202174197,alpha158,Liquidity
alpha158_VSUMD30,6640610,6561157,79453,0,2010-01-29,2023-12-29,3382,0.9880352859149988,alpha158,Liquidity
alpha158_VSUMD5,6640610,6468552,172058,0,2010-01-29,2023-12-29,3382,0.9740900308857168,alpha158,Liquidity
alpha158_VSUMD60,6640610,6619092,21518,0,2010-01-29,2023-12-29,3382,0.9967596350335286,alpha158,Liquidity
alpha158_VSUMN10,6640610,6497905,142705,0,2010-01-29,2023-12-29,3382,0.9785102573408165,alpha158,Liquidity
alpha158_VSUMN20,6640610,6534031,106579,0,2010-01-29,2023-12-29,3382,0.9839504202174197,alpha158,Liquidity
alpha158_VSUMN30,6640610,6561157,79453,0,2010-01-29,2023-12-29,3382,0.9880352859149988,alpha158,Liquidity
alpha158_VSUMN5,6640610,6468552,172058,0,2010-01-29,2023-12-29,3382,0.9740900308857168,alpha158,Liquidity
alpha158_VSUMN60,6640610,6619092,21518,0,2010-01-29,2023-12-29,3382,0.9967596350335286,alpha158,Liquidity
alpha158_VSUMP10,6640610,6497905,142705,0,2010-01-29,2023-12-29,3382,0.9785102573408165,alpha158,Liquidity
alpha158_VSUMP20,6640610,6534031,106579,0,2010-01-29,2023-12-29,3382,0.9839504202174197,alpha158,Liquidity
alpha158_VSUMP30,6640610,6561157,79453,0,2010-01-29,2023-12-29,3382,0.9880352859149988,alpha158,Liquidity
alpha158_VSUMP5,6640610,6468552,172058,0,2010-01-29,2023-12-29,3382,0.9740900308857168,alpha158,Liquidity
alpha158_VSUMP60,6640610,6619092,21518,0,2010-01-29,2023-12-29,3382,0.9967596350335286,alpha158,Liquidity
alpha158_VWAP0,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha158,Liquidity
alpha158_WVMA10,6640610,6489425,151185,0,2010-01-29,2023-12-29,3382,0.9772332662210249,alpha158,Liquidity
alpha158_WVMA20,6640610,6528815,111795,0,2010-01-29,2023-12-29,3382,0.9831649502078875,alpha158,Liquidity
alpha158_WVMA30,6640610,6557205,83405,0,2010-01-29,2023-12-29,3382,0.9874401598648317,alpha158,Liquidity
alpha158_WVMA5,6640610,6453249,187361,0,2010-01-29,2023-12-29,3382,0.9717855739156493,alpha158,Liquidity
alpha158_WVMA60,6640610,6617019,23591,0,2010-01-29,2023-12-29,3382,0.9964474649166266,alpha158,Liquidity
alpha360_CLOSE1,6640610,6403308,237302,0,2010-01-29,2023-12-29,3382,0.9642650298692439,alpha360,PriceTrend
alpha360_CLOSE10,6640610,6360421,280189,0,2010-01-29,2023-12-29,3382,0.9578067376340427,alpha360,PriceTrend
alpha360_CLOSE11,6640610,6358242,282368,0,2010-01-29,2023-12-29,3382,0.9574786051281433,alpha360,PriceTrend
alpha360_CLOSE12,6640610,6356235,284375,0,2010-01-29,2023-12-29,3382,0.957176373857221,alpha360,PriceTrend
alpha360_CLOSE13,6640610,6354189,286421,0,2010-01-29,2023-12-29,3382,0.9568682696318561,alpha360,PriceTrend
alpha360_CLOSE14,6640610,6352187,288423,0,2010-01-29,2023-12-29,3382,0.956566791303811,alpha360,PriceTrend
alpha360_CLOSE15,6640610,6350283,290327,0,2010-01-29,2023-12-29,3382,0.9562800706561596,alpha360,PriceTrend
alpha360_CLOSE16,6640610,6348525,292085,0,2010-01-29,2023-12-29,3382,0.9560153359405236,alpha360,PriceTrend
alpha360_CLOSE17,6640610,6346772,293838,0,2010-01-29,2023-12-29,3382,0.9557513541677647,alpha360,PriceTrend
alpha360_CLOSE18,6640610,6345106,295504,0,2010-01-29,2023-12-29,3382,0.9555004736010698,alpha360,PriceTrend
alpha360_CLOSE19,6640610,6343480,297130,0,2010-01-29,2023-12-29,3382,0.9552556165773928,alpha360,PriceTrend
alpha360_CLOSE2,6640610,6395477,245133,0,2010-01-29,2023-12-29,3382,0.9630857707349174,alpha360,PriceTrend
alpha360_CLOSE20,6640610,6341899,298711,0,2010-01-29,2023-12-29,3382,0.9550175360396108,alpha360,PriceTrend
alpha360_CLOSE21,6640610,6340412,300198,0,2010-01-29,2023-12-29,3382,0.9547936108279209,alpha360,PriceTrend
alpha360_CLOSE22,6640610,6339002,301608,0,2010-01-29,2023-12-29,3382,0.9545812809365405,alpha360,PriceTrend
alpha360_CLOSE23,6640610,6337558,303052,0,2010-01-29,2023-12-29,3382,0.9543638310335948,alpha360,PriceTrend
alpha360_CLOSE24,6640610,6336228,304382,0,2010-01-29,2023-12-29,3382,0.9541635482282501,alpha360,PriceTrend
alpha360_CLOSE25,6640610,6334877,305733,0,2010-01-29,2023-12-29,3382,0.9539601030628211,alpha360,PriceTrend
alpha360_CLOSE26,6640610,6333673,306937,0,2010-01-29,2023-12-29,3382,0.9537787944179826,alpha360,PriceTrend
alpha360_CLOSE27,6640610,6332455,308155,0,2010-01-29,2023-12-29,3382,0.9535953775330881,alpha360,PriceTrend
alpha360_CLOSE28,6640610,6331273,309337,0,2010-01-29,2023-12-29,3382,0.9534173818369096,alpha360,PriceTrend
alpha360_CLOSE29,6640610,6330110,310500,0,2010-01-29,2023-12-29,3382,0.9532422473236646,alpha360,PriceTrend
alpha360_CLOSE3,6640610,6388709,251901,0,2010-01-29,2023-12-29,3382,0.9620665872562912,alpha360,PriceTrend
alpha360_CLOSE30,6640610,6329007,311603,0,2010-01-29,2023-12-29,3382,0.9530761481249463,alpha360,PriceTrend
alpha360_CLOSE31,6640610,6327915,312695,0,2010-01-29,2023-12-29,3382,0.952911705400558,alpha360,PriceTrend
alpha360_CLOSE32,6640610,6326889,313721,0,2010-01-29,2023-12-29,3382,0.9527572015221493,alpha360,PriceTrend
alpha360_CLOSE33,6640610,6325870,314740,0,2010-01-29,2023-12-29,3382,0.9526037517637687,alpha360,PriceTrend
alpha360_CLOSE34,6640610,6324936,315674,0,2010-01-29,2023-12-29,3382,0.9524631020343011,alpha360,PriceTrend
alpha360_CLOSE35,6640610,6323987,316623,0,2010-01-29,2023-12-29,3382,0.9523201934762018,alpha360,PriceTrend
alpha360_CLOSE36,6640610,6323017,317593,0,2010-01-29,2023-12-29,3382,0.952174122558018,alpha360,PriceTrend
alpha360_CLOSE37,6640610,6322102,318508,0,2010-01-29,2023-12-29,3382,0.9520363340114839,alpha360,PriceTrend
alpha360_CLOSE38,6640610,6321176,319434,0,2010-01-29,2023-12-29,3382,0.9518968889906199,alpha360,PriceTrend
alpha360_CLOSE39,6640610,6320261,320349,0,2010-01-29,2023-12-29,3382,0.9517591004440857,alpha360,PriceTrend
alpha360_CLOSE4,6640610,6382683,257927,0,2010-01-29,2023-12-29,3382,0.9611591405006468,alpha360,PriceTrend
alpha360_CLOSE40,6640610,6319416,321194,0,2010-01-29,2023-12-29,3382,0.9516318530978328,alpha360,PriceTrend
alpha360_CLOSE41,6640610,6318588,322022,0,2010-01-29,2023-12-29,3382,0.9515071657573626,alpha360,PriceTrend
alpha360_CLOSE42,6640610,6317813,322797,0,2010-01-29,2023-12-29,3382,0.9513904596113911,alpha360,PriceTrend
alpha360_CLOSE43,6640610,6317032,323578,0,2010-01-29,2023-12-29,3382,0.9512728499339669,alpha360,PriceTrend
alpha360_CLOSE44,6640610,6316250,324360,0,2010-01-29,2023-12-29,3382,0.9511550896679672,alpha360,PriceTrend
alpha360_CLOSE45,6640610,6315494,325116,0,2010-01-29,2023-12-29,3382,0.9510412447049292,alpha360,PriceTrend
alpha360_CLOSE46,6640610,6314760,325850,0,2010-01-29,2023-12-29,3382,0.9509307126905511,alpha360,PriceTrend
alpha360_CLOSE47,6640610,6314052,326558,0,2010-01-29,2023-12-29,3382,0.9508240959791344,alpha360,PriceTrend
alpha360_CLOSE48,6640610,6313347,327263,0,2010-01-29,2023-12-29,3382,0.9507179310334443,alpha360,PriceTrend
alpha360_CLOSE49,6640610,6312696,327914,0,2010-01-29,2023-12-29,3382,0.9506198978708281,alpha360,PriceTrend
alpha360_CLOSE5,6640610,6377363,263247,0,2010-01-29,2023-12-29,3382,0.9603580092792681,alpha360,PriceTrend
alpha360_CLOSE50,6640610,6312038,328572,0,2010-01-29,2023-12-29,3382,0.9505208105881839,alpha360,PriceTrend
alpha360_CLOSE51,6640610,6311393,329217,0,2010-01-29,2023-12-29,3382,0.9504236809570206,alpha360,PriceTrend
alpha360_CLOSE52,6640610,6310744,329866,0,2010-01-29,2023-12-29,3382,0.9503259489715553,alpha360,PriceTrend
alpha360_CLOSE53,6640610,6310075,330535,0,2010-01-29,2023-12-29,3382,0.9502252052145812,alpha360,PriceTrend
alpha360_CLOSE54,6640610,6309489,331121,0,2010-01-29,2023-12-29,3382,0.9501369603093691,alpha360,PriceTrend
alpha360_CLOSE55,6640610,6308932,331678,0,2010-01-29,2023-12-29,3382,0.9500530824728451,alpha360,PriceTrend
alpha360_CLOSE56,6640610,6308422,332188,0,2010-01-29,2023-12-29,3382,0.949976282299367,alpha360,PriceTrend
alpha360_CLOSE57,6640610,6307944,332666,0,2010-01-29,2023-12-29,3382,0.9499043009603033,alpha360,PriceTrend
alpha360_CLOSE58,6640610,6307433,333177,0,2010-01-29,2023-12-29,3382,0.9498273501982498,alpha360,PriceTrend
alpha360_CLOSE59,6640610,6306982,333628,0,2010-01-29,2023-12-29,3382,0.9497594347507232,alpha360,PriceTrend
alpha360_CLOSE6,6640610,6373274,267336,0,2010-01-29,2023-12-29,3382,0.9597422525942647,alpha360,PriceTrend
alpha360_CLOSE7,6640610,6369710,270900,0,2010-01-29,2023-12-29,3382,0.959205554911371,alpha360,PriceTrend
alpha360_CLOSE8,6640610,6366413,274197,0,2010-01-29,2023-12-29,3382,0.9587090643781219,alpha360,PriceTrend
alpha360_CLOSE9,6640610,6363307,277303,0,2010-01-29,2023-12-29,3382,0.9582413362627831,alpha360,PriceTrend
alpha360_HIGH0,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha360,PriceTrend
alpha360_HIGH1,6640610,6403308,237302,0,2010-01-29,2023-12-29,3382,0.9642650298692439,alpha360,PriceTrend
alpha360_HIGH10,6640610,6360421,280189,0,2010-01-29,2023-12-29,3382,0.9578067376340427,alpha360,PriceTrend
alpha360_HIGH11,6640610,6358242,282368,0,2010-01-29,2023-12-29,3382,0.9574786051281433,alpha360,PriceTrend
alpha360_HIGH12,6640610,6356235,284375,0,2010-01-29,2023-12-29,3382,0.957176373857221,alpha360,PriceTrend
alpha360_HIGH13,6640610,6354189,286421,0,2010-01-29,2023-12-29,3382,0.9568682696318561,alpha360,PriceTrend
