factor,partition_id,source,economic_family,research_usable,block_reason,authoritative_semantics,canonical_factor_id,lineage_hash
alpha158_CNTN60,alpha158_001,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,0892302d237e0cce0a8ce8db87f01adcc5411369feb3566c6cb2d2197dccf10f,dfc6c3635d9da618a9dcbb65f0c04f8501b8970eaaf3b0d8801a4f69a1451a71
alpha158_CNTP10,alpha158_001,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,cbdd2ed759ef11810056d0eb9a8864517767a9a4f7a1792aa7aea0c3327199a1,31e06d35cf2b48ee9b4b81ff030a74632bfbb2512b5c2288facafe6a24390360
alpha158_CNTP20,alpha158_001,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,3ca6ecc6c524c42cabfbc5bc570eef034b2db54a10552c52387b27c5babbdf7f,e8cbb4b736814634aa09625e89f52acbcc0c1c8ddacbc24680c96c376759e46f
alpha158_CNTP30,alpha158_001,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,93c99fb1d6b0e6fbfbaf910f794f50c8daeba847a00a44d045c5ff5b880bbf73,dd29017f61fc3e507e166dda55fc34ca54774a5515fa77c25a1041f9bd2e664a
alpha158_CNTP5,alpha158_001,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,ac00836042b023fe0f9f475994d890c3c3abb0ae33336642c6a4b96aaace9bb5,e429be1ff8113ec8a02d29c4793573322b892c537594a691b750b9c381214d4f
alpha158_CNTP60,alpha158_001,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,a60083a85c212e775c4043be909b3c5bec09769a4fc6c0b99c470fe68efde364,3f0a7a5d6c6f2efe971d938ea827db68c2e1aa5f9ea9f18b03b6f95d31e3a0e7
alpha158_CORD10,alpha158_002,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,5b023d0c79f95bcb4732b9163ab689253941e572c7f509a2374f5bc15558fd73,cb6c9d3b2956c95aedbb28cae94366d68929debbde3eb58f498e54c85a22234b
alpha158_CORD20,alpha158_002,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,08953816b92d282762e97a949fbbc4916e1c42a9875b9f7d0bc762e55e881159,b7c6765c45b8db2129550ee278a9d15a0e57a6b9d239143fc80f9888bfdd17d3
alpha158_CORD30,alpha158_002,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,07d453998b361de87d974ca7a94aca57a5420f2cd5f4d784e66bded3f11a0e13,3e6df2a4108177a63a939eb7746393b0308b56e491888fc4bc199cf5e413393e
alpha158_CORD5,alpha158_002,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,028f139553b94a97791c76646338c5a9144e2a6edd8a1751f04b6b8f094ae6fc,bf1a91fe97888b7ce5c683403745e9d796ea46d9feef148256686d9861ecc652
alpha158_CORD60,alpha158_002,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,bdfc5c45623fbcfc0cf0ab734949f405e12cfa69f845c4c00d4f8ceeaae24930,90a0000d6b4a90fbea53d13a58ec6e1901a421951a6ce6ce101555ea35c19370
alpha158_CORR10,alpha158_002,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,a6b42d2e3c3f29bce636474d96409265f0b32615886c4901695c8fc808b948e9,bb0b83c77e1abee6880096d19aaae6350f4a31b148852a8593b066b8c1b64c67
alpha158_CORR20,alpha158_002,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,25ea27d85b01f77a6f9a60159977a52458003fae89fce6a292e6a05a3d351122,f117e92c490a03ba6016cab4e6e110aaf5e054ccb638ebef9a0caa33ec44fb4e
alpha158_CORR30,alpha158_002,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,7314578ef909655732442d51c4d786793dc48e21a0a67068d17dae69e888529c,636fe74d36a6fd041c8038a2de60ab654c805eac6a3bbc11ab55e32839b3d55f
alpha158_CORR5,alpha158_002,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,739e37e0e8f4af319ed8f9448d2bcf66e7cec07e48c74dd72ceb37fcb94f4d7e,f5059f1a77cbb8ee3dd70ab7d1887adaa0611690dfbe3989c374886aeea5be99
alpha158_CORR60,alpha158_002,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,26fc550be58a30c0a0c33382c6501a4574dc5a4deced9e27bcfff897653ddb35,727d8de63ac6e348a9c6a8b7728a1b8d197c6e3a21c2ee41f54659f834faa751
alpha158_HIGH0,alpha158_002,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,a53222ac9f82e11710201f1de79085ec3dec2577c9f4dcc3250418e1458c4cd9,5df46fac93beb0277da22d31e710807d5050e0e79fbad459fc86dd02819e6e40
alpha158_IMAX10,alpha158_003,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,790e5c268ec7b3409867dd373d717dad55fe348e484a949864566d4ad3f96b44,8f269c2bd66121678c2e816f2b93d62ab857d5b73b1768a880f57bd8b689ce73
alpha158_IMAX20,alpha158_003,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,4ea9cbbe3de7fa37fb94fd35c6d1add3f232509c504e2bfbd363eb4f5b5b00a2,d714add724f3645a3f89089da45a7aa622b4b2ad0d85e9402d51120dcf9d32ba
alpha158_IMAX30,alpha158_003,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,d016c6991d066fe9214dffbaf133fe1aa8e1050e5ba114668c2acc8b0dc506be,84b578166d2940298a19d79a879e2e7bcb381cee1bce6e74c56dc5e69a4f5056
alpha158_IMAX5,recovered,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,46158c68c9636259f76232804a7d220fcd16ae25aabaee12984a04e8bbb7268a,21e0637c4b23bdc8814abba60ac75d723f6e1c7e9d313ae49e9ad8ad532af5c2
alpha158_IMAX60,alpha158_003,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,2f7b70ce7daddb26216d5e26efb36117cc77f66bc117c2fb917664a1febb9ee9,01de72539f2e23b35039ee2523b6ba5a35b10834d642547a75c4a21d5517e5b8
alpha158_IMIN10,alpha158_003,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,3c05a52484dbffe49a3533a1ecc1134acb05247ea987293805c6d9ab1053933f,28b85394197e27aa2a5821a4dde68a88a7bf9ad46f6f7dbbd2c2167affab8186
alpha158_IMIN20,alpha158_003,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,941aef624dc215c9b48b466c6219e4f89dbb7b03322de5cd802be05ef0443596,cd9ff86664491287f4c2045a291106620c9a06a96627559b71ef33d61fced2b6
alpha158_IMIN30,alpha158_003,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,f4b10f7d27e5b3dcbbdcc0363c4d501a5bdab5cfd4dd518bca8812fc333f2deb,56f652c2852d1d229b2c4847c9a1dfb45e6d0bb4b89066b440756c6d272ba129
alpha158_IMIN5,alpha158_003,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,1f18d3c13e605f0be55588333b18776f4b0db7e2e2a39247c97ece3aa823147a,c32f409f4b9c0888ebdffa0a052800e60e6e38c11cc34495ac6b44614e8b97fc
alpha158_IMIN60,alpha158_003,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,52191f95e978d5b3cbeaf421422cd1313e8e123a57e182af14d4090b71dacdf4,d3ee60e2193d42d3da558e3821511efbdda9ed6068720d6a4be4b0742de9dc74
alpha158_IMXD10,alpha158_003,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,419fa68cbc291e2ebd2d8f859d122bfa08a08079e7274f2418cdee71c0038233,04523e32b96c6d3ba623bc351400fba1c6f24bc4fe377a0d4dd4f30785c0dddf
alpha158_IMXD20,alpha158_003,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,ed87b1efc4dfe8fe4897b40f7c8a74ca733663ee8ecd40d7337bfd16dad8ffaa,b7c765068ecc43092829e8f636dc11ed850895bf887b1948dda347ba4013bc83
alpha158_IMXD30,alpha158_003,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,4604294f336e2ba31773b4092be51a07c4bb640f770a35baf3aa982f4688ca24,7722653f190f7a96b9589c268ef9768e1c127bbe8c306774d9ee2a81acf73f9f
alpha158_IMXD5,alpha158_003,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,6ba78e86a260e7c148017655b58f54ad39813cfadff377c91d8b5c9964194491,e572e7936223172125dadca14ef79f10b0d1de16a65641ed4f18b992c42d9f77
alpha158_IMXD60,alpha158_003,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,5a28c7cbf637ff0a9fd27a991305a2ed01d6eb0a8d77fcaaa2f98902cb3d04ac,66b6386667e9a2c15699ab080bccb2e924164c29c21275ec559b393f43a452eb
alpha158_KLEN,alpha158_001,alpha158,TradingBehavior,True,,factor_universe_v2_lineage_accepted_semantics,786e4af6f66313ad0fdb1c94a5cefdd6e1a72f6cede4d6a569375c7cc82ff0de,d994e7553c1a242e19b3618bb40c73ab1c0a110d3419e0b9d725f1da88a351d0
alpha158_KLOW,alpha158_001,alpha158,TradingBehavior,True,,factor_universe_v2_lineage_accepted_semantics,205cca5a5a3dbc8184f2ec0dff21b36bfa13e62b9fd2259b5e4af2d22624c2e7,3bb02b8b4607c2e29226f1e5af8df8cd9bbd8350c8dfb41452921cccab03987e
alpha158_KLOW2,alpha158_001,alpha158,TradingBehavior,True,,factor_universe_v2_lineage_accepted_semantics,7b559ac2dd7c69adbd798069147490336b790e4a146a84d70b633e1ce18ba21f,18c4f756f6716bbc626e9239dc4092e5713c8449fa980be22ec8105f94816bfa
alpha158_KMID,alpha158_001,alpha158,TradingBehavior,True,,factor_universe_v2_lineage_accepted_semantics,063f6c462508c30ce01c27fb0e50f849a7abe9d8dfd66d28a808c4486a34e708,d8f52b0d86b1af0f157a8f4e42b00eccb4e040000cfaa6c8eab4b1f4d02365d7
alpha158_KMID2,alpha158_001,alpha158,TradingBehavior,True,,factor_universe_v2_lineage_accepted_semantics,4e17103dbe0bc42b3dc5fefb237f6e281afc5e88ea8e3c9136bd2a2afb08ad5c,1ed84b4d3784036af65501423bf1af8f7eca1debd1662de39654a524d8d7e96e
alpha158_KSFT,alpha158_001,alpha158,TradingBehavior,True,,factor_universe_v2_lineage_accepted_semantics,097f5f791012c1802534ed49cbd7f5238c9c2bc040ce71e8d91011c0e02781ca,3d4a3bc23234fc6079660b6962713af60a809f0709c53e7e180d5965e82cb0b5
alpha158_KSFT2,alpha158_001,alpha158,TradingBehavior,True,,factor_universe_v2_lineage_accepted_semantics,03e3ffe5416fbb5d67cfce6ee8029e8fe64b85b1232215a09609ee193295dc55,9209ac123d39b81d78a328e9e4b3bc53080e7af62f1b2885b37fd45cb42f82b3
alpha158_KUP,alpha158_001,alpha158,TradingBehavior,True,,factor_universe_v2_lineage_accepted_semantics,802928ee6eebb39a9f2629c201d296538224fbcb1f7fd43f864fd22f84f639c4,d23b82aa3231c8f390c7592260e8cb6957fbf3b110465691d769abcd33d14afd
alpha158_KUP2,alpha158_001,alpha158,TradingBehavior,True,,factor_universe_v2_lineage_accepted_semantics,23bacfa148f4ee670ec9b6288d8798057a677684b2c8bd5395a607136e542ec1,561a243ff1a2642b380b24e631f4fd5127f3c783d966dad5c061d75c2dabc68d
alpha158_LOW0,alpha158_002,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,608ee3d8351bf133ab8ed276c6626efee106e59c2d8fcbb2cd5357375046f26b,da4b52826ee4730f38df0ade69184b2af30c045d16abacb2b27b6d72b69d58f3
alpha158_MA10,alpha158_003,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,ffe8ab656d6e10db83273e6b34d9f328dd2301aa4cbfc77b69fbe43690de9a87,a3f202f2cdd6159e371cb91fa4b796ed7ed7bf925eb67b9635b9c26bc4618fb6
alpha158_MA20,alpha158_003,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,8da92b6680ac706890b11d3efdf1edb8514a0ac4253a08cb6ffeb76c162b42dc,db4acecba4441457ccb75ac58a6462607befc3fae97515b41ca69398ee47cc8b
alpha158_MA30,alpha158_003,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,302071e9ab47aa601fa44cfe4d1b199d1b48f7f5cae8ec77c20e5298f1b25cc4,ad9777ce5dda459c8acb1bea4bb04131a80c6e6bdce166da4f55f34158e898af
alpha158_MA5,alpha158_003,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,928799c7cda19dda668df0f0a147d1e0232d9aad23a79b32e8519bd3dd46d952,9cd5eb66835e36d491bb2f020a1375ec970371549f8d6d7fb3b7fc1e342f69b2
alpha158_MA60,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,5dbcc4f3e43e5695423ba26936e4bf8d8728758fa3736588c2f637c54dc40fea,2a28f669ceefd3e6115284e1c6aacee268e7f757604357be4814c3f99bbaaa04
alpha158_MAX10,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,c88c39eb6cbea4423bd75489528fb8d4f0b43140c848dc80ae4cb9a176baff19,61922c0f56343e51a1ac931419618c87e006e40dc81bb0876ca439fb1da1ebe7
alpha158_MAX20,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,10d7209d7fe4c692795a76bccb9c41b7e343129096dad41cd538813383dce427,6fd03e66b9e9071ae8959cead3d8589ea14279b3c7e3365f17e69fc72bf0b52b
alpha158_MAX30,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,df1bd432ea94cfdade9b2b25a4907f1984f12a4bbe9127c80cf0f76e3df49818,6176c523b176c502080a80dfa9e1edb8dafa74da00eb5ca3909d43a2dc37bcbc
alpha158_MAX5,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,9bb678101164f27038ab041927dfaa645c38e0bd12f17616ee5720943fad35ee,f0382654f51e556d0044e1556dbbd657da63177b8327edc2f4d069c2f4477fc4
alpha158_MAX60,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,e7f6bef270b0d72bdeb40d8ea7af2c35dd7b0a9dabf4ade0de2083da59bde425,5b9c1685a96e59960b16e634b5dcc0ad249e5ab37119c91ce38169cd742f0ad3
alpha158_MIN10,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,9b7b834ef366a9e0f8006ee53dba43983fdce01e36c9aa115fd8497ef9cbfd95,060c867dfc3f3f62fb7c5478157b8f77b59c50329d704e207d5bbc8061e8e6a5
alpha158_MIN20,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,39c8a7b533f0cbd19e5a455ded06c55bb463cb87dbab7c23d341c6cf32d4b666,3c5d72a659505fc5179ea9be57885db3b1e0dec8e8b94b43288e7a9d611d6e8f
alpha158_MIN30,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,b9bb624f22820fc5b2099b425ff529b1f17d95a215797038797f451d4e9309a1,7078359b80093bc6c0c94ec31da9218c5bf456132672c5157285e1f3bb581944
alpha158_MIN5,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,c91347c77022aaa2617ae451e2916246ba357df550113fcb0db515bd03135590,b2c2af38569309352964b2725369141bb5c4054193a2979163dfa52347ddc4a3
alpha158_MIN60,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,96805e66d17abf52f9b401fd48a45ee8ee4172186592f2319adb5ef14b6f9b35,f53bb6db36b6d2d688bb7b3c1f93a69f64c610a82ad3564bec7397e6ba8e9422
alpha158_OPEN0,alpha158_003,alpha158,Liquidity,True,,factor_universe_v2_lineage_accepted_semantics,3006eead9d95d215387f8179a37d003cd2d52b3a45d85ced0ae69a2183673ed0,7914413e700f8a35f56b17f7659a737389cdb46c934abc1ce4ab3660221967d1
alpha158_QTLD10,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,e063c3f500dccca5928dd4cc91d305f9a5c910fb303f6815c9caf42a4d169f42,55b5f3e7c7964dcc7644adbc1a833bb0dc27731c70ff68d95f650d2c1dc178ea
alpha158_QTLD20,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,1964cbcc43dff079a7e33f6fd6365801bb37564f53655a7aa559d283021033c4,a73e8da1d19a7e938a8c6cc7dd49861693d953ebc9387c03c51ecdb45391fd7a
alpha158_QTLD30,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,94f708d9987339e7f76d9f0ac08742b1b47036e0f69e199b48eeee4377ded38d,dcb7786322ebd747a59df6451a5829dc8fedbdda8fcb02c83fbb401b58444f75
alpha158_QTLD5,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,433b32e3dce7ef95b77ebc30e0521c924b0a95c4a4434383d52c2fe4f83e2a57,9847329de15da3d45316ef1edc655caf01201b2b21e15d06e02e36caf2ce9131
alpha158_QTLD60,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,3e8484780115661b43a43ed507e2a8822d1fa0ddeaf84c954bf118e1c5d642ad,e52290ee76bdc347c8f9290b891a7618e19deeb1750bae9decb5547de23e500d
alpha158_QTLU10,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,6d981afe2ee4df7c83891576c278a10d05e993f6acd27e9beee4de58251027cd,b5bfba68ec55d8f8d74cb23fa66980a1143d57efe1873c442b798ed53f4068d0
alpha158_QTLU20,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,31a8751aaea1853a59125c1aed3a73d075eca4c5f6db19b6b1697513c0c27972,e9507ca50ea0f972874a1de1dd9b80679ec767ec29e73474810236471575bbad
alpha158_QTLU30,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,8268a3db37ea004658c474b3a0fc82a1ed96398627e88e447d30a67218b9aae2,40475286975d7856081f074c7f1d354ae678b051224444dbddf56ba815366bf8
alpha158_QTLU5,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,8146acb8c0290dfd9e141ccf1165843fd7932a6d916119f335645f5ca53753b5,3c6a11419082b198af73bbd3efa4847ecedf95b813db873ebc02db45883c99c7
alpha158_QTLU60,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,3c59bd7833cd81c43a5f39b4f955896698272a19dffff499439abd8d785a7a48,68b7ed3aa1c589decc8a4dc8b9771e791f5d2340eed5befc7f23d521d6067d37
alpha158_RANK10,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,16e8a2839bb68ea2179409f53a7286b0c8b658600b8566ae895ab93a2ce446fa,8dd570f23872c39c404e35c2d83a68786677651c31c8100300ddc6d0a9238d0b
alpha158_RANK20,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,36c233f73df57361205d57c0eb26fecda695e6d90c6f55bb42afc8f13e7c4566,ab975583e46f1dd5f919c9147fd91a963f9d53e20a4a72878184fcb60f80c604
alpha158_RANK30,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,91f4349d48710dfe124ffcbb0fb0566488389b56e25eb751674e99b644b4100c,915111a17728b00a0e173894c1019052b5bf369c1210c35daa53545f1fcd5235
alpha158_RANK5,recovered,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,e2b83f7fdff154de7a4d3dbd946d05caad11335b11e0d60c1ac3de9a58119dde,2d321868e37d1c709b90c307176f2671ad205fdaed4aec41fc1b8442d9cf6b07
alpha158_RANK60,alpha158_004,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,f11ec19c9ef197bc0737677f869a3a2787cb057bee2193df320eb7b72692651e,853927b62e4737040ad3fd6a7276dc4852e4fe5d7d7e77598e51ea9f8706913e
alpha158_RESI10,alpha158_005,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,70e8b540a321f134b332ce5245a10978f8fa60fe52f591a9caf28f54ce0c2c02,228b92c4f1709e5a82a478cb19dbf0ac8011a14f28757d952ede95bbca7c820c
alpha158_RESI20,alpha158_005,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,6b68025388658bf4ed3d5b605d3e8e170a758bd7fb7987d703e5102231fde02b,3548205348e8ce06de9c5172ab4ca0a9fa2e671a64d21d81f1a8594ab43fc314
alpha158_RESI30,alpha158_005,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,676c75448e6659955d16c96a61b072f56295d80aaf70d359c27df816c1e82ad1,995055d89526a04e19ea2f6cd11bc7a71f59bcb2e9a2086f3b74106fcf13c077
alpha158_RESI5,alpha158_005,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,0a42ea36da8f2ac9d70f91cd3077510967036d3bfde78533f24ae9bb06d800fa,e56fc763ddc4bd689fbfd75f0b9e6a75d0ea5a7b290bcbb7d6743f1373b7877b
alpha158_RESI60,alpha158_005,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,287d7904e3f6c481ce2d140003baa90fce7eb758606ff65f0bb12fc946312961,d73af6b2a8a854b7bab7c347b78ad07ca34726738d80dd3e3174f040ed0d6c75
alpha158_ROC10,alpha158_005,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,db99dc2e778f290a65bb1a52ffe657e14cf22fc2b6e86569de1f3bde0f33374f,4f8ee3b979940cfb0b9a7f5e0d9ff32095a8f67da00ad9e48b81549d9a9fc581
alpha158_ROC20,alpha158_005,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,371bd92c3dd5b3701e1f37bc80b950f55d55bb03af4ac47662a3da3f3f8231bc,91cf2e257af6172d94221ab6b9cd56da9c83ba8a07ba65a26863cc4579d91b00
alpha158_ROC30,alpha158_005,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,0fe5c7540a1e6c23c984be516772876571826c90bb2ec6e81add89e10bf82e4d,39917cc479b021d66c5c52b081808e71e6c31e03551b7d842363cd010334455a
alpha158_ROC5,alpha158_005,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,7241e0adb99cdfbb7ddeb2c0ffd69971d220264b5dac14b2f04194f9c2b610c6,c880fe7594dd6961c2e7eb5f04d7dc740ad760d6dc2d7caa6ad071473a13cf03
alpha158_ROC60,alpha158_005,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,8cc401a6187875cb70fe26b00c6107bb8a6ad1342874b9e5e39f0eb661f77620,e5284a07fb1621540336a008c6b5adf8bf03433c1318729d01ef27af9a2c9ca0
alpha158_RSQR10,alpha158_005,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,336bcd92b001042fa9b5ea9941ed3461829472432653c46090698e2132c7d17f,7691ffff918851da357dee34a0e01202bee231258d21e7ec9640f80e441028c0
