window,sample,slice_type,slice_value,label,factor,category,expected_direction,coverage,missing_rate,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,directional_rank_icir,ic_win_rate,ic_dates,valid_rows
main_research_2021_2023,volatility_bucket=2.0,volatility_bucket,2.0,label_20d_t1,amount_mean_20__raw,liquidity,watch,0.9985255790619991,0.0014744209380008755,-0.0567916193294826,-0.45722195717033215,-0.07676486012801853,,-0.48313806086799893,,,726,163213
main_research_2021_2023,volatility_bucket=3.0,volatility_bucket,3.0,label_20d_t1,ret_20__raw,momentum,watch,0.9975712861171778,0.0024287138828221755,-0.013163557685772721,-0.09050529800219652,-0.028415284627158203,,-0.18021783143134024,,,726,163064
main_research_2021_2023,volatility_bucket=3.0,volatility_bucket,3.0,label_20d_t1,rev_5__raw,reversal,positive,0.9978404634744679,0.0021595365255321353,0.010331287040884202,0.07887499017798656,0.02131339895149685,0.02131339895149685,0.14451644161050697,0.14451644161050697,0.5482093663911846,726,163108
main_research_2021_2023,volatility_bucket=3.0,volatility_bucket,3.0,label_20d_t1,std_20__raw,risk,negative,0.9975712861171778,0.0024287138828221755,0.004923016798109294,0.053891788405790404,0.007644082913869175,-0.007644082913869175,0.07926752724960787,-0.07926752724960787,0.46831955922865015,726,163064
main_research_2021_2023,volatility_bucket=3.0,volatility_bucket,3.0,label_20d_t1,amplitude_20__raw,risk,negative,0.9978404634744679,0.0021595365255321353,-0.0055705137508341085,-0.08123676465067979,-0.01523665913243081,0.01523665913243081,-0.20897736508581496,0.20897736508581496,0.5674931129476584,726,163108
main_research_2021_2023,volatility_bucket=3.0,volatility_bucket,3.0,label_20d_t1,amount_mean_20__raw,liquidity,watch,0.9978404634744679,0.0021595365255321353,-0.051064115417467255,-0.43452968350789867,-0.06312523757305465,,-0.43296123014223775,,,726,163108
main_research_2021_2023,volatility_bucket=4.0,volatility_bucket,4.0,label_20d_t1,ret_20__raw,momentum,watch,0.9972775215045212,0.0027224784954787973,-0.027625291399445792,-0.20385060858103815,-0.04436602961406143,,-0.2950206077477105,,,726,163009
main_research_2021_2023,volatility_bucket=4.0,volatility_bucket,4.0,label_20d_t1,rev_5__raw,reversal,positive,0.9976323613983139,0.002367638601686095,0.027010112560505,0.20308883806836733,0.04074081685082952,0.04074081685082952,0.26974660782283166,0.26974660782283166,0.5950413223140496,726,163067
main_research_2021_2023,volatility_bucket=4.0,volatility_bucket,4.0,label_20d_t1,std_20__raw,risk,negative,0.9972775215045212,0.0027224784954787973,0.00835150207326213,0.09842844220422971,0.008587495358218782,-0.008587495358218782,0.0982037645723472,-0.0982037645723472,0.45867768595041325,726,163009
main_research_2021_2023,volatility_bucket=4.0,volatility_bucket,4.0,label_20d_t1,amplitude_20__raw,risk,negative,0.9976323613983139,0.002367638601686095,-0.011426651131477105,-0.14625817997888368,-0.024435270388857032,0.024435270388857032,-0.302025706284876,0.302025706284876,0.6129476584022039,726,163067
