window,sample,label,factor,category,expected_direction,coverage,missing_rate,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,directional_rank_icir,ic_win_rate,ic_dates,valid_rows
main_research_2021_2023,tradable_only,label_20d_t1,std_20__cs_zscore,risk,negative,0.990083599117302,0.009916400882697962,-0.043412859983039946,-0.2798716794972611,-0.09431322381606094,0.09431322381606094,-0.5630550102485007,0.5630550102485007,0.6859504132231405,726,816117
main_research_2021_2023,tradable_only,label_20d_t1,std_20__liquidity_bucket_zscore,risk,negative,0.990083599117302,0.009916400882697962,-0.020887337580035546,-0.14899733637952678,-0.06875356350182864,0.06875356350182864,-0.42775305646392137,0.42775305646392137,0.6584022038567493,726,816117
main_research_2021_2023,tradable_only,label_20d_t1,std_20__volatility_bucket_zscore,risk,negative,0.990083599117302,0.009916400882697962,-0.005369363262585649,-0.0854107900088166,-0.011941679260352209,0.011941679260352209,-0.1832394310646658,0.1832394310646658,0.5977961432506887,726,816117
main_research_2021_2023,tradable_only,label_20d_t1,std_20__amount_proxy_residual,risk,negative,0.990083599117302,0.009916400882697962,-0.020038149903662,-0.1411153150743625,-0.061776828277907786,0.061776828277907786,-0.38325296000425496,0.38325296000425496,0.6363636363636364,726,816117
main_research_2021_2023,tradable_only,label_20d_t1,std_20__liquidity_volatility_residual,risk,negative,0.990083599117302,0.009916400882697962,-0.005986272641142675,-0.07796239877714232,0.005889538345348062,-0.005889538345348062,0.0863661710746376,-0.0863661710746376,0.47107438016528924,726,816117
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__raw,risk,negative,0.9904511877480162,0.009548812251983785,-0.05688054662401235,-0.33461814537916007,-0.10986349599668649,0.10986349599668649,-0.5946277743457585,0.5946277743457585,0.6804407713498623,726,816420
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__cs_rank,risk,negative,0.9904511877480162,0.009548812251983785,-0.047595464690783545,-0.27984412484266896,-0.10986349599668649,0.10986349599668649,-0.5946277743457585,0.5946277743457585,0.6804407713498623,726,816420
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__cs_zscore,risk,negative,0.9904511877480162,0.009548812251983785,-0.05368924532149529,-0.3125416221143646,-0.10981848102709724,0.10981848102709724,-0.5944156680382475,0.5944156680382475,0.6804407713498623,726,816420
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__liquidity_bucket_zscore,risk,negative,0.9904511877480162,0.009548812251983785,-0.0326338020530872,-0.20591756990303312,-0.08527168410595883,0.08527168410595883,-0.4766929465606097,0.4766929465606097,0.6611570247933884,726,816420
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__volatility_bucket_zscore,risk,negative,0.9904511877480162,0.009548812251983785,-0.03141043091330663,-0.3866974570508085,-0.04665899433570784,0.04665899433570784,-0.67423497205997,0.67423497205997,0.7589531680440771,726,816420
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__amount_proxy_residual,risk,negative,0.9904511877480162,0.009548812251983785,-0.03132887562970238,-0.19636634006839587,-0.07614683096440174,0.07614683096440174,-0.42671024267784496,0.42671024267784496,0.6391184573002755,726,816420
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20__liquidity_volatility_residual,risk,negative,0.9904511877480162,0.009548812251983785,-0.028183082767332918,-0.34403224734192683,-0.004954328458456556,0.004954328458456556,-0.09542530934346578,0.09542530934346578,0.5440771349862259,726,816420
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__raw,liquidity,watch,0.9904511877480162,0.009548812251983785,-0.05569269761141385,-0.5322868785875922,-0.0986293209068695,,-0.7882946490737213,,,726,816420
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__cs_rank,liquidity,watch,0.9904511877480162,0.009548812251983785,-0.0728456035868922,-0.6282772020278136,-0.0986293209068695,,-0.7882946490737213,,,726,816420
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__cs_zscore,liquidity,watch,0.9904511877480162,0.009548812251983785,-0.07049141330704577,-0.5879747261124437,-0.09844925445002004,,-0.7935207828723075,,,726,816420
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__liquidity_bucket_zscore,liquidity,watch,0.9904511877480162,0.009548812251983785,-0.03684739519326037,-0.4165462239716197,-0.042994199606793265,,-0.43904331249789946,,,726,816420
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__volatility_bucket_zscore,liquidity,watch,0.9904511877480162,0.009548812251983785,-0.0540405315791712,-0.5326694318514584,-0.05941828514170099,,-0.5133320539311301,,,726,816420
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__amount_proxy_residual,liquidity,watch,0.9904511877480162,0.009548812251983785,0.00459198657244053,0.12344147289413342,0.05698600480226186,,0.931649575359248,,,726,816420
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20__liquidity_volatility_residual,liquidity,watch,0.9904511877480162,0.009548812251983785,-0.0029418059294304267,-0.0672074707120807,0.016994961593723327,,0.2718715846648209,,,726,816420
