api,parameters_json,retrieval_time,row_count,raw_path,raw_sha256,status
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241216""}",2026-08-08T15:45:07.625947+00:00,5370,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241216.parquet,fefc8f515af29917e50831b6d15f9e8610ba1766f9b43abe50e41d60bbddac62,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241217""}",2026-08-08T15:45:08.231802+00:00,5367,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241217.parquet,aea4b9f8ba16f62e29f5ad642a508008082e5cae8dd74f135d05657a304817df,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241218""}",2026-08-08T15:45:08.832820+00:00,5369,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241218.parquet,c71ecdf0b7be6c28f3d22249230e3990f28743bf5a31021447178244aa4ba2c7,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241219""}",2026-08-08T15:45:09.445105+00:00,5368,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241219.parquet,883069c7cb0ca394ff917619918025bca5b38754e06cc0f8d990d9257e30312e,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241220""}",2026-08-08T15:45:10.052053+00:00,5373,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241220.parquet,2369a5ee0aa5cd1da973b39fb0e6384b25d5f5429741a54199ad5c0940540a61,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241223""}",2026-08-08T15:45:10.642925+00:00,5371,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241223.parquet,590fa3629d0a09a1077ce40a05e383c513cf45c38c93d6b66a96ab0ab1d59835,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241224""}",2026-08-08T15:45:11.239145+00:00,5371,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241224.parquet,451c7351daf700b1c88e7ed06df9c15f475d9761601e77a1224e538ea46355a0,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241225""}",2026-08-08T15:45:11.905275+00:00,5368,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241225.parquet,9501941b7cf0c579f3d7856d03364e2ce1791f3859c707cbea24ef4de620021a,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241226""}",2026-08-08T15:45:12.537097+00:00,5372,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241226.parquet,b426e7aadef2c7fb76d1d6c181a4e43aee335c6a71cb5308533ce396c7541226,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241227""}",2026-08-08T15:45:13.151479+00:00,5370,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241227.parquet,7fe8dea51236406d238f5d5d39dd18c77f4d79c4b274815411dad4036248cdf3,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241230""}",2026-08-08T15:45:13.745342+00:00,5367,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241230.parquet,9541548abf6735e4739fbeadfed45f0cc6fa8172087ca7f1152d2740d379abd9,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20241231""}",2026-08-08T15:45:14.358200+00:00,5370,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20241231.parquet,49190599134d897f6791ac1257c4b079495b3ad77fbb524841f3836b8faa53cb,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20250102""}",2026-08-08T15:45:14.976415+00:00,5369,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20250102.parquet,f74b338d4cd65c64ffc4584f1ec0604944a9b82253e46950a2748aea1720c514,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20250103""}",2026-08-08T15:45:15.666296+00:00,5372,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20250103.parquet,cfd20372996e2978bfd08cc9f6ade67c52d7c6b4a159560a4825933efd368d96,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20250106""}",2026-08-08T15:45:16.278808+00:00,5370,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20250106.parquet,5d8649ae8bc6834a7d0417f50186f3830ed736bad47fdd0dc7cd7d5e0edd9d20,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20250107""}",2026-08-08T15:45:16.876963+00:00,5373,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20250107.parquet,295cf40f7e6424d26dd0f2a347a92cc41c9f686f13c43d81e2d01e943dfa797c,pass
daily_basic,"{""fields"": ""ts_code,trade_date,total_mv,circ_mv,total_share,float_share,close"", ""trade_date"": ""20250108""}",2026-08-08T15:45:17.505672+00:00,5373,E:/qlib_prj/qlib_baseline/outputs/external_pit_style_data_v1/runtime/raw/daily_basic/20250108.parquet,0269f7a8a4d0033c7bd55a56d14baf4714e6ddc4a3685fbf32e70435d9ada77d,pass
