api,segment,row_count,data_sha256,cache_hit,cache_root
moneyflow,20100204,1681,cdfcb82b51695f7e6c79b20cbab6d201f4d927b30c5d93b02f5d30ca57562144,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100205,1671,ef92805c60b254b41428957ef35f57f0d3fe4ea3f9589bf40d20f2f0a0ffcbab,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100205,1669,e915aa26caf89b91fd157930c6fe82ea633ae21d860e29659a9e861311fac709,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100208,1665,2ea9242b9240e29ed840dedc2bc97f4302e4eccd0b4c65f415c3057335808c2a,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100208,1663,a2048b72c66ac3d8f8c80213b91222de9fceee83ed8d706c1834c0ad130f84ae,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100209,1676,68fc485c54c0c15cca1fce72c82be7e09421078b80e460ddeb84bc3056df443c,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100209,1674,6e7f853e085e537d3664913f30df50db368ffd27946048e2e260cb1a7fd6e8be,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100210,1687,bd4e39f222ea9e641fa7ac5469eef077e494e115931d2521c742c5e127f9cea0,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100210,1685,cb173f9c0a038cee45e6e5ce700ae2873c65af020be5ac255a31c8d13c4c1e82,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100211,1689,5cd1a94e033fb2b8d36629c07455f2425c309237cc48bafe4291956785902e47,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100211,1687,50290197b868f2d70554548e443e6d3647b649a3201580b958b3d8ac16d6c9e8,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100212,1704,94b7d213c7d30adf9c9a5b733c4396ed480d0d4a7cb02eb7b68507c19dfe2650,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100212,1702,a29c923e4bc5cc142af3c16acde9024f9ba6f011c87117f5283e711627e273b0,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100222,1694,9b2faeebf98d560844cad8bb8b338537633468a9e6e5ec90036cb5e8cbd38931,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100222,1692,be3fbdf0e85046a1680f938ff996b7a674c9bf7518e49e275acff0f4864ee533,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100223,1686,61534d0784d7ea919894667e6fd13bb1b3b911184eba0d73daf87ae59a3d0ca0,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100223,1684,9eeaae1d75db2ae9b167ea2aeaf2ec21776b19d98e10ba1e0d4b09f809e8b5cf,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100224,1696,94c55b1869fc3b128a3e12af972ffe7c4bd9b8b4e56fad79f4f59daf2bf5da3e,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
