api,ts_code,offset,page_size,row_count,terminal,elapsed_seconds,status
balancesheet,002615.SZ,0,100,68,True,0.06787520000216318,pass
cashflow,002615.SZ,0,100,50,True,0.06737240000074962,pass
income,002616.SZ,0,100,53,True,0.07243060000109836,pass
balancesheet,002616.SZ,0,100,66,True,0.08219180000014603,pass
cashflow,002616.SZ,0,100,50,True,0.08265619999656337,pass
income,002617.SZ,0,100,50,True,0.07939289999922039,pass
balancesheet,002617.SZ,0,100,64,True,0.08016159999897354,pass
cashflow,002617.SZ,0,100,48,True,0.09464410000146017,pass
income,002618.SZ,0,100,50,True,0.07853339999928721,pass
balancesheet,002618.SZ,0,100,63,True,0.07732020000185003,pass
cashflow,002618.SZ,0,100,49,True,0.1038985999985016,pass
income,002619.SZ,0,100,51,True,0.07696180000129971,pass
balancesheet,002619.SZ,0,100,64,True,0.07734290000007604,pass
cashflow,002619.SZ,0,100,49,True,0.07668110000304296,pass
income,002620.SZ,0,100,49,True,0.08152699999845936,pass
balancesheet,002620.SZ,0,100,64,True,0.09434259999761707,pass
cashflow,002620.SZ,0,100,47,True,0.09541100000205915,pass
income,002621.SZ,0,100,51,True,0.08744279999882565,pass
balancesheet,002621.SZ,0,100,64,True,0.11519480000060867,pass
cashflow,002621.SZ,0,100,48,True,0.07350420000148006,pass
income,002622.SZ,0,100,50,True,0.0754655000018829,pass
balancesheet,002622.SZ,0,100,66,True,0.08043030000044382,pass
cashflow,002622.SZ,0,100,49,True,0.07450059999973746,pass
income,002623.SZ,0,100,51,True,0.07233579999956419,pass
balancesheet,002623.SZ,0,100,64,True,0.09409969999978784,pass
cashflow,002623.SZ,0,100,46,True,0.10384929999781889,pass
income,002624.SZ,0,100,50,True,0.06931080000140355,pass
balancesheet,002624.SZ,0,100,63,True,0.07638849999784725,pass
cashflow,002624.SZ,0,100,48,True,0.07716739999887068,pass
income,002625.SZ,0,100,49,True,0.09842949999801931,pass
balancesheet,002625.SZ,0,100,64,True,0.09017079999830457,pass
cashflow,002625.SZ,0,100,48,True,0.06761329999790178,pass
income,002626.SZ,0,100,53,True,0.09447700000237091,pass
balancesheet,002626.SZ,0,100,66,True,0.06819890000042506,pass
cashflow,002626.SZ,0,100,50,True,0.07879659999889554,pass
income,002627.SZ,0,100,49,True,0.09196840000004158,pass
balancesheet,002627.SZ,0,100,63,True,0.09974449999936041,pass
cashflow,002627.SZ,0,100,47,True,0.08031060000212165,pass
income,002628.SZ,0,100,53,True,0.07677519999924698,pass
balancesheet,002628.SZ,0,100,66,True,0.08201069999995525,pass
cashflow,002628.SZ,0,100,48,True,0.08252200000060839,pass
income,002629.SZ,0,100,51,True,0.08095989999856101,pass
balancesheet,002629.SZ,0,100,64,True,0.0943105000005744,pass
cashflow,002629.SZ,0,100,48,True,0.07662440000058268,pass
income,002630.SZ,0,100,53,True,0.07109999999738648,pass
balancesheet,002630.SZ,0,100,68,True,0.07257499999832362,pass
cashflow,002630.SZ,0,100,51,True,0.06591739999930724,pass
income,002631.SZ,0,100,49,True,0.07981959999960964,pass
balancesheet,002631.SZ,0,100,64,True,0.0893660000001546,pass
cashflow,002631.SZ,0,100,46,True,0.09387269999933778,pass
income,002632.SZ,0,100,52,True,0.07867179999811924,pass
balancesheet,002632.SZ,0,100,66,True,0.12676920000012615,pass
cashflow,002632.SZ,0,100,50,True,0.07306620000235853,pass
income,002633.SZ,0,100,50,True,0.10757630000080098,pass
balancesheet,002633.SZ,0,100,64,True,0.08668949999992037,pass
