factor,lineage_status,economic_family,source,defined,materializable,coverage_qualified,research_usable,temporarily_blocked,valid_count,row_count,coverage,qualified_month_fraction,unique_values,zero_fraction_of_finite,mean,std,min,q01,median,q99,max,inf_count,block_reason,temporal_gap_candidate_count
alpha158_CNTN20,legacy_v1,MomentumTrend,alpha158,True,True,True,True,False,2587671,2587671,1.0,1.0,21,0.00016192166623964175,0.5049721561830184,0.10658668101720821,0.0,0.25,0.5,0.75,1.0,0,,0
alpha158_CNTN30,legacy_v1,MomentumTrend,alpha158,True,True,True,True,False,2587671,2587671,1.0,1.0,31,9.08152543348826e-05,0.5046904930248922,0.08709033744234759,0.0,0.30000001192092896,0.5,0.699999988079071,1.0,0,,0
alpha158_CNTN5,recovered,MomentumTrend,alpha158,True,True,True,True,False,2587671,2587671,1.0,1.0,6,0.026785476206210142,0.5052995651527171,0.21743352821196374,0.0,0.0,0.6000000238418579,1.0,1.0,0,,0
alpha158_CNTN60,legacy_v1,MomentumTrend,alpha158,True,True,True,True,False,2587671,2587671,1.0,1.0,50,1.6617259303829582e-05,0.5045945233718497,0.06194440770756798,0.0,0.36666667461395264,0.5,0.6499999761581421,0.8166666626930237,0,,0
alpha158_CNTP10,legacy_v1,MomentumTrend,alpha158,True,True,True,True,False,2587671,2587671,1.0,1.0,11,0.0015581578956521134,0.47092076917750275,0.15113087908123868,0.0,0.10000000149011612,0.5,0.800000011920929,1.0,0,,0
alpha158_CNTP20,legacy_v1,MomentumTrend,alpha158,True,True,True,True,False,2587671,2587671,1.0,1.0,21,0.00023727900494305496,0.4713975630500742,0.10660427512216766,0.0,0.25,0.44999998807907104,0.699999988079071,1.0,0,,0
alpha158_CNTP30,legacy_v1,MomentumTrend,alpha158,True,True,True,True,False,2587671,2587671,1.0,1.0,27,0.00014143992802794481,0.4717697825927123,0.08725499545254854,0.0,0.2666666805744171,0.46666666865348816,0.6666666865348816,0.8666666746139526,0,,0
alpha158_CNTP5,legacy_v1,MomentumTrend,alpha158,True,True,True,True,False,2587671,2587671,1.0,1.0,6,0.035650204372967044,0.4709308984079332,0.21729419515307802,0.0,0.0,0.4000000059604645,1.0,1.0,0,,0
alpha158_CNTP60,legacy_v1,MomentumTrend,alpha158,True,True,True,True,False,2587671,2587671,1.0,1.0,46,3.36209664984459e-05,0.47210645354578806,0.06203839838110433,0.0,0.3166666626930237,0.46666666865348816,0.6166666746139526,0.75,0,,0
alpha158_CORD10,legacy_v1,Liquidity,alpha158,True,True,True,True,False,2586392,2587671,0.9995057331476838,1.0,2494035,0.0,0.27142079790013957,0.45227618031829336,-1.0,-0.7911222326755524,0.3638290613889694,0.9255959147214885,1.0,0,,0
alpha158_CORD20,legacy_v1,Liquidity,alpha158,True,True,True,True,False,2587261,2587671,0.9998415563647775,1.0,2488643,0.0,0.2917165183816857,0.35548085800531043,-1.0,-0.6049311041831971,0.35158562660217285,0.8538312435150145,1.0,0,,0
alpha158_CORD30,legacy_v1,Liquidity,alpha158,True,True,True,True,False,2587422,2587671,0.9999037744751941,1.0,2482053,0.0,0.29950518423313166,0.3072140725631413,-1.0,-0.4899394679069519,0.3462482839822769,0.8059908908605575,1.0,0,,0
alpha158_CORD5,legacy_v1,Liquidity,alpha158,True,True,True,True,False,2584803,2587671,0.9988916674492236,1.0,2486222,0.0,0.23865670150801965,0.5836125307765332,-1.0000001192092896,-0.948572427034378,0.3862978219985962,0.9836797058582306,1.0,0,,0
alpha158_CORD60,legacy_v1,Liquidity,alpha158,True,True,True,True,False,2587626,2587671,0.9999826098449146,1.0,2465768,0.0,0.3077719266609152,0.23464500783155587,-1.0,-0.30349550396203995,0.3376757651567459,0.7213052213191986,1.0,0,,0
alpha158_CORR10,legacy_v1,Liquidity,alpha158,True,True,True,True,False,2586598,2587671,0.9995853414131858,1.0,2477568,0.0,0.35311600095608675,0.4377034651261319,-1.0,-0.7785841983556747,0.45225244760513306,0.947457315325737,1.0,0,,0
alpha158_CORR20,legacy_v1,Liquidity,alpha158,True,True,True,True,False,2587285,2587671,0.9998508311141563,1.0,2466149,0.0,0.38837462921169186,0.38652185596762134,-1.0,-0.653852219581604,0.47299787402153015,0.9248426818847657,1.0,0,,0
alpha158_CORR30,legacy_v1,Liquidity,alpha158,True,True,True,True,False,2587450,2587671,0.9999145950161361,1.0,2458112,0.0,0.40724133572180743,0.3674456456141559,-1.0,-0.6015796053409577,0.4868919402360916,0.9162967348098752,1.0,0,,0
alpha158_CORR5,legacy_v1,Liquidity,alpha158,True,True,True,True,False,2585106,2587671,0.999008761160132,1.0,2479663,0.0,0.3104742395182299,0.5384378539034924,-1.0,-0.9270741820335389,0.45004135370254517,0.9847209930419922,1.0,0,,0
alpha158_CORR60,legacy_v1,Liquidity,alpha158,True,True,True,True,False,2587651,2587671,0.9999922710421842,1.0,2445170,0.0,0.43021050939686684,0.3418777066713624,-1.0,-0.5261670649051666,0.5054222345352173,0.9012121260166168,1.0,0,,0
alpha158_HIGH0,legacy_v1,Liquidity,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,425603,0.0,1.020712664104883,0.01915742245840256,1.0,1.0,1.015751838684082,1.0907494068145753,2.569230794906616,0,,0
alpha158_IMAX10,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2586971,2587671,0.9997294864764493,1.0,10,0.0,0.5067856594411002,0.3346492344387093,0.10000000149011612,0.10000000149011612,0.5,1.0,1.0,0,,0
alpha158_IMAX20,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2587348,2587671,0.9998751773312758,1.0,20,0.0,0.47914107457299865,0.3405117314684412,0.05000000074505806,0.05000000074505806,0.44999998807907104,1.0,1.0,0,,0
alpha158_IMAX30,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2587495,2587671,0.9999319851712215,1.0,30,0.0,0.46712009283386224,0.3407868201661515,0.03333333507180214,0.03333333507180214,0.4333333373069763,1.0,1.0,0,,0
alpha158_IMAX5,recovered,VolatilityRisk,alpha158,True,True,True,True,False,2585891,2587671,0.9993121227543996,1.0,5,0.0,0.5594819803512956,0.318138332247965,0.20000000298023224,0.20000000298023224,0.6000000238418579,1.0,1.0,0,,0
alpha158_IMAX60,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2587659,2587671,0.9999953626253105,1.0,60,0.0,0.45287161824371347,0.3366583935543868,0.01666666753590107,0.01666666753590107,0.4166666567325592,1.0,1.0,0,,0
alpha158_IMIN10,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2586971,2587671,0.9997294864764493,1.0,10,0.0,0.5550955551176229,0.33769046585334705,0.10000000149011612,0.10000000149011612,0.6000000238418579,1.0,1.0,0,,0
alpha158_IMIN20,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2587348,2587671,0.9998751773312758,1.0,20,0.0,0.5273789225288739,0.343902914807945,0.05000000074505806,0.05000000074505806,0.550000011920929,1.0,1.0,0,,0
alpha158_IMIN30,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2587495,2587671,0.9999319851712215,1.0,30,0.0,0.5163690377309379,0.34599774520765697,0.03333333507180214,0.03333333507180214,0.5,1.0,1.0,0,,0
alpha158_IMIN5,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2585891,2587671,0.9993121227543996,1.0,5,0.0,0.6062528611313255,0.3206866333815132,0.20000000298023224,0.20000000298023224,0.6000000238418579,1.0,1.0,0,,0
alpha158_IMIN60,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2587659,2587671,0.9999953626253105,1.0,60,0.0,0.5010520004368844,0.3408811685284505,0.01666666753590107,0.01666666753590107,0.5,1.0,1.0,0,,0
alpha158_IMXD10,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2586971,2587671,0.9997294864764493,1.0,19,0.009013630226237558,-0.048309895382145175,0.5860203385322175,-0.8999999761581421,-0.8999999761581421,-0.10000000149011612,0.8999999761581421,0.8999999761581421,0,,0
alpha158_IMXD20,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2587348,2587671,0.9998751773312758,1.0,39,0.007122737258381941,-0.04823784792328942,0.5948685779536649,-0.949999988079071,-0.949999988079071,-0.15000000596046448,0.949999988079071,0.949999988079071,0,,0
alpha158_IMXD30,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2587495,2587671,0.9999319851712215,1.0,59,0.009207360787170603,-0.04924894488282233,0.5959509972379831,-0.9666666388511658,-0.9666666388511658,-0.13333334028720856,0.9666666388511658,0.9666666388511658,0,,0
alpha158_IMXD5,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2585891,2587671,0.9993121227543996,1.0,9,0.03230182556031944,-0.04677088194685265,0.5584238642693043,-0.800000011920929,-0.800000011920929,-0.20000000298023224,0.800000011920929,0.800000011920929,0,,0
alpha158_IMXD60,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2587659,2587671,0.9999953626253105,1.0,119,0.016548934770771573,-0.04818038222039799,0.5796728365164365,-0.9833333492279053,-0.9666666388511658,-0.10000000149011612,0.949999988079071,0.9833333492279053,0,,0
alpha158_KLEN,legacy_v1,TradingBehavior,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1784944,0.0013753172730020266,0.0396702882196901,0.02556291416490041,0.0,0.008650483470410109,0.033039700239896774,0.13094066977500954,0.8392856121063232,0,,0
alpha158_KLOW,legacy_v1,TradingBehavior,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1814284,0.08440129389725211,0.008799859278644954,0.009056128860977838,0.0,0.0,0.006350968964397907,0.04205600656569004,0.23985716700553894,0,,0
alpha158_KLOW2,legacy_v1,TradingBehavior,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,886609,0.08440129389725211,0.24765537469437035,0.199022151041536,0.0,0.0,0.20418787002563477,0.7971009612083435,1.0,0,,0
alpha158_KMID,legacy_v1,TradingBehavior,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,2111199,0.02368378383294036,0.0010923510089804528,0.028359561563383567,-0.6107784509658813,-0.06920315176248551,0.0,0.0928571529686451,0.5064934492111206,0,,0
alpha158_KMID2,legacy_v1,TradingBehavior,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1092492,0.02368378383294036,-0.020289901993765288,0.5293885316874494,-1.0,-0.9545447647571563,0.0,0.9478260159492493,1.0,0,,0
alpha158_KSFT,legacy_v1,TradingBehavior,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,2269146,0.01036479961735686,-0.0011688137063411196,0.030399742216255108,-0.5329340696334839,-0.07671426609158516,-0.0023695495910942554,0.09547700658440611,0.5064934492111206,0,,0
alpha158_KSFT2,legacy_v1,TradingBehavior,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1027481,0.01036479961735686,-0.06362841840630301,0.6029791113638061,-1.0,-1.0,-0.09090764075517654,1.0,1.0,0,,0
alpha158_KUP,legacy_v1,TradingBehavior,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1829316,0.08826487511662529,0.011061023993779603,0.01154675087158154,0.0,0.0,0.007838751189410686,0.05411257557570935,0.6785714030265808,0,,0
alpha158_KUP2,legacy_v1,TradingBehavior,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,864045,0.08826487511662529,0.2909938910941329,0.21620386677243214,0.0,0.0,0.2569836974143982,0.8333333134651184,1.0,0,,0
alpha158_LOW0,legacy_v1,Liquidity,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,581171,0.0,0.981206878355441,0.019887559320891455,0.66379314661026,0.9039837121963501,0.9873692989349365,1.0,1.0,0,,0
alpha158_MA10,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1407749,0.0,1.0025355340005164,0.051353241319292586,0.5085845589637756,0.8556937098503112,1.0029730796813965,1.1405542135238649,2.9942643642425537,0,,0
alpha158_MA20,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1655444,0.0,1.005092283736255,0.07505517051677436,0.3453827500343323,0.8001608073711395,1.0054247379302979,1.2036234974861157,6.0623779296875,0,,0
alpha158_MA30,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1780547,0.0,1.0073895823006795,0.0927810179123441,0.2881508469581604,0.7605129182338715,1.0077687501907349,1.2477234840393068,8.497658729553223,0,,0
alpha158_MA5,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1131630,0.0,1.0011287744968886,0.033642016557331504,0.7176305651664734,0.9029326558113098,1.001786231994629,1.0934820771217346,1.9547373056411743,0,,0
alpha158_MA60,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1950334,0.0,1.013300884654861,0.13084783143355105,0.2325933575630188,0.6856754720211029,1.0138627290725708,1.3478636503219605,12.82215690612793,0,,0
alpha158_MAX10,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1218971,0.0,1.0783145462417651,0.07128976688116978,1.0,1.0,1.0594197511672974,1.3289723634719854,6.851292133331299,0,,0
alpha158_MAX20,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1460308,0.0,1.1170014321616915,0.10395532967206025,1.0,1.0011013746261597,1.0911099910736084,1.469335687160493,12.02836799621582,0,,0
alpha158_MAX30,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1588561,0.0,1.1483623952795547,0.12957583351347093,1.0,1.0022779703140259,1.1176375150680542,1.5744222402572632,14.247710227966309,0,,0
alpha158_MAX5,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,978405,0.0,1.052631122798172,0.04875630943069347,1.0,1.0,1.0395641326904297,1.2324567794799812,2.796950578689575,0,,0
alpha158_MAX60,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1763556,0.0,1.2231999478541877,0.19432850938071114,1.0,1.0055305719375611,1.1816226243972778,1.8232163429260282,21.915348052978516,0,,0
alpha158_MIN10,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1483722,0.0,0.9376353417103486,0.06029496516821504,0.21234019100666046,0.7173991739749909,0.9551637172698975,1.0,1.0,0,,0
alpha158_MIN20,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1668246,0.0,0.9121944813598915,0.08086686484979058,0.1747838407754898,0.6294073462486267,0.9352825880050659,0.9993815839290618,1.0,0,,0
alpha158_MIN30,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1757212,0.0,0.8930012825750226,0.09538140219611482,0.12484706193208694,0.5703052818775177,0.9195259213447571,0.999029141664505,1.0,0,,0
alpha158_MIN5,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1273236,0.0,0.9560152836977208,0.044546710437839344,0.3889871835708618,0.7881602823734284,0.9693288803100586,1.0,1.0,0,,0
alpha158_MIN60,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1870677,0.0,0.8515333922827365,0.12082401131342071,0.10631541162729263,0.46964808106422423,0.8817239999771118,0.9981850385665894,1.0,0,,0
alpha158_OPEN0,legacy_v1,Liquidity,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,707226,0.0,0.9996988929325978,0.027960864368015054,0.66379314661026,0.915032684803009,1.0,1.0743482589721687,2.569230794906616,0,,0
alpha158_QTLD10,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1428058,0.0,0.9754006861256211,0.054839428043548195,0.27555015683174133,0.7805524587631225,0.9878445267677307,1.0832370519638062,2.423475980758667,0,,0
alpha158_QTLD20,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1643476,0.0,0.9642707922546659,0.07713729347340308,0.18198999762535095,0.7029196619987488,0.9801250100135803,1.120346856117249,2.5852174758911133,0,,0
alpha158_QTLD30,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1749620,0.0,0.9563098538735978,0.09352170416307673,0.16572867333889008,0.6474999487400055,0.9745626449584961,1.145905065536499,5.467104911804199,0,,0
alpha158_QTLD5,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1164725,0.0,0.9841687685997569,0.03703405142360665,0.55922532081604,0.8477658152580261,0.993950366973877,1.0529955625534058,1.555582046508789,0,,0
alpha158_QTLD60,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1888422,0.0,0.9394734058183426,0.12620039657472282,0.12652333080768585,0.5477423429489136,0.9623845219612122,1.198792386054993,8.634567260742188,0,,0
alpha158_QTLU10,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1288097,0.0,1.029255838839606,0.057723554377840755,0.7214204668998718,0.9062116384506226,1.0184693336486816,1.2195708274841317,4.479915618896484,0,,0
alpha158_QTLU20,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1531715,0.0,1.0452427808433455,0.08607806456002809,0.5013818144798279,0.8627246201038361,1.030678391456604,1.3163571238517768,9.367900848388672,0,,0
alpha158_QTLU30,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1657462,0.0,1.0576726991323675,0.10729601707820813,0.348177969455719,0.8334626972675323,1.0408124923706055,1.3828543663024906,13.002469062805176,0,,0
alpha158_QTLU5,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1016741,0.0,1.0178632249011914,0.037160723790461585,0.7815181612968445,0.9360313832759857,1.009752631187439,1.147608649730683,2.4407362937927246,0,,0
alpha158_QTLU60,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1826200,0.0,1.085898606027301,0.1568968773653343,0.18712414801120758,0.775451385974884,1.0641520023345947,1.5395215153694153,19.189115524291992,0,,0
alpha158_RANK10,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,57,0.0,0.5270946868711639,0.32973086530201623,0.10000000149011612,0.10000000149011612,0.5,1.0,1.0,0,,0
alpha158_RANK20,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,241,0.0,0.4990493257002154,0.33942252615077606,0.05000000074505806,0.05000000074505806,0.4749999940395355,1.0,1.0,0,,0
alpha158_RANK30,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,472,0.0,0.48781538930642165,0.3416997744755605,0.03333333507180214,0.03333333507180214,0.46666666865348816,1.0,1.0,0,,0
alpha158_RANK5,recovered,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,17,0.0,0.5806876565945243,0.3111619282366782,0.20000000298023224,0.20000000298023224,0.6000000238418579,1.0,1.0,0,,0
alpha158_RANK60,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,1367,0.0,0.4746843633474687,0.3388717946506988,0.01666666753590107,0.01666666753590107,0.4416666626930237,1.0,1.0,0,,0
alpha158_RESI10,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2583956,2587671,0.9985643460857273,1.0,2544749,8.939780708340235e-05,-7.742723788364395e-06,0.028496472070535267,-0.5735680460929871,-0.08105637729167939,3.0165371754264925e-05,0.07794690877199173,0.703173041343689,0,,0
alpha158_RESI20,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584114,2587671,0.9986254048524715,1.0,2544901,1.0448455447398993e-05,-0.00021897016506969587,0.04473611673003865,-1.202280044555664,-0.1242538995295763,0.00021082677267258987,0.12064494192600284,1.0533015727996826,0,,0
alpha158_RESI30,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584120,2587671,0.9986277235398163,1.0,2545067,5.804683993003421e-06,-0.0005297227722693915,0.056938684073056495,-1.3530285358428955,-0.15982242152094842,0.0003593582659959793,0.15025004118680962,0.7346085906028748,0,,0
alpha158_RESI5,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2583804,2587671,0.9985056060063277,1.0,2514382,0.002638745044128734,1.6923136966418608e-05,0.01502858996360955,-0.1870213747024536,-0.04243336956948042,-4.2584581024129875e-05,0.04115158867090944,0.2500855326652527,0,,0
alpha158_RESI60,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,2545004,0.0,-0.0015947225999184162,0.08531964627041941,-4.477909564971924,-0.23536670655012132,0.0007332436507567763,0.21004587411880532,3.329490900039673,0,,0
alpha158_ROC10,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2581149,2587671,0.9974795868562889,1.0,1694281,0.0,1.0055176332257092,0.095829124766862,0.18114137649536133,0.7464865469932556,1.0046679973602295,1.2630717897415162,7.234567642211914,0,,0
alpha158_ROC20,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2580943,2587671,0.9973999785907869,1.0,1864821,0.0,1.010159012776441,0.13510469129922817,0.1752203404903412,0.6653429567813873,1.0086487531661987,1.3709997224807742,11.913579940795898,0,,0
alpha158_ROC30,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2580820,2587671,0.9973524455002201,1.0,1949774,0.0,1.0141068351096905,0.16406789182015327,0.13402581214904785,0.6097070240974426,1.011708378791809,1.4453196811676026,13.469135284423828,0,,0
alpha158_ROC5,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2582071,2587671,0.9978358918115943,1.0,1501692,0.0,1.0028350217705995,0.06865396301706309,0.4016980230808258,0.8093431234359741,1.0031722784042358,1.1918914914131165,3.1010100841522217,0,,0
alpha158_ROC60,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2580795,2587671,0.9973427843029504,1.0,2070052,0.0,1.0240104388618594,0.22885659866660804,0.10765567421913147,0.5112858295440674,1.017730474472046,1.6306638956069948,21.01449203491211,0,,0
alpha158_RSQR10,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2586598,2587671,0.9995853414131858,1.0,2469204,2.6675965882599462e-05,0.4443320506003826,0.2976246204447779,0.0,0.00029180851968703793,0.45847855508327484,0.9444822901487349,1.0,0,,0
alpha158_RSQR20,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2587285,2587671,0.9998508311141563,1.0,2472991,2.3190332723298746e-06,0.4331153019110157,0.29121360119543654,0.0,0.00028358827810734513,0.4450012743473053,0.9301384091377258,1.0,0,,0
alpha158_RSQR30,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2587450,2587671,0.9999145950161361,1.0,2471943,3.864808981816074e-07,0.4306721385829909,0.2904031958916651,0.0,0.0002765255206031725,0.4423956423997879,0.9251634258031843,1.0,0,,0
alpha158_RSQR5,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2585106,2587671,0.999008761160132,1.0,2413536,0.0013283787976199042,0.49584359994072613,0.31708185825740615,0.0,0.00033331371523672717,0.5306997299194336,0.9826059132814409,1.0,0,,0
alpha158_RSQR60,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2587651,2587671,0.9999922710421842,1.0,2482272,0.0,0.4100131610698322,0.28928787416964563,1.94624793169694e-15,0.00022904102661414072,0.406148761510849,0.9215119481086731,1.0,0,,0
alpha158_RSV10,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,2378482,0.010923594817754982,0.4508898951632951,0.29347115566956383,0.0,0.0,0.43307217955589294,1.0,1.0,0,,0
alpha158_RSV20,legacy_v1,VolatilityRisk,alpha158,True,True,True,True,False,2584131,2587671,0.998631974466615,1.0,2367739,0.00801159074365812,0.44168343412888106,0.2907406307032799,0.0,0.002859512018039822,0.4190530478954315,0.9927531242370606,1.0,0,,0
