datetime,factor,n_total,n_valid,coverage,corr_raw_residual,r2_approx,var_factor_z,var_residual_z
2021-05-31,kunquant_alpha101_alpha005,500,483,0.966,0.7649002162554328,0.4149276591723906,0.8497132646534257,0.4971437287830497
2021-06-01,kunquant_alpha101_alpha005,500,488,0.976,0.7635730515717538,0.4169561949133992,0.8464136569890421,0.4934962392481561
2021-06-02,kunquant_alpha101_alpha005,500,494,0.988,0.77574992191844,0.3982120586435337,0.8584443873551395,0.5166014806354623
2021-06-03,kunquant_alpha101_alpha005,500,493,0.986,0.8051020470392868,0.3518106938531502,0.8846646236361241,0.5734301485673633
2021-06-04,kunquant_alpha101_alpha005,500,493,0.986,0.8065287397482853,0.34951139196004244,0.8642102600510789,0.5621589291144761
2021-06-07,kunquant_alpha101_alpha005,500,494,0.988,0.7900189678820712,0.3758700303865471,0.8520085844841395,0.531764091944487
2021-06-08,kunquant_alpha101_alpha005,500,494,0.988,0.793329660897481,0.37062804914028746,0.8657907797636829,0.5449044320962209
2021-06-09,kunquant_alpha101_alpha005,500,494,0.988,0.7960143673331997,0.36636112699912615,0.8437057509939464,0.5346047612041601
2021-06-10,kunquant_alpha101_alpha005,500,492,0.984,0.7868772925953672,0.38082412639778596,0.8550712028767465,0.5294394590333056
2021-06-11,kunquant_alpha101_alpha005,500,492,0.984,0.7619555015717189,0.41942381362459125,0.8807289645360957,0.5113302634607291
2021-06-15,kunquant_alpha101_alpha005,500,491,0.982,0.7591153884838893,0.42374382696695356,0.8802102219541752,0.5072265739678814
2021-06-16,kunquant_alpha101_alpha005,500,490,0.98,0.7665514005804016,0.41239895026822504,0.8735862540077678,0.5133201998862134
2021-06-17,kunquant_alpha101_alpha005,500,491,0.982,0.7778608975849417,0.3949324240083476,0.8670170463875835,0.5246039026011772
2021-06-18,kunquant_alpha101_alpha005,500,490,0.98,0.7672978425433788,0.4112540208282758,0.873755710410735,0.5144201612826537
2021-06-21,kunquant_alpha101_alpha005,500,489,0.978,0.7504843472726822,0.43677324449869737,0.8775591121439679,0.4942647714934508
2021-06-22,kunquant_alpha101_alpha005,500,489,0.978,0.7681759187158425,0.4099057579050712,0.8708014862238326,0.5138549430283901
2021-06-23,kunquant_alpha101_alpha005,500,489,0.978,0.7843367696017857,0.3848158318506354,0.8683744444286169,0.5342102102379853
2021-06-24,kunquant_alpha101_alpha005,500,488,0.976,0.7768038985089266,0.3965757032613324,0.8583362573772919,0.5179409524731924
2021-06-25,kunquant_alpha101_alpha005,500,488,0.976,0.7743621919451745,0.400363195685865,0.8782702701121495,0.5266431780941615
2021-06-28,kunquant_alpha101_alpha005,500,488,0.976,0.757307452703261,0.4264854220800971,0.8645318282882546,0.4958216065990603
2021-06-29,kunquant_alpha101_alpha005,500,488,0.976,0.7691177083678096,0.4084579506750493,0.8480554154073302,0.5016604383711745
2021-06-30,kunquant_alpha101_alpha005,500,487,0.974,0.7616350087251178,0.4199121134842899,0.8658995879429383,0.5022978619046433
2021-01-04,ta_volatility_kch,500,119,0.238,0.4643279528085519,0.4582564513237568,1.9237984906988546,1.042205421289198
2021-01-05,ta_volatility_kch,500,119,0.238,0.44756553589323883,0.4841082441304554,1.9202428982587054,0.9906374804787069
2021-01-06,ta_volatility_kch,500,119,0.238,0.4528960695512743,0.5163851452346326,1.9112820224795906,0.9243243777171247
2021-01-07,ta_volatility_kch,500,119,0.238,0.45687052392249594,0.47134528752150184,1.907661820352647,1.008494411144737
2021-01-08,ta_volatility_kch,500,119,0.238,0.39525342784714423,0.5324225821983299,1.9023805731215568,0.8895101960562387
2021-01-11,ta_volatility_kch,500,119,0.238,0.39697864295841695,0.5321067475326382,1.8909026805971192,0.8847406053238391
2021-01-12,ta_volatility_kch,500,119,0.238,0.4434926599670537,0.5211191437299754,1.8951699969813445,0.9075606309316863
2021-01-13,ta_volatility_kch,500,119,0.238,0.41100442106968105,0.5656232090828315,1.8797006575848536,0.8164983395266002
2021-01-14,ta_volatility_kch,500,119,0.238,0.3854621158640007,0.5547679375348672,1.8784902640677728,0.8363640945915665
2021-01-15,ta_volatility_kch,500,119,0.238,0.36230218618622434,0.5830670773536306,1.8828443181480845,0.7850197844535913
2021-01-18,ta_volatility_kch,500,118,0.236,0.43426544898077624,0.504585816000825,1.8904809464108443,0.9365710754321165
2021-01-19,ta_volatility_kch,500,119,0.238,0.40804365341135274,0.5090716045950285,1.8956186136595976,0.9306130043037029
2021-01-20,ta_volatility_kch,500,119,0.238,0.4155282899165404,0.4703643933539001,1.9057709974820631,1.0093641783799554
2021-01-21,ta_volatility_kch,500,120,0.24,0.4173751593722839,0.4855320794415179,1.8810769568544397,0.9677537504033811
2021-01-22,ta_volatility_kch,500,120,0.24,0.3912810619034382,0.5241682414141569,1.8810611296407813,0.8950686253244455
2021-01-25,ta_volatility_kch,500,120,0.24,0.3815846944814846,0.534286081915696,1.8607191899086908,0.8665628243870284
2021-01-26,ta_volatility_kch,500,120,0.24,0.38556158121915163,0.5211405706888765,1.8557058591515847,0.8886222486826358
2021-01-27,ta_volatility_kch,500,120,0.24,0.42813649393147396,0.469207207936275,1.852001658157595,0.9830291310401182
