split_id,method,factor,factor_column,cluster_id,direction,raw_weight,weight
split_002,equal_directional_zscore,alpha158_CNTP5,alpha158_CNTP5,cluster_003,-1,1.0,0.125
split_002,equal_directional_zscore,ta_trend_psar_up_indicator,ta_trend_psar_up_indicator,cluster_004,-1,1.0,0.125
split_002,equal_directional_zscore,alpha360_VOLUME18,alpha360_VOLUME18,cluster_005,1,1.0,0.125
split_002,equal_directional_zscore,alpha360_VOLUME36,alpha360_VOLUME36,cluster_006,1,1.0,0.125
split_002,equal_directional_zscore,alpha360_VOLUME54,alpha360_VOLUME54,cluster_007,1,1.0,0.125
split_002,equal_directional_zscore,kunquant_alpha101_alpha029,kunquant_alpha101_alpha029,cluster_009,1,1.0,0.125
split_002,cluster_equal,alpha158_OPEN0,alpha158_OPEN0,cluster_001,1,1.0,0.125
split_002,cluster_equal,ta_volume_em,ta_volume_em,cluster_002,-1,1.0,0.125
split_002,cluster_equal,alpha158_CNTP5,alpha158_CNTP5,cluster_003,-1,1.0,0.125
split_002,cluster_equal,ta_trend_psar_up_indicator,ta_trend_psar_up_indicator,cluster_004,-1,1.0,0.125
split_002,cluster_equal,alpha360_VOLUME18,alpha360_VOLUME18,cluster_005,1,1.0,0.125
split_002,cluster_equal,alpha360_VOLUME36,alpha360_VOLUME36,cluster_006,1,1.0,0.125
split_002,cluster_equal,alpha360_VOLUME54,alpha360_VOLUME54,cluster_007,1,1.0,0.125
split_002,cluster_equal,kunquant_alpha101_alpha029,kunquant_alpha101_alpha029,cluster_009,1,1.0,0.125
split_002,stability_weight,alpha158_OPEN0,alpha158_OPEN0,cluster_001,1,0.9861892493471441,0.1248043343100828
split_002,stability_weight,ta_volume_em,ta_volume_em,cluster_002,-1,0.9760445276356559,0.12352049833154065
split_002,stability_weight,alpha158_CNTP5,alpha158_CNTP5,cluster_003,-1,0.9760445276356559,0.12352049833154065
split_002,stability_weight,ta_trend_psar_up_indicator,ta_trend_psar_up_indicator,cluster_004,-1,0.9899239082912552,0.12527696329453333
split_002,stability_weight,alpha360_VOLUME18,alpha360_VOLUME18,cluster_005,1,0.9861676784753708,0.12480160447065904
split_002,stability_weight,alpha360_VOLUME36,alpha360_VOLUME36,cluster_006,1,0.995676837782101,0.1260050086832994
split_002,stability_weight,alpha360_VOLUME54,alpha360_VOLUME54,cluster_007,1,0.995676837782101,0.1260050086832994
split_002,stability_weight,kunquant_alpha101_alpha029,kunquant_alpha101_alpha029,cluster_009,1,0.9961594469603624,0.12606608389504473
split_003,equal_directional_zscore,alpha158_OPEN0,alpha158_OPEN0,cluster_001,1,1.0,0.14285714285714288
split_003,equal_directional_zscore,alpha158_CNTP5,alpha158_CNTP5,cluster_003,-1,1.0,0.14285714285714288
split_003,equal_directional_zscore,alpha360_VOLUME18,alpha360_VOLUME18,cluster_005,1,1.0,0.14285714285714288
split_003,equal_directional_zscore,alpha360_VOLUME36,alpha360_VOLUME36,cluster_006,1,1.0,0.14285714285714288
split_003,equal_directional_zscore,alpha360_VOLUME54,alpha360_VOLUME54,cluster_007,1,1.0,0.14285714285714288
split_003,equal_directional_zscore,alpha158_CORD30,alpha158_CORD30,cluster_008,-1,1.0,0.14285714285714288
split_003,equal_directional_zscore,kunquant_alpha101_alpha029,kunquant_alpha101_alpha029,cluster_009,1,1.0,0.14285714285714288
split_003,cluster_equal,alpha158_OPEN0,alpha158_OPEN0,cluster_001,1,1.0,0.14285714285714288
split_003,cluster_equal,alpha158_CNTP5,alpha158_CNTP5,cluster_003,-1,1.0,0.14285714285714288
split_003,cluster_equal,alpha360_VOLUME18,alpha360_VOLUME18,cluster_005,1,1.0,0.14285714285714288
split_003,cluster_equal,alpha360_VOLUME36,alpha360_VOLUME36,cluster_006,1,1.0,0.14285714285714288
split_003,cluster_equal,alpha360_VOLUME54,alpha360_VOLUME54,cluster_007,1,1.0,0.14285714285714288
split_003,cluster_equal,alpha158_CORD30,alpha158_CORD30,cluster_008,-1,1.0,0.14285714285714288
split_003,cluster_equal,kunquant_alpha101_alpha029,kunquant_alpha101_alpha029,cluster_009,1,1.0,0.14285714285714288
split_003,stability_weight,alpha158_OPEN0,alpha158_OPEN0,cluster_001,1,0.9920079920079921,0.14271183396506593
split_003,stability_weight,alpha158_CNTP5,alpha158_CNTP5,cluster_003,-1,0.9874635168752816,0.14205805860657816
split_003,stability_weight,alpha360_VOLUME18,alpha360_VOLUME18,cluster_005,1,0.9861676784753708,0.14187163725104118
split_003,stability_weight,alpha360_VOLUME36,alpha360_VOLUME36,cluster_006,1,0.9957936800042064,0.1432564490096138
split_003,stability_weight,alpha360_VOLUME54,alpha360_VOLUME54,cluster_007,1,0.9957936800042064,0.1432564490096138
split_003,stability_weight,alpha158_CORD30,alpha158_CORD30,cluster_008,-1,0.9973746060702583,0.14348388352633856
split_003,stability_weight,kunquant_alpha101_alpha029,kunquant_alpha101_alpha029,cluster_009,1,0.9965252139165183,0.14336168863174864
