system,factor,metric,horizon,value,source_file,batch
alphalens_reloaded,alpha360_VOLUME32,mean_information_coefficient,10D,0.0439791409744072,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/alphalens_reloaded/alpha360_VOLUME32/mean_information_coefficient.csv,batch_066
alphalens_reloaded,alpha360_VOLUME32,mean_information_coefficient,20D,0.04609751901855,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/alphalens_reloaded/alpha360_VOLUME32/mean_information_coefficient.csv,batch_066
alphalens_reloaded,alpha360_VOLUME33,factor_alpha_beta:Ann. alpha,10D,0.0248346452870191,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/alphalens_reloaded/alpha360_VOLUME33/factor_alpha_beta.csv,batch_066
alphalens_reloaded,alpha360_VOLUME33,factor_alpha_beta:Ann. alpha,20D,0.0732260484841627,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/alphalens_reloaded/alpha360_VOLUME33/factor_alpha_beta.csv,batch_066
alphalens_reloaded,alpha360_VOLUME33,factor_alpha_beta:beta,10D,0.0804484577374736,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/alphalens_reloaded/alpha360_VOLUME33/factor_alpha_beta.csv,batch_066
alphalens_reloaded,alpha360_VOLUME33,factor_alpha_beta:beta,20D,-0.077061935047237,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/alphalens_reloaded/alpha360_VOLUME33/factor_alpha_beta.csv,batch_066
alphalens_reloaded,alpha360_VOLUME33,mean_information_coefficient,10D,0.0471404731878139,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/alphalens_reloaded/alpha360_VOLUME33/mean_information_coefficient.csv,batch_066
alphalens_reloaded,alpha360_VOLUME33,mean_information_coefficient,20D,0.0491597851792849,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/alphalens_reloaded/alpha360_VOLUME33/mean_information_coefficient.csv,batch_066
jqfactor_analyzer,alpha360_VOLUME29,mean_information_coefficient,period_10,0.0403018110525851,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/jqfactor_analyzer/alpha360_VOLUME29/mean_information_coefficient.csv,batch_066
jqfactor_analyzer,alpha360_VOLUME29,mean_information_coefficient,period_20,0.0407930377032664,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/jqfactor_analyzer/alpha360_VOLUME29/mean_information_coefficient.csv,batch_066
jqfactor_analyzer,alpha360_VOLUME30,mean_information_coefficient,period_10,0.0408529645148043,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/jqfactor_analyzer/alpha360_VOLUME30/mean_information_coefficient.csv,batch_066
jqfactor_analyzer,alpha360_VOLUME30,mean_information_coefficient,period_20,0.0437310319672242,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/jqfactor_analyzer/alpha360_VOLUME30/mean_information_coefficient.csv,batch_066
jqfactor_analyzer,alpha360_VOLUME31,mean_information_coefficient,period_10,0.0406148050346205,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/jqfactor_analyzer/alpha360_VOLUME31/mean_information_coefficient.csv,batch_066
jqfactor_analyzer,alpha360_VOLUME31,mean_information_coefficient,period_20,0.0448508912756108,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/jqfactor_analyzer/alpha360_VOLUME31/mean_information_coefficient.csv,batch_066
jqfactor_analyzer,alpha360_VOLUME32,mean_information_coefficient,period_10,0.0439791409744072,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/jqfactor_analyzer/alpha360_VOLUME32/mean_information_coefficient.csv,batch_066
jqfactor_analyzer,alpha360_VOLUME32,mean_information_coefficient,period_20,0.04609751901855,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/jqfactor_analyzer/alpha360_VOLUME32/mean_information_coefficient.csv,batch_066
jqfactor_analyzer,alpha360_VOLUME33,mean_information_coefficient,period_10,0.0471404731878139,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/jqfactor_analyzer/alpha360_VOLUME33/mean_information_coefficient.csv,batch_066
jqfactor_analyzer,alpha360_VOLUME33,mean_information_coefficient,period_20,0.049159785179285,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/jqfactor_analyzer/alpha360_VOLUME33/mean_information_coefficient.csv,batch_066
qlib_eval,alpha360_VOLUME29,annualized_return,label_10d_t1,9.500003281909695,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME29/label_10d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME29,annualized_return,label_20d_t1,9.576085887858444,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME29/label_20d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME29,information_ratio,label_10d_t1,5.220535099310362,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME29/label_10d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME29,information_ratio,label_20d_t1,5.341372649889306,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME29/label_20d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME29,max_drawdown,label_10d_t1,-1.9757794936889912,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME29/label_10d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME29,max_drawdown,label_20d_t1,-2.185449746190205,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME29/label_20d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME29,mean,label_10d_t1,0.0399159801760911,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME29/label_10d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME29,mean,label_20d_t1,0.0402356549910018,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME29/label_20d_t1_risk_analysis.csv,batch_066
