batch_id,status,factor_count,factors,evaluator_status_rows,failure_rows,metric_rows,context_metric_rows,output_dir
batch_033,skipped_existing,5,"alpha360_HIGH18,alpha360_HIGH17,alpha360_HIGH16,alpha360_HIGH15,alpha360_HIGH14",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_033
batch_034,skipped_existing,5,"alpha360_HIGH13,alpha360_HIGH12,alpha360_HIGH11,alpha360_HIGH10,alpha360_HIGH9",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_034
batch_035,skipped_existing,5,"alpha360_HIGH8,alpha360_HIGH7,alpha360_HIGH6,alpha360_HIGH5,alpha360_HIGH4",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_035
batch_036,skipped_existing,5,"alpha360_HIGH3,alpha360_HIGH2,alpha360_HIGH1,alpha360_HIGH0,alpha360_LOW59",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_036
batch_037,skipped_existing,5,"alpha360_LOW58,alpha360_LOW57,alpha360_LOW56,alpha360_LOW55,alpha360_LOW54",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_037
batch_038,skipped_existing,5,"alpha360_LOW53,alpha360_LOW52,alpha360_LOW51,alpha360_LOW50,alpha360_LOW49",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_038
batch_039,skipped_existing,5,"alpha360_LOW48,alpha360_LOW47,alpha360_LOW46,alpha360_LOW45,alpha360_LOW44",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_039
batch_040,skipped_existing,5,"alpha360_LOW43,alpha360_LOW42,alpha360_LOW41,alpha360_LOW40,alpha360_LOW39",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_040
batch_041,pass,5,"alpha360_LOW38,alpha360_LOW37,alpha360_LOW36,alpha360_LOW35,alpha360_LOW34",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_041
batch_042,pass,5,"alpha360_LOW33,alpha360_LOW32,alpha360_LOW31,alpha360_LOW30,alpha360_LOW29",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_042
batch_043,pass,5,"alpha360_LOW28,alpha360_LOW27,alpha360_LOW26,alpha360_LOW25,alpha360_LOW24",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_043
batch_044,pass,5,"alpha360_LOW23,alpha360_LOW22,alpha360_LOW21,alpha360_LOW20,alpha360_LOW19",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_044
batch_045,pass,5,"alpha360_LOW18,alpha360_LOW17,alpha360_LOW16,alpha360_LOW15,alpha360_LOW14",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_045
batch_046,pass,5,"alpha360_LOW13,alpha360_LOW12,alpha360_LOW11,alpha360_LOW10,alpha360_LOW9",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_046
batch_047,pass,5,"alpha360_LOW8,alpha360_LOW7,alpha360_LOW6,alpha360_LOW5,alpha360_LOW4",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_047
batch_048,pass,5,"alpha360_LOW3,alpha360_LOW2,alpha360_LOW1,alpha360_LOW0,alpha360_VWAP59",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_048
batch_049,pass,5,"alpha360_VWAP58,alpha360_VWAP57,alpha360_VWAP56,alpha360_VWAP55,alpha360_VWAP54",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_049
batch_050,pass,5,"alpha360_VWAP53,alpha360_VWAP52,alpha360_VWAP51,alpha360_VWAP50,alpha360_VWAP49",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_050
batch_051,pass,5,"alpha360_VWAP48,alpha360_VWAP47,alpha360_VWAP46,alpha360_VWAP45,alpha360_VWAP44",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_051
batch_052,pass,5,"alpha360_VWAP43,alpha360_VWAP42,alpha360_VWAP41,alpha360_VWAP40,alpha360_VWAP39",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_052
batch_053,pass,5,"alpha360_VWAP38,alpha360_VWAP37,alpha360_VWAP36,alpha360_VWAP35,alpha360_VWAP34",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_053
batch_054,pass,5,"alpha360_VWAP33,alpha360_VWAP32,alpha360_VWAP31,alpha360_VWAP30,alpha360_VWAP29",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_054
batch_055,pass,5,"alpha360_VWAP28,alpha360_VWAP27,alpha360_VWAP26,alpha360_VWAP25,alpha360_VWAP24",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_055
batch_056,pass,5,"alpha360_VWAP23,alpha360_VWAP22,alpha360_VWAP21,alpha360_VWAP20,alpha360_VWAP19",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_056
batch_057,pass,5,"alpha360_VWAP18,alpha360_VWAP17,alpha360_VWAP16,alpha360_VWAP15,alpha360_VWAP14",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_057
batch_058,pass,5,"alpha360_VWAP13,alpha360_VWAP12,alpha360_VWAP11,alpha360_VWAP10,alpha360_VWAP9",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_058
batch_059,pass,5,"alpha360_VWAP8,alpha360_VWAP7,alpha360_VWAP6,alpha360_VWAP5,alpha360_VWAP4",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_059
batch_060,pass,5,"alpha360_VWAP3,alpha360_VWAP2,alpha360_VWAP1,alpha360_VWAP0,alpha360_VOLUME59",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_060
batch_061,pass,5,"alpha360_VOLUME58,alpha360_VOLUME57,alpha360_VOLUME56,alpha360_VOLUME55,alpha360_VOLUME54",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_061
batch_062,pass,5,"alpha360_VOLUME53,alpha360_VOLUME52,alpha360_VOLUME51,alpha360_VOLUME50,alpha360_VOLUME49",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_062
batch_063,pass,5,"alpha360_VOLUME48,alpha360_VOLUME47,alpha360_VOLUME46,alpha360_VOLUME45,alpha360_VOLUME44",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_063
batch_064,pass,5,"alpha360_VOLUME43,alpha360_VOLUME42,alpha360_VOLUME41,alpha360_VOLUME40,alpha360_VOLUME39",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_064
batch_065,pass,5,"alpha360_VOLUME38,alpha360_VOLUME37,alpha360_VOLUME36,alpha360_VOLUME35,alpha360_VOLUME34",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_065
batch_066,pass,5,"alpha360_VOLUME33,alpha360_VOLUME32,alpha360_VOLUME31,alpha360_VOLUME30,alpha360_VOLUME29",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_066
batch_067,pass,5,"alpha360_VOLUME28,alpha360_VOLUME27,alpha360_VOLUME26,alpha360_VOLUME25,alpha360_VOLUME24",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_067
batch_068,pass,5,"alpha360_VOLUME23,alpha360_VOLUME22,alpha360_VOLUME21,alpha360_VOLUME20,alpha360_VOLUME19",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_068
batch_069,pass,5,"alpha360_VOLUME18,alpha360_VOLUME17,alpha360_VOLUME16,alpha360_VOLUME15,alpha360_VOLUME14",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_069
batch_070,pass,5,"alpha360_VOLUME13,alpha360_VOLUME12,alpha360_VOLUME11,alpha360_VOLUME10,alpha360_VOLUME9",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_070
batch_071,pass,5,"alpha360_VOLUME8,alpha360_VOLUME7,alpha360_VOLUME6,alpha360_VOLUME5,alpha360_VOLUME4",15,10,90,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_071
batch_072,pass,3,"alpha360_VOLUME3,alpha360_VOLUME2,alpha360_VOLUME1",9,6,54,0,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_execution\runs\batch_072
