rolling_interval_id,datetime,instrument,resolution
2478,2024-01-23,SZ000046,truncated_to_lifecycle
2478,2024-01-24,SZ000046,truncated_to_lifecycle
2478,2024-01-25,SZ000046,truncated_to_lifecycle
2478,2024-01-26,SZ000046,truncated_to_lifecycle
2478,2024-01-29,SZ000046,truncated_to_lifecycle
2478,2024-01-30,SZ000046,truncated_to_lifecycle
2478,2024-01-31,SZ000046,truncated_to_lifecycle
2541,2024-08-15,SZ000413,truncated_to_lifecycle
2541,2024-08-16,SZ000413,truncated_to_lifecycle
2541,2024-08-19,SZ000413,truncated_to_lifecycle
2541,2024-08-20,SZ000413,truncated_to_lifecycle
2541,2024-08-21,SZ000413,truncated_to_lifecycle
2541,2024-08-22,SZ000413,truncated_to_lifecycle
2541,2024-08-23,SZ000413,truncated_to_lifecycle
2541,2024-08-26,SZ000413,truncated_to_lifecycle
2541,2024-08-27,SZ000413,truncated_to_lifecycle
2541,2024-08-28,SZ000413,truncated_to_lifecycle
2541,2024-08-29,SZ000413,truncated_to_lifecycle
2541,2024-08-30,SZ000413,truncated_to_lifecycle
2603,2023-05-19,SZ000540,truncated_to_lifecycle
2603,2023-05-22,SZ000540,truncated_to_lifecycle
2603,2023-05-23,SZ000540,truncated_to_lifecycle
2603,2023-05-24,SZ000540,truncated_to_lifecycle
2603,2023-05-25,SZ000540,truncated_to_lifecycle
2603,2023-05-26,SZ000540,truncated_to_lifecycle
2603,2023-05-29,SZ000540,truncated_to_lifecycle
2603,2023-05-30,SZ000540,truncated_to_lifecycle
2603,2023-05-31,SZ000540,truncated_to_lifecycle
2682,2025-08-14,SZ000627,truncated_to_lifecycle
2682,2025-08-15,SZ000627,truncated_to_lifecycle
2682,2025-08-18,SZ000627,truncated_to_lifecycle
2682,2025-08-19,SZ000627,truncated_to_lifecycle
2682,2025-08-20,SZ000627,truncated_to_lifecycle
2682,2025-08-21,SZ000627,truncated_to_lifecycle
2682,2025-08-22,SZ000627,truncated_to_lifecycle
2682,2025-08-25,SZ000627,truncated_to_lifecycle
2682,2025-08-26,SZ000627,truncated_to_lifecycle
2682,2025-08-27,SZ000627,truncated_to_lifecycle
2682,2025-08-28,SZ000627,truncated_to_lifecycle
2682,2025-08-29,SZ000627,truncated_to_lifecycle
2703,2023-06-12,SZ000671,truncated_to_lifecycle
2703,2023-06-13,SZ000671,truncated_to_lifecycle
2703,2023-06-14,SZ000671,truncated_to_lifecycle
2703,2023-06-15,SZ000671,truncated_to_lifecycle
2703,2023-06-16,SZ000671,truncated_to_lifecycle
2703,2023-06-19,SZ000671,truncated_to_lifecycle
2703,2023-06-20,SZ000671,truncated_to_lifecycle
2703,2023-06-21,SZ000671,truncated_to_lifecycle
2703,2023-06-26,SZ000671,truncated_to_lifecycle
2703,2023-06-27,SZ000671,truncated_to_lifecycle
2703,2023-06-28,SZ000671,truncated_to_lifecycle
2703,2023-06-29,SZ000671,truncated_to_lifecycle
2703,2023-06-30,SZ000671,truncated_to_lifecycle
2973,2024-05-09,SZ000961,truncated_to_lifecycle
2973,2024-05-10,SZ000961,truncated_to_lifecycle
2973,2024-05-13,SZ000961,truncated_to_lifecycle
2973,2024-05-14,SZ000961,truncated_to_lifecycle
2973,2024-05-15,SZ000961,truncated_to_lifecycle
2973,2024-05-16,SZ000961,truncated_to_lifecycle
2973,2024-05-17,SZ000961,truncated_to_lifecycle
2973,2024-05-20,SZ000961,truncated_to_lifecycle
2973,2024-05-21,SZ000961,truncated_to_lifecycle
2973,2024-05-22,SZ000961,truncated_to_lifecycle
