selection_date,effective_date,instrument,action
2021-01-29,2021-02-01,SH600300,enter
2021-01-29,2021-02-01,SH600303,enter
2021-01-29,2021-02-01,SH600305,enter
2021-01-29,2021-02-01,SH600308,enter
2021-01-29,2021-02-01,SH600309,enter
2021-01-29,2021-02-01,SH600312,enter
2021-01-29,2021-02-01,SH600313,enter
2021-01-29,2021-02-01,SH600315,enter
2021-01-29,2021-02-01,SH600316,enter
2021-01-29,2021-02-01,SH600318,enter
2021-01-29,2021-02-01,SH600323,enter
2021-01-29,2021-02-01,SH600325,enter
2021-01-29,2021-02-01,SH600326,enter
2021-01-29,2021-02-01,SH600329,enter
2021-01-29,2021-02-01,SH600330,enter
2021-01-29,2021-02-01,SH600332,enter
2021-01-29,2021-02-01,SH600336,enter
2021-01-29,2021-02-01,SH600337,enter
2021-01-29,2021-02-01,SH600338,enter
2021-01-29,2021-02-01,SH600339,enter
2021-01-29,2021-02-01,SH600340,enter
2021-01-29,2021-02-01,SH600343,enter
2021-01-29,2021-02-01,SH600346,enter
2021-01-29,2021-02-01,SH600348,enter
2021-01-29,2021-02-01,SH600352,enter
2021-01-29,2021-02-01,SH600359,enter
2021-01-29,2021-02-01,SH600360,enter
2021-01-29,2021-02-01,SH600362,enter
2021-01-29,2021-02-01,SH600363,enter
2021-01-29,2021-02-01,SH600366,enter
2021-01-29,2021-02-01,SH600369,enter
2021-01-29,2021-02-01,SH600371,enter
2021-01-29,2021-02-01,SH600372,enter
2021-01-29,2021-02-01,SH600373,enter
2021-01-29,2021-02-01,SH600375,enter
2021-01-29,2021-02-01,SH600378,enter
2021-01-29,2021-02-01,SH600380,enter
2021-01-29,2021-02-01,SH600383,enter
2021-01-29,2021-02-01,SH600388,enter
2021-01-29,2021-02-01,SH600390,enter
2021-01-29,2021-02-01,SH600391,enter
2021-01-29,2021-02-01,SH600392,enter
2021-01-29,2021-02-01,SH600399,enter
2021-01-29,2021-02-01,SH600405,enter
2021-01-29,2021-02-01,SH600406,enter
2021-01-29,2021-02-01,SH600409,enter
2021-01-29,2021-02-01,SH600410,enter
2021-01-29,2021-02-01,SH600415,enter
2021-01-29,2021-02-01,SH600416,enter
2021-01-29,2021-02-01,SH600418,enter
2021-01-29,2021-02-01,SH600419,enter
2021-01-29,2021-02-01,SH600420,enter
2021-01-29,2021-02-01,SH600422,enter
2021-01-29,2021-02-01,SH600425,enter
2021-01-29,2021-02-01,SH600426,enter
2021-01-29,2021-02-01,SH600435,enter
2021-01-29,2021-02-01,SH600436,enter
2021-01-29,2021-02-01,SH600438,enter
2021-01-29,2021-02-01,SH600446,enter
2021-01-29,2021-02-01,SH600449,enter
2021-01-29,2021-02-01,SH600456,enter
2021-01-29,2021-02-01,SH600459,enter
2021-01-29,2021-02-01,SH600460,enter
2021-01-29,2021-02-01,SH600466,enter
2021-01-29,2021-02-01,SH600467,enter
2021-01-29,2021-02-01,SH600477,enter
2021-01-29,2021-02-01,SH600478,enter
2021-01-29,2021-02-01,SH600480,enter
2021-01-29,2021-02-01,SH600482,enter
2021-01-29,2021-02-01,SH600486,enter
2021-01-29,2021-02-01,SH600487,enter
2021-01-29,2021-02-01,SH600489,enter
2021-01-29,2021-02-01,SH600490,enter
2021-01-29,2021-02-01,SH600491,enter
2021-01-29,2021-02-01,SH600496,enter
2021-01-29,2021-02-01,SH600497,enter
2021-01-29,2021-02-01,SH600498,enter
2021-01-29,2021-02-01,SH600500,enter
2021-01-29,2021-02-01,SH600501,enter
2021-01-29,2021-02-01,SH600503,enter
2021-01-29,2021-02-01,SH600507,enter
2021-01-29,2021-02-01,SH600511,enter
2021-01-29,2021-02-01,SH600512,enter
2021-01-29,2021-02-01,SH600513,enter
2021-01-29,2021-02-01,SH600515,enter
2021-01-29,2021-02-01,SH600516,enter
2021-01-29,2021-02-01,SH600517,enter
2021-01-29,2021-02-01,SH600518,enter
2021-01-29,2021-02-01,SH600519,enter
2021-01-29,2021-02-01,SH600521,enter
2021-01-29,2021-02-01,SH600522,enter
2021-01-29,2021-02-01,SH600523,enter
2021-01-29,2021-02-01,SH600525,enter
2021-01-29,2021-02-01,SH600527,enter
2021-01-29,2021-02-01,SH600528,enter
2021-01-29,2021-02-01,SH600529,enter
2021-01-29,2021-02-01,SH600531,enter
2021-01-29,2021-02-01,SH600532,enter
2021-01-29,2021-02-01,SH600535,enter
2021-01-29,2021-02-01,SH600536,enter
2021-01-29,2021-02-01,SH600537,enter
2021-01-29,2021-02-01,SH600540,enter
2021-01-29,2021-02-01,SH600546,enter
2021-01-29,2021-02-01,SH600547,enter
2021-01-29,2021-02-01,SH600549,enter
2021-01-29,2021-02-01,SH600550,enter
2021-01-29,2021-02-01,SH600552,enter
2021-01-29,2021-02-01,SH600556,enter
2021-01-29,2021-02-01,SH600557,enter
2021-01-29,2021-02-01,SH600559,enter
2021-01-29,2021-02-01,SH600562,enter
2021-01-29,2021-02-01,SH600563,enter
2021-01-29,2021-02-01,SH600566,enter
2021-01-29,2021-02-01,SH600567,enter
2021-01-29,2021-02-01,SH600570,enter
2021-01-29,2021-02-01,SH600572,enter
2021-01-29,2021-02-01,SH600580,enter
2021-01-29,2021-02-01,SH600581,enter
2021-01-29,2021-02-01,SH600583,enter
2021-01-29,2021-02-01,SH600584,enter
2021-01-29,2021-02-01,SH600585,enter
2021-01-29,2021-02-01,SH600586,enter
2021-01-29,2021-02-01,SH600587,enter
2021-01-29,2021-02-01,SH600588,enter
2021-01-29,2021-02-01,SH600589,enter
2021-01-29,2021-02-01,SH600596,enter
2021-01-29,2021-02-01,SH600597,enter
2021-01-29,2021-02-01,SH600598,enter
2021-01-29,2021-02-01,SH600600,enter
2021-01-29,2021-02-01,SH600601,enter
2021-01-29,2021-02-01,SH600604,enter
2021-01-29,2021-02-01,SH600606,enter
2021-01-29,2021-02-01,SH600609,enter
2021-01-29,2021-02-01,SH600612,enter
2021-01-29,2021-02-01,SH600621,enter
2021-01-29,2021-02-01,SH600624,enter
2021-01-29,2021-02-01,SH600633,enter
2021-01-29,2021-02-01,SH600635,enter
2021-01-29,2021-02-01,SH600637,enter
2021-01-29,2021-02-01,SH600640,enter
2021-01-29,2021-02-01,SH600641,enter
2021-01-29,2021-02-01,SH600643,enter
2021-01-29,2021-02-01,SH600645,enter
2021-01-29,2021-02-01,SH600655,enter
2021-01-29,2021-02-01,SH600660,enter
2021-01-29,2021-02-01,SH600664,enter
2021-01-29,2021-02-01,SH600667,enter
2021-01-29,2021-02-01,SH600668,enter
2021-01-29,2021-02-01,SH600673,enter
2021-01-29,2021-02-01,SH600674,enter
2021-01-29,2021-02-01,SH600678,enter
2021-01-29,2021-02-01,SH600682,enter
2021-01-29,2021-02-01,SH600685,enter
2021-01-29,2021-02-01,SH600690,enter
2021-01-29,2021-02-01,SH600695,enter
2021-01-29,2021-02-01,SH600699,enter
2021-01-29,2021-02-01,SH600702,enter
2021-01-29,2021-02-01,SH600703,enter
2021-01-29,2021-02-01,SH600704,enter
2021-01-29,2021-02-01,SH600705,enter
2021-01-29,2021-02-01,SH600707,enter
2021-01-29,2021-02-01,SH600711,enter
2021-01-29,2021-02-01,SH600712,enter
2021-01-29,2021-02-01,SH600718,enter
2021-01-29,2021-02-01,SH600720,enter
2021-01-29,2021-02-01,SH600728,enter
2021-01-29,2021-02-01,SH600729,enter
2021-01-29,2021-02-01,SH600731,enter
2021-01-29,2021-02-01,SH600732,enter
2021-01-29,2021-02-01,SH600733,enter
2021-01-29,2021-02-01,SH600737,enter
2021-01-29,2021-02-01,SH600738,enter
2021-01-29,2021-02-01,SH600739,enter
2021-01-29,2021-02-01,SH600740,enter
2021-01-29,2021-02-01,SH600741,enter
2021-01-29,2021-02-01,SH600742,enter
2021-01-29,2021-02-01,SH600745,enter
2021-01-29,2021-02-01,SH600750,enter
2021-01-29,2021-02-01,SH600751,enter
2021-01-29,2021-02-01,SH600754,enter
2021-01-29,2021-02-01,SH600755,enter
2021-01-29,2021-02-01,SH600756,enter
2021-01-29,2021-02-01,SH600760,enter
2021-01-29,2021-02-01,SH600761,enter
2021-01-29,2021-02-01,SH600763,enter
2021-01-29,2021-02-01,SH600764,enter
2021-01-29,2021-02-01,SH600765,enter
2021-01-29,2021-02-01,SH600770,enter
2021-01-29,2021-02-01,SH600771,enter
2021-01-29,2021-02-01,SH600776,enter
2021-01-29,2021-02-01,SH600777,enter
2021-01-29,2021-02-01,SH600779,enter
2021-01-29,2021-02-01,SH600782,enter
2021-01-29,2021-02-01,SH600783,enter
2021-01-29,2021-02-01,SH600789,enter
2021-01-29,2021-02-01,SH600795,enter
2021-01-29,2021-02-01,SH600797,enter
2021-01-29,2021-02-01,SH600801,enter
2021-01-29,2021-02-01,SH600802,enter
2021-01-29,2021-02-01,SH600803,enter
2021-01-29,2021-02-01,SH600804,enter
2021-01-29,2021-02-01,SH600808,enter
2021-01-29,2021-02-01,SH600809,enter
2021-01-29,2021-02-01,SH600810,enter
2021-01-29,2021-02-01,SH600811,enter
2021-01-29,2021-02-01,SH600812,enter
2021-01-29,2021-02-01,SH600820,enter
2021-01-29,2021-02-01,SH600827,enter
2021-01-29,2021-02-01,SH600831,enter
2021-01-29,2021-02-01,SH600835,enter
2021-01-29,2021-02-01,SH600837,enter
2021-01-29,2021-02-01,SH600839,enter
2021-01-29,2021-02-01,SH600845,enter
2021-01-29,2021-02-01,SH600846,enter
2021-01-29,2021-02-01,SH600848,enter
2021-01-29,2021-02-01,SH600850,enter
2021-01-29,2021-02-01,SH600855,enter
2021-01-29,2021-02-01,SH600859,enter
2021-01-29,2021-02-01,SH600861,enter
2021-01-29,2021-02-01,SH600862,enter
2021-01-29,2021-02-01,SH600864,enter
2021-01-29,2021-02-01,SH600866,enter
2021-01-29,2021-02-01,SH600867,enter
2021-01-29,2021-02-01,SH600868,enter
2021-01-29,2021-02-01,SH600869,enter
2021-01-29,2021-02-01,SH600872,enter
2021-01-29,2021-02-01,SH600873,enter
2021-01-29,2021-02-01,SH600875,enter
2021-01-29,2021-02-01,SH600876,enter
2021-01-29,2021-02-01,SH600879,enter
2021-01-29,2021-02-01,SH600882,enter
2021-01-29,2021-02-01,SH600884,enter
2021-01-29,2021-02-01,SH600885,enter
2021-01-29,2021-02-01,SH600886,enter
2021-01-29,2021-02-01,SH600887,enter
2021-01-29,2021-02-01,SH600888,enter
2021-01-29,2021-02-01,SH600893,enter
2021-01-29,2021-02-01,SH600895,enter
2021-01-29,2021-02-01,SH600900,enter
2021-01-29,2021-02-01,SH600903,enter
2021-01-29,2021-02-01,SH600908,enter
2021-01-29,2021-02-01,SH600909,enter
2021-01-29,2021-02-01,SH600919,enter
2021-01-29,2021-02-01,SH600926,enter
2021-01-29,2021-02-01,SH600928,enter
2021-01-29,2021-02-01,SH600958,enter
2021-01-29,2021-02-01,SH600966,enter
2021-01-29,2021-02-01,SH600967,enter
2021-01-29,2021-02-01,SH600968,enter
2021-01-29,2021-02-01,SH600970,enter
2021-01-29,2021-02-01,SH600975,enter
2021-01-29,2021-02-01,SH600977,enter
2021-01-29,2021-02-01,SH600984,enter
2021-01-29,2021-02-01,SH600986,enter
2021-01-29,2021-02-01,SH600988,enter
2021-01-29,2021-02-01,SH600989,enter
2021-01-29,2021-02-01,SH600990,enter
2021-01-29,2021-02-01,SH600993,enter
2021-01-29,2021-02-01,SH600998,enter
2021-01-29,2021-02-01,SH600999,enter
2021-01-29,2021-02-01,SH601000,enter
2021-01-29,2021-02-01,SH601001,enter
2021-01-29,2021-02-01,SH601006,enter
2021-01-29,2021-02-01,SH601009,enter
2021-01-29,2021-02-01,SH601011,enter
2021-01-29,2021-02-01,SH601012,enter
2021-01-29,2021-02-01,SH601016,enter
2021-01-29,2021-02-01,SH601018,enter
2021-01-29,2021-02-01,SH601020,enter
2021-01-29,2021-02-01,SH601021,enter
2021-01-29,2021-02-01,SH601038,enter
2021-01-29,2021-02-01,SH601058,enter
2021-01-29,2021-02-01,SH601066,enter
2021-01-29,2021-02-01,SH601069,enter
2021-01-29,2021-02-01,SH601077,enter
2021-01-29,2021-02-01,SH601088,enter
2021-01-29,2021-02-01,SH601098,enter
2021-01-29,2021-02-01,SH601099,enter
2021-01-29,2021-02-01,SH601100,enter
2021-01-29,2021-02-01,SH601106,enter
2021-01-29,2021-02-01,SH601108,enter
2021-01-29,2021-02-01,SH601111,enter
2021-01-29,2021-02-01,SH601117,enter
2021-01-29,2021-02-01,SH601118,enter
2021-01-29,2021-02-01,SH601128,enter
2021-01-29,2021-02-01,SH601137,enter
2021-01-29,2021-02-01,SH601138,enter
2021-01-29,2021-02-01,SH601139,enter
2021-01-29,2021-02-01,SH601155,enter
2021-01-29,2021-02-01,SH601162,enter
2021-01-29,2021-02-01,SH601163,enter
2021-01-29,2021-02-01,SH601166,enter
2021-01-29,2021-02-01,SH601168,enter
2021-01-29,2021-02-01,SH601169,enter
2021-01-29,2021-02-01,SH601179,enter
2021-01-29,2021-02-01,SH601186,enter
2021-01-29,2021-02-01,SH601198,enter
2021-01-29,2021-02-01,SH601200,enter
2021-01-29,2021-02-01,SH601208,enter
2021-01-29,2021-02-01,SH601211,enter
2021-01-29,2021-02-01,SH601212,enter
2021-01-29,2021-02-01,SH601216,enter
2021-01-29,2021-02-01,SH601222,enter
2021-01-29,2021-02-01,SH601225,enter
2021-01-29,2021-02-01,SH601229,enter
2021-01-29,2021-02-01,SH601231,enter
2021-01-29,2021-02-01,SH601233,enter
2021-01-29,2021-02-01,SH601236,enter
2021-01-29,2021-02-01,SH601238,enter
2021-01-29,2021-02-01,SH601288,enter
2021-01-29,2021-02-01,SH601311,enter
2021-01-29,2021-02-01,SH601318,enter
2021-01-29,2021-02-01,SH601319,enter
2021-01-29,2021-02-01,SH601328,enter
2021-01-29,2021-02-01,SH601330,enter
2021-01-29,2021-02-01,SH601336,enter
2021-01-29,2021-02-01,SH601360,enter
2021-01-29,2021-02-01,SH601375,enter
2021-01-29,2021-02-01,SH601377,enter
2021-01-29,2021-02-01,SH601388,enter
2021-01-29,2021-02-01,SH601390,enter
2021-01-29,2021-02-01,SH601398,enter
2021-01-29,2021-02-01,SH601519,enter
2021-01-29,2021-02-01,SH601555,enter
2021-01-29,2021-02-01,SH601567,enter
2021-01-29,2021-02-01,SH601577,enter
2021-01-29,2021-02-01,SH601598,enter
2021-01-29,2021-02-01,SH601600,enter
2021-01-29,2021-02-01,SH601601,enter
2021-01-29,2021-02-01,SH601606,enter
2021-01-29,2021-02-01,SH601607,enter
2021-01-29,2021-02-01,SH601608,enter
2021-01-29,2021-02-01,SH601609,enter
2021-01-29,2021-02-01,SH601611,enter
2021-01-29,2021-02-01,SH601615,enter
2021-01-29,2021-02-01,SH601618,enter
2021-01-29,2021-02-01,SH601628,enter
2021-01-29,2021-02-01,SH601633,enter
2021-01-29,2021-02-01,SH601636,enter
2021-01-29,2021-02-01,SH601658,enter
2021-01-29,2021-02-01,SH601666,enter
2021-01-29,2021-02-01,SH601668,enter
2021-01-29,2021-02-01,SH601669,enter
2021-01-29,2021-02-01,SH601677,enter
2021-01-29,2021-02-01,SH601678,enter
2021-01-29,2021-02-01,SH601688,enter
2021-01-29,2021-02-01,SH601689,enter
2021-01-29,2021-02-01,SH601696,enter
2021-01-29,2021-02-01,SH601698,enter
2021-01-29,2021-02-01,SH601699,enter
2021-01-29,2021-02-01,SH601700,enter
2021-01-29,2021-02-01,SH601717,enter
2021-01-29,2021-02-01,SH601718,enter
2021-01-29,2021-02-01,SH601727,enter
2021-01-29,2021-02-01,SH601766,enter
2021-01-29,2021-02-01,SH601777,enter
2021-01-29,2021-02-01,SH601788,enter
2021-01-29,2021-02-01,SH601789,enter
2021-01-29,2021-02-01,SH601799,enter
2021-01-29,2021-02-01,SH601800,enter
2021-01-29,2021-02-01,SH601808,enter
2021-01-29,2021-02-01,SH601816,enter
2021-01-29,2021-02-01,SH601818,enter
2021-01-29,2021-02-01,SH601838,enter
2021-01-29,2021-02-01,SH601857,enter
2021-01-29,2021-02-01,SH601860,enter
2021-01-29,2021-02-01,SH601865,enter
2021-01-29,2021-02-01,SH601866,enter
2021-01-29,2021-02-01,SH601872,enter
2021-01-29,2021-02-01,SH601877,enter
2021-01-29,2021-02-01,SH601878,enter
2021-01-29,2021-02-01,SH601881,enter
2021-01-29,2021-02-01,SH601888,enter
2021-01-29,2021-02-01,SH601890,enter
2021-01-29,2021-02-01,SH601899,enter
2021-01-29,2021-02-01,SH601901,enter
2021-01-29,2021-02-01,SH601908,enter
2021-01-29,2021-02-01,SH601916,enter
2021-01-29,2021-02-01,SH601919,enter
2021-01-29,2021-02-01,SH601933,enter
2021-01-29,2021-02-01,SH601939,enter
2021-01-29,2021-02-01,SH601952,enter
2021-01-29,2021-02-01,SH601958,enter
2021-01-29,2021-02-01,SH601965,enter
2021-01-29,2021-02-01,SH601966,enter
2021-01-29,2021-02-01,SH601975,enter
2021-01-29,2021-02-01,SH601985,enter
2021-01-29,2021-02-01,SH601988,enter
2021-01-29,2021-02-01,SH601989,enter
2021-01-29,2021-02-01,SH601990,enter
2021-01-29,2021-02-01,SH601992,enter
2021-01-29,2021-02-01,SH601997,enter
2021-01-29,2021-02-01,SH601998,enter
2021-01-29,2021-02-01,SH603000,enter
2021-01-29,2021-02-01,SH603005,enter
2021-01-29,2021-02-01,SH603008,enter
2021-01-29,2021-02-01,SH603010,enter
2021-01-29,2021-02-01,SH603012,enter
2021-01-29,2021-02-01,SH603018,enter
2021-01-29,2021-02-01,SH603019,enter
2021-01-29,2021-02-01,SH603026,enter
2021-01-29,2021-02-01,SH603027,enter
2021-01-29,2021-02-01,SH603035,enter
2021-01-29,2021-02-01,SH603043,enter
2021-01-29,2021-02-01,SH603050,enter
2021-01-29,2021-02-01,SH603056,enter
2021-01-29,2021-02-01,SH603068,enter
2021-01-29,2021-02-01,SH603069,enter
2021-01-29,2021-02-01,SH603077,enter
2021-01-29,2021-02-01,SH603078,enter
2021-01-29,2021-02-01,SH603079,enter
2021-01-29,2021-02-01,SH603083,enter
2021-01-29,2021-02-01,SH603093,enter
2021-01-29,2021-02-01,SH603103,enter
2021-01-29,2021-02-01,SH603105,enter
2021-01-29,2021-02-01,SH603108,enter
2021-01-29,2021-02-01,SH603109,enter
2021-01-29,2021-02-01,SH603113,enter
2021-01-29,2021-02-01,SH603118,enter
2021-01-29,2021-02-01,SH603127,enter
2021-01-29,2021-02-01,SH603128,enter
2021-01-29,2021-02-01,SH603129,enter
2021-01-29,2021-02-01,SH603131,enter
2021-01-29,2021-02-01,SH603138,enter
2021-01-29,2021-02-01,SH603156,enter
2021-01-29,2021-02-01,SH603160,enter
2021-01-29,2021-02-01,SH603167,enter
2021-01-29,2021-02-01,SH603179,enter
2021-01-29,2021-02-01,SH603180,enter
2021-01-29,2021-02-01,SH603185,enter
2021-01-29,2021-02-01,SH603186,enter
2021-01-29,2021-02-01,SH603187,enter
2021-01-29,2021-02-01,SH603189,enter
2021-01-29,2021-02-01,SH603195,enter
2021-01-29,2021-02-01,SH603197,enter
2021-01-29,2021-02-01,SH603198,enter
2021-01-29,2021-02-01,SH603200,enter
2021-01-29,2021-02-01,SH603208,enter
2021-01-29,2021-02-01,SH603212,enter
2021-01-29,2021-02-01,SH603218,enter
2021-01-29,2021-02-01,SH603220,enter
2021-01-29,2021-02-01,SH603228,enter
2021-01-29,2021-02-01,SH603229,enter
2021-01-29,2021-02-01,SH603232,enter
2021-01-29,2021-02-01,SH603233,enter
2021-01-29,2021-02-01,SH603236,enter
2021-01-29,2021-02-01,SH603258,enter
2021-01-29,2021-02-01,SH603259,enter
2021-01-29,2021-02-01,SH603260,enter
2021-01-29,2021-02-01,SH603267,enter
2021-01-29,2021-02-01,SH603283,enter
2021-01-29,2021-02-01,SH603288,enter
2021-01-29,2021-02-01,SH603290,enter
2021-01-29,2021-02-01,SH603298,enter
2021-01-29,2021-02-01,SH603301,enter
2021-01-29,2021-02-01,SH603305,enter
2021-01-29,2021-02-01,SH603308,enter
2021-01-29,2021-02-01,SH603313,enter
2021-01-29,2021-02-01,SH603317,enter
2021-01-29,2021-02-01,SH603319,enter
2021-01-29,2021-02-01,SH603323,enter
2021-01-29,2021-02-01,SH603328,enter
2021-01-29,2021-02-01,SH603336,enter
2021-01-29,2021-02-01,SH603338,enter
2021-01-29,2021-02-01,SH603345,enter
2021-01-29,2021-02-01,SH603348,enter
2021-01-29,2021-02-01,SH603353,enter
2021-01-29,2021-02-01,SH603360,enter
2021-01-29,2021-02-01,SH603363,enter
2021-01-29,2021-02-01,SH603368,enter
2021-01-29,2021-02-01,SH603369,enter
2021-01-29,2021-02-01,SH603378,enter
2021-01-29,2021-02-01,SH603383,enter
2021-01-29,2021-02-01,SH603387,enter
2021-01-29,2021-02-01,SH603392,enter
2021-01-29,2021-02-01,SH603393,enter
2021-01-29,2021-02-01,SH603396,enter
2021-01-29,2021-02-01,SH603416,enter
2021-01-29,2021-02-01,SH603429,enter
2021-01-29,2021-02-01,SH603444,enter
2021-01-29,2021-02-01,SH603456,enter
2021-01-29,2021-02-01,SH603466,enter
2021-01-29,2021-02-01,SH603486,enter
2021-01-29,2021-02-01,SH603489,enter
2021-01-29,2021-02-01,SH603501,enter
2021-01-29,2021-02-01,SH603505,enter
2021-01-29,2021-02-01,SH603517,enter
2021-01-29,2021-02-01,SH603520,enter
2021-01-29,2021-02-01,SH603528,enter
2021-01-29,2021-02-01,SH603530,enter
2021-01-29,2021-02-01,SH603533,enter
2021-01-29,2021-02-01,SH603535,enter
2021-01-29,2021-02-01,SH603536,enter
2021-01-29,2021-02-01,SH603538,enter
2021-01-29,2021-02-01,SH603557,enter
2021-01-29,2021-02-01,SH603559,enter
2021-01-29,2021-02-01,SH603566,enter
2021-01-29,2021-02-01,SH603568,enter
2021-01-29,2021-02-01,SH603583,enter
2021-01-29,2021-02-01,SH603588,enter
2021-01-29,2021-02-01,SH603589,enter
2021-01-29,2021-02-01,SH603590,enter
2021-01-29,2021-02-01,SH603595,enter
2021-01-29,2021-02-01,SH603596,enter
2021-01-29,2021-02-01,SH603598,enter
2021-01-29,2021-02-01,SH603599,enter
2021-01-29,2021-02-01,SH603600,enter
2021-01-29,2021-02-01,SH603601,enter
